"","Table 6#19D# Corporate Profits After Tax by Industry            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2014   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/22/2014 10:53:46 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"8","1","      Corporate profits after tax","A055RC0",479711,507363,481994,487343,596605,725674,948516,1240939,1378063,1302886,1073345,1203108,1470119,1427712,1681341,1761064
"9","2","Domestic industries","A3202C0",376950,385360,335816,316943,437847,559047,743484,1001861,1121899,949503,666648,845918,1074938,1005804,1279501,1358010
"10","3","  Agriculture, forestry, fishing, and hunting","N3203C0",24,1313,852,823,-47,1488,2140,3417,3827,5648,2359,3822,7215,6505,11214,12834
"11","4","    Farms \1\","N3204C0",-541,442,213,381,-746,573,1360,2214,2150,3662,1198,2254,4807,4237,NA,NA
"12","5","    Forestry, fishing, and related activities","N3205C0",564,870,639,443,699,915,780,1203,1676,1986,1161,1568,2408,2267,NA,NA
"13","6","  Mining","N3206C0",3352,4881,12786,13215,4646,14169,20647,33642,45605,43819,42232,16907,23717,22624,26533,20873
"14","7","    Oil and gas extraction","N3207C0",2137,5688,12340,11744,6084,14275,18081,24381,28080,27189,25950,12214,11623,5384,NA,NA
"15","8","    Mining, except oil and gas","N3208C0",665,1269,805,318,525,986,2457,7527,11160,8608,9502,6628,11067,13669,NA,NA
"16","9","    Support activities for mining","N3209C0",549,-2076,-359,1152,-1963,-1091,109,1734,6366,8021,6779,-1936,1027,3571,NA,NA
"17","10","  Utilities","N3210C0",19593,19034,13630,13330,6166,9426,15550,21849,41649,34229,22827,18243,26109,8469,11406,19585
"18","11","  Construction","N3211C0",21953,25760,31457,37160,32557,30696,45947,70109,72308,55434,35118,25091,24783,27870,41829,49050
"19","12","  Manufacturing","N3212C0",118327,111789,107824,24125,34017,77062,124735,174464,237925,208832,151737,81623,210027,224277,284378,274171
"20","13","    Durable goods","N3213C0",73346,61404,49789,-23045,-10663,16638,36757,68889,101008,70955,35714,6909,94717,99620,150724,148561
"21","14","      Wood products","N3214C0",3154,4730,2335,1321,1601,2636,4648,4979,2677,708,-600,-1172,1662,735,NA,NA
"22","15","      Nonmetallic mineral products","N3215C0",4650,5486,4601,2902,2233,2747,4418,6902,3700,3751,482,-1590,-1362,289,NA,NA
"23","16","      Primary metals","N3216C0",3113,195,-208,-4163,-1850,-2071,9488,10595,14765,12030,12144,-2908,4705,10156,NA,NA
"24","17","      Fabricated metal products","N3217C0",12933,12664,12458,6701,6904,6750,12165,14801,16838,17558,15764,8133,14492,14837,NA,NA
"25","18","      Machinery","N3218C0",10809,8895,6799,843,1645,2163,8247,12950,16885,17500,14597,6127,13541,18913,NA,NA
"26","19","      Computer and electronic products","N3219C0",7457,-3772,6919,-29367,-25697,-13327,-5490,2984,17458,10373,13104,15003,29203,17938,NA,NA
"27","20","      Electrical equipment, appliances, and components","N3220C0",6033,7697,4087,-334,-3130,498,-1706,-3381,9347,-3878,2092,7037,8726,2085,NA,NA
"28","21","      Motor vehicles, bodies and trailers, and parts","N3221C0",12051,8699,1112,-7816,-4542,6548,-5535,-4367,-9927,-18064,-38048,-50291,-10322,-425,NA,NA
"29","22","      Other transportation equipment","N3222C0",3869,7353,4191,2612,3366,3148,2821,13223,16306,20777,11142,13858,17127,19337,NA,NA
