"","Table 3#5# Taxes on Production and Imports                      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2014   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/28/2014 2:23:19 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","    Taxes on production and imports","W056RC1",6.8,7,6.7,6.6,6.9,7.6,8,8.5,8.9,8.9,9.1,9.8,11.1,11.5,12.4,13.7,15.1,16.8,18.1,19.7,20.9,23,24.7,27.1,29.1,28.9,31.5,34.2,36.6,37.7,41.1,44.5,47,50.4,53.4,57.3,60.7,63.2,67.9,76.4,83.9
"9","2","Federal","W007RC1",1.1,1,0.8,0.9,1.6,2.1,2.1,2.2,2.4,2.2,2.3,2.6,3.5,4,4.8,6,6.9,7.7,7.7,7.8,7.9,8.7,9.2,10.1,10.7,9.5,10.4,11,11.5,11.2,12.2,13.1,13.2,14.1,14.7,15.4,15.4,14.4,15.2,16.9,17.8
"10","3","  Excise taxes","B234RC1",0.6,0.5,0.5,0.6,1.2,1.8,1.7,1.7,1.8,1.7,1.8,2.1,2.8,3.4,4.1,5.2,6.2,7.2,7.2,7.4,7.5,8.2,8.6,9.6,10.1,9,9.8,10.2,10.7,10.4,11.2,12,12.1,12.9,13.5,14.1,13.8,12.6,13.3,14.6,15.4
