"","Table 1BU# Real Manufacturing and Trade Inventories, Seasonally ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118"
"11","3","A   Durable goods manufacturing industries","KS30D0",249555,250871,250837,252990,254263,254940,256782,258125,258712,260327,259991,261952,264324,267053,269251,271112,272582,274129,274555,276197,277299,279138,279764,279874,277965,279451,282041,281427,282541,282027,283764,283106,284333,284120,286162,288423,286881,287813,287107,288915,288425,290818,291194,292325,291655,293341,295369,295680,298046,297862,294589,294535,292901,290528,288620,286701,283797,282746,280569,277476,276236,275343,273084,272220,271197,270208,269707,269462,269182,268984,268309,270654,268902,271223,269580,269055,268350,265638,264106,263299,262174,263362,262121,264215,263277,263030,263135,262897,262634,263431,264015,264203,263181,263468,264442,264037,266186,266827,266812,266293,266696,265342,267201,266221,265495,265616,266043,265177,265725,263795,265149,266649,266570,266569,266974
"12","4","A     Wood product manufacturing","KS3210",8273,8316,8296,8308,8281,8343,8426,8581,8725,8829,8832,8805,8677,8692,8674,8738,8841,8754,8791,8865,8982,9138,9294,9276,9432,9484,9504,9443,9504,9536,9686,9557,9396,9442,9561,9810,9945,9889,9859,9939,9771,9855,9910,9887,9848,10005,10043,10099,10022,9980,9885,9864,9937,10092,10042,10034,10055,9988,9903,9725,9953,9896,10079,10009,10146,10044,9966,9974,10032,10027,10081,10054,10142,10232,10117,10108,9977,9878,9824,9736,9675,9798,9915,9924,10007,10179,10369,10542,10624,10523,10540,10671,10840,10653,10738,10656,11252,11294,11492,11433,11450,11475,11456,11480,11365,11463,11392,11547,11210,11198,11026,11050,11162,11251,11190
"13","5","A     Nonmetallic mineral product manufacturing","KS3270",9634,9679,9684,9765,9821,9881,9816,9783,9776,9667,9716,9736,9727,9755,9806,9766,9800,9785,9765,9730,9765,9768,9845,9787,9827,9800,9742,9681,9792,9719,9766,9981,9979,10094,10045,10121,10182,10176,10016,10142,10081,10078,10097,10081,10102,10050,10118,10271,10244,10172,10239,10205,10126,10142,10112,9963,10002,9957,9913,9801,9736,9694,9675,9624,9573,9658,9645,9747,9743,9796,9802,9866,9820,9999,10097,10119,10197,10214,10225,10142,10121,9920,9639,9605,9556,9565,9530,9494,9532,9456,9448,9498,9489,9649,9679,9649,9651,9696,9645,9610,9592,9594,9629,9569,9468,9330,9282,9373,9408,9401,9420,9544,9497,9529,9582
"14","6","A     Primary metal manufacturing","KS3310",19068,19243,19527,19418,19475,19498,19580,19762,19712,19828,19927,20205,20401,20360,20412,20632,20779,20944,21216,21469,21646,21621,21711,21812,21886,21931,21746,21777,22029,21915,22012,21990,21836,21922,22111,22273,22503,22448,22392,22610,22673,22606,22759,22502,22305,22168,22019,21863,21894,21816,21576,21554,21259,20896,20733,20520,20464,20345,20210,20047,19849,19711,19443,19390,19223,19271,19239,19396,19404,19482,19633,19686,19662,19714,19523,19379,19222,18560,18285,18154,17781,17523,17521,17316,17453,17528,17819,17699,17690,17840,17685,17732,17845,18270,18343,18356,18772,18921,19354,19359,19433,19332,19297,19134,18817,18572,18360,18265,18333,18392,18290,18334,18434,18266,18258
"15","7","A     Fabricated metal product manufacturing","KS3320",29505,29548,29668,29791,29819,30151,30088,30139,30231,30340,30471,30825,30742,31020,31020,31339,31349,31941,31745,31907,32016,32005,32125,32087,32214,32018,32079,32245,32363,32163,32377,32377,32529,32765,32920,33039,33128,33112,32864,33113,33470,33833,33776,33885,33773,33793,33840,33675,33897,33859,33734,33881,33879,33642,33465,33458,33385,33384,33076,32570,32550,32443,32385,32448,32232,32142,32179,32302,32368,32308,32338,32286,31981,33458,33599,32959,32951,32721,32293,32142,31935,31991,31830,31516,31219,31059,30834,30432,30370,30287,30398,30558,30481,30316,30289,30584,30650,30748,30720,30781,30822,30531,30421,30231,30100,29940,29907,29847,29950,29878,29861,29914,29844,29856,29653
"16","8","A     Machinery manufacturing","KS3330",35898,35609,35618,36238,36349,36531,36557,36478,36359,36631,36523,36794,36908,37600,37751,37584,37570,37640,37920,38187,38406,38174,38324,37962,38177,37915,38168,38259,38224,37941,37974,37720,37773,38138,38253,38416,38498,38607,38160,39072,38594,39086,39407,39799,39766,40338,40342,41063,41292,41090,41150,40852,40266,39919,39268,38856,38421,37958,37321,36873,36567,36496,36510,36098,35902,35495,35441,35264,35102,34922,34814,35212,34573,34602,34004,34027,33765,33332,33071,32826,32776,33107,32816,33347,33242,33271,33188,33000,33059,33112,33134,33135,32955,32718,33084,32992,33320,33350,33225,33408,33613,33382,33950,34122,34117,33881,33923,33756,34020,33878,34156,34270,34377,34085,33941
"17","9","A     Computer and electronic product manufacturing","KS3340",44487,44869,45170,45906,46648,47066,48561,49074,49423,49870,50278,50593,50999,51512,52111,52331,52369,52137,51784,51752,51794,52065,51807,51323,50873,51756,53143,53423,53683,54039,54093,54688,55126,54650,54908,56091,55529,56099,56550,57696,59011,60383,61453,62605,62263,64080,66061,67266,69077,69837,67976,67424,67099,66728,66284,65426,62824,62129,62217,60066,60166,59672,59273,59121,58651,57645,57882,57597,57632,57575,57628,57005,56539,56790,56290,56092,55734,55275,55356,55298,55598,56610,56949,58437,57568,57582,58333,59050,59132,59706,60064,60112,60101,60827,60662,60987,61338,60994,60102,59775,59919,59455,60223,60150,60295,60805,61813,61408,62358,61204,62598,63387,63307,63340,63832
"18","10","A     Electrical equipment, appliance, and component manufacturing","KS3350",12593,12700,12722,12974,13138,13235,13397,13375,13374,13348,13366,13305,13412,13454,13530,13415,13343,13340,13423,13524,13529,13660,13750,13806,13702,13659,13695,13818,13865,13866,13830,13754,13912,13938,13938,13796,13887,13863,13680,13779,13891,13951,14043,14282,14256,14378,14324,14604,14601,14688,14665,14628,14478,14295,13963,14007,13881,13921,13783,13661,13586,13572,13528,13616,13611,13591,13595,13549,13511,13456,13505,13357,13355,13270,13212,13195,13174,13043,12934,12888,12801,12815,12856,12872,12840,12615,12599,12516,12606,12689,12791,12926,12879,12755,12683,12675,12684,12654,12671,12731,12686,12675,12696,12657,12758,12745,12723,12750,12858,12783,12824,12797,12632,12694,12683
"19","11","A     Transportation equipment manufacturing","KS3360",69395,70171,69327,69854,69869,69109,69327,69647,69791,70332,69172,69798,71570,72662,73739,74953,76147,77314,77421,78397,78756,80414,80514,81590,79536,80371,81266,79870,80073,79867,81063,80086,80637,79984,81151,81363,79502,79859,79729,78544,76789,76762,75427,74627,74594,73766,73821,72238,72247,71505,70600,71465,71279,70288,70269,70063,70291,70667,69811,70419,69694,69698,68119,67787,67608,67867,67199,67086,66831,67026,66145,68557,67918,68111,67416,67931,67991,67328,66630,66633,66457,66617,65757,66339,66417,66352,65766,65976,65387,65563,65803,65390,64564,64021,64689,64030,64542,65227,65568,65013,65194,64757,65307,64495,64495,65197,65148,64976,64472,63822,64044,64586,64671,65010,65317
"20","12","D       Motor vehicle and parts manufacturing","KS3MV0",22466,22824,22857,23210,23588,22916,23082,23063,23447,23058,22795,22823,23024,23191,23643,23262,23226,23464,22912,22720,23037,23137,23810,23981,23811,23780,24737,24185,24319,24637,24736,24814,24606,24903,25522,25635,25676,25889,25497,25666,25814,25792,25788,25884,25880,25928,25814,25455,25324,25096,24656,25025,24720,24534,24256,24076,23808,23654,23196,22983,22753,22644,22856,23209,23363,23549,23773,23642,24005,23997,23894,24003,24031,24447,23909,24179,24129,23969,24103,24313,24114,24037,24050,24352,24999,24997,24975,24916,24733,24989,24840,24857,25052,24691,24743,24375,24872,24916,25105,25157,25065,25017,24700,24753,24262,24589,24518,24119,24138,23969,23881,23979,23880,23829,23851
"21","13","D       Other transportation equipment manufacturing","KS3OT0",46897,47311,46424,46593,46219,46143,46192,46534,46284,47231,46330,46934,48515,49441,50059,51678,52919,53852,54530,55708,55739,57302,56716,57619,55730,56598,56535,55690,55760,55234,56333,55274,56036,55085,55631,55731,53826,53968,54232,52877,50973,50968,49639,48745,48717,47842,48011,46786,46926,46411,45944,46440,46558,45753,46011,45984,46479,47006,46606,47421,46920,47022,45257,44590,44261,44332,43451,43460,42854,43049,42272,44556,43893,43680,43513,43760,43867,43365,42543,42341,42359,42592,41727,42010,41462,41399,40837,41103,40697,40619,41006,40575,39559,39374,39989,39695,39710,40352,40502,39891,40167,39777,40649,39782,40276,40649,40671,40911,40379,39895,40212,40661,40848,41245,41533
"22","14","A     Furniture and related product manufacturing","KS3370",7119,7121,7101,7084,7256,7245,7291,7191,7192,7162,7174,7227,7218,7274,7297,7371,7425,7346,7360,7349,7356,7389,7397,7384,7442,7478,7500,7470,7489,7533,7574,7591,7523,7647,7629,7729,7792,7841,7864,7876,7937,8002,7981,8087,8085,8043,8101,7963,8065,8088,8093,8073,8023,7975,7914,7813,7846,7767,7758,7557,7587,7555,7500,7499,7571,7643,7695,7715,7743,7715,7847,7873,8050,7994,8056,8056,8067,8066,8147,8006,7819,7783,7738,7658,7703,7621,7532,7603,7619,7681,7697,7737,7698,7759,7735,7756,7720,7674,7659,7650,7670,7697,7686,7705,7761,7674,7809,7784,7765,7756,7882,7834,7794,7826,7786
"23","15","A     Miscellaneous durable goods manufacturing","KS3390",14242,14234,14237,14120,13970,14179,13822,14115,14114,14273,14390,14519,14552,14625,14808,14886,14892,14913,15154,15072,15112,14979,15100,14995,15034,15157,15243,15477,15562,15466,15412,15366,15627,15558,15667,15773,15892,15889,15952,16085,16151,16198,16280,16508,16603,16671,16668,16626,16713,16846,16666,16571,16538,16522,16536,16523,16575,16571,16529,16672,16483,16528,16530,16599,16646,16772,16817,16774,16774,16628,16505,16630,16735,16904,17096,16989,17030,16983,17142,17287,17086,17197,17198,17472,17433,17427,17409,16974,17033,17055,17021,17002,16888,17085,17070,16919,16770,16654,16488,16577,16360,16468,16694,16907,16676,16582,16533,16277,16285,16164,16048,16078,15974,15922,16101
"24","16","A   Nondurable goods manufacturing industries","KS30N0",162298,162227,163113,163824,164416,164779,164365,165430,166370,167598,168413,169003,168940,169620,169986,169757,169831,169843,170406,169781,169398,169647,170752,169352,170031,169934,170611,171503,172679,172725,173066,173620,174407,175423,176756,177841,178265,178573,178485,178921,179036,179770,180385,179690,179813,179726,179444,178466,178553,177709,177444,177138,176632,175546,175391,175022,175076,174987,174867,175332,174875,174355,176037,176059,175618,176049,176707,177158,177899,177748,177171,176279,176211,177508,176767,177041,176624,176888,176410,176733,176131,175411,175328,173262,172968,173687,173798,173448,173953,174441,174685,174818,173292,173448,173953,173024,174617,174244,174113,173469,171736,172344,172010,170831,169385,169731,168364,169772,171629,170836,171539,171948,172103,172850,172382
"25","17","A     Food manufacturing","KS3110",30597,30775,30950,30971,31000,31313,31290,31429,31492,31674,31788,31937,32151,32348,32140,32105,32039,32040,31997,31802,31899,31896,31902,32049,32366,32392,32517,32696,32731,32717,32836,32729,33182,33388,33641,33679,34000,34242,34550,34285,34260,34207,34210,34179,34119,33846,33974,34159,34053,33935,33871,33890,33902,33847,33892,33691,33517,33272,33615,33848,34042,34065,33951,34301,34392,34579,34584,34627,34577,34553,34563,34204,34123,34217,34214,33954,34166,33932,33754,33764,33658,33781,33803,33244,33124,33043,33056,32725,32692,32648,32683,32588,32540,32452,32293,32438,32100,32071,32047,32415,32151,32198,32253,32228,32251,32198,32129,32101,32323,32290,32218,32215,32114,32193,32135
"26","18","A     Beverage and tobacco product manufacturing","KS3120",11533,11400,11352,11566,11605,11586,11740,11825,11921,12083,12218,12154,12445,12270,12382,12162,12105,12005,12055,11779,11835,12156,12200,12074,11962,12102,11836,11925,12003,11846,11665,11682,11478,11661,11613,11908,12006,12112,12037,12019,11976,12062,12003,11986,12119,12028,12058,11798,11762,11788,11984,12006,12070,11997,12271,12292,12287,12205,12214,12364,12429,12341,12535,12344,12449,12596,12374,12452,12668,12510,12338,12400,12242,12233,12138,12405,12300,12222,12243,12119,12087,12172,12276,11996,11987,12164,12009,11903,11815,11989,11879,12296,12201,12024,11925,11773,12021,11948,11945,11933,11898,11798,11998,11896,11703,12343,12371,12332,12305,12237,12222,12157,11990,11854,11855
"27","19","A     Textile mills","KS3130",6744,6715,6726,6763,6724,6722,6711,6753,6704,6707,6662,6684,6696,6754,6762,6740,6784,6757,6809,6754,6798,6795,6792,6813,6815,6802,6775,6771,6767,6824,6813,6801,6849,6800,6881,7001,6871,6823,6839,6820,6783,6772,6732,6712,6663,6685,6663,6578,6548,6511,6432,6452,6436,6382,6314,6262,6222,6126,6061,5961,5775,5767,5706,5590,5600,5577,5603,5665,5631,5654,5598,5683,5720,5741,5778,5807,5825,5860,5813,5787,5816,5732,5723,5678,5620,5584,5582,5554,5523,5478,5468,5450,5426,5372,5354,5335,5271,5207,5115,5065,5041,4991,4931,4853,4858,4845,4810,4837,4817,4790,4794,4739,4687,4736,4722
"28","20","A     Textile product mills","KS3140",3491,3529,3562,3602,3640,3690,3711,3729,3762,3756,3785,3801,3812,3827,3788,3758,3736,3685,3662,3665,3640,3598,3578,3581,3501,3551,3654,3702,3729,3792,3798,3812,3823,3904,3898,3924,3953,3977,4033,4068,4155,4212,4248,4245,4293,4285,4337,4341,4339,4354,4350,4354,4305,4315,4290,4336,4362,4411,4454,4509,4348,4216,4089,4055,4007,3940,3903,3812,3738,3628,3497,3425,3499,3522,3500,3519,3509,3482,3482,3507,3460,3439,3501,3553,3467,3422,3400,3379,3329,3313,3304,3274,3282,3255,3216,3170,3227,3238,3225,3172,3166,3157,3127,3138,3105,3142,3086,3186,3140,3126,3105,3093,3071,3130,3144
"29","21","A     Apparel manufacturing","KS3150",8107,8093,8082,8188,8281,8384,8459,8539,8522,8585,8511,8506,8450,8441,8491,8452,8356,8347,8338,8338,8397,8436,8443,8446,8285,8352,8439,8459,8582,8666,8760,8894,9000,8935,8892,9086,9084,8965,8925,8838,8795,8744,8791,8730,8687,8710,8819,8804,8855,8737,8569,8475,8404,8320,8102,7938,7738,7558,7401,7183,7047,6937,6828,6787,6724,6775,6833,6876,6976,7030,7055,7139,7258,7317,7360,7450,7454,7383,7462,7337,7274,7182,7141,7152,7060,6879,6845,6755,6704,6731,6740,6769,6777,6783,6779,6773,6925,6949,6923,6939,6916,6884,6835,6888,6897,6914,6825,6795,6743,6714,6661,6600,6554,6487,6453
"30","22","A     Leather and allied product manufacturing","KS3160",1574,1573,1551,1597,1617,1628,1624,1620,1623,1642,1630,1662,1685,1694,1698,1728,1735,1717,1720,1726,1713,1713,1733,1686,1657,1647,1647,1625,1626,1666,1659,1660,1682,1688,1695,1696,1685,1691,1682,1683,1667,1655,1653,1649,1643,1647,1636,1594,1597,1581,1588,1549,1505,1461,1454,1466,1476,1480,1472,1427,1384,1371,1322,1278,1297,1309,1335,1344,1317,1380,1366,1353,1350,1271,1255,1218,1234,1235,1206,1193,1223,1239,1260,1295,1276,1268,1262,1260,1250,1244,1237,1227,1227,1239,1243,1272,1289,1281,1281,1212,1132,1057,891,759,616,828,1060,1274,1272,1191,1182,1156,1179,1192,1188
"31","23","A     Paper manufacturing","KS3220",15650,15720,15999,15847,15849,15579,15553,15616,15794,15820,15908,16130,16210,16162,16132,16176,16210,16313,16332,16382,16177,16117,16060,15764,15857,15821,15966,15969,16132,16274,16268,16550,16810,16803,16826,16811,17022,17126,17112,17235,17253,17184,17311,17192,16941,16778,16523,16267,16140,16097,15810,15668,15555,15484,15434,15389,15580,15742,15965,16079,16195,16375,16503,16549,16647,16930,16923,17016,17204,17281,17406,17479,17529,17475,17151,17242,17183,17222,17051,17035,16994,16872,16848,16689,16618,16487,16338,16225,16301,16265,16428,16475,16435,16619,16665,16591,16762,16811,16748,16754,16693,16675,16555,16369,16164,16077,15931,15920,15841,15886,15976,15985,15955,15846,15748
"32","24","A     Printing and related support activities","KS3230",6558,6445,6418,6580,6677,6550,6253,6502,6483,6536,6571,6708,6464,6463,6452,6436,6524,6431,6641,6487,6578,6345,6236,6210,6297,6277,6354,6565,6492,6591,6550,6533,6678,6643,6835,6911,6915,7070,7025,6824,6838,6847,6709,6811,6790,6842,6729,6552,6542,6497,6483,6351,6330,6236,6246,6367,6190,6258,6235,6286,6472,6232,6182,6380,6402,6620,6716,6664,6529,6731,6727,6732,6785,6742,6719,6665,6612,6476,6535,6525,6454,6341,6433,6409,6304,6392,6295,6260,6394,6319,6309,6356,6388,6449,6372,6347,6181,6233,6245,6206,6158,6143,6086,5968,5951,5852,5817,5803,5811,5773,5748,5792,5759,5794,5777
"33","25","A     Petroleum and coal product manufacturing","KS3240",16072,15771,16148,16045,16257,16184,15837,16433,16468,16468,16627,16606,15373,15469,15831,15935,15882,15709,15796,15511,15386,15752,16647,15812,15626,14645,15426,15118,14812,14697,14804,15182,15239,15429,15664,15515,15580,15406,15351,15629,15710,15864,15610,15315,15489,15678,15592,15208,15278,15451,15488,15812,16031,15995,15916,16223,16298,15961,15944,16411,15674,15683,16253,16325,15946,15946,16248,16024,16123,15979,15438,15805,15810,15897,15957,16187,15609,16158,15742,16377,16411,16293,15933,15900,16456,16680,16614,16533,16975,17055,17265,16862,16465,16905,17276,16334,17273,17229,17394,17316,16483,16802,17205,17077,16908,17224,16585,16629,16847,16928,17208,17751,18108,18352,18277
"34","26","A     Chemical manufacturing","KS3250",46137,46275,46439,46680,46748,47010,47022,46958,47568,48200,48584,48642,49039,49560,49808,49851,49893,50070,50291,50362,49970,49991,50469,49797,50309,50548,50491,50944,51862,51707,51933,51788,51553,52031,52648,52948,52793,52806,52781,52992,53086,53745,54592,54470,54733,54865,54952,54802,55033,54419,54638,54496,54362,53884,53884,53520,53816,54289,53765,53646,53911,53982,53785,53825,53629,53478,54037,54604,54603,54608,54906,53953,53828,54775,54483,54287,54387,54432,54795,54851,54609,54326,54479,53413,53046,53802,54270,54695,54797,55042,54811,54939,54016,53671,54095,54659,54642,54457,54281,53640,53479,53914,53207,52668,52339,51745,51513,52682,53765,53106,53535,53116,53050,53408,53137
"35","27","A     Plastics and rubber product manufacturing","KS3260",16306,16360,16389,16444,16516,16596,16542,16543,16557,16639,16690,16698,16725,16744,16741,16706,16834,16971,16978,17090,17059,17087,17344,17422,17588,17591,17630,17710,17806,17767,17838,17942,18073,18127,18183,18357,18349,18351,18138,18513,18496,18455,18502,18380,18314,18332,18138,18358,18407,18355,18261,18163,17846,17745,17686,17681,17745,17768,17796,17766,17541,17341,19006,18750,18592,18364,18240,18125,18580,18458,18331,18189,18187,18416,18282,18387,18402,18552,18379,18290,18193,18039,17932,17997,18001,17869,17994,18002,17955,18114,18291,18387,18439,18477,18370,18152,18571,18462,18468,18396,18431,18372,18356,18418,18011,17915,17890,17830,18216,18189,18115,18269,18282,18319,18447
