"","Table 2#3#6U# Real Personal Consumption Expenditures by Major Ty","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"1","[Millions of chained (2000) dollars; quarters and months are seasonally adjusted at annual rates]                                                                                                                                                         ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1990 To 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 29, 2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/28/2006 2:23:52 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
"8",NA,"Real PCE by Major Type of Product (From NIPA table 2.3.6):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","Q1PCE1 A     Personal consumption expenditures","Q1PCE10",4770267,4778421,4934842,5099822,5290681,5433489,5619428,5831786,6125825,6438600,6739378,6910356,7099261,7295309,7577083,7841199
"10","2","Q1TDG1 A Durable goods","Q1TDG10",453522,427899,452987,488444,529400,552624,595911,646933,720290,804551,863326,900682,964784,1020572,1085658,1145340
"11","3","Q1TAP1 B   Motor vehicles and parts","Q1TAP10",256076,226588,244936,259249,276244,272263,285359,304653,338965,372437,386518,405836,429000,442068,450363,452895
"12","4","Q1FUR1 B   Furniture and household equipment","Q1FUR10",119862,121089,127760,141087,156766,173316,193370,216272,244662,280731,312907,331800,364305,397780,446021,490607
"13","5","Q1TOD1 B   Other","Q1TOD10",92730,88751,90226,96977,104244,111187,119628,127282,137557,151699,163901,163167,172373,183248,195649,212573
"14","6","Q1TND1 A Nondurable goods","Q1TND10",1483954,1480527,1510124,1550354,1603902,1638621,1680447,1725331,1794437,1876610,1947216,1986686,2037061,2103032,2179188,2276763
"15","7","Q1TFD1 B   Food","Q1TFD10",784373,783327,787925,802154,821842,827097,834711,845248,865556,893579,925164,940244,954640,977676,1010954,1065706
"16","8","Q1TCS1 B   Clothing and shoes","Q1TCS10",188154,188752,199226,207383,218500,227383,238694,245967,263097,282678,297712,303747,318251,334247,350910,372721
"17","9","Q1GFO1 B   Gasoline, fuel oil, and other energy goods","Q1GFO10",158448,156726,162798,166882,169668,172973,176179,179660,186299,192667,191482,193391,197441,198542,200533,199532
"18","10","Q1GAO1 B     Gasoline and oil","Q1GAO10",141842,140282,145958,149666,151658,154463,157894,162773,170283,176273,175656,178257,181930,183153,185951,185886
"19","11","Q1FUL1 B     Fuel oil and coal","Q1FUL10",16746,16584,16974,17351,18186,18702,18432,16940,16035,16408,15826,15157,15533,15417,14636,13731
"20","12","Q1TON1 B   Other","Q1TON10",360985,359274,366047,379027,397709,414132,432947,456638,481144,508597,532858,549243,567078,593204,618499,643895
"21","13","Q1TSS1 A Services","Q1TSS10",2851667,2899952,3000806,3085708,3176621,3259873,3356012,3467984,3614961,3758010,3928836,4023246,4100369,4178828,4323880,4436638
"22","14","Q1HOS1 B   Housing","Q1HOS10",802176,820060,832742,841770,869326,887543,901110,922477,948846,978557,1006456,1033731,1042085,1051897,1091592,1122601
"23","15","Q1HOP1 B   Household operation","Q1HOP10",266367,269851,277407,291069,303314,312884,327271,340359,357087,371876,390110,390968,393204,398790,409311,417983
"24","16","Q1GEL1 B     Electricity and gas","Q1GEL10",117401,121084,120424,126783,128772,130154,134738,133729,136678,138143,143300,140893,144863,147497,149847,153785
"25","17","Q1HLU1 B     Other household operation","Q1HLU10",149401,149179,157427,164750,175032,183184,192977,206991,220672,233782,246809,250198,248268,251187,259512,264125
"26","18","Q1TOT1 B   Transportation","Q1TOT10",195691,186344,194199,202459,218376,231774,247502,263198,272002,283405,291254,287969,280236,280606,284002,284415
"27","19","Q1TMD1 B   Medical care","Q1TMD10",797618,824521,863632,877196,887095,906399,922489,942809,970667,988975,1026813,1075248,1136641,1180763,1217287,1260916
"28","20","Q1REC1 B   Recreation","Q1REC10",170598,171612,183965,195388,204796,219189,228634,235652,244950,257819,268265,274894,281198,290821,304797,313138
"29","21","Q1OSR1 B   Other","Q1OSR10",621880,631273,653209,680907,696183,704470,730654,764651,821927,877615,945940,960318,966561,975321,1015968,1036183
"30",NA,"         Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","22","Q1NRG1 B   Energy goods and services","Q1NRG10",276193,278496,283451,294268,299035,303598,311623,313749,323082,330474,334783,334134,342239,346089,350437,353106
"32","23","Q1XEF1 B   Personal consumption expenditures excluding food and energy","Q1XEF10",3715274,3722233,3869082,4009136,4174998,4307327,4477080,4675819,4939379,5215323,5479432,5636034,5802609,5971704,6216690,6424908
"33",NA,"Real PCE by Major Type of Expenditure (From NIPA table 2.5.6):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","24","Q1PCE1 A     Personal consumption expenditures","Q1PCE10",4770267,4778421,4934842,5099822,5290681,5433489,5619428,5831786,6125825,6438600,6739378,6910356,7099261,7295309,7577083,7841199
