"","Table 7U# Chain-Type Price Indexes for BEA Real Retail and Food ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179"
"11","3","S1 PN441ZZZMG   Motor vehicle and parts dealers","T070033",86.028,85.854,86.04,86.419,86.777,87.014,87.025,87.55,87.808,87.979,88.121,88.222,88.594,88.724,89.098,89.654,90.059,90.401,90.876,91.154,91.521,91.98,92.436,92.375,92.323,92.31,92.686,92.897,93.215,93.725,94.096,94.547,95.003,95.554,96.126,96.472,97.01,97.333,98.035,98.051,98.185,98.368,98.166,98.283,98.116,98.429,98.638,99.042,99.276,99.603,99.868,99.518,99.482,99.38,99.303,99.534,99.771,99.87,99.708,99.697,99.506,99.838,100.303,99.849,99.64,99.203,99.085,98.842,98.825,98.774,98.614,98.498,98.574,98.639,98.475,98.454,98.272,98.293,98.697,98.873,98.828,98.826,99.133,99.031,98.819,98.412,98.313,98.453,98.539,98.781,99.088,99.343,99.734,99.658,99.743,99.529,99.422,99.301,99.722,99.891,100.117,100.15,100.04,99.954,99.984,100.096,100.438,100.883,101.164,101.216,101.296,101.231,101.093,100.94,100.953,100.726,100.216,100.547,100.725,100.819,100.602,99.952,99.658,99.633,99.581,99.537,99.743,99.892,99.832,99.608,99.287,99.038,98.749,98.572,98.71,98.481,98.298,98.156,97.864,97.734,96.893,96.122,95.656,95.493,95.541,95.758,95.91,95.963,96.124,96.06,96.083,96.142,96.689,96.885,97.277,97.564,98.066,98.167,98.144,98.23,98.499,98.716,98.522,98.416,98.576,98.765,98.521,98.534,98.917,98.997,99.218,99.324,99.414,99.511,99.746,99.87
"12","4","S4 PN4411ZZMG     Automobile dealers","T070043",84.191,83.996,84.149,84.58,84.962,85.271,85.302,85.893,86.2,86.426,86.585,86.7,87.105,87.287,87.789,88.396,88.898,89.34,89.897,90.247,90.653,91.199,91.746,91.637,91.542,91.487,91.91,92.128,92.471,93.072,93.501,94.034,94.593,95.225,95.794,96.153,96.764,97.115,97.904,97.924,98.055,98.282,98.054,98.166,97.978,98.341,98.576,99.043,99.264,99.614,99.907,99.502,99.471,99.346,99.367,99.588,99.85,100.006,99.845,99.776,99.548,99.91,100.479,100,99.756,99.24,99.047,98.799,98.792,98.75,98.588,98.473,98.522,98.615,98.465,98.504,98.296,98.269,98.714,98.905,98.86,98.813,99.152,99.029,98.787,98.34,98.232,98.391,98.497,98.788,99.131,99.408,99.802,99.751,99.78,99.58,99.398,99.265,99.7,99.936,100.148,100.188,100.051,100.011,99.979,100.058,100.414,100.851,101.086,101.147,101.189,101.139,100.946,100.773,100.758,100.513,99.901,100.259,100.469,100.603,100.334,99.564,99.182,99.093,99.021,99.046,99.192,99.33,99.293,99.034,98.635,98.407,97.965,97.745,97.94,97.681,97.482,97.316,96.977,96.803,95.848,94.962,94.379,94.19,94.201,94.41,94.545,94.592,94.772,94.645,94.723,94.842,95.403,95.629,96.071,96.409,96.884,97.011,96.956,97.056,97.308,97.502,97.152,96.94,97.082,97.242,96.993,96.978,97.392,97.466,97.641,97.669,97.674,97.778,97.883,97.931
"13","5","S4 PN4412ZZMG     Other motor vehicle dealers","T070053",87.724,88.253,88.679,89.635,90.035,89.728,89.751,89.38,89.122,89.562,89.689,89.792,89.722,89.973,89.723,90.174,90.282,90.779,90.693,90.86,90.894,91.415,91.511,91.074,91.414,92.119,92.319,92.795,93.086,92.878,93.392,93.265,93.262,94.183,94.721,95.031,95.607,95.5,95.977,96.031,95.643,95.845,95.703,95.917,95.965,95.835,95.984,95.895,96.455,97.313,97.666,97.595,97.604,97.215,96.444,97.125,97.116,96.284,95.838,96.714,96.756,96.808,96.976,96.748,96.552,96.619,96.836,96.764,96.738,96.799,96.408,96.531,97.132,96.749,96.402,96.508,96.347,96.417,96.814,97.064,96.897,96.799,97.604,97.958,97.661,97.865,98.23,98.125,98.193,98.367,98.704,98.935,99.113,98.771,98.982,98.497,99.069,99.193,99.456,99.784,100.066,100.286,100.192,99.692,100.229,100.578,100.468,100.988,101.144,100.962,101.07,100.957,101.34,101.355,101.235,101.24,101.296,101.299,101.182,100.876,100.669,100.846,100.882,101.306,101.526,100.258,100.399,100.561,100.214,100.805,100.733,100.273,100.894,100.658,100.374,100.417,100.188,100.248,100.222,100.19,99.953,99.43,99.713,99.779,100.011,100.672,101.199,101.315,101.362,101.809,100.811,100.096,100.786,100.48,100.371,100.519,101.086,100.785,100.931,101.016,101.518,102.062,102.882,103.269,103.428,103.93,102.944,102.847,102.989,102.831,102.982,103.445,103.436,103.358,104.633,105.371
"14","6","S2 PN4413ZZMG     Automotive parts, accessories and tire stores","T070063",101.177,100.898,101.265,100.982,101.12,100.966,100.795,101.121,101.178,100.79,100.792,100.775,101.072,100.692,100.269,100.434,100.16,99.581,99.616,99.325,99.51,99.188,99.012,99.522,99.669,99.735,99.762,99.797,99.896,99.928,99.737,99.733,99.513,99.191,99.815,100.069,99.961,100.241,100.304,100.268,100.667,100.444,100.449,100.559,100.466,100.558,100.573,100.641,100.846,100.732,100.71,100.711,100.609,100.848,100.233,100.341,100.483,100.528,100.504,100.556,100.576,100.793,100.498,100.151,100.242,100.246,100.629,100.337,100.237,100.054,100.023,99.776,99.818,99.866,99.67,99.052,99.099,99.521,99.557,99.569,99.58,100.031,99.786,99.639,99.745,99.393,99.113,99.214,99.123,98.952,98.901,98.972,99.446,99.28,99.816,99.631,99.84,99.7,100.085,99.514,99.85,99.717,99.863,99.567,99.892,100.181,100.652,101.139,101.92,102.031,102.463,102.285,102.365,102.302,102.647,102.467,102.623,102.9,102.91,102.871,103.212,103.237,103.609,103.924,103.896,103.915,104.755,105.003,104.878,104.522,104.817,104.487,105.179,105.469,105.298,105.192,105.208,105.162,105.167,105.415,105.328,105.528,105.716,105.653,105.917,105.898,105.948,106.032,106.08,106.284,106.504,106.517,106.828,107.103,107.368,107.279,108.047,108.259,108.419,108.403,108.643,108.794,109.295,109.838,110.163,110.387,110.784,111.135,111.427,111.765,112.48,113.032,114.029,114.202,114.837,115.195
"15","7","S1 PN44DZZZMG   Furniture, home furnishings, electronics and appliance stores","T070073",141.093,141.717,141.949,142.262,141.692,141.085,141.31,140.678,140.246,140.525,140.822,139.674,139.741,139.677,139.559,139.989,139.488,139.25,139.343,139.322,139.245,139.3,138.973,138.809,139.491,139.31,138.799,139.118,139.947,139.941,140.001,139.587,139.276,138.485,137.627,137.184,137.412,137.422,137.191,137.125,136.933,135.615,135.8,135.644,135.238,134.533,133.476,133.825,133.769,132.403,131.649,130.841,130.003,129.498,128.866,128.767,128.599,128.056,126.836,125.777,124.732,124.873,124.319,123.343,122.797,122.388,121.446,120.118,119.708,119.031,118.332,118.14,117.245,116.342,116.31,116.373,115.07,114.234,113.624,112.221,111.448,110.931,109.863,109.346,108.677,107.873,107.295,107.299,106.257,105.812,105.471,104.601,104.221,103.42,102.63,102.38,102.203,101.719,101.675,101.074,100.932,100.11,99.772,99.135,99.287,98.588,98.069,97.437,96.457,95.836,94.833,94.541,93.402,92.71,92.483,91.457,90.783,90.31,90.036,89.432,88.766,87.888,87.318,87.188,87.119,86.673,86.209,85.795,85.129,84.616,83.813,83.21,82.774,82.148,81.635,81.445,80.127,79.549,79.162,78.186,77.62,77.619,77.349,76.988,77.062,76.991,76.583,76.343,75.912,75.738,75.044,74.56,74.362,74.486,73.714,73.109,73.198,72.65,72.672,72.453,72.295,71.554,71.147,70.495,70.198,69.859,69.638,69.4,68.996,68.731,68.454,68.054,67.547,67.056,66.762,66.716
"16","8","S1 PN442ZZZMG     Furniture and home furnishings stores","T070083",94.8,95.453,96.281,97.019,96.192,96.422,96.642,95.907,95.814,96.211,96.964,95.984,96.239,96.199,96.83,97.32,96.725,97.124,97.333,97.669,97.584,98.04,97.869,97.991,98.877,98.53,97.88,98.528,99.768,99.912,100.174,99.839,99.3,98.964,98.627,97.884,98.405,99.21,99.495,99.455,99.438,99.187,99.857,100.604,100.771,100.724,99.889,100.618,101.236,100.594,100.361,100.586,100.309,100.372,100.17,100.652,101.254,100.946,100.43,100.5,100.276,100.856,101.104,101.165,101.716,101.684,101.171,100.499,100.532,100.458,100.048,100.44,100.184,100.399,101.049,101.821,101.256,101.086,101.675,101.403,101.249,101.15,100.92,101.157,100.93,100.589,100.755,101.53,100.517,100.497,100.744,100.38,100.627,100.15,99.509,99.211,99.543,99.829,100.555,100.607,99.765,99.34,99.784,99.557,100.552,100.164,100.263,100.042,99.854,99.857,99.614,99.938,99.241,98.911,98.98,98.722,98.638,98.323,98.487,98.08,97.763,97.321,97.466,97.701,97.722,97.722,97.651,97.502,97.589,97.333,97.013,96.528,96.405,96.179,95.547,96.076,94.961,94.999,95.125,94.471,94.15,94.153,93.84,93.629,94.211,94.403,94.236,94,93.648,94.255,93.529,92.929,93.029,94.211,93.896,93.516,93.77,93.574,94.075,93.965,94.02,93.228,93.215,92.952,92.766,92.696,93.292,93.677,93.397,93.066,92.758,92.829,92.871,92.932,92.844,93.106
"17","9","S4 PN4421ZZMG       Furniture Stores","T070093",93.247,94.54,95.994,96.822,95.06,95.467,95.938,94.977,94.925,95.988,96.48,95.711,96.146,95.746,96.553,96.706,96.293,96.788,96.486,96.789,97.28,97.986,97.877,97.957,98.669,98.502,98.371,99.268,99.985,100.466,100.511,100.324,99.344,99.136,98.657,98.467,98.844,99.683,99.99,99.992,99.682,99.687,100.525,101.033,101.1,100.878,100.459,101.296,101.619,100.979,100.841,101.473,100.978,101.649,101.441,101.661,102.206,101.492,101.391,101.389,100.505,100.667,101.274,101.536,102.591,102.399,101.369,101.099,101.387,101.424,100.8,100.472,100.072,100.44,101.295,101.825,101.077,101.197,101.933,101.532,100.994,100.791,100.585,101.085,100.835,100.74,101.149,101.834,100.55,100.543,100.789,100.438,100.771,100.106,99.664,99.648,100.099,100.284,101,100.292,99.601,99.041,99.456,99.314,100.836,100.252,100.139,99.733,99.246,99.395,99.227,99.421,98.671,98.439,98.278,97.766,97.718,97.276,97.205,96.794,96.341,96.23,96.483,96.492,96.58,96.572,96.462,96.062,96.038,95.928,95.6,95.433,95.222,95.43,95.035,95.317,94.661,94.539,94.647,94.368,94.182,93.915,93.458,93.484,94.066,94.507,94.486,94.047,93.658,94.871,94.044,93.225,93.236,93.746,93.237,93.163,93.304,92.569,93.268,93.459,93.577,92.44,92.58,92.141,92.008,92.084,92.657,93.306,93.173,92.836,92.609,93.111,93.332,93.428,93.196,93.264
"18","10","S4 PN4422ZZMG       Home furnishings stores","T070103",96.971,96.734,96.688,97.296,97.781,97.764,97.627,97.207,97.056,96.523,97.641,96.367,96.374,96.824,97.21,98.173,97.32,97.582,98.511,98.892,98.007,98.115,97.857,98.036,99.169,98.574,97.234,97.554,99.48,99.189,99.739,99.214,99.254,98.741,98.587,97.119,97.834,98.594,98.85,98.75,99.108,98.518,98.965,100.029,100.329,100.518,99.135,99.729,100.739,100.099,99.742,99.419,99.429,98.704,98.516,99.334,100.009,100.226,99.18,99.342,99.982,101.116,100.89,100.686,100.584,100.76,100.926,99.725,99.426,99.206,99.075,100.426,100.352,100.357,100.73,101.822,101.498,100.947,101.348,101.241,101.587,101.615,101.355,101.262,101.063,100.414,100.28,101.184,100.508,100.471,100.707,100.322,100.461,100.219,99.329,98.683,98.858,99.265,100.001,101.004,99.971,99.719,100.208,99.872,100.207,100.051,100.414,100.43,100.623,100.451,100.117,100.607,99.975,99.52,99.875,99.935,99.806,99.658,100.125,99.72,99.562,98.694,98.699,99.221,99.156,99.167,99.149,99.309,99.532,99.093,98.783,97.92,97.906,97.163,96.247,97.074,95.412,95.638,95.785,94.69,94.211,94.53,94.383,93.894,94.473,94.369,94.033,94.031,93.723,93.608,92.999,92.656,92.863,94.834,94.749,94.011,94.395,94.829,95.098,94.64,94.626,94.23,94.036,93.977,93.73,93.494,94.117,94.209,93.753,93.428,93.032,92.639,92.49,92.513,92.578,93.051
"19","11","S1 PN443ZZZMG     Electronics and appliance stores","T070113",214.464,214.728,213.11,212.082,212.483,209.771,209.928,209.826,208.625,208.478,207.443,206.262,205.795,205.688,203.671,203.81,203.716,201.956,201.749,200.89,200.857,199.961,199.362,198.589,198.68,198.916,198.847,198.349,198.076,197.739,197.349,196.84,197.079,195.464,193.664,193.883,193.427,191.834,190.618,190.511,189.996,186.834,186.067,184.243,182.837,181.026,179.68,179.314,178.086,175.59,173.999,171.496,169.782,168.364,167.061,165.994,164.579,163.686,161.403,158.576,156.297,155.731,153.933,151.371,149.154,148.193,146.655,144.408,143.355,141.819,140.719,139.669,137.855,135.389,134.416,133.518,131.245,129.545,127.392,124.596,123.073,122.049,119.963,118.529,117.335,115.987,114.529,113.644,112.573,111.643,110.634,109.195,108.106,106.948,105.989,105.789,105.049,103.728,102.856,101.553,102.159,100.908,99.729,98.657,97.937,96.92,95.771,94.735,92.981,91.743,90.004,89.125,87.57,86.54,86.04,84.32,83.125,82.528,81.882,81.117,80.155,78.917,77.763,77.34,77.197,76.401,75.63,75.014,73.768,73.068,71.911,71.233,70.573,69.665,69.258,68.532,67.1,66.09,65.351,64.185,63.474,63.473,63.243,62.792,62.517,62.27,61.715,61.48,61.016,60.347,59.703,59.313,58.93,58.374,57.356,56.643,56.628,55.9,55.638,55.365,55.09,54.422,53.808,52.967,52.623,52.146,51.474,50.904,50.458,50.25,50.009,49.374,48.6,47.845,47.462,47.253
"20","12","S1 PN444ZZZMG   Building material and garden equipment and supplies dealers","T070123",87.283,88.788,89.83,90.324,90.237,89.755,89.511,89.474,89.95,89.872,90.201,91.371,92.692,94.787,96.943,97.885,97.398,96.155,95.733,95.545,96.061,97.066,97.895,98.542,99.427,98.811,99.568,98.665,98.339,98.795,98.489,98.433,98.794,98.9,99.298,99.26,99.417,99.16,99.649,99.711,99.86,99.335,99.376,99.678,99.939,99.515,98.989,98.79,98.584,98.689,98.829,98.751,99.779,99.838,99.559,100.296,101.103,100.42,101.17,101.429,101.577,102.185,102.639,102.69,102.908,102.479,102.61,102.327,102.061,101.504,101.508,101.244,101.594,101.776,101.804,101.602,100.823,100.044,100.174,100.486,99.723,98.917,98.826,99.08,99.245,99.782,100.175,100.113,100.635,101.539,102.631,102.161,101.021,100.188,100.256,100.669,100.809,100.766,101.408,101.039,100.224,100.179,99.871,99.186,99.144,99.165,99.199,99.01,98.766,99.195,99.325,99.224,100.643,100.912,100.038,100.109,99.802,98.794,98.377,98.094,98.32,98.837,99.505,99.773,99.373,99.191,99.147,99.234,98.877,98.456,98.512,98.325,98.325,98.74,98.594,98.61,98.605,98.751,99.482,99.731,101.323,101.384,101.452,101.344,101.772,103.448,104.76,105.775,106.674,105.786,105.414,106.788,107.004,106.041,104.945,105.302,106.122,107.209,107.604,107.67,106.973,107.689,107.392,106.943,107.9,108.314,107.378,107.604,108.281,108.797,108.846,108.892,109.034,108.143,107.907,107.242
"21","13","S2 PN4441ZZMG     Building material and supplies dealers","T070133",86.429,88.178,89.34,89.859,89.832,89.231,88.979,88.968,89.555,89.526,89.915,91.193,92.796,95.284,97.808,98.914,98.465,97.056,96.56,96.328,96.863,97.92,98.81,99.457,100.511,99.746,100.572,99.489,98.946,99.441,99.074,98.974,99.329,99.375,99.855,99.794,99.938,99.568,100.063,100.128,100.188,99.578,99.599,99.906,100.163,99.709,99.032,98.836,98.598,98.625,98.711,98.555,99.777,99.936,99.597,100.443,101.318,100.601,101.437,101.621,101.916,102.64,103.115,103.164,103.46,103.023,103.176,102.883,102.582,101.864,101.876,101.567,101.714,101.926,102.037,101.784,100.969,100.102,100.205,100.575,99.739,98.826,98.714,99.051,99.257,99.84,100.296,100.171,100.761,101.797,103.135,102.574,101.293,100.335,100.521,100.924,101.119,101.037,101.639,101.177,100.23,100.164,99.814,99.051,98.991,99.008,99.001,98.769,98.364,98.686,98.842,98.713,100.322,100.622,99.69,99.788,99.524,98.382,97.911,97.618,97.906,98.479,99.253,99.56,99.076,98.865,98.801,98.937,98.508,97.999,98.026,97.847,97.782,98.231,97.968,97.997,98.027,98.188,98.982,99.219,100.994,101.083,101.139,100.973,101.381,103.196,104.55,105.629,106.609,105.633,105.209,106.719,106.893,105.668,104.429,104.83,105.669,106.901,107.309,107.346,106.542,107.31,106.904,106.365,107.269,107.704,106.727,106.962,107.679,108.277,108.337,108.32,108.425,107.427,107.153,106.421
"22","14","S3 PN4442ZZMG     Lawn and garden equipment and supplies stores","T070143",91.774,91.873,92.245,92.608,92.179,92.403,92.23,92.052,91.867,91.501,91.489,92.026,91.671,91.374,91.311,91.316,90.633,90.386,90.408,90.487,90.901,91.601,92.061,92.698,92.569,92.819,93.17,93.335,94.294,94.51,94.594,94.825,95.232,95.734,95.579,95.698,95.951,96.452,96.899,96.935,97.669,97.7,97.86,98.128,98.409,98.176,98.607,98.391,98.4,99.007,99.499,99.924,99.686,99.095,99.2,99.262,99.644,99.173,99.382,100.115,99.353,99.236,99.561,99.629,99.359,98.985,98.986,98.769,98.717,99.13,99.093,99.101,100.692,100.7,100.215,100.33,99.777,99.568,99.901,99.821,99.555,99.456,99.512,99.232,99.141,99.367,99.327,99.712,99.759,99.747,99.146,99.291,99.123,99.156,98.405,98.881,98.641,98.84,99.742,100.005,100.173,100.274,100.279,100.156,100.247,100.285,100.621,100.735,101.635,102.813,102.766,102.853,102.982,103.027,102.566,102.433,101.772,101.839,101.855,101.671,101.364,101.409,101.212,101.177,101.455,101.51,101.615,101.316,101.537,101.842,102.132,101.885,102.426,102.561,103.367,103.277,102.993,103.021,103.241,103.596,103.641,103.452,103.617,104.01,104.604,105.082,106.024,106.461,106.628,106.54,106.622,106.784,107.372,108.687,108.844,108.83,109.476,109.276,109.543,109.858,110.141,110.378,111.081,111.456,112.887,113.096,112.534,112.69,113.012,112.755,112.703,113.336,113.812,113.919,114.024,113.952
"23","15","S1 PN445ZZZMG   Food and beverage stores","T070153",84.077,84.353,84.509,84.486,84.371,84.658,84.673,85.118,85.263,85.176,85.11,85.191,85.333,85.536,85.542,85.661,86.183,86.019,85.99,85.949,85.823,86.19,86.416,86.578,86.595,86.469,86.437,86.579,86.757,87.074,87.41,87.603,87.706,87.596,87.657,88.024,88.012,88.307,88.286,88.837,88.848,88.916,89.076,89.199,89.442,89.622,89.718,89.852,90.099,90.342,90.699,90.998,91.04,91.381,91.695,91.946,92.178,92.562,92.706,92.712,92.616,92.952,92.96,93.039,93.116,93.137,93.3,93.401,93.544,93.675,93.812,93.765,94.17,94.211,94.251,94.449,94.729,94.731,94.957,95.15,95.25,95.599,95.658,96.164,96.73,96.737,96.574,96.901,97.055,97.121,97.347,97.441,97.967,98.042,98.191,98.321,98.459,98.769,99.118,99.368,99.771,99.86,100.405,100.58,100.797,100.714,100.904,101.255,101.539,101.913,102.087,102.415,102.613,102.95,103.475,103.549,103.822,103.942,104.135,103.87,104.177,104.553,104.554,105.18,104.556,104.691,104.888,104.898,105.109,104.839,105.137,105.251,105.17,105.708,105.881,105.87,105.796,106.281,106.334,106.724,106.853,107.079,107.323,107.952,107.879,108.189,108.551,108.739,109.46,109.583,109.674,109.737,109.568,110.156,110.279,110.232,110.195,110.219,110.473,111.351,111.353,111.208,111.554,111.658,112.058,112.193,112.242,112.331,112.861,112.86,113.035,113.183,113.391,113.698,113.879,114.131
"24","16","S1 PN4451ZZMG     Grocery stores","T070163",83.956,84.232,84.382,84.363,84.222,84.521,84.539,85,85.137,85.037,84.971,85.053,85.19,85.396,85.413,85.539,86.101,85.923,85.894,85.858,85.728,86.121,86.347,86.516,86.527,86.398,86.366,86.518,86.706,87.033,87.379,87.597,87.709,87.599,87.652,88.041,88.037,88.345,88.316,88.88,88.887,88.959,89.138,89.242,89.496,89.683,89.779,89.934,90.161,90.406,90.759,91.071,91.106,91.443,91.763,92.018,92.252,92.645,92.791,92.782,92.668,93.009,93.017,93.087,93.155,93.175,93.342,93.43,93.581,93.707,93.861,93.8,94.225,94.272,94.324,94.509,94.798,94.795,95.037,95.23,95.313,95.668,95.725,96.218,96.799,96.785,96.627,96.947,97.103,97.173,97.384,97.476,97.994,98.074,98.214,98.318,98.452,98.765,99.095,99.344,99.782,99.852,100.41,100.591,100.814,100.72,100.904,101.271,101.555,101.941,102.119,102.446,102.646,102.993,103.52,103.6,103.862,103.987,104.178,103.913,104.217,104.585,104.608,105.248,104.577,104.7,104.901,104.896,105.123,104.823,105.144,105.26,105.166,105.737,105.904,105.894,105.797,106.303,106.355,106.761,106.888,107.124,107.367,108.013,107.921,108.278,108.64,108.796,109.578,109.693,109.795,109.852,109.648,110.269,110.379,110.335,110.288,110.298,110.562,111.489,111.493,111.344,111.714,111.804,112.212,112.363,112.415,112.517,113.03,112.997,113.192,113.359,113.57,113.872,114.088,114.374
"25","17","S3 PN4452ZZMG     Specialty food stores","T070173",84.789,85.115,85.297,85.197,84.962,85.355,85.241,85.838,86.039,85.874,85.724,85.776,85.869,86.05,86.091,86.231,86.898,86.71,86.673,86.803,86.773,87.196,87.439,87.624,87.656,87.502,87.412,87.581,87.809,88.181,88.637,88.891,89.018,88.813,88.884,89.352,89.299,89.673,89.619,90.311,90.247,90.312,90.476,90.514,90.832,90.999,91.012,91.204,91.399,91.671,92.091,92.457,92.439,92.931,93.245,93.56,93.859,94.298,94.467,94.502,94.379,94.702,94.567,94.648,94.73,94.858,94.997,95.149,95.266,95.341,95.464,95.434,95.931,95.791,95.931,96,96.225,96.23,96.408,96.645,96.533,96.995,97.123,97.099,97.492,97.518,97.43,97.586,97.813,97.768,97.805,97.923,98.229,98.378,98.53,98.622,98.671,98.975,99.197,99.242,99.867,99.903,100.391,100.582,100.659,100.651,100.641,101.221,101.415,101.895,102.098,102.208,102.517,102.824,103.22,103.507,103.502,103.923,103.938,103.75,104.067,104.268,104.479,104.807,104.124,104.062,104.26,104.105,104.346,104.14,104.554,104.641,104.471,105.177,105.353,105.39,105.404,106.061,105.973,106.476,106.567,106.959,107.296,108.027,107.756,108.114,108.441,108.605,109.523,109.648,109.78,109.811,109.439,110.151,110.286,110.184,110.098,109.972,110.275,111.398,111.322,111.12,111.39,111.331,111.587,111.765,111.99,112.087,112.578,112.41,112.482,112.473,112.598,112.934,113.112,113.427
"26","18","S2 PN4453ZZMG     Beer, wine, liquor stores","T070183",85.682,85.938,86.167,86.123,86.473,86.521,86.559,86.668,86.918,87.063,87.057,87.136,87.376,87.542,87.362,87.365,87.191,87.267,87.231,87.019,86.905,86.838,87.054,87.09,87.199,87.133,87.128,87.101,87.103,87.243,87.36,87.139,87.102,87.031,87.198,87.179,87.061,87.126,87.248,87.525,87.634,87.64,87.502,87.964,87.992,88.075,88.223,88.021,88.587,88.79,89.176,89.24,89.427,89.753,89.982,90.124,90.297,90.526,90.62,90.839,91.013,91.275,91.368,91.568,91.773,91.759,91.869,92.148,92.179,92.397,92.314,92.451,92.533,92.574,92.399,92.832,93.02,93.086,93.107,93.288,93.725,93.932,93.987,94.939,95.374,95.671,95.398,95.902,95.995,96.069,96.598,96.709,97.446,97.428,97.689,98.209,98.449,98.71,99.385,99.747,99.566,99.942,100.324,100.42,100.613,100.644,101.017,101.03,101.374,101.537,101.642,102.087,102.195,102.42,102.986,102.859,103.44,103.335,103.643,103.344,103.689,104.258,103.854,104.434,104.48,104.878,105.03,105.334,105.301,105.429,105.336,105.421,105.575,105.552,105.809,105.775,105.964,106.076,106.213,106.319,106.491,106.504,106.711,107.06,107.342,106.99,107.37,108.008,107.796,108.032,107.942,108.11,108.515,108.601,108.871,108.819,108.937,109.231,109.329,109.432,109.443,109.382,109.453,109.841,110.221,110.122,110.023,109.955,110.715,111.211,111.196,111.204,111.425,111.778,111.526,111.332
"27","19","S1 PN448ZZZMG   Clothing and clothing accessories stores","T070193",111.963,111.632,111.619,110.986,111.746,111.792,112.135,111.812,111.634,111.85,111.975,112.214,111.837,112.117,111.552,111.858,111.298,110.891,110.897,111.79,111.397,110.94,111.499,111.187,110.454,110.05,110.628,110.39,110.754,110.986,110.75,109.996,109.955,109.283,109.261,108.815,108.72,107.707,107.933,108.121,107.512,107.361,107.409,107.611,107.476,107.513,107.237,107.324,107.258,106.606,107.091,106.503,106.486,105.823,105.596,104.105,105.05,105.054,105.318,105.179,105.526,105.41,105.346,105.922,106.316,106.066,105.852,104.882,105.09,104.786,104.756,104.887,104.619,103.843,103.331,103.117,103.458,103.233,103.296,104.418,103.06,102.883,103.033,102.188,101.755,101.299,100.963,101.976,102.019,101.918,101.603,101.317,101.446,101.647,101.385,101.335,100.746,100.497,100.454,100.321,99.984,99.594,99.386,99.342,99.984,100.002,99.894,99.794,100.128,100.019,100.17,99.183,98.372,98.665,98.444,97.715,97.204,97.485,97.016,96.749,96.486,96.307,96.994,96.759,96.324,95.765,95.158,95.819,95.534,95.165,95.067,94.78,94.267,94.04,93.368,93.171,92.866,93.213,93.44,93.267,93.196,93.305,93.006,92.626,92.76,92.646,93.097,93.262,93.585,93.662,93.363,92.809,92.491,92.88,92.95,92.584,92.607,92.411,92.892,92.248,92.29,91.705,91.263,91.855,91.839,91.442,91.619,91.354,91.478,90.486,91.309,91.895,92.144,92.2,91.228,92.077
"28","20","S2 PN4481ZZMG     Clothing stores","T070203",112.043,111.155,111.228,110.668,111.433,111.38,111.528,111.15,111.178,111.367,111.548,111.667,111.02,111.961,111.578,111.393,110.605,110.18,110.316,111.619,110.657,110.138,110.928,110.757,109.845,108.98,109.378,109.517,109.811,110.131,109.825,108.758,108.94,108.444,108.112,107.597,107.342,106.199,106.354,106.484,106.385,105.671,105.935,105.85,105.653,105.987,105.672,105.636,105.883,105.196,105.414,105.105,105.072,104.265,103.982,102.56,103.497,103.488,103.969,104.216,104.585,104.402,104.21,105.371,105.852,105.5,105.128,104.001,104.344,103.842,104.126,104.133,103.793,102.919,102.6,102.304,102.747,102.676,102.818,104.219,102.52,102.403,102.502,101.727,101.311,100.76,100.554,101.545,101.671,101.793,101.211,101.059,101.375,101.75,101.352,101.505,100.753,100.377,100.373,100.024,99.899,99.666,99.608,99.587,100.082,100.201,99.82,99.61,99.732,99.895,99.904,99.034,98.067,98.144,97.716,96.917,96.93,96.804,96.424,96.007,95.759,95.945,96.318,96.129,95.636,95.038,94.569,95.401,94.836,94.405,94.417,94.117,93.46,93.28,92.781,92.555,92.247,92.438,92.574,92.451,92.501,92.712,92.343,92.098,92.042,91.915,92.38,92.433,92.707,92.786,92.497,91.945,91.604,92.246,92.23,91.304,91.625,91.293,91.983,91.351,91.255,90.624,89.913,90.367,90.034,89.813,90.238,89.936,89.702,88.729,89.94,90.382,90.353,90.405,89.182,90.151
