"","Table 3#4# Personal Current Tax Receipts                        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 29, 2005     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 7/28/2006 8:47:05 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
"8","1","    Personal current taxes \1\","W055RC1",1.7,1.6,1,0.7,0.8,0.9,1.1,1.3,1.9,1.9,1.5,1.7,2.3,4.9,16.7,17.7,19.4,17.2,19.8,19.2,16.7,18.9,27.1,32,33.2,30.2,32.9,36.6,38.9,38.5,42.3,46.1,47.3,51.6,54.6,52.1,57.7,66.4,73,87,104.5,103.1,101.7,123.6,132.4,151,147.6,172.3,197.5,229.4,268.7,298.9,345.2,354.1,352.3,377.4,417.4,437.3,489.1,505,566.1,592.8,586.7,610.6,646.6,690.7,744.1,832.1,926.3,1027,1107.5,1235.7,1237.3,1051.8
"9","2","Federal","A074RC1",1.2,1,0.5,0.3,0.4,0.5,0.6,0.7,1.3,1.2,0.9,1,1.6,4.2,16,16.9,18.6,16.4,18.8,18.1,15.4,17.4,25.4,30.2,31.3,28.1,30.5,33.9,36,35.5,38.5,41.8,42.7,46.5,49.1,46,51.1,58.6,64.4,76.4,91.7,88.9,85.8,102.8,109.6,126.5,120.7,141.2,162.2,188.9,224.6,250,290.6,295,286.2,301.4,336,350.1,392.5,402.9,451.5,470.2,461.3,475.3,505.5,542.7,586,663.4,744.3,825.8,893,999.1,994.5,830.5
"10","3","  Income taxes","B231RC1",1.2,1,0.5,0.3,0.4,0.4,0.6,0.7,1.3,1.2,0.9,1,1.6,4,15.9,16.8,18.5,16.4,18.8,18.1,15.4,17.4,25.4,30.2,31.3,28.1,30.5,33.9,36,35.5,38.5,41.8,42.7,46.5,49.1,46,51.1,58.6,64.4,76.4,91.7,88.9,85.8,102.8,109.6,126.5,120.7,141.2,162.2,188.9,224.6,250,290.6,295,286.2,301.4,336,350.1,392.5,402.9,451.5,470.2,461.3,475.3,505.5,542.7,586,663.4,744.3,825.8,893,999.1,994.5,830.5
"11","4","    Withheld","PTN0181",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.3,11.1,10.6,9.9,11.7,16.8,20.5,22.7,20.4,22.7,25.4,27.3,27.8,30.6,32.8,34.3,37,40.3,36.5,39,46.1,53.3,63.7,74.6,76.2,76,91.3,104.5,118.9,120.2,132.5,149.2,173,202.4,229.8,261.1,264.5,265.8,284.1,304.3,318.6,326.5,346.6,371.8,397.1,400.9,409,434.8,466.1,501.6,549,595.5,649.1,717.8,782.8,802.8,734.8
"12","5","    Declarations and settlements","PTN1001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7,9.3,9.2,7.8,7.4,10.4,11.8,11.2,10.5,10.8,11.7,12.2,11.5,11.9,13.4,13.1,14.6,14.4,15.4,17,18.5,19,22.2,27.4,26,24.3,25.8,27.3,31.7,34.9,36.3,42.5,48.1,56.2,63.9,77.2,85.6,81.3,82.2,98.4,103.6,138.9,128.6,149.9,146.6,140.7,146.1,146.3,153.7,170.3,203.8,242.6,276.7,300.4,350.3,340.6,277.2
"13","6","    Less: Refunds","PTN2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,1.7,1.8,2.4,1.7,1.8,2.1,2.6,2.9,3.1,3.2,3.5,3.9,4.1,4.3,4.8,5.1,5.6,5.9,4.9,5.9,8,9.5,10.2,13.4,14.5,14.3,22.2,24,34.4,27.5,29.5,32.1,33.9,43.7,47.7,55.2,60.8,64.8,66.7,72.1,72.9,72.3,70.2,73.5,80.2,79.8,75.6,77.1,85.9,89.3,93.8,100,125.2,134.1,148.8,181.5
"14","7","  Other taxes \2\","B035RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","8","State and local","W071RC1",0.6,0.5,0.5,0.4,0.4,0.4,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.8,0.9,1,1.1,1.4,1.5,1.7,1.8,1.9,2.1,2.4,2.7,2.9,3.1,3.8,4.2,4.6,5,5.4,6.1,6.6,7.8,8.6,10.6,12.8,14.2,15.9,20.9,22.8,24.5,26.9,31.1,35.4,40.5,44,48.9,54.6,59.1,66.1,76,81.4,87.2,96.6,102.1,114.6,122.6,125.3,135.3,141.1,148,158.1,168.7,182,201.2,214.5,236.6,242.7,221.3
"16","9","  Income taxes","B245RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.7,0.8,0.9,1,1,1.1,1.3,1.6,1.7,1.8,2.2,2.5,2.8,3.2,3.4,4,4.4,5.4,6.1,7.8,9.8,10.9,12.4,17.2,18.9,20.4,22.5,26.3,30.4,35,38.2,42.6,47.9,51.9,58.3,67.5,72.1,77.4,86,90.6,102.3,109.6,111.7,120.4,126.2,132.2,141.7,152.3,164.7,183,195.5,217.3,223.1,200.8
"17","10","  Motor vehicle licenses","S210301",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.7,0.8,0.9,1,1,1,1.1,1.1,1.2,1.4,1.4,1.6,1.9,2.1,2.2,2.4,2.6,2.7,2.8,3.1,3.3,3.6,3.7,4,4.2,4.6,4.9,5.3,5.9,6.3,6.8,7.3,7.8,8.1,8.4,9.2,8.9,9.2,9.7,9.3,9.9,10.4,10.8,11.4,11.3,11.9
