"","Table 6#2D# Compensation of Employees by Industry","F2","F3","F4","F5","F6","F7","F8"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2002",NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA
"4","Data published July 29, 2005     ",NA,NA,NA,NA,NA,NA,NA
"5","File created 7/28/2006 9:12:52 AM",NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002
"8","1","      Compensation of employees","A033RC0",5019383,5357103,5782665,5942085,6091188
"9","2","Domestic industries","A4002C0",5023946,5362316,5787257,5947248,6096629
"10","3","  Private industries","A4003C0",4107706,4407009,4776446,4882424,4957597
"11","4","    Agriculture, forestry, fishing, and hunting","N4004C0",31214,32960,34641,36087,36445
"12","5","      Farms \1\","N4005C0",18212,18906,19719,20878,20792
"13","6","      Forestry, fishing, and related activities","N4006C0",13002,14054,14922,15210,15654
"14","7","    Mining","N4007C0",34606,33444,35981,38836,37736
"15","8","      Oil and gas extraction","N4008C0",12198,12285,13418,14129,14209
"16","9","      Mining, except oil and gas","N4009C0",13371,13214,13078,13385,12961
"17","10","      Support activities for mining","N4010C0",9037,7946,9484,11322,10566
"18","11","    Utilities","N4011C0",41181,42629,46341,48412,51215
"19","12","    Construction","N4012C0",254268,282763,309187,327586,332734
"20","13","    Manufacturing","N4013C0",825331,854192,918856,876811,874315
"21","14","      Durable goods","N4014C0",546233,570351,621216,584238,570836
"22","15","        Wood products","N4015C0",20305,21432,22172,21348,21471
"23","16","        Nonmetallic mineral products","N4016C0",22599,23795,25788,25672,25482
"24","17","        Primary metals","N4017C0",33039,33566,34800,32239,29624
"25","18","        Fabricated metal products","N4018C0",73454,75003,80339,77349,75035
"26","19","        Machinery","N4019C0",75414,75553,80456,75361,71127
"27","20","        Computer and electronic products","N4020C0",118733,129058,155540,137317,122375
"28","21","        Electrical equipment, appliances, and components","N4021C0",26436,27889,30633,28610,27612
"29","22","        Motor vehicles, bodies and trailers, and parts","N4022C0",76775,81656,84980,79420,88639
"30","23","        Other transportation equipment","N4023C0",47455,47424,47411,48355,50800
"31","24","        Furniture and related products","N4024C0",20595,21924,23788,22902,22450
"32","25","        Miscellaneous manufacturing","N4025C0",31429,33052,35310,35664,36221
"33","26","      Nondurable goods","N4026C0",279098,283842,297641,292572,303478
"34","27","        Food and beverage and tobacco products","N4027C0",64903,66674,71355,73118,78627
"35","28","        Textile mills and textile product mills","N4029C0",20007,19775,20268,18610,17620
"36","29","        Apparel and leather and allied products","N4030C0",17936,16690,16262,14781,13314
"37","30","        Paper products","N4032C0",31015,31697,32589,32023,32862
"38","31","        Printing and related support activities","N4033C0",33067,33885,35303,34196,32724
"39","32","        Petroleum and coal products","N4034C0",9937,9600,9648,9938,11649
"40","33","        Chemical products","N4035C0",65155,67579,72096,71604,78162
"41","34","        Plastics and rubber products","N4036C0",37077,37943,40119,38304,38520
