"","Table 6#20D# Net Corporate Dividend Payments by Industry        ","F2","F3","F4","F5","F6","F7","F8"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2002",NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA
"4","Data published July 29, 2005     ",NA,NA,NA,NA,NA,NA,NA
"5","File created 7/28/2006 9:19:04 AM",NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002
"8","1","      Net corporate dividends","B056RC0",351623,337368,377941,370918,399186
"9","2","Domestic industries","A3302C0",309162,295671,348444,330056,351334
"10","3","  Agriculture, forestry, fishing, and hunting","N3303C0",2241,2818,2703,2959,2848
"11","4","    Farms \1\","N3304C0",1446,1941,1821,1946,1997
"12","5","    Forestry, fishing, and related activities","N3305C0",795,877,882,1013,851
"13","6","  Mining","N3306C0",4242,2402,4381,4308,3017
"14","7","    Oil and gas extraction","N3307C0",1866,1195,2618,3250,2497
"15","8","    Mining, except oil and gas","N3308C0",1092,972,1599,831,652
"16","9","    Support activities for mining","N3309C0",1284,235,164,227,-132
"17","10","  Utilities","N3310C0",13886,13107,12476,10569,10843
"18","11","  Construction","N3311C0",14584,17555,20190,21167,23423
"19","12","  Manufacturing","N3312C0",82805,65860,74833,71010,78751
"20","13","    Durable goods","N3313C0",30767,25679,29438,27320,26077
"21","14","      Wood products","N3314C0",1467,2980,3098,1331,1278
"22","15","      Nonmetallic mineral products","N3315C0",1042,1028,888,926,967
"23","16","      Primary metals","N3316C0",740,1328,827,801,772
"24","17","      Fabricated metal products","N3317C0",5956,6138,5828,4919,4815
"25","18","      Machinery","N3318C0",10,3386,2484,2716,2452
"26","19","      Computer and electronic products","N3319C0",-766,-5098,-4939,-771,-4075
"27","20","      Electrical equipment, appliances, and components","N3320C0",5704,6621,8953,8085,9148
"28","21","      Motor vehicles, bodies and trailers, and parts","N3321C0",10497,3770,6205,3621,3699
"29","22","      Other transportation equipment","N3322C0",1562,1223,1258,1176,2365
"30","23","      Furniture and related products","N3323C0",668,838,800,757,1077
"31","24","      Miscellaneous manufacturing","N3324C0",3887,3465,4036,3759,3579
"32","25","    Nondurable goods","N3325C0",52038,40181,45395,43690,52674
"33","26","      Food and beverage and tobacco products","N3326C0",16172,6842,10587,11421,15116
"34","27","      Textile mills and textile product mills","N3327C0",1017,547,556,417,519
"35","28","      Apparel and leather and allied products","N3328C0",1162,1184,1097,1279,2216
"36","29","      Paper products","N3329C0",3360,2898,3429,3425,2826
"37","30","      Printing and related support activities","N3330C0",1825,1994,1696,1476,1490
"38","31","      Petroleum and coal products","N3331C0",6628,7230,6813,5554,12312
"39","32","      Chemical products","N3332C0",19888,16722,18887,18481,16659
"40","33","      Plastics and rubber products","N3333C0",1986,2764,2330,1637,1536
"41","34","  Wholesale trade","N3334C0",22047,19183,23693,24555,22376
