"","Table 5#4#4B# Price Indexes for Private Fixed Investment in Stru","F2","F3","F4","F5","F6","F7","F8","F9"
"1","[Index numbers, 2000=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2002",NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 29, 2005     ",NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 7/28/2006 9:07:17 AM",NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1998,1999,2000,2001,2002
"8","1","    Private fixed investment in structures","B349RG3",89.518,92.654,95.932,100,104.995,108.41
"9","2","Nonresidential","B009RG3",89.381,93.474,96.257,100,105.403,110.03
"10","3","  Commercial and health care","W001RG3",87.945,92.046,96.052,100,103.567,106.346
"11","4","    Office \1\","W031RG3",86.964,91.408,95.927,100,103.018,105.48
"12","5","    Health care","W032RG3",88.574,91.828,95.736,100,104.456,106.387
"13","6","      Hospitals and special care","C311RG3",88.604,91.828,95.736,100,104.456,106.387
"14","7","        Hospitals","W033RG3",88.604,91.828,95.736,100,104.456,106.387
"15","8","        Special care","W034RG3",88.604,91.828,95.736,100,104.456,106.387
"16","9","      Medical buildings","W035RG3",88.471,91.828,95.736,100,104.456,106.387
"17","10","    Multimerchandise shopping","W036RG3",88.584,92.751,96.298,100,103.811,107.273
"18","11","    Food and beverage establishments","W037RG3",88.563,92.751,96.298,100,103.811,107.273
"19","12","    Warehouses","W038RG3",88.586,92.751,96.298,100,103.811,107.273
"20","13","    Other commercial \2\","W039RG3",88.69,92.799,96.33,100,103.776,107.206
"21","14","  Manufacturing","B307RG3",89.04,92.681,96.396,100,103.502,106.635
"22","15","  Power and communication","W003RG3",95.511,96.574,96.926,100,102.893,105.224
"23","16","    Power","W028RG3",92.814,94.573,96.081,100,102.827,105.599
"24","17","      Electric","B571RG3",93.292,95.17,96.176,100,103.08,106.057
"25","18","      Other power","W029RG3",91.879,93.431,95.815,100,101.882,103.961
"26","19","    Communication","B314RG3",99.4,99.36,98.041,100,102.992,104.616
