"","Table 5#7#6B# Real Private Inventories and Real Domestic Final S","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"1","[Billions of chained (2000) dollars]; Seasonally adjusted quarterly totals                                                                ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1996 To 2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 28, 2006     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 7/28/2006 9:10:14 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2
"9","1","    Private inventories \1\","A371RX1",NA,NA,NA,1251.6,1260.2,1283.8,1301.9,1322.7,1351.9,1364.5,1380.6,1395.3,1415.2,1425.6,1438.3,1464.2,1470.9,1495.7,1509.8,1520.7,1518.7,1518.1,1510.6,1488.9,1486.4,1487,1494,1501.4,1507.5,1506.8,1509.5,1515.7,1524.7,1543.4,1556,1569.1,1582.8,1581,1577.8,1588.7,1599,1612.1
"10","2","Farm","B372RX1",NA,NA,NA,126.4,124.1,125.8,127.9,129.3,130.7,130.2,130.7,130.7,130.9,131.2,128.3,127.8,124.2,125.7,125,126.4,127.8,127.5,127.7,126.5,126.7,124.4,124.1,124,125.2,125.3,125,124.4,125.4,129.9,131.3,130.5,130.7,129.2,129.5,130.7,131.8,132.9
"11","3","Mining, utilities, and construction","N238RX1",NA,NA,NA,33.6,33.7,35.1,36.3,36.1,37.8,39.6,40.9,43.3,44,44.2,43.6,42.7,43.7,43,43.1,41.1,43.1,46.5,49.1,51.7,51.8,50.1,49.2,48.1,48.4,49.5,50.9,53.4,52,52,53.1,54,54.4,55.7,55.4,55.3,54.8,56.4
"12","4","Manufacturing","N376RX1",NA,NA,NA,409.9,413.6,419.4,424.8,430.7,439.1,443.9,446.7,449.3,452.7,454.8,458.8,466.3,465.6,470.6,471.5,474.2,472,466.1,458.9,452.8,449.1,446.3,447.1,447,446.4,442.7,438.5,437.5,437,438,436.6,437.1,440.9,437.7,434.6,434.7,436.6,437.7
"13","5","  Durable goods industries","N377RX1",NA,NA,NA,248.3,250.8,254.9,258.7,262,269.3,274.1,277.3,279.9,282,282,284.3,288.4,287.1,290.8,291.7,295.7,294.6,290.5,283.8,277.5,273.1,270.2,269.2,270.7,269.6,265.6,262.2,264.2,263.1,263.4,263.2,264,266.8,265.3,265.5,265.2,265.1,267
"14","6","  Nondurable goods industries","N378RX1",NA,NA,NA,161.9,163.1,164.8,166.4,169,170,169.8,169.4,169.4,170.6,172.7,174.4,177.8,178.5,179.8,179.8,178.5,177.4,175.5,175.1,175.3,176,176,177.9,176.3,176.8,176.9,176.1,173.3,173.8,174.4,173.3,173,174.1,172.3,169.4,169.8,171.5,170.9
"15","7","Wholesale trade","N379RX1",NA,NA,NA,273.3,278.8,287,291,298.3,305.5,308.1,315.6,320.9,325.9,328.1,334.1,340.6,345.4,351.6,355.3,358.2,358.4,359.1,354.6,347.5,343.6,343.6,346.7,348.8,348.3,346.7,347.2,349.6,351.6,355.4,362.9,367.8,373.3,377.7,380.2,383.5,387.3,392.6
"16","8","  Durable goods industries","N380RX1",NA,NA,NA,164.3,168.1,174.9,176.7,180.6,186.7,187.9,193,197.3,200.5,203,205.9,210.6,213.8,219.6,221,222.6,222.6,218.3,213,206.3,202.2,201.6,204.7,205.9,206.7,205.4,203.8,207.2,210.2,214.2,220.7,223.6,227.5,230.7,232.6,237.1,238.7,243.4
"17","9","  Nondurable goods industries","N381RX1",NA,NA,NA,109.3,111.1,112.3,114.5,118,119,120.4,122.9,123.6,125.4,125.1,128.2,129.9,131.6,132.1,134.2,135.6,135.8,140.7,141.4,140.9,141.1,141.7,141.8,142.6,141.4,141.1,143.1,142.2,141.4,141.3,142.5,144.5,146.2,147.3,148,147.2,149.2,150
"18","10","Retail trade","N382RX1",NA,NA,NA,325.9,325.4,330.8,335.6,340.6,350.4,353.2,355.7,357.9,366.3,369.5,373.7,385.5,387.6,396.7,402.4,407.1,402.9,404.3,405.7,396.3,401.6,408.7,413.4,420.6,426.5,428.9,433.7,436.4,442.9,450.6,452.4,458.4,462.2,459.3,457,463.6,466.8,468.7
