"","Table 5#6#6B# Change in Real Private Inventories by Industry, Ch","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","[Billions of chained (2005) dollars]                                                                                                                                                                                                                      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 29, 2012   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/28/2012 2:52:42 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"8","1","    Change in private inventories","A014RX1",77.4,71.6,68.5,60.2,-41.8,12.8,17.3,66.3,50,59.4,27.7,-36.3,-139,50.9,31
"9","2","Farm","B018RX1",3.7,1.6,-3.7,-1.8,0.1,-3.1,0.1,7.9,0.1,-3.7,-0.8,1,-1.4,-6.2,-3.8
"10","3","Mining, utilities, and construction","N541RX1",2.5,9,-2,-2.8,10.8,-4.1,7.2,1.5,3.7,16.9,0,-8.5,-6.3,1.4,1.1
"11","4","Manufacturing","N150RX1",24.4,17.6,16.2,8.1,-26.2,-5.3,-8.4,5.9,21,17,15.4,-14.1,-25.6,17.1,18.9
"12","5","  Durable goods industries","N624RX1",15.3,17.4,7.2,7.1,-20.8,-5.8,-5.3,4,16.6,11.7,11.1,-3.6,-22.9,15.4,21.2
"13","6","  Nondurable goods industries","N625RX1",8.9,-1.1,9.4,0.7,-4.7,0.8,-3.1,1.9,4.5,5.4,4.4,-10.1,-3.1,2.2,-0.9
"14","7","Wholesale trade","N658RX1",26.9,23.7,21.1,20.7,-13.6,-0.1,-0.4,20.5,18.1,13.4,4.5,8.9,-55.6,25.6,18
"15","8","  Durable goods industries","N661RX1",16.8,17.2,14.6,14,-17.7,0.4,0.8,18.1,13.4,9.1,0.8,8.2,-46.6,14.7,19.3
"16","9","  Nondurable goods industries","N664RX1",9.8,5.6,6,6.3,5.2,-0.5,-1.3,2.2,4.8,4.3,3.5,1.1,-10.3,10.9,0.6
"17","10","Retail trade","N153RX1",14.2,15.2,25.8,20.6,-10.6,23.7,17.3,23.7,4.6,10.8,4.2,-26.5,-46.8,15.1,-4.3
"18","11","  Motor vehicle and parts dealers","N631RX1",5.1,1.9,12.3,11.7,-8.9,17.2,12.9,7.6,-2.8,-0.4,2.8,-12.2,-32.6,9.8,-6.5
"19","12","  Food and beverage stores","N542RX1",0.4,1.1,1.8,-0.6,0.5,0.2,-1.3,0.4,-0.1,0.9,1,-0.4,-0.3,0.4,0.9
"20","13","  General merchandise stores","N543RX1",0.2,0.4,2.8,1.1,0.2,1.5,1,4.5,2.2,1.6,-0.2,-3.1,-3,1.1,1.1
"21","14","  Other retail stores","N558RX1",8.3,11.9,8.6,8,-1.9,4.2,4.4,11.1,5.3,8.5,0.6,-11.2,-12.3,4.2,-0.3
"22","15","Other industries","N154RX1",5.7,5.8,7.5,12.7,-0.2,-1,1.6,6.3,2.3,4.6,4.3,1.6,-3.7,-1.9,1
"23","16","Residual","N969RX1",0.7,0.8,4,3.8,-4.4,3,0.3,0.8,0,0.5,0.2,0.9,3.5,-1.1,-2.7
"24",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","17","  Change in private inventories","A014RX1",77.4,71.6,68.5,60.2,-41.8,12.8,17.3,66.3,50,59.4,27.7,-36.3,-139,50.9,31
"26","18","    Durable goods industries","N355RX1",40.2,40.6,39.5,37.7,-46.4,18.1,13.5,38.1,35.2,25.2,10.8,-21.1,-110.7,38.8,33.2
"27","19","    Nondurable goods industries","N357RX1",36.1,29.5,27.7,21.4,7.3,-6.4,3.6,28.1,14.7,34.1,16.9,-15.5,-30.9,13.6,0.6
"28","20","  Nonfarm industries","B015RX1",73.6,69.5,70.8,61.2,-41.5,15.6,17.2,58.3,49.8,63.2,28.7,-37.6,-137.9,58,36.5
"29","21","  Wholesale trade","N658RX1",26.9,23.7,21.1,20.7,-13.6,-0.1,-0.4,20.5,18.1,13.4,4.5,8.9,-55.6,25.6,18
"30","22","    Merchant wholesale trade","N151RX1",23.9,21.3,18,16.1,-8.8,0.6,0,18.4,14.3,14.7,5.8,2.8,-41.4,17.2,13.9
"31","23","      Durable goods industries","N626RX1",15,15.4,13,10.9,-14.1,-0.2,0.9,17.1,11,10.2,1.1,6.4,-41.5,11.5,15.4
"32","24","      Nondurable goods industries","N627RX1",8.8,5.4,4.7,5.1,6.2,0.9,-0.9,1.2,3.4,4.6,4.5,-3.1,-1.5,5.8,-0.1
"33","25","    Nonmerchant wholesale trade","N152RX1",3,2.3,3.1,4.7,-5,-0.7,-0.4,2,3.8,-1.4,-1.3,6.2,-14.2,8.5,4.2
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Note.  Estimates in this table are based on the North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Chained (2005) dollar series for real change in private inventories are calculated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
