"","Table 7#4#4# Price Indexes for Housing Sector Output, Gross Valu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 02, 2012   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/28/2012 2:56:31 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"8","1","Housing output \1\","A2007G3",19.162,19.982,20.91,21.664,22.585,23.43,24.947,26.579,28.819,30.796,33.173,36.22,39.91,43.194,45.791,48.176,51.051,54.074,56.532,59.069,61.522,64.415,66.449,68.269,70.13,72.101,74.329,76.582,78.73,81.222,83.474,86.061,89.456,93.044,95.384,97.607,100,103.599,107.267,110.235,112.175,112.241,113.77
"9","2","  Nonfarm housing","A2008G3",19.009,19.802,20.712,21.438,22.368,23.207,24.753,26.402,28.651,30.62,33.002,36.068,39.792,43.155,45.787,48.202,51.129,54.211,56.699,59.215,61.651,64.535,66.547,68.341,70.129,72.029,74.245,76.493,78.705,81.217,83.469,86.057,89.454,93.04,95.381,97.605,100,103.491,107.179,110.136,112.082,112.106,113.532
"10","3","    Owner-occupied","DOWNRG3",19.039,19.832,20.746,21.474,22.401,23.246,24.792,26.442,28.697,30.671,33.058,36.129,39.855,43.243,45.862,48.216,51.051,54.085,56.586,59.175,61.638,64.595,66.474,68.264,70.09,72.063,74.448,76.811,79.049,81.61,83.834,86.328,89.639,93.285,95.563,97.74,100,103.473,106.976,109.678,111.462,111.448,112.741
"11","4","    Tenant-occupied","DTENRG3",18.882,19.675,20.571,21.29,22.225,23.047,24.589,26.232,28.46,30.408,32.773,35.816,39.53,42.815,45.475,48.052,51.218,54.415,56.863,59.18,61.539,64.216,66.589,68.388,70.065,71.745,73.453,75.352,77.479,79.835,82.171,85.065,88.746,92.125,94.689,97.085,100,103.562,107.955,111.85,114.376,114.527,116.412
"12","5","  Farm housing","DFARRG3",27.409,29.339,31.124,33.116,33.728,34.885,35.018,35.871,37.681,40.083,42.187,44.134,45.743,44.312,44.723,45.157,44.586,43.549,43.964,47.95,51.618,55.163,58.912,62.766,70.504,78.489,81.732,84.399,80.904,81.601,83.846,86.338,89.621,93.281,95.572,97.756,100,111.192,113.34,117.24,118.537,122.237,132.533
"13","6","Less: Intermediate goods and services consumed","B1027G3",18.019,18.878,19.667,20.483,21.473,22.386,23.863,25.576,28.004,31.087,34.413,37.984,41.871,44.048,46.112,48.616,50.501,53.193,55.241,57.139,58.822,60.378,63.115,63.965,65.166,67.087,68.861,70.613,73.549,75.031,78.521,83.074,84.936,88.095,89.976,95.892,100,106.223,112.378,111.229,112.176,120.046,119.921
"14","7","Equals: Gross housing value added","A2009G3",19.543,20.362,21.325,22.072,22.986,23.822,25.357,26.981,29.19,30.91,33.068,36.009,39.674,43.178,45.877,48.247,51.316,54.412,56.96,59.634,62.254,65.433,67.332,69.346,71.343,73.331,75.656,78.015,80.012,82.724,84.718,86.918,90.64,94.33,96.794,98.047,100,102.932,106.024,109.784,111.899,110.507,112.339
"15","8","          Nonfarm housing","B499RG3",19.383,20.173,21.116,21.833,22.756,23.585,25.154,26.797,29.016,30.722,32.881,35.841,39.544,43.138,45.876,48.278,51.404,54.563,57.142,59.797,62.402,65.576,67.449,69.438,71.36,73.271,75.585,77.941,80.004,82.74,84.731,86.927,90.655,94.345,96.811,98.052,100,102.805,105.91,109.667,111.793,110.338,112.068
