"","Table 6#14D# Inventory Valuation Adjustment to Nonfarm Incomes b","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 02, 2012   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/28/2012 2:54:28 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"8","1","      Inventory valuation adjustment to nonfarm incomes","A1830C0",17024,-4839,-18539,9028,-2958,-12804,-38483,-34764,-41666,-54204,-50759,4129,-44487,-71450
"9","2","Corporate business","B058RC0",15743,-3954,-16809,8044,-2566,-11283,-34255,-30699,-38033,-47235,-44456,3154,-38659,-62566
"10","3","  Mining","N1831C0",131,-173,-159,-156,-128,-158,-542,-855,-398,-669,-850,-241,-423,-999
"11","4","  Utilities","N530RC0",104,-170,-424,473,-261,-82,-380,-753,679,-199,-280,299,-151,-248
"12","5","  Construction","N1832C0",55,-173,68,43,-189,-455,-1494,-794,-723,-475,-1895,789,-403,-611
"13","6","  Manufacturing","N672RC0",7707,-163,-9979,2787,-713,-5606,-19344,-13032,-22220,-19077,-21812,5648,-15246,-27625
"14","7","    Durable goods","N674RC0",5170,326,-4024,2089,1473,-193,-11510,-4303,-13376,-5490,-11953,5673,-7379,-10715
"15","8","    Nondurable goods","N673RC0",2537,-489,-5955,698,-2186,-5413,-7834,-8729,-8844,-13587,-9859,-25,-7867,-16910
"16","9","  Wholesale trade","N526RC0",6417,-738,-3376,2884,-2599,-4822,-6037,-8541,-10355,-15823,-10209,-478,-13967,-19743
"17","10","  Retail trade","N527RC0",759,-2159,-2231,1751,904,-84,-5876,-5105,-3290,-8527,-7528,-2660,-7113,-10962
"18","11","  Transportation and warehousing","N676RC0",160,-418,-251,318,-253,-118,-291,-463,-13,-705,1122,-558,-333,-372
"19","12","  Information","N529RC0",141,343,183,286,771,598,421,-71,-352,-294,-684,28,-72,-225
"20","13","  Other \1\","N1833C0",269,-303,-640,-342,-98,-556,-712,-1085,-1361,-1466,-2320,327,-951,-1781
"21","14","Noncorporate business","B179RC0",1281,-885,-1730,984,-392,-1521,-4228,-4065,-3633,-6969,-6303,975,-5828,-8884
"22","15","  Mining","N1834C0",20,-80,-86,32,-89,-63,-214,-189,-79,-176,-104,-117,-86,-263
"23","16","  Construction","N1835C0",32,-82,31,20,-90,-211,-687,-376,-345,-290,-1167,552,-290,-438
"24","17","  Manufacturing","N1836C0",421,-173,-805,159,-134,-719,-1581,-1175,-1405,-2158,-2362,1143,-1726,-2439
"25","18","    Durable goods","N1837C0",171,-37,-232,99,42,-163,-848,-383,-798,-487,-984,416,-651,-797
"26","19","    Nondurable goods","N1838C0",250,-136,-573,60,-176,-556,-733,-792,-607,-1671,-1378,727,-1075,-1642
"27","20","  Wholesale trade","N1839C0",424,-79,-238,197,-226,-474,-555,-840,-996,-2048,-1193,-86,-1935,-2684
"28","21","  Retail trade","N1840C0",215,-331,-361,418,119,58,-898,-796,-501,-1222,-1085,-360,-1029,-1808
"29","22","  Other \2\","N1841C0",169,-140,-271,158,28,-112,-293,-689,-307,-1075,-392,-157,-762,-1252
"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
