"","Table 6#16D# Corporate Profits by Industry                      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"1","[Billions of dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 2001 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 29, 2012   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/28/2012 2:54:38 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2
"9","1","    Corporate profits with inventory valuation and capital consumption adjustments","A051RC1",782.8,812.3,765,776.6,830.3,852,869.8,936.7,917.5,950.1,992.7,1050.9,1187.2,1226.9,1292.2,1281.4,1408.2,1429,1454.7,1532.5,1590.9,1597.7,1655.1,1589.6,1515.5,1565.3,1501,1460.8,1360,1333.7,1328.6,971.2,1198.4,1243.3,1403.2,1524.5,1648,1625.4,1747.5,1788.8,1723.3,1800.9,1830.5,1953.1,1900.1,1910.5
"10","2","Domestic industries","A445RC1",622.7,641.3,618.4,575.5,671.6,706,713.2,766.4,768.3,791.1,829.6,859.1,974,1029.6,1077,1087,1174,1195.7,1201.7,1295.2,1344,1342.4,1404.1,1315.4,1227.5,1252.8,1127.1,1031.6,941.9,915,889.2,621.1,850.2,921.8,1040.1,1146.1,1259.3,1217.1,1343.1,1384,1302.7,1364.7,1382.7,1502.2,1497.2,1488.3
"11","3","  Financial \1\","N587RC1",232.9,243.4,244.7,256.6,281.9,287.4,285.1,294.1,314.2,319.8,332.6,337.1,352.9,355,364.4,385.1,425.5,390.2,440.6,419.7,442,447.5,416.5,404.4,345.1,358.9,343.8,247.5,217.4,183.2,38.3,-91.9,217.9,325.9,395.8,376.2,370.7,327.7,385.4,451.1,391.3,338.3,353.2,441.2,428.9,389.7
"12","4","  Nonfinancial","N463RC1",389.8,397.8,373.7,318.8,389.7,418.6,428.1,472.3,454.2,471.4,497,522,621.2,674.6,712.6,701.8,748.5,805.5,761.1,875.4,902,894.9,987.6,911.1,882.4,893.9,783.3,784.2,724.5,731.8,850.9,713,632.3,595.9,644.4,769.9,888.6,889.4,957.6,932.9,911.3,1026.4,1029.6,1061,1068.3,1098.7
"13","5","Rest of the world","B394RC1",160.1,171,146.6,201.2,158.7,145.9,156.6,170.3,149.1,158.9,163.1,191.8,213.2,197.3,215.2,194.4,234.2,233.3,252.9,237.4,246.9,255.3,251,274.1,288,312.5,373.9,429.1,418.1,418.7,439.4,350.1,348.3,321.5,363.1,378.3,388.8,408.3,404.4,404.8,420.6,436.3,447.8,450.9,402.9,422.1
"14","6","  Receipts from the rest of the world","B933RC1",191.2,186.3,176.1,176.8,191.7,202.3,217.2,206.4,229.4,236.2,250.1,281,314.7,323.1,332.7,342.1,373.3,374.6,384.3,404.1,410.6,436,441.2,450,465.8,498.7,528.4,549.5,599.5,619,600.7,508.3,459,461.1,499.8,554.9,558.5,572.9,593.4,612.9,626.9,658.5,650.2,645.2,631.5,637.7
"15","7","  Less: Payments to the rest of the world","B934RC1",31.1,15.3,29.5,-24.4,32.9,56.4,60.7,36.1,80.2,77.3,87,89.2,101.5,125.9,117.5,147.7,139.1,141.3,131.3,166.8,163.6,180.7,190.2,175.9,177.8,186.2,154.6,120.3,181.4,200.3,161.3,158.2,110.7,139.6,136.7,176.6,169.8,164.6,189,208.1,206.3,222.3,202.4,194.2,228.6,215.5
"16","8","    Corporate profits with inventory valuation adjustment","A052RC1",730.2,762.6,708,682.2,713.3,737.7,761.8,838.4,837.9,853.5,903.1,974.3,1120.5,1171.3,1246,1242.8,1542.9,1573.5,1613,1708.5,1781.9,1771.4,1822.8,1762.7,1688.3,1748.7,1686,1641.5,1412.3,1397,1403.1,1049.6,1306.6,1342.9,1499.3,1625.7,1758,1741,1824.6,1787,1679.4,1764.6,1798.8,1923.5,2100.8,2112.4
"17","9","Domestic industries","A390RC1",570.1,591.6,561.5,481,554.5,591.8,605.2,668.1,688.8,694.5,740,782.4,907.3,974,1030.8,1048.4,1308.7,1340.2,1360,1471.1,1535,1516.1,1571.8,1488.6,1400.3,1436.2,1312.2,1212.4,994.1,978.3,963.7,699.5,958.4,1021.4,1136.2,1247.4,1369.3,1332.7,1420.2,1382.2,1258.8,1328.4,1351,1472.5,1697.9,1690.3
"18","10","  Financial","N392RC1",219.2,228.9,228.4,235.4,258.2,264.4,263.6,274.6,298.5,303.5,318.8,326.6,346.3,351.7,364,387.4,448,414.5,466.1,445.8,466.5,467.8,434.8,422.8,364,379.9,366.3,271.8,240.6,217.1,79.4,-48.3,265,372.1,440.5,421.5,416,372.9,425.8,482.4,417.6,365.6,380.8,469.1,481.2,442.2
"19","11","    Federal Reserve banks","B397RC1",31.7,29.8,28.1,25.8,24.3,24.3,23.3,22.2,21.7,20.8,19.5,18.3,19.1,19.1,20.1,21.9,22.9,25.5,26.8,31,31,33.6,35.8,34.9,36,36.6,36.2,35.2,34.3,29.9,33.4,42.7,27.1,43.3,54.2,64.7,71.6,74,71.4,69.2,72.1,79.8,76.6,75.2,74.5,74.2
"20","12","    Other financial \2\","N398RC1",187.5,199.1,200.3,209.6,233.9,240.1,240.2,252.4,276.8,282.7,299.2,308.3,327.2,332.6,343.9,365.4,425.1,388.9,439.3,414.7,435.5,434.2,399,387.8,328,343.3,330.1,236.6,206.3,187.2,46,-91,238,328.8,386.3,356.8,344.3,298.9,354.4,413.2,345.4,285.8,304.1,393.9,406.6,368
"21","13","  Nonfinancial","N399RC1",350.9,362.8,333.1,245.6,296.3,327.4,341.7,393.5,390.3,391,421.2,455.8,561.1,622.4,666.8,661,860.7,925.8,893.9,1025.4,1068.5,1048.3,1137,1065.8,1036.3,1056.3,945.8,940.6,753.5,761.1,884.3,747.8,693.3,649.3,695.7,825.9,953.3,959.8,994.4,899.8,841.2,962.8,970.2,1003.4,1216.8,1248.1
"22","14","    Utilities","N419RC1",28,29.7,26.4,16.9,8.6,12.1,14.2,14.2,12.9,11.2,11.8,13.8,16.1,18.7,19.3,23.7,28,29.4,22.6,39.1,45.2,53.1,60.8,58.4,54.7,50.6,57.3,38.6,16.5,-13,86.3,33.1,22.6,24.9,9.8,35,43.2,11.1,31.7,25.5,8.9,36.5,10.2,15.1,38.3,NA
"23","15","    Manufacturing","N400RC1",81.6,81.5,48.1,-12.2,32.7,46.4,51.9,59.7,60.3,49.1,66.9,101.4,131.7,148.1,161.3,175.3,242.8,234.8,246.5,264.9,294.4,302.3,336.4,285,289.5,303.2,229.8,262.7,205.6,174.4,220.6,181.3,111.6,114.5,136.4,161.5,210.5,235.2,252.1,236.2,215.5,229.2,248.9,285.9,363.5,NA
