"","Table 6#1D# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","[Millions of dollars]                                                           ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published April 26, 2013    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/30/2013 10:22:32 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"19","1","      National income without capital consumption adjustment","A422RC1","7,767,106.0","8,231,037.0","8,817,910.0","9,042,924.0","9,206,148.0","9,650,299.0","10,373,937.0","11,353,903.0","12,126,858.0","12,499,989.0","12,532,144.0","12,099,708.0","12,740,426.0","13,135,082.0","13,930,196.0"
"20","2","Domestic industries","A423RC1","7,749,789.0","8,203,235.0","8,780,165.0","8,991,015.0","9,157,038.0","9,581,609.0","10,282,728.0","11,256,755.0","12,054,442.0","12,376,718.0","12,362,980.0","11,956,162.0","12,531,121.0","12,883,200.0","13,687,196.0"
"21","3","  Private industries","A736RC1","6,829,774.0","7,236,560.0","7,762,367.0","7,920,251.0","8,015,005.0","8,364,349.0","9,006,941.0","9,921,418.0","10,655,919.0","10,908,133.0","10,819,747.0","10,362,823.0","10,897,871.0","11,239,360.0","12,030,858.0"
"22","4","    Agriculture, forestry, fishing, and hunting","N5004C1","74,606.0","69,355.0","71,373.0","72,595.0","67,573.0","83,333.0","104,121.0","92,782.0","91,931.0","110,548.0","120,730.0","110,884.0","118,975.0","131,590.0","135,791.0"
"23","5","    Mining","N5005C1","72,420.0","68,433.0","92,466.0","99,336.0","81,208.0","103,268.0","124,985.0","163,113.0","198,849.0","204,476.0","251,779.0","148,216.0","177,082.0","202,753.0","209,833.0"
"24","6","    Utilities","N5006C1","128,872.0","135,581.0","136,168.0","140,011.0","134,447.0","136,800.0","149,137.0","161,264.0","196,462.0","198,356.0","183,220.0","174,748.0","184,360.0","180,421.0","213,152.0"
"25","7","    Construction","N5007C1","385,269.0","433,498.0","477,978.0","509,311.0","514,248.0","534,767.0","583,316.0","657,025.0","701,807.0","685,838.0","629,018.0","547,591.0","539,403.0","552,046.0","590,526.0"
"26","8","    Manufacturing","N5008C1","1,097,442.0","1,137,109.0","1,194,602.0","1,072,126.0","1,038,091.0","1,074,418.0","1,171,639.0","1,304,792.0","1,400,877.0","1,409,107.0","1,333,035.0","1,168,565.0","1,296,805.0","1,371,975.0","1,545,482.0"
"27","9","      Durable goods","N5009C1","669,177.0","689,036.0","723,751.0","606,038.0","595,827.0","613,850.0","659,607.0","744,002.0","791,347.0","800,935.0","750,070.0","631,935.0","722,259.0","768,779.0","886,529.0"
"28","10","      Nondurable goods","N5010C1","428,267.0","448,073.0","470,851.0","466,088.0","442,264.0","460,568.0","512,032.0","560,790.0","609,531.0","608,173.0","582,966.0","536,629.0","574,546.0","603,197.0","658,953.0"
"29","11","    Wholesale trade","N5011C1","513,481.0","532,770.0","570,834.0","563,588.0","561,928.0","582,349.0","634,315.0","688,364.0","741,205.0","769,141.0","754,771.0","701,131.0","733,483.0","771,770.0","845,149.0"
"30","12","    Retail trade","N5012C1","613,565.0","641,695.0","674,106.0","699,629.0","723,220.0","759,791.0","789,218.0","859,619.0","903,825.0","902,135.0","836,968.0","838,489.0","876,189.0","893,303.0","957,405.0"
"31","13","    Transportation and warehousing","N5013C1","249,719.0","257,560.0","272,668.0","266,471.0","262,649.0","275,921.0","301,320.0","332,911.0","360,748.0","360,972.0","362,641.0","340,786.0","371,669.0","387,386.0","415,590.0"
"32","14","    Information","N5014C1","270,000.0","294,606.0","295,975.0","296,910.0","299,720.0","309,788.0","357,595.0","408,061.0","424,494.0","452,563.0","439,172.0","417,617.0","425,440.0","441,036.0","495,208.0"
"33","15","    Finance, insurance, real estate, rental, and leasing","N5015C1","1,357,915.0","1,422,920.0","1,539,333.0","1,655,330.0","1,643,612.0","1,682,137.0","1,785,161.0","1,998,487.0","2,140,831.0","2,160,263.0","2,130,483.0","2,158,842.0","2,178,360.0","2,175,739.0","2,305,347.0"
"34","16","    Professional and business services \1\","N5016C1","924,378.0","1,014,581.0","1,120,651.0","1,171,285.0","1,212,479.0","1,272,818.0","1,349,225.0","1,490,310.0","1,623,186.0","1,684,870.0","1,752,642.0","1,683,191.0","1,823,923.0","1,889,513.0","1,989,769.0"
"35","17","    Educational services, health care, and social assistance","N5017C1","607,535.0","647,938.0","692,167.0","752,962.0","817,376.0","873,466.0","937,670.0","993,518.0","1,059,360.0","1,114,795.0","1,189,417.0","1,251,551.0","1,307,964.0","1,343,478.0","1,384,991.0"
"36","18","    Arts, entertainment, recreation, accommodation, and food services","N5018C1","288,799.0","317,552.0","339,436.0","349,249.0","362,789.0","377,020.0","406,113.0","434,842.0","460,642.0","490,254.0","475,575.0","459,143.0","487,065.0","508,853.0","541,305.0"
"37","19","    Other services, except government","N5019C1","245,691.0","262,869.0","284,506.0","271,440.0","295,657.0","298,468.0","313,136.0","336,338.0","351,713.0","364,815.0","360,287.0","362,072.0","377,152.0","389,499.0","401,322.0"
"38","20","  Government","B436RC1","920,015.0","966,675.0","1,017,798.0","1,070,764.0","1,142,033.0","1,217,260.0","1,275,787.0","1,335,337.0","1,398,523.0","1,468,585.0","1,543,233.0","1,593,339.0","1,633,250.0","1,643,840.0","1,656,338.0"
"39","21","Rest of the world","A192RC1","17,317.0","27,802.0","37,745.0","51,909.0","49,110.0","68,690.0","91,209.0","97,148.0","72,416.0","123,271.0","169,164.0","143,546.0","209,305.0","251,882.0","243,000.0"
"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","1. Consists of professional, scientific, and technical services; management of companies and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","enterprises; and administrative and waste management services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Note. Estimates in this table are based on the 2002 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
