"","Table 5#8#5B# Gross Government Fixed Investment by Type         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","[Millions of dollars]                                                           ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 02, 2012   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/30/2013 10:22:16 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"19","1","      Gross government fixed investment \1\","A782RC1","252,363.0","262,853.0","287,360.0","304,326.0","322,035.0","343,471.0","355,787.0","372,370.0","392,015.0","425,055.0","456,460.0","497,171.0","506,930.0","505,526.0","480,202.0"
"20","2","        Federal","A787RC1","73,428.0","76,419.0","81,624.0","80,068.0","81,533.0","90,147.0","96,222.0","103,263.0","110,462.0","120,688.0","127,427.0","148,366.0","156,631.0","167,323.0","160,528.0"
"21","3","          National defense","A788RC1","45,329.0","45,753.0","48,176.0","49,208.0","50,939.0","57,043.0","62,758.0","69,576.0","74,210.0","80,973.0","86,930.0","104,535.0","111,544.0","115,266.0","108,694.0"
"22","4","          Nondefense","A798RC1","28,099.0","30,666.0","33,448.0","30,860.0","30,594.0","33,104.0","33,464.0","33,687.0","36,252.0","39,715.0","40,497.0","43,831.0","45,087.0","52,057.0","51,834.0"
"23","5","        State and local","A799RC1","178,935.0","186,434.0","205,736.0","224,258.0","240,502.0","253,324.0","259,565.0","269,107.0","281,553.0","304,367.0","329,033.0","348,805.0","350,299.0","338,203.0","319,674.0"
"24","6","Structures \2\","A760RC1","155,556.0","160,157.0","175,790.0","189,648.0","205,797.0","221,638.0","229,385.0","236,449.0","246,477.0","267,473.0","289,508.0","310,008.0","316,897.0","309,289.0","285,978.0"
"25","7","  Federal","A801RC1","16,026.0","16,595.0","16,112.0","13,673.0","13,474.0","15,794.0","17,634.0","16,210.0","15,719.0","17,561.0","21,153.0","25,049.0","29,193.0","33,316.0","29,630.0"
"26","8","    National defense","A808RC1","6,117.0","5,834.0","5,386.0","5,396.0","5,333.0","5,848.0","7,314.0","7,145.0","7,452.0","8,056.0","10,059.0","13,662.0","17,050.0","16,682.0","13,522.0"
"27","9","      New","A814RC1","6,121.0","5,838.0","5,390.0","5,400.0","5,337.0","5,852.0","7,318.0","7,149.0","7,456.0","8,060.0","10,063.0","13,666.0","17,054.0","16,686.0","13,526.0"
"28","10","        Residential","B816RC1","1,439.0","1,323.0","1,202.0","1,079.0","1,190.0","1,229.0","1,442.0","1,332.0","1,590.0","1,466.0","1,702.0","1,799.0","1,235.0","1,578.0","1,409.0"
"29","11","        Industrial","B817RC1","457.0","247.0","235.0","279.0","408.0","315.0","822.0","625.0","627.0","595.0","399.0","588.0","693.0","714.0","914.0"
"30","12","        Military facilities \3\","B818RC1","4,225.0","4,268.0","3,953.0","4,042.0","3,739.0","4,308.0","5,054.0","5,192.0","5,239.0","5,999.0","7,962.0","11,279.0","15,126.0","14,394.0","11,203.0"
"31","13","      Net purchases of used structures","B819RC1","-4.0","-4.0","-4.0","-4.0","-4.0","-4.0","-4.0","-4.0","-4.0","-4.0","-4.0","-4.0","-4.0","-4.0","-4.0"
"32","14","    Nondefense","A830RC1","9,909.0","10,761.0","10,726.0","8,277.0","8,141.0","9,946.0","10,320.0","9,065.0","8,267.0","9,505.0","11,094.0","11,387.0","12,143.0","16,634.0","16,108.0"
"33","15","      New","A831RC1","10,200.0","9,910.0","9,841.0","9,506.0","9,220.0","9,912.0","10,412.0","11,101.0","10,606.0","10,341.0","11,054.0","10,322.0","11,824.0","14,591.0","16,614.0"
"34","16","        Residential","ZZZZZZ1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"35","17","        Office","W182RC1","1,852.0","1,853.0","1,754.0","1,578.0","1,473.0","1,419.0","1,819.0","2,498.0","2,022.0","1,806.0","2,045.0","1,400.0","1,240.0","1,698.0","2,625.0"
"36","18","        Commercial","W183RC1","671.0","785.0","850.0","753.0","659.0","468.0","595.0","1,362.0","1,198.0","1,185.0","1,158.0","892.0","751.0","651.0","1,036.0"
"37","19","        Health care","W184RC1","1,346.0","1,018.0","852.0","774.0","723.0","875.0","667.0","659.0","759.0","746.0","1,014.0","944.0","1,763.0","2,127.0","2,596.0"
"38","20","        Educational","W185RC1","356.0","306.0","277.0","366.0","536.0","752.0","756.0","753.0","259.0","289.0","383.0","389.0","433.0","379.0","432.0"
"39","21","        Public safety","W186RC1","2,042.0","2,043.0","1,907.0","1,661.0","1,201.0","1,340.0","799.0","460.0","299.0","247.0","519.0","533.0","453.0","448.0","726.0"
"40","22","        Amusement and recreation","W187RC1","624.0","627.0","641.0","610.0","446.0","389.0","604.0","257.0","207.0","143.0","188.0","228.0","250.0","640.0","480.0"
"41","23","        Transportation","W188RC1","377.0","368.0","388.0","383.0","408.0","605.0","303.0","400.0","186.0","181.0","290.0","302.0","318.0","288.0","372.0"
"42","24","        Power","W189RC1","66.0","61.0","57.0","71.0","202.0","306.0","1,189.0","904.0","795.0","771.0","441.0","776.0","928.0","947.0","1,267.0"
"43","25","        Highways and streets","W190RC1","492.0","459.0","440.0","575.0","546.0","567.0","532.0","725.0","582.0","492.0","680.0","598.0","569.0","875.0","532.0"
"44","26","        Conservation and development","W191RC1","1,748.0","1,785.0","2,031.0","2,046.0","2,280.0","2,506.0","2,335.0","2,376.0","2,666.0","3,142.0","3,059.0","3,094.0","3,907.0","5,323.0","5,188.0"
"45","27","        Other \4\","W192RC1","626.0","605.0","644.0","689.0","746.0","685.0","813.0","707.0","1,633.0","1,339.0","1,277.0","1,166.0","1,212.0","1,215.0","1,360.0"
"46","28","      Net purchases of used structures","B841RC1","-291.0","851.0","885.0","-1,229.0","-1,079.0","34.0","-92.0","-2,036.0","-2,339.0","-836.0","40.0","1,065.0","319.0","2,043.0","-506.0"
"47","29","  State and local","A842RC1","139,530.0","143,562.0","159,678.0","175,975.0","192,323.0","205,844.0","211,751.0","220,239.0","230,758.0","249,912.0","268,355.0","284,959.0","287,704.0","275,973.0","256,348.0"
"48","30","    New","A843RC1","136,608.0","139,984.0","155,706.0","171,969.0","190,982.0","200,571.0","205,840.0","214,349.0","225,810.0","244,539.0","261,474.0","277,861.0","281,090.0","269,565.0","249,876.0"
"49","31","      Residential","W147RC1","4,336.0","4,340.0","4,603.0","4,246.0","5,005.0","5,320.0","5,466.0","5,994.0","6,091.0","4,471.0","4,848.0","4,862.0","5,808.0","7,672.0","6,300.0"
"50","32","      Office","W193RC1","11,018.0","12,108.0","13,580.0","15,413.0","17,586.0","19,327.0","19,220.0","20,317.0","20,659.0","18,030.0","19,408.0","20,378.0","21,345.0","20,500.0","18,235.0"
"51","33","      Commercial","W194RC1","166.0","247.0","255.0","245.0","309.0","324.0","278.0","317.0","388.0","379.0","439.0","507.0","501.0","323.0","211.0"
"52","34","      Health care","W195RC1","3,225.0","3,187.0","2,972.0","3,040.0","3,314.0","4,114.0","4,185.0","4,432.0","4,982.0","4,604.0","5,699.0","6,186.0","6,041.0","5,596.0","5,806.0"
"53","35","      Educational","W148RC1","33,758.0","35,015.0","41,117.0","45,713.0","51,289.0","54,571.0","56,791.0","59,838.0","63,487.0","71,757.0","76,691.0","82,125.0","81,867.0","70,819.0","66,319.0"
"54","36","      Public safety","W196RC1","3,945.0","4,177.0","4,466.0","4,609.0","4,600.0","4,316.0","3,900.0","4,042.0","4,014.0","3,836.0","4,705.0","4,776.0","4,716.0","3,715.0","3,423.0"
"55","37","      Amusement and recreation","W197RC1","4,614.0","4,704.0","5,049.0","6,194.0","6,883.0","6,975.0","6,269.0","6,464.0","6,963.0","6,197.0","7,375.0","7,759.0","7,666.0","6,984.0","6,268.0"
"56","38","      Transportation","W198RC1","10,257.0","10,107.0","11,446.0","15,129.0","16,188.0","17,526.0","18,289.0","18,422.0","17,623.0","14,442.0","16,414.0","18,904.0","20,767.0","20,954.0","19,950.0"
"57","39","      Power","W199RC1","3,090.0","2,442.0","3,196.0","3,888.0","3,941.0","4,220.0","6,521.0","5,691.0","6,294.0","7,947.0","11,052.0","10,383.0","11,145.0","10,238.0","7,984.0"
"58","40","      Highways and streets","W149RC1","43,016.0","44,783.0","49,174.0","53,062.0","59,125.0","58,285.0","57,837.0","60,225.0","65,200.0","73,033.0","73,834.0","78,175.0","79,472.0","80,034.0","76,784.0"
"59","41","      Sewer systems","W150RC1","9,453.0","8,787.0","9,008.0","8,865.0","10,280.0","11,653.0","12,471.0","13,667.0","14,624.0","20,233.0","20,152.0","22,244.0","21,461.0","22,215.0","19,655.0"
"60","42","      Water systems","W168RC1","7,555.0","7,834.0","8,483.0","8,492.0","9,776.0","11,100.0","11,349.0","11,970.0","12,595.0","16,601.0","16,346.0","17,610.0","17,069.0","17,252.0","15,203.0"
"61","43","      Conservation and development","W169RC1","1,868.0","1,891.0","2,189.0","2,772.0","2,496.0","2,210.0","2,227.0","2,530.0","2,579.0","2,496.0","3,315.0","3,449.0","3,137.0","2,797.0","2,893.0"
"62","44","      Other \5\","W200RC1","307.0","362.0","168.0","301.0","190.0","630.0","1,037.0","440.0","311.0","511.0","1,195.0","505.0","94.0","466.0","845.0"
"63","45","    Net purchases of used structures","B870RC1","2,922.0","3,578.0","3,972.0","4,006.0","1,341.0","5,273.0","5,911.0","5,890.0","4,948.0","5,373.0","6,881.0","7,098.0","6,614.0","6,408.0","6,472.0"
"64","46","Equipment and software \2\","A871RC1","96,807.0","102,696.0","111,570.0","114,678.0","116,238.0","121,833.0","126,402.0","135,921.0","145,538.0","157,582.0","166,952.0","187,163.0","190,033.0","196,236.0","194,225.0"
"65","47","  Federal","A872RC1","57,402.0","59,824.0","65,512.0","66,395.0","68,059.0","74,353.0","78,588.0","87,053.0","94,743.0","103,127.0","106,274.0","123,317.0","127,438.0","134,007.0","130,898.0"
"66","48","    National defense","A873RC1","39,212.0","39,919.0","42,790.0","43,812.0","45,606.0","51,195.0","55,444.0","62,431.0","66,758.0","72,917.0","76,871.0","90,873.0","94,494.0","98,584.0","95,172.0"
"67","49","      Aircraft","B874RC1","5,798.0","5,770.0","6,986.0","7,757.0","8,493.0","9,351.0","9,224.0","11,058.0","13,520.0","13,593.0","12,957.0","13,695.0","14,583.0","17,247.0","19,960.0"
"68","50","      Missiles","B875RC1","2,856.0","3,267.0","2,851.0","2,665.0","3,306.0","3,267.0","3,477.0","4,051.0","4,011.0","4,517.0","4,294.0","4,445.0","5,209.0","5,747.0","5,644.0"
