"","Table 5#2#6# Real Gross and Net Domestic Investment by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"19","1","      Gross domestic investment","W170RX1","671,823.0","627,174.0","667,682.0","723,016.0","796,838.0","754,103.0","647,505.0","752,318.0","841,064.0","936,782.0","970,854.0","884,771.0","945,911.0","832,582.0","907,708.0","1,147,310.0","1,163,362.0","1,175,633.0","1,217,595.0","1,239,518.0","1,289,158.0","1,269,223.0","1,187,825.0","1,265,577.0","1,345,852.0","1,490,041.0","1,534,700.0","1,657,228.0","1,836,971.0","2,002,352.0","2,174,495.0","2,311,376.0","2,187,589.0","2,182,229.0","2,261,226.0","2,453,211.0","2,564,297.0","2,636,674.0","2,571,482.0","2,373,657.0","1,901,779.0","2,095,138.0","2,144,829.0"
"20","2","      Less: Consumption of fixed capital","A262RX1","333,626.0","347,254.0","358,713.0","372,051.0","391,778.0","409,643.0","423,763.0","437,326.0","454,577.0","475,297.0","499,669.0","522,852.0","543,831.0","566,225.0","585,070.0","609,491.0","643,095.0","674,111.0","705,485.0","735,137.0","766,181.0","796,546.0","821,205.0","844,006.0","872,332.0","906,497.0","946,976.0","994,768.0","1,051,376.0","1,120,469.0","1,199,404.0","1,282,387.0","1,350,819.0","1,399,790.0","1,441,252.0","1,488,270.0","1,541,376.0","1,598,438.0","1,660,881.0","1,710,045.0","1,736,637.0","1,749,541.0","1,776,340.0"
"21","3","      Equals: Net domestic investment","W171RX1","342,703.0","283,990.0","309,599.0","349,560.0","403,396.0","344,018.0","224,620.0","314,774.0","384,491.0","459,211.0","469,840.0","363,502.0","401,740.0","268,265.0","324,474.0","537,780.0","522,632.0","505,680.0","516,863.0","508,122.0","526,748.0","479,213.0","375,008.0","428,273.0","477,184.0","584,087.0","588,670.0","663,059.0","785,002.0","880,698.0","974,097.0","1,027,901.0","836,813.0","782,992.0","820,488.0","965,050.0","1,022,921.0","1,038,221.0","910,115.0","660,154.0","154,931.0","340,051.0","368,164.0"
"22","4","Gross private domestic investment","A006RX1","506,641.0","473,354.0","527,325.0","589,771.0","658,878.0","610,344.0","502,236.0","603,691.0","694,901.0","778,676.0","803,504.0","715,246.0","779,554.0","670,340.0","732,780.0","948,675.0","939,849.0","933,451.0","962,207.0","984,854.0","1,024,365.0","989,877.0","909,350.0","983,053.0","1,070,916.0","1,216,435.0","1,254,334.0","1,365,298.0","1,535,190.0","1,688,886.0","1,837,572.0","1,963,109.0","1,825,223.0","1,800,376.0","1,870,127.0","2,058,214.0","2,172,282.0","2,231,844.0","2,159,499.0","1,939,758.0","1,458,124.0","1,658,037.0","1,743,991.0"
"23","5","Less: Consumption of fixed capital","B024RX1","241,433.0","253,580.0","264,922.0","278,614.0","298,129.0","315,099.0","327,694.0","339,353.0","354,631.0","373,162.0","394,769.0","414,673.0","432,306.0","451,070.0","465,715.0","484,524.0","510,885.0","534,044.0","557,620.0","580,139.0","604,085.0","627,083.0","645,142.0","662,342.0","685,982.0","716,527.0","753,678.0","797,634.0","850,016.0","913,862.0","986,246.0","1,062,676.0","1,125,496.0","1,168,884.0","1,204,494.0","1,244,369.0","1,290,810.0","1,341,012.0","1,395,560.0","1,437,106.0","1,454,908.0","1,459,370.0","1,479,385.0"
"24","6","Equals: Net private domestic investment","A557RX1","265,208.0","219,774.0","262,402.0","311,157.0","360,749.0","295,245.0","174,543.0","264,337.0","340,270.0","405,513.0","408,735.0","300,573.0","347,248.0","219,269.0","267,065.0","464,151.0","428,964.0","399,406.0","404,587.0","404,715.0","420,280.0","362,794.0","264,209.0","320,711.0","384,935.0","499,909.0","500,655.0","567,664.0","685,174.0","775,024.0","851,327.0","900,433.0","699,726.0","631,492.0","665,634.0","813,845.0","881,471.0","890,832.0","763,939.0","502,652.0","3,216.0","198,667.0","264,606.0"
"25","7","  Fixed investment","A007RX1","493,272.0","482,905.0","519,481.0","581,938.0","635,121.0","595,419.0","531,478.0","583,874.0","667,790.0","748,634.0","790,888.0","739,503.0","756,037.0","703,030.0","754,295.0","881,680.0","928,064.0","938,860.0","944,008.0","975,140.0","1,004,452.0","983,478.0","919,704.0","974,231.0","1,057,740.0","1,156,663.0","1,231,160.0","1,341,584.0","1,465,355.0","1,624,368.0","1,775,490.0","1,906,769.0","1,870,658.0","1,791,496.0","1,854,712.0","1,992,451.0","2,122,330.0","2,172,730.0","2,130,607.0","1,978,597.0","1,602,236.0","1,598,660.0","1,704,458.0"
"26","8","  Less: Consumption of fixed capital","B024RX1","241,433.0","253,580.0","264,922.0","278,614.0","298,129.0","315,099.0","327,694.0","339,353.0","354,631.0","373,162.0","394,769.0","414,673.0","432,306.0","451,070.0","465,715.0","484,524.0","510,885.0","534,044.0","557,620.0","580,139.0","604,085.0","627,083.0","645,142.0","662,342.0","685,982.0","716,527.0","753,678.0","797,634.0","850,016.0","913,862.0","986,246.0","1,062,676.0","1,125,496.0","1,168,884.0","1,204,494.0","1,244,369.0","1,290,810.0","1,341,012.0","1,395,560.0","1,437,106.0","1,454,908.0","1,459,370.0","1,479,385.0"
"27","9","  Equals: Net fixed investment","A560RX1","251,839.0","229,325.0","254,558.0","303,324.0","336,992.0","280,320.0","203,784.0","244,521.0","313,159.0","375,472.0","396,120.0","324,830.0","323,731.0","251,960.0","288,580.0","397,156.0","417,179.0","404,815.0","386,388.0","395,001.0","400,367.0","356,395.0","274,563.0","311,889.0","371,759.0","440,136.0","477,482.0","543,950.0","615,339.0","710,506.0","789,244.0","844,093.0","745,162.0","622,611.0","650,219.0","748,082.0","831,519.0","831,718.0","735,047.0","541,491.0","147,329.0","139,290.0","225,074.0"
"28","10","    Nonresidential","A008RX1","270,406.0","268,961.0","268,982.0","293,673.0","336,406.0","339,216.0","305,693.0","320,664.0","356,854.0","410,266.0","451,586.0","450,397.0","476,048.0","458,128.0","452,206.0","532,007.0","567,270.0","551,065.0","550,654.0","579,458.0","611,806.0","614,827.0","581,860.0","600,436.0","652,856.0","712,932.0","787,887.0","861,477.0","965,460.0","1,081,411.0","1,194,270.0","1,311,306.0","1,274,763.0","1,173,684.0","1,189,553.0","1,262,985.0","1,347,325.0","1,455,476.0","1,549,952.0","1,537,637.0","1,259,845.0","1,268,478.0","1,378,156.0"
"29","11","    Less: Consumption of fixed capital","A753RX1","173,192.0","182,448.0","190,817.0","200,858.0","215,932.0","229,084.0","238,815.0","247,711.0","259,431.0","273,753.0","290,802.0","306,692.0","320,962.0","336,590.0","348,392.0","363,400.0","385,014.0","403,498.0","422,170.0","439,934.0","459,186.0","477,898.0","492,489.0","506,368.0","525,821.0","551,320.0","582,847.0","620,681.0","666,429.0","723,031.0","787,742.0","856,515.0","912,474.0","949,581.0","978,714.0","1,011,622.0","1,051,128.0","1,094,506.0","1,143,125.0","1,180,770.0","1,196,385.0","1,199,450.0","1,218,143.0"
"30","12","    Equals: Net nonresidential","A593RX1","97,213.0","86,513.0","78,164.0","92,815.0","120,474.0","110,132.0","66,878.0","72,953.0","97,423.0","136,514.0","160,784.0","143,705.0","155,087.0","121,539.0","103,815.0","168,606.0","182,256.0","147,567.0","128,484.0","139,523.0","152,620.0","136,929.0","89,371.0","94,068.0","127,035.0","161,612.0","205,040.0","240,796.0","299,031.0","358,381.0","406,527.0","454,791.0","362,289.0","224,103.0","210,840.0","251,363.0","296,197.0","360,970.0","406,827.0","356,867.0","63,460.0","69,029.0","160,012.0"
"31","13","      Structures","B009RX1","260,635.0","261,354.0","257,069.0","265,077.0","286,750.0","280,540.0","250,996.0","257,037.0","267,610.0","306,231.0","345,065.0","365,250.0","394,532.0","388,072.0","346,141.0","394,406.0","422,439.0","376,149.0","365,327.0","367,721.0","375,027.0","380,551.0","338,211.0","317,822.0","315,764.0","321,520.0","342,027.0","361,407.0","387,913.0","407,721.0","408,207.0","440,048.0","433,329.0","356,596.0","343,011.0","346,728.0","351,754.0","384,046.0","438,208.0","466,409.0","368,141.0","310,626.0","319,156.0"
"32","14","      Less: Consumption of fixed capital","B188RX1","105,615.0","109,119.0","112,406.0","115,587.0","123,594.0","126,977.0","130,007.0","132,778.0","135,703.0","139,354.0","144,039.0","149,793.0","156,737.0","163,938.0","169,556.0","174,823.0","180,961.0","186,018.0","189,889.0","193,730.0","197,439.0","201,353.0","204,841.0","207,062.0","208,962.0","211,027.0","213,413.0","216,533.0","220,376.0","224,644.0","228,761.0","233,189.0","237,960.0","241,367.0","243,469.0","245,911.0","248,900.0","253,227.0","259,718.0","266,912.0","272,053.0","274,347.0","276,734.0"
"33","15","      Equals: Net structures","A594RX1","155,020.0","152,236.0","144,663.0","149,490.0","163,156.0","153,563.0","120,989.0","124,259.0","131,907.0","166,877.0","201,025.0","215,457.0","237,795.0","224,134.0","176,586.0","219,583.0","241,478.0","190,131.0","175,438.0","173,991.0","177,587.0","179,199.0","133,370.0","110,761.0","106,802.0","110,493.0","128,614.0","144,874.0","167,537.0","183,077.0","179,446.0","206,858.0","195,369.0","115,230.0","99,542.0","100,817.0","102,854.0","130,819.0","178,489.0","199,497.0","96,088.0","36,279.0","42,421.0"
"34","16","      Equipment and software","B010RX1","114,624.0","113,481.0","114,608.0","129,394.0","153,125.0","157,041.0","142,092.0","150,972.0","173,718.0","200,165.0","217,644.0","209,816.0","218,739.0","207,365.0","218,528.0","261,870.0","278,502.0","283,780.0","287,670.0","309,363.0","332,033.0","332,137.0","323,598.0","347,186.0","390,526.0","437,099.0","489,402.0","541,419.0","615,869.0","705,233.0","804,986.0","889,245.0","860,550.0","824,223.0","849,991.0","917,298.0","995,571.0","1,071,137.0","1,106,761.0","1,059,396.0","885,167.0","963,936.0","1,069,966.0"
"35","17","      Less: Consumption of fixed capital","B189RX1","98,537.0","104,527.0","109,919.0","116,695.0","125,708.0","135,034.0","141,744.0","147,867.0","156,237.0","166,482.0","178,598.0","189,299.0","198,114.0","207,962.0","215,317.0","225,523.0","240,894.0","254,137.0","268,058.0","281,236.0","295,781.0","309,814.0","320,564.0","331,325.0","347,035.0","367,957.0","394,083.0","425,527.0","463,862.0","512,195.0","568,571.0","628,913.0","677,643.0","710,110.0","736,283.0","766,048.0","802,228.0","841,583.0","884,420.0","915,183.0","925,335.0","925,805.0","942,499.0"
"36","18","      Equals: Net equipment and software","A747RX1","16,088.0","8,955.0","4,689.0","12,699.0","27,417.0","22,007.0","348.0","3,105.0","17,481.0","33,683.0","39,045.0","20,518.0","20,625.0","-597.0","3,211.0","36,347.0","37,608.0","29,644.0","19,613.0","28,127.0","36,252.0","22,323.0","3,034.0","15,861.0","43,491.0","69,142.0","95,319.0","115,892.0","152,006.0","193,038.0","236,415.0","260,332.0","182,907.0","114,113.0","113,708.0","151,250.0","193,343.0","229,553.0","222,340.0","144,213.0","-40,167.0","38,131.0","127,467.0"
"37","19","    Residential","A011RX1","263,991.0","248,204.0","316,266.0","372,475.0","370,083.0","293,685.0","255,555.0","315,741.0","383,521.0","407,670.0","392,711.0","309,610.0","284,789.0","233,083.0","329,565.0","378,478.0","384,467.0","431,643.0","440,257.0","435,795.0","422,565.0","386,103.0","349,001.0","397,292.0","429,737.0","471,516.0","456,087.0","492,512.0","501,825.0","540,427.0","574,219.0","579,963.0","583,251.0","613,836.0","664,271.0","729,511.0","775,004.0","718,175.0","584,188.0","444,429.0","344,794.0","332,182.0","327,577.0"
"38","20","    Less: Consumption of fixed capital","A754RX1","82,138.0","85,158.0","88,539.0","92,756.0","97,297.0","101,199.0","104,130.0","107,044.0","110,748.0","115,078.0","119,526.0","123,316.0","126,317.0","128,658.0","131,223.0","134,828.0","138,894.0","143,391.0","148,254.0","153,042.0","157,540.0","161,503.0","164,787.0","167,952.0","171,734.0","176,129.0","180,788.0","185,648.0","190,699.0","196,008.0","201,734.0","207,627.0","213,442.0","219,408.0","225,857.0","232,786.0","239,683.0","246,540.0","252,585.0","256,543.0","258,723.0","260,132.0","261,408.0"
"39","21","    Equals: Net residential","A748RX1","181,853.0","163,047.0","227,727.0","279,719.0","272,786.0","192,487.0","151,425.0","208,696.0","272,772.0","292,592.0","273,185.0","186,294.0","158,473.0","104,424.0","198,342.0","243,650.0","245,573.0","288,252.0","292,003.0","282,753.0","265,025.0","224,600.0","184,214.0","229,339.0","258,003.0","295,387.0","275,300.0","306,863.0","311,126.0","344,420.0","372,485.0","372,336.0","369,808.0","394,428.0","438,413.0","496,725.0","535,322.0","471,635.0","331,603.0","187,886.0","86,072.0","72,050.0","66,169.0"
"40","22","  Change in private inventories","A014RX1","30,279.0","5,605.0","24,989.0","25,674.0","39,010.0","29,070.0","-12,777.0","34,260.0","43,103.0","45,578.0","27,977.0","-9,328.0","38,959.0","-19,678.0","-7,650.0","78,263.0","25,419.0","8,491.0","33,196.0","21,918.0","30,620.0","16,566.0","-1,428.0","17,898.0","22,250.0","69,285.0","32,072.0","31,183.0","77,370.0","71,625.0","68,533.0","60,233.0","-41,771.0","12,769.0","17,339.0","66,326.0","49,953.0","59,423.0","27,725.0","-36,266.0","-139,013.0","50,914.0","31,022.0"
"41","23","Gross government investment \1\","A782RX1","174,409.0","162,350.0","145,058.0","135,432.0","139,390.0","146,151.0","148,873.0","151,054.0","146,606.0","157,938.0","167,712.0","172,560.0","167,321.0","165,318.0","178,037.0","200,028.0","227,449.0","248,236.0","262,347.0","260,868.0","271,235.0","288,830.0","290,139.0","292,710.0","281,987.0","277,175.0","283,863.0","294,587.0","302,714.0","313,296.0","336,535.0","347,475.0","362,524.0","382,454.0","391,639.0","395,121.0","392,015.0","404,825.0","411,557.0","430,514.0","433,211.0","430,806.0","399,548.0"
"42","24","Less: Consumption of fixed capital","A264RX1","96,915.0","98,133.0","97,861.0","97,028.0","96,743.0","97,378.0","98,796.0","100,617.0","102,385.0","104,240.0","106,607.0","109,630.0","112,829.0","116,322.0","120,628.0","126,399.0","133,780.0","141,963.0","150,072.0","157,461.0","164,766.0","172,410.0","179,339.0","185,148.0","189,737.0","192,997.0","195,848.0","199,192.0","202,887.0","207,622.0","213,764.0","220,007.0","225,438.0","230,954.0","236,784.0","243,916.0","250,565.0","257,436.0","265,382.0","273,012.0","281,496.0","289,423.0","295,990.0"
"43","25","Equals: Net government investment","A889RX1","77,495.0","64,216.0","47,197.0","38,404.0","42,647.0","48,773.0","50,077.0","50,437.0","44,222.0","53,697.0","61,105.0","62,930.0","54,492.0","48,996.0","57,409.0","73,629.0","93,668.0","106,273.0","112,275.0","103,407.0","106,469.0","116,419.0","110,800.0","107,562.0","92,249.0","84,178.0","88,014.0","95,395.0","99,828.0","105,674.0","122,771.0","127,468.0","137,087.0","151,500.0","154,854.0","151,205.0","141,450.0","147,389.0","146,175.0","157,501.0","151,715.0","141,384.0","103,558.0"
"44","26","          Federal","A890RX1","-8,904.0","-11,941.0","-20,613.0","-23,020.0","-19,135.0","-14,093.0","-11,206.0","-8,637.0","-7,981.0","-6,442.0","-3,885.0","-2,013.0","-448.0","745.0","6,721.0","10,774.0","17,977.0","22,431.0","25,861.0","14,362.0","12,492.0","13,165.0","7,931.0","5,887.0","-2,690.0","-10,897.0","-11,414.0","-9,610.0","-15,584.0","-12,029.0","-8,626.0","-11,793.0","-10,157.0","-1,118.0","3,814.0","7,692.0","10,026.0","15,220.0","16,727.0","30,007.0","33,214.0","38,124.0","25,468.0"
"45","27","            National defense","B891RX1","-12,319.0","-14,721.0","-24,324.0","-27,057.0","-23,157.0","-18,128.0","-15,321.0","-13,265.0","-12,937.0","-13,254.0","-9,951.0","-8,651.0","-6,455.0","-3,613.0","1,103.0","4,749.0","11,552.0","16,317.0","18,613.0","9,332.0","6,962.0","6,587.0","291.0","-3,593.0","-12,203.0","-15,987.0","-17,435.0","-16,889.0","-21,386.0","-19,494.0","-16,996.0","-15,390.0","-12,420.0","-5,463.0","-418.0","4,142.0","5,519.0","8,738.0","11,076.0","22,577.0","25,726.0","25,099.0","14,679.0"
"46","28","            Nondefense","B892RX1","3,760.0","3,033.0","3,355.0","3,575.0","3,671.0","3,758.0","3,940.0","4,539.0","4,926.0","6,965.0","6,168.0","6,823.0","6,217.0","4,511.0","5,838.0","6,241.0","6,558.0","6,169.0","7,286.0","4,983.0","5,429.0","6,442.0","7,360.0","9,095.0","9,051.0","4,705.0","5,659.0","6,963.0","5,531.0","7,268.0","8,253.0","3,510.0","2,212.0","4,318.0","4,224.0","3,550.0","4,507.0","6,483.0","5,640.0","7,375.0","7,410.0","13,075.0","10,906.0"
"47","29","          State and local","B893RX1","95,039.0","84,376.0","78,904.0","73,104.0","72,037.0","71,277.0","68,414.0","64,693.0","56,085.0","64,841.0","69,302.0","68,209.0","55,633.0","46,973.0","46,955.0","58,797.0","69,994.0","76,732.0","77,740.0","82,718.0","87,970.0","97,368.0","97,765.0","96,706.0","91,299.0","93,382.0","98,341.0","104,033.0","116,283.0","118,181.0","132,024.0","140,635.0","148,752.0","153,540.0","151,579.0","143,680.0","131,424.0","132,257.0","129,748.0","129,019.0","120,868.0","106,942.0","81,744.0"
"48","30","  Structures","A760RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","201,304.0","209,551.0","219,252.0","219,124.0","232,047.0","239,444.0","251,131.0","262,976.0","265,908.0","259,038.0","246,477.0","247,729.0","246,109.0","248,811.0","248,987.0","242,412.0","216,816.0"
"49","31","  Less: Consumption of fixed capital","B894RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","102,945.0","104,905.0","106,785.0","108,842.0","110,959.0","113,214.0","115,548.0","118,082.0","120,724.0","123,292.0","125,518.0","127,102.0","129,246.0","130,972.0","133,061.0","135,058.0","136,725.0"
"50","32","  Equals: Net structures","A895RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","98,359.0","104,646.0","112,466.0","110,282.0","121,088.0","126,230.0","135,583.0","144,894.0","145,184.0","135,745.0","120,959.0","120,627.0","116,863.0","117,839.0","115,926.0","107,353.0","80,091.0"
"51","33","            Federal","A896RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","4,436.0","3,652.0","863.0","984.0","-460.0","-4,300.0","-5,048.0","-2,566.0","-904.0","-3,472.0","-5,344.0","-4,190.0","-1,915.0","697.0","4,104.0","7,751.0","3,840.0"
"52","34","              National defense","B897RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-2,068.0","-2,861.0","-3,303.0","-3,841.0","-4,644.0","-4,820.0","-5,054.0","-4,498.0","-2,926.0","-3,507.0","-3,778.0","-3,688.0","-2,273.0","461.0","3,301.0","3,112.0","80.0"
"53","35","              Nondefense","B898RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","6,524.0","6,503.0","4,159.0","4,805.0","4,158.0","518.0","5.0","1,927.0","2,020.0","35.0","-1,566.0","-501.0","357.0","231.0","802.0","4,617.0","3,731.0"
"54","36","            State and local","B899RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","93,826.0","100,925.0","111,577.0","109,269.0","121,530.0","130,529.0","140,632.0","147,457.0","146,081.0","139,216.0","126,303.0","124,819.0","118,831.0","117,307.0","112,210.0","100,329.0","76,852.0"
"55","37","  Equipment and software","A871RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","85,642.0","88,490.0","88,465.0","96,743.0","106,255.0","109,814.0","113,542.0","121,386.0","127,187.0","136,552.0","145,538.0","157,347.0","166,426.0","184,444.0","187,315.0","192,788.0","188,950.0"
"56","38","  Less: Consumption of fixed capital","B900RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","93,730.0","95,196.0","97,005.0","99,578.0","103,341.0","107,116.0","110,128.0","113,067.0","116,214.0","120,671.0","125,047.0","130,398.0","136,406.0","142,689.0","149,549.0","155,923.0","161,206.0"
"57","39","  Equals: Net equipment and software","A901RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-8,088.0","-6,707.0","-8,540.0","-2,835.0","2,914.0","2,697.0","3,414.0","8,319.0","10,974.0","15,881.0","20,491.0","26,949.0","30,020.0","41,755.0","37,766.0","36,865.0","27,744.0"
"58","40","            Federal","A902RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-13,085.0","-10,911.0","-14,595.0","-11,337.0","-7,051.0","-7,154.0","-4,981.0","1,721.0","5,103.0","11,245.0","15,370.0","19,395.0","18,413.0","28,961.0","28,263.0","29,048.0","20,608.0"
"59","41","              National defense","B905RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-14,332.0","-13,300.0","-17,314.0","-15,117.0","-12,117.0","-10,431.0","-7,346.0","-982.0","2,616.0","7,663.0","9,297.0","12,432.0","13,238.0","21,788.0","21,733.0","21,298.0","14,151.0"
