"","Table 3#10#5# Government Consumption Expenditures and General Go","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"21","3","          Value added","W102RC1","129,962.0","143,533.0","156,354.0","169,400.0","183,236.0","201,329.0","224,459.0","243,456.0","264,616.0","287,467.0","312,964.0","348,511.0","385,300.0","418,955.0","445,363.0","485,141.0","523,428.0","556,274.0","591,539.0","630,597.0","672,225.0","722,653.0","767,604.0","801,926.0","831,166.0","859,904.0","884,760.0","911,286.0","940,316.0","972,548.0","1,021,561.0","1,078,779.0","1,139,635.0","1,211,433.0","1,292,179.0","1,359,344.0","1,436,476.0","1,511,952.0","1,604,594.0","1,698,006.0","1,761,862.0","1,811,709.0","1,842,402.0","1,872,869.0"
"22","4","            Compensation of general government employees","A194RC1","107,461.0","119,393.0","130,895.0","143,077.0","155,418.0","169,739.0","189,598.0","206,353.0","224,995.0","244,672.0","266,104.0","295,502.0","325,184.0","352,719.0","375,280.0","410,428.0","443,689.0","470,632.0","499,549.0","532,319.0","567,101.0","609,736.0","647,510.0","677,261.0","700,654.0","724,077.0","743,537.0","766,762.0","792,176.0","820,664.0","863,055.0","911,960.0","967,138.0","1,034,139.0","1,109,423.0","1,165,924.0","1,227,786.0","1,287,273.0","1,361,375.0","1,438,386.0","1,491,464.0","1,533,510.0","1,551,439.0","1,570,579.0"
"23","5","            Consumption of general government fixed capital \2\","A265RC1","22,501.0","24,140.0","25,459.0","26,323.0","27,818.0","31,590.0","34,861.0","37,103.0","39,621.0","42,795.0","46,860.0","53,009.0","60,116.0","66,236.0","70,083.0","74,713.0","79,739.0","85,642.0","91,990.0","98,278.0","105,124.0","112,917.0","120,094.0","124,665.0","130,512.0","135,827.0","141,223.0","144,524.0","148,140.0","151,884.0","158,506.0","166,819.0","172,497.0","177,294.0","182,756.0","193,420.0","208,690.0","224,679.0","243,219.0","259,620.0","270,398.0","278,199.0","290,963.0","302,290.0"
"24","6","          Intermediate goods and services purchased \3\","W104RC1","61,614.0","61,323.0","64,939.0","70,577.0","73,127.0","84,450.0","95,922.0","101,397.0","113,532.0","125,081.0","141,138.0","164,370.0","188,673.0","208,751.0","230,886.0","243,485.0","274,159.0","303,893.0","314,469.0","321,735.0","341,698.0","365,693.0","384,230.0","398,354.0","407,631.0","425,411.0","442,974.0","460,732.0","486,217.0","505,209.0","546,212.0","590,744.0","646,831.0","702,104.0","751,775.0","805,199.0","862,956.0","919,370.0","971,682.0","1,059,120.0","1,089,144.0","1,145,223.0","1,158,348.0","1,150,606.0"
"25","7","            Durable goods","W105RC1","8,060.0","7,881.0","6,724.0","8,146.0","8,209.0","8,255.0","9,521.0","9,753.0","12,297.0","14,403.0","16,750.0","18,770.0","22,919.0","26,799.0","33,116.0","35,830.0","38,617.0","42,084.0","44,682.0","45,080.0","44,694.0","45,074.0","45,263.0","43,346.0","41,820.0","38,962.0","38,059.0","38,506.0","39,541.0","41,130.0","43,850.0","45,025.0","46,449.0","47,754.0","49,527.0","53,106.0","54,597.0","58,650.0","62,883.0","70,167.0","74,993.0","75,990.0","73,215.0","72,354.0"
"26","8","            Nondurable goods","W106RC1","18,434.0","16,365.0","16,726.0","18,076.0","18,608.0","23,285.0","26,733.0","29,282.0","33,164.0","36,021.0","41,467.0","51,179.0","60,222.0","58,983.0","61,833.0","59,585.0","65,121.0","68,287.0","66,451.0","62,309.0","74,292.0","80,530.0","83,043.0","85,398.0","89,485.0","91,891.0","99,397.0","106,102.0","111,648.0","114,403.0","123,215.0","144,904.0","155,383.0","159,668.0","171,216.0","189,250.0","217,559.0","233,719.0","253,184.0","288,592.0","261,826.0","285,666.0","317,486.0","321,233.0"
"27","9","            Services","W107RC1","35,120.0","37,077.0","41,489.0","44,355.0","46,310.0","52,910.0","59,668.0","62,361.0","68,070.0","74,656.0","82,921.0","94,421.0","105,532.0","122,969.0","135,937.0","148,070.0","170,420.0","193,522.0","203,336.0","214,346.0","222,712.0","240,088.0","255,925.0","269,611.0","276,326.0","294,558.0","305,518.0","316,124.0","335,027.0","349,676.0","379,146.0","400,815.0","444,999.0","494,682.0","531,031.0","562,843.0","590,800.0","627,001.0","655,615.0","700,362.0","752,326.0","783,567.0","767,647.0","757,020.0"
"28","10","        Less: Own-account investment \4\","W108RC1","1,885.0","2,050.0","2,208.0","2,295.0","2,353.0","2,682.0","2,832.0","2,760.0","2,698.0","3,141.0","3,891.0","4,496.0","4,768.0","5,241.0","5,650.0","6,581.0","7,491.0","8,141.0","8,803.0","9,618.0","11,227.0","12,296.0","13,309.0","13,660.0","13,937.0","14,163.0","14,778.0","15,000.0","16,176.0","16,713.0","17,324.0","18,097.0","20,766.0","21,486.0","21,603.0","22,593.0","23,783.0","25,253.0","26,365.0","28,118.0","28,607.0","27,783.0","26,669.0","26,237.0"
"29","11","              Sales to other sectors","W109RC1","11,528.0","12,686.0","14,429.0","16,904.0","19,199.0","21,437.0","22,934.0","25,488.0","28,894.0","32,920.0","37,954.0","42,517.0","48,613.0","54,332.0","60,070.0","64,478.0","70,008.0","75,916.0","82,093.0","89,960.0","99,769.0","110,088.0","122,735.0","136,265.0","149,491.0","162,277.0","171,533.0","180,286.0","188,286.0","197,847.0","206,539.0","224,801.0","241,314.0","252,180.0","265,588.0","281,502.0","297,781.0","312,728.0","332,127.0","348,036.0","362,114.0","377,161.0","394,532.0","406,787.0"
"30","12","Federal consumption expenditures \1\","A957RC1","98,315.0","98,585.0","101,937.0","107,628.0","108,822.0","117,923.0","129,520.0","137,147.0","150,686.0","163,316.0","178,919.0","207,435.0","238,250.0","263,278.0","286,449.0","309,898.0","338,332.0","358,029.0","373,706.0","381,732.0","398,475.0","418,977.0","438,314.0","444,145.0","441,218.0","440,708.0","440,138.0","446,540.0","457,531.0","454,599.0","473,302.0","496,009.0","530,156.0","590,490.0","660,257.0","721,380.0","765,838.0","811,003.0","848,914.0","931,744.0","986,966.0","1,055,764.0","1,061,549.0","1,059,643.0"
"31","13","      Gross output of general government","W110RC1","99,707.0","99,954.0","103,421.0","109,958.0","111,629.0","121,312.0","132,513.0","140,005.0","154,439.0","167,844.0","184,477.0","213,551.0","244,425.0","269,409.0","292,526.0","316,535.0","345,220.0","364,887.0","381,564.0","390,521.0","407,909.0","429,322.0","449,645.0","455,433.0","452,219.0","453,728.0","450,791.0","457,709.0","466,626.0","464,670.0","481,792.0","505,803.0","539,296.0","599,810.0","670,140.0","731,963.0","779,571.0","823,814.0","860,888.0","945,656.0","1,001,815.0","1,072,277.0","1,080,280.0","1,074,084.0"
"32","14","        Value added","W111RC1","59,940.0","64,038.0","67,714.0","71,533.0","73,926.0","79,573.0","87,309.0","93,804.0","102,020.0","109,691.0","117,594.0","131,206.0","147,380.0","161,214.0","171,247.0","192,070.0","205,013.0","212,570.0","223,304.0","234,750.0","246,444.0","258,797.0","274,834.0","281,995.0","285,190.0","285,165.0","283,597.0","287,561.0","290,030.0","292,247.0","300,394.0","315,102.0","324,936.0","351,840.0","382,921.0","412,012.0","438,743.0","460,645.0","486,042.0","517,714.0","553,223.0","589,248.0","606,977.0","616,682.0"
"33","15","          Compensation of general government employees","B568RC1","44,862.0","48,335.0","51,659.0","55,384.0","57,434.0","62,044.0","68,384.0","73,307.0","79,930.0","85,758.0","91,808.0","102,536.0","115,089.0","125,308.0","132,317.0","149,362.0","158,952.0","163,082.0","170,292.0","177,973.0","185,701.0","193,865.0","205,860.0","210,697.0","210,944.0","208,854.0","205,811.0","209,699.0","212,095.0","214,253.0","220,592.0","232,963.0","242,096.0","268,381.0","297,768.0","323,011.0","344,448.0","360,145.0","379,723.0","404,270.0","435,066.0","465,764.0","476,991.0","482,484.0"
"34","16","          Consumption of general government fixed capital \2\","B995RC1","15,078.0","15,703.0","16,055.0","16,149.0","16,492.0","17,529.0","18,925.0","20,497.0","22,090.0","23,933.0","25,786.0","28,670.0","32,291.0","35,906.0","38,930.0","42,708.0","46,061.0","49,488.0","53,012.0","56,777.0","60,743.0","64,932.0","68,974.0","71,298.0","74,246.0","76,311.0","77,786.0","77,862.0","77,935.0","77,994.0","79,802.0","82,139.0","82,840.0","83,459.0","85,153.0","89,001.0","94,295.0","100,500.0","106,319.0","113,444.0","118,157.0","123,484.0","129,986.0","134,198.0"
"35","17","        Intermediate goods and services purchased \3\","W113RC1","39,767.0","35,916.0","35,707.0","38,425.0","37,703.0","41,739.0","45,204.0","46,201.0","52,419.0","58,153.0","66,883.0","82,345.0","97,045.0","108,195.0","121,279.0","124,465.0","140,207.0","152,317.0","158,260.0","155,771.0","161,465.0","170,525.0","174,811.0","173,438.0","167,029.0","168,563.0","167,194.0","170,148.0","176,596.0","172,423.0","181,398.0","190,701.0","214,360.0","247,970.0","287,219.0","319,951.0","340,828.0","363,169.0","374,846.0","427,942.0","448,592.0","483,029.0","473,303.0","457,402.0"
"36","18","          Durable goods","W114RC1","6,772.0","6,325.0","4,845.0","5,959.0","5,742.0","5,363.0","6,213.0","6,108.0","8,280.0","10,006.0","11,871.0","13,440.0","16,842.0","20,127.0","25,934.0","28,031.0","30,226.0","32,835.0","34,858.0","34,628.0","33,332.0","33,082.0","32,531.0","30,058.0","28,079.0","24,510.0","22,476.0","22,507.0","22,581.0","22,595.0","23,977.0","23,970.0","24,218.0","25,500.0","27,868.0","31,207.0","32,328.0","35,700.0","38,963.0","45,926.0","49,184.0","50,664.0","48,405.0","47,520.0"
"37","19","          Nondurable goods","W115RC1","10,588.0","7,368.0","6,516.0","7,126.0","6,207.0","7,786.0","7,860.0","7,976.0","8,969.0","9,729.0","11,426.0","17,414.0","23,038.0","20,579.0","21,871.0","16,823.0","19,494.0","22,647.0","17,187.0","10,483.0","16,566.0","16,706.0","17,009.0","16,313.0","16,762.0","14,445.0","14,889.0","15,525.0","17,325.0","17,786.0","16,034.0","20,129.0","22,978.0","24,496.0","28,297.0","33,848.0","40,615.0","41,777.0","43,228.0","53,253.0","50,298.0","54,781.0","60,662.0","60,765.0"
"38","20","          Services","W116RC1","22,407.0","22,223.0","24,346.0","25,340.0","25,754.0","28,590.0","31,131.0","32,117.0","35,170.0","38,418.0","43,586.0","51,491.0","57,165.0","67,489.0","73,474.0","79,611.0","90,487.0","96,835.0","106,215.0","110,660.0","111,567.0","120,737.0","125,271.0","127,067.0","122,188.0","129,608.0","129,829.0","132,116.0","136,690.0","132,042.0","141,387.0","146,602.0","167,164.0","197,974.0","231,054.0","254,896.0","267,885.0","285,692.0","292,655.0","328,763.0","349,110.0","377,584.0","364,236.0","349,117.0"
"39","21","      Less: Own-account investment \4\","W117RC1","461.0","514.0","572.0","615.0","612.0","618.0","683.0","716.0","693.0","815.0","982.0","1,155.0","1,274.0","1,496.0","1,695.0","1,961.0","2,283.0","2,397.0","2,706.0","2,940.0","3,415.0","3,708.0","3,986.0","4,134.0","4,205.0","4,035.0","4,149.0","4,033.0","3,979.0","4,094.0","3,797.0","3,233.0","4,103.0","4,460.0","4,405.0","4,475.0","4,643.0","4,746.0","4,725.0","5,210.0","5,490.0","5,938.0","5,877.0","5,275.0"
"40","22","            Sales to other sectors","W118RC1","931.0","855.0","912.0","1,715.0","2,195.0","2,771.0","2,310.0","2,142.0","3,060.0","3,713.0","4,576.0","4,961.0","4,901.0","4,635.0","4,382.0","4,676.0","4,605.0","4,461.0","5,152.0","5,849.0","6,019.0","6,637.0","7,345.0","7,154.0","6,796.0","8,985.0","6,504.0","7,136.0","5,116.0","5,977.0","4,693.0","6,561.0","5,037.0","4,860.0","5,478.0","6,108.0","9,090.0","8,065.0","7,249.0","8,702.0","9,359.0","10,575.0","12,854.0","9,166.0"
"41","23","    Defense consumption expenditures \1\","A997RC1","78,144.0","76,531.0","77,053.0","79,464.0","79,399.0","84,498.0","90,868.0","95,790.0","104,152.0","112,685.0","123,785.0","143,669.0","167,295.0","191,145.0","208,716.0","232,836.0","253,675.0","267,884.0","283,565.0","293,451.0","299,392.0","307,968.0","319,703.0","315,230.0","307,513.0","300,814.0","296,977.0","303,174.0","304,512.0","300,322.0","312,961.0","321,839.0","342,015.0","380,661.0","435,182.0","481,209.0","514,837.0","543,883.0","575,369.0","633,284.0","664,442.0","702,483.0","712,121.0","703,594.0"
"42","24","      Gross output of general government","W085RC1","78,407.0","76,802.0","77,301.0","80,139.0","80,476.0","86,075.0","92,080.0","96,396.0","104,969.0","113,587.0","124,751.0","144,951.0","168,885.0","193,023.0","210,029.0","234,544.0","255,425.0","269,725.0","285,688.0","295,844.0","301,832.0","311,248.0","323,057.0","319,237.0","311,773.0","306,776.0","300,657.0","307,242.0","307,996.0","303,456.0","315,983.0","324,921.0","345,554.0","384,939.0","439,717.0","485,813.0","520,196.0","549,635.0","580,621.0","639,213.0","670,427.0","708,626.0","718,501.0","709,672.0"
"43","25","        Value added","W086RC1","47,876.0","50,223.0","51,991.0","54,303.0","55,364.0","58,783.0","63,630.0","67,300.0","72,039.0","77,433.0","82,950.0","92,009.0","105,064.0","116,618.0","124,111.0","142,305.0","152,757.0","158,905.0","166,498.0","172,770.0","180,689.0","186,782.0","197,154.0","200,158.0","197,081.0","194,622.0","191,495.0","193,533.0","192,234.0","190,410.0","192,677.0","198,770.0","205,236.0","222,516.0","243,819.0","264,172.0","284,393.0","298,764.0","315,690.0","337,714.0","360,325.0","381,920.0","396,373.0","402,388.0"
"44","26","          Compensation of general government employees","B237RC1","34,722.0","36,620.0","38,210.0","40,538.0","41,411.0","44,083.0","47,927.0","50,250.0","53,632.0","57,502.0","61,666.0","68,557.0","78,803.0","87,439.0","92,437.0","107,538.0","115,349.0","118,750.0","123,535.0","126,901.0","131,700.0","134,532.0","141,821.0","143,016.0","137,681.0","133,652.0","129,755.0","132,304.0","131,868.0","130,750.0","132,699.0","138,088.0","144,764.0","162,027.0","182,139.0","199,408.0","215,706.0","225,614.0","238,283.0","254,639.0","273,791.0","291,031.0","300,573.0","303,857.0"
"45","27","          Consumption of general government fixed capital \2\","B432RC1","13,154.0","13,603.0","13,781.0","13,765.0","13,953.0","14,700.0","15,703.0","17,050.0","18,407.0","19,931.0","21,284.0","23,452.0","26,261.0","29,179.0","31,674.0","34,767.0","37,408.0","40,155.0","42,963.0","45,869.0","48,989.0","52,250.0","55,333.0","57,142.0","59,400.0","60,970.0","61,740.0","61,229.0","60,366.0","59,660.0","59,978.0","60,682.0","60,472.0","60,489.0","61,680.0","64,764.0","68,687.0","73,150.0","77,407.0","83,075.0","86,534.0","90,889.0","95,800.0","98,531.0"
"46","28","        Intermediate goods and services purchased \3\","W087RC1","30,531.0","26,579.0","25,310.0","25,836.0","25,112.0","27,292.0","28,450.0","29,096.0","32,930.0","36,154.0","41,801.0","52,942.0","63,821.0","76,405.0","85,918.0","92,239.0","102,668.0","110,820.0","119,190.0","123,074.0","121,143.0","124,466.0","125,903.0","119,079.0","114,692.0","112,154.0","109,162.0","113,709.0","115,762.0","113,046.0","123,306.0","126,151.0","140,318.0","162,423.0","195,898.0","221,641.0","235,803.0","250,871.0","264,931.0","301,499.0","310,102.0","326,706.0","322,128.0","307,284.0"
"47","29","          Durable goods","A998RC1","6,454.0","6,061.0","4,582.0","5,678.0","5,516.0","5,155.0","5,971.0","5,828.0","7,951.0","9,583.0","11,334.0","12,773.0","16,209.0","19,551.0","25,068.0","27,092.0","29,266.0","31,867.0","33,774.0","33,475.0","32,027.0","31,568.0","30,971.0","28,379.0","26,410.0","22,930.0","20,943.0","20,820.0","20,866.0","20,944.0","22,225.0","22,134.0","22,292.0","23,235.0","25,686.0","28,781.0","29,548.0","32,770.0","36,094.0","42,733.0","45,765.0","46,869.0","44,786.0","43,913.0"
"48","30","          Nondurable goods","A725RC1","7,609.0","5,352.0","4,439.0","4,701.0","4,264.0","5,204.0","5,084.0","4,485.0","4,536.0","4,856.0","6,239.0","9,968.0","11,813.0","11,468.0","11,314.0","10,429.0","10,021.0","10,230.0","10,294.0","10,580.0","10,845.0","11,049.0","10,677.0","9,424.0","8,465.0","7,563.0","6,325.0","7,646.0","7,581.0","6,987.0","8,150.0","10,423.0","10,262.0","11,486.0","13,411.0","17,101.0","20,889.0","22,086.0","24,099.0","30,485.0","24,446.0","26,816.0","33,361.0","32,670.0"
"49","31","          Services","A489RC1","16,468.0","15,166.0","16,289.0","15,457.0","15,332.0","16,933.0","17,395.0","18,783.0","20,443.0","21,715.0","24,228.0","30,201.0","35,799.0","45,386.0","49,536.0","54,718.0","63,381.0","68,723.0","75,122.0","79,019.0","78,271.0","81,849.0","84,255.0","81,276.0","79,817.0","81,661.0","81,894.0","85,243.0","87,315.0","85,115.0","92,931.0","93,594.0","107,764.0","127,702.0","156,801.0","175,759.0","185,366.0","196,015.0","204,738.0","228,281.0","239,891.0","253,021.0","243,981.0","230,701.0"
"50","32","      Less: Own-account investment \4\","W088RC1","101.0","114.0","112.0","132.0","153.0","171.0","223.0","255.0","257.0","291.0","356.0","393.0","468.0","593.0","686.0","821.0","975.0","1,043.0","1,168.0","1,236.0","1,454.0","1,470.0","1,611.0","1,641.0","1,643.0","1,541.0","1,560.0","1,486.0","1,466.0","1,430.0","1,318.0","1,134.0","1,495.0","2,098.0","2,114.0","2,070.0","2,055.0","2,105.0","2,083.0","2,240.0","2,359.0","2,619.0","2,602.0","2,316.0"
"51","33","            Sales to other sectors","W089RC1","162.0","157.0","136.0","543.0","924.0","1,406.0","989.0","351.0","560.0","611.0","610.0","889.0","1,122.0","1,285.0","627.0","887.0","775.0","798.0","955.0","1,157.0","986.0","1,810.0","1,743.0","2,366.0","2,617.0","4,421.0","2,120.0","2,582.0","2,018.0","1,704.0","1,704.0","1,948.0","2,044.0","2,180.0","2,421.0","2,534.0","3,304.0","3,647.0","3,169.0","3,689.0","3,626.0","3,524.0","3,778.0","3,762.0"
"52","34","    Nondefense consumption expenditures \1\","A542RC1","20,171.0","22,054.0","24,884.0","28,164.0","29,423.0","33,425.0","38,652.0","41,357.0","46,534.0","50,631.0","55,134.0","63,766.0","70,955.0","72,133.0","77,733.0","77,062.0","84,657.0","90,145.0","90,141.0","88,281.0","99,083.0","111,009.0","118,611.0","128,915.0","133,705.0","139,894.0","143,161.0","143,366.0","153,019.0","154,277.0","160,341.0","174,170.0","188,141.0","209,829.0","225,075.0","240,171.0","251,001.0","267,120.0","273,545.0","298,460.0","322,524.0","353,281.0","349,428.0","356,049.0"
"53","35","      Gross output of general government","W128RC1","21,300.0","23,152.0","26,120.0","29,819.0","31,153.0","35,237.0","40,433.0","43,609.0","49,470.0","54,257.0","59,726.0","68,600.0","75,540.0","76,386.0","82,497.0","81,991.0","89,795.0","95,162.0","95,876.0","94,677.0","106,077.0","118,074.0","126,588.0","136,196.0","140,446.0","146,952.0","150,134.0","150,467.0","158,630.0","161,214.0","165,809.0","180,882.0","193,742.0","214,871.0","230,423.0","246,150.0","259,375.0","274,179.0","280,267.0","306,443.0","331,388.0","363,651.0","361,779.0","364,412.0"
"54","36","        Value added","W129RC1","12,064.0","13,815.0","15,723.0","17,230.0","18,562.0","20,790.0","23,679.0","26,504.0","29,981.0","32,258.0","34,644.0","39,197.0","42,316.0","44,596.0","47,136.0","49,765.0","52,256.0","53,665.0","56,806.0","61,980.0","65,755.0","72,015.0","77,680.0","81,837.0","88,109.0","90,543.0","92,102.0","94,028.0","97,796.0","101,837.0","107,717.0","116,332.0","119,700.0","129,324.0","139,102.0","147,840.0","154,350.0","161,881.0","170,352.0","180,000.0","192,898.0","207,328.0","210,604.0","214,294.0"
"55","37","          Compensation of general government employees","W130RC1","10,140.0","11,715.0","13,449.0","14,846.0","16,023.0","17,961.0","20,457.0","23,057.0","26,298.0","28,256.0","30,142.0","33,979.0","36,286.0","37,869.0","39,880.0","41,824.0","43,603.0","44,332.0","46,757.0","51,072.0","54,001.0","59,333.0","64,039.0","67,681.0","73,263.0","75,202.0","76,056.0","77,395.0","80,227.0","83,503.0","87,893.0","94,875.0","97,332.0","106,354.0","115,629.0","123,603.0","128,742.0","134,531.0","141,440.0","149,631.0","161,275.0","174,733.0","176,418.0","178,627.0"
