"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","[Millions of chained (2009) dollars; quarters and months are seasonally adjusted at annual rates]                                                                                                                                                         ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1999 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published January 31, 2014  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/30/2014 12:25:03 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"8","1","      Personal consumption expenditures","DPCERX0",7788142,8182101,8387516,8600363,8866170,9205644,9527791,9814874,10035540,9999243,9842939,10035856,10291309,10517605,10728229
"9","2","Goods","DGDSRX0",2460874,2588250,2666644,2770177,2904451,3051921,3177160,3292529,3381763,3297792,3198444,3308651,3419922,3534113,3664008
"10","3","  Durable goods","DDURRX0",698312,758332,798016,856587,917639,992924,1046946,1091545,1141662,1083235,1023318,1085658,1157111,1246735,1335848
"11","4","    Motor vehicles and parts","DMOTRX0",335750,346435,364142,383313,394574,405492,399996,385132,392789,340814,317058,323406,339404,363977,382420
"12","5","      New motor vehicles (55)","DNMVRX0",188192,198449,217821,234467,245747,248207,243507,229474,232036,187157,165623,178589,198045,221878,230808
"13","6","        New autos","DNEARX0",92821,97410,96329,94835,91924,92926,97693,99448,95805,86003,71177,68758,76792,89691,89937
"14","7","          New domestic autos","DNDCRX0",60053,63526,63856,63157,60622,59563,63059,62229,59736,52943,45431,44115,50779,59723,59011
"15","8","          New foreign autos","DNFCRX0",32768,33885,32473,31677,31302,33363,34634,37219,36069,33060,25746,24643,26014,29968,30925
"16","9","        New light trucks","DNWTRX0",96221,101904,121752,139375,153103,154558,145490,130041,136124,101151,94446,109759,121182,132173,140807
"17","10","      Net purchases of used motor vehicles (56)","DNPVRX0",95114,94866,94549,97085,95320,100568,97730,96229,100059,96913,99660,91035,86639,87481,95948
"18","11","        Used autos","DNPURX0",54456,53497,51743,51294,50451,53483,51218,48440,46793,45690,42660,39391,41800,41107,42799
"19","12","          Net transactions in used autos","DNETRX0",31940,30555,27939,30262,29438,32325,29588,26925,25618,25341,25499,22672,23185,21208,23931
"20","13","          Used auto margin","DMARRX0",24707,25284,26671,23257,23291,23465,23844,23609,23182,22296,18896,18476,20381,21705,20624
"21","14","          Employee reimbursement","DREERX0",-2114,-2053,-2137,-2025,-2048,-2106,-2075,-2005,-1947,-1881,-1735,-1787,-1785,-1790,-1758
"22","15","        Used light trucks","DUTRRX0",40926,41574,42880,45723,44809,47033,46447,47722,53268,51217,57000,51641,44809,46343,53127
"23","16","          Net transactions in used trucks","DUTNRX0",29393,29611,30356,33661,31557,33322,32837,34072,39236,38627,44806,39028,33184,33649,40468
"24","17","          Used truck margin","DUTMRX0",11572,12003,12568,12185,13231,13713,13602,13673,14145,12686,12193,12591,11603,12682,12601
"25","18","      Motor vehicle parts and accessories (58)","DMVPRX0",52582,53314,51378,50987,53448,56805,59609,60480,61543,56969,51775,54414,56441,57095,57902
"26","19","        Tires","DTATRX0",19516,19479,19227,19252,20319,21713,23072,23363,23948,22931,21267,22364,22690,22817,23559
"27","20","        Accessories and parts","DPAARX0",33112,33897,32187,31761,33151,35113,36550,37132,37606,34039,30508,32050,33763,34296,34354
"28","21","    Furnishings and durable household equipment","DFDHRX0",171234,187747,197294,211699,226793,248326,264837,278298,280443,267670,244311,261502,275971,292766,311269
"29","22","      Furniture and furnishings (parts of 31 and 32)","DFFFRX0",96357,106000,110498,117940,126420,140007,152404,162363,167353,158929,144649,155913,164653,176924,188707
"30","23","        Furniture","DFNRRX0",63050,69721,72779,77783,81161,88410,95216,98457,99906,92906,83239,89500,93461,97545,100648
"31","24","        Clocks, lamps, lighting fixtures, and other household decorative items","DCLFRX0",11901,13326,13970,15074,17337,19699,22194,26618,30208,31359,30866,34257,37841,42709,48790
"32","25","        Carpets and other floor coverings","DFLRRX0",16564,17772,17890,18550,20214,22873,24355,25162,24552,22263,18850,19202,19635,22469,24898
"33","26","        Window coverings","DWCTRX0",6765,7118,7700,8335,9144,10468,11901,12745,12954,12466,11695,12976,13831,14515,15200
"34","27","      Household appliances (part of 33)","DAPPRX0",31895,34730,36679,39007,41675,46655,48631,49420,47626,45534,41111,43642,45501,44509,47103
"35","28","        Major household appliances","DMHARX0",28713,31382,33156,35251,37541,42094,43744,44336,42447,40226,36135,38163,39665,38307,40507
