"","Table 4BU1# Real Manufacturing Inventories, by Stage of Fabricat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175"
"11","2","  Durable goods industries","KS30DM0",87990,88040,89529,89902,90745,91465,92582,93015,94489,95539,95261,96013,97367,97903,98307,98825,98775,99840,99887,99536,100565,101082,101121,100394,101257,101915,102508,102207,102261,102834,103803,102944,103685,102717,104032,105950,104924,105895,105947,107127,108370,109850,110183,111619,111507,112072,113704,113940,114208,113347,112095,110062,110292,109097,108408,107794,106089,106083,105884,105105,104345,103699,104343,104133,103264,102868,102323,102684,102541,102701,101862,102321,101941,103071,102445,101611,101828,101258,100295,99555,99031,99351,98711,98924,99135,99433,100139,100755,100411,101343,102322,102244,102028,102923,103563,103393,104941,104945,105468,105822,106023,106508,106745,106798,107291,107378,108293,108572,108115,108769,109806,110270,110639,110671,111806,112382,112827,113670,113545,113457,113997,113667,113738,114191,114576,114777,114719,114794,114288,114989,115404,115806,115785,115127,114877,114376,113701,113665,114065,113687,113769,114128,115255,114826,115893,115478,113465,112998,111973,109501,107681,106155,105316,103648,102349,101807,101147,101595,101680,101400,101895,103007,102891,102940,102924,103236,103655,104136,104614,104581,104864,105189
"12","3","    Wood product manufacturing","KS321M0",3721,3772,3776,3865,3809,3769,3730,3791,3925,3953,3954,3982,3926,3959,3847,3947,3993,4119,4139,4100,4183,4256,4235,4176,4342,4331,4315,4185,4190,4170,4197,4280,4188,4229,4331,4454,4429,4445,4446,4404,4426,4388,4295,4418,4401,4368,4360,4320,4382,4309,4334,4389,4391,4398,4370,4365,4147,4152,4214,4178,4127,4208,4294,4251,4257,4326,4282,4314,4334,4335,4373,4323,4410,4442,4446,4478,4412,4365,4325,4280,4164,4306,4325,4380,4464,4474,4605,4751,4709,4665,4779,4844,4906,4933,4913,4821,4997,5009,5088,5143,5093,5084,5057,5013,5064,5065,5069,5132,4942,5098,5073,5107,5076,5269,5139,5191,5113,5112,5049,5102,5059,5036,5005,4938,4969,4970,4916,4887,4844,4836,4826,4777,4712,4643,4540,4405,4401,4453,4473,4449,4408,4414,4329,4183,4181,4043,3966,3886,3764,3676,3611,3555,3503,3413,3362,3423,3509,3537,3543,3474,3513,3553,3530,3559,3561,3488,3476,3514,3531,3586,3592,3601
"13","4","    Nonmetallic mineral product manufacturing","KS327M0",3860,3897,3834,3936,3899,3913,3965,3952,3975,4017,4023,4034,4001,3944,3938,3965,3921,3953,3985,4053,4090,4032,4040,3997,3967,3977,3998,4006,4010,4005,4017,4074,4098,4089,4041,4081,4053,4107,4016,4051,4095,4151,4124,4201,4189,4139,4147,4156,4159,4137,4111,4126,4103,4104,4106,4151,4145,4165,4158,4070,4113,4060,4056,4104,4072,4102,4060,4047,4054,4108,4050,4072,4045,4074,4084,4052,4119,4077,4159,4088,4133,4167,4022,4070,4050,4089,4105,4175,4165,4180,4206,4182,4193,4261,4301,4277,4314,4271,4351,4310,4331,4391,4330,4362,4319,4303,4288,4362,4345,4400,4382,4388,4395,4428,4469,4515,4502,4496,4503,4492,4555,4543,4564,4587,4587,4565,4585,4620,4615,4623,4635,4679,4787,4779,4822,4835,4746,4731,4768,4804,4813,4818,4715,4685,4830,4844,4810,4768,4727,4671,4592,4539,4490,4467,4382,4390,4367,4318,4375,4337,4345,4339,4336,4338,4300,4317,4311,4222,4281,4255,4273,4320
"14","5","    Primary metal manufacturing","KS331M0",8909,9076,9081,9078,9113,9125,9222,9344,9365,9629,9475,9587,9524,9581,9652,9871,9993,10251,10339,10487,10719,10645,10719,10790,10667,10635,10622,10506,10441,10401,10423,10450,10459,10433,10492,10698,10692,10639,10685,10565,10543,10499,10550,10431,10371,10417,10399,10180,10297,10247,10121,10078,9947,9748,9580,9617,9450,9538,9579,9418,9389,9093,8987,9069,9026,9111,9205,9290,9341,9434,9364,9429,9495,9640,9425,9296,9343,8963,8770,8658,8690,8482,8455,8358,8382,8731,8754,8869,9019,9385,9540,9702,9772,10023,10258,10287,10363,10372,10534,10682,10775,10825,10758,10847,10812,10635,10735,10655,10754,10884,10895,10847,10907,10871,10978,11077,11454,11350,11288,11487,11501,11319,11400,11277,11486,11292,11252,11153,11136,11173,11166,11225,11062,10953,10753,10947,10720,10854,10975,10965,11096,11306,11659,11820,12066,12031,11683,11493,11240,10972,10481,9798,9573,9400,9207,8981,8918,9009,9126,9317,9516,9891,9782,9576,9675,9690,9772,9874,9985,10004,10278,10139
"15","6","    Fabricated metal product manufacturing","KS332M0",13495,13432,13646,13589,13565,13658,13737,13752,13799,13721,13810,14038,13974,13999,13905,14154,14007,14394,14239,14181,14419,14463,14450,14380,14516,14412,14210,14390,14386,14501,14549,14596,14826,14722,14602,14753,14337,14659,14733,14772,15063,15181,15189,15184,15117,15139,15391,15253,15045,14968,14940,14981,15037,14987,14883,14998,14729,14888,14757,14625,14973,14747,14788,14557,14136,14402,14329,14470,14490,14507,14394,14348,14145,14905,14962,14695,14694,14536,14290,14203,14193,14141,14185,14096,14103,14164,14137,14027,14117,14035,14120,14304,14303,14194,14302,14234,14456,14708,14723,14760,14892,14953,15180,15111,15082,15093,15304,15338,15437,15607,15521,15431,15433,15498,15445,15330,15433,15693,15592,15785,15868,15914,15947,15936,15813,15703,15635,15694,15535,15496,15620,15775,15825,15703,15452,15513,15378,15165,15247,15159,15526,15512,15852,15743,16062,15978,15660,15723,15477,15327,14975,14926,14653,14336,14117,14147,13965,13993,14163,14058,14076,14186,14111,14198,14047,14089,14128,14309,14425,14290,14216,14252
"16","7","    Machinery manufacturing","KS333M0",13719,13615,13643,13692,13832,13921,14066,14180,14152,14366,14521,14454,14674,14845,14847,14831,14898,14841,15001,15015,15055,14880,14925,14613,15127,15209,15239,15322,15050,14932,15161,14978,15038,15064,15387,15241,15202,15062,14940,15576,15471,15650,15807,16025,15964,15962,15701,16084,16330,16185,16135,15975,15716,15571,15458,15170,15118,14851,14936,14965,14912,15003,15197,15088,15147,14957,15003,15032,14925,14992,14904,15195,15095,15088,15047,14833,14971,14963,14939,14617,14555,14658,14285,14395,14321,14304,14258,14193,14236,14333,14333,14366,14304,14361,14512,14501,14692,14760,14725,14998,15063,15193,15267,15315,15403,15512,15569,15669,15758,15817,15972,16097,16232,16077,16278,16243,16506,16663,16683,16791,16988,16834,16781,16873,16650,16893,17288,17226,17204,17486,17228,17229,17160,17159,17178,17054,16983,16949,17039,16885,16874,17102,17435,17281,17965,17868,17513,17355,17261,16870,16585,16440,16313,15857,15732,15329,15050,14980,14970,14810,14996,15026,15075,15267,15302,15450,15634,15743,16025,16088,16255,16303
"17","8","    Computer and electronic product manufacturing","KS334M0",12930,13018,13714,13661,14058,14432,14747,14718,15343,15721,15788,15781,16161,16091,16261,16406,16390,16175,16235,16035,16075,16253,16041,15725,15820,16015,16853,16721,16725,17185,17518,17122,17364,16914,17626,18460,17747,18528,19178,19156,20008,21063,21125,22007,21863,22050,22931,23428,23725,23424,23035,21789,22220,21816,21806,21389,20861,20709,20672,20401,20236,19919,20024,19910,19621,19390,19052,19044,19068,19082,18961,18702,18677,18919,18667,18437,18668,18459,18174,18086,17842,18119,17923,18081,18164,18083,18532,18760,17951,18313,18589,18135,17923,18434,18402,18507,18903,18923,18535,18511,18537,18306,18222,18395,18786,18581,18973,19017,18926,18668,19216,19364,19478,19597,20057,20533,20169,20565,20441,20088,20215,20241,20406,20604,21112,21419,20922,20886,20941,21191,21405,21469,21371,21495,21936,21550,21492,21519,21369,21651,21677,21683,21649,21659,21581,21803,21188,21374,20976,20644,20558,20142,20370,20268,19951,19717,19621,19309,19330,19582,19933,20050,20172,20055,19967,20352,20615,20683,20863,21009,21290,21593
"18","9","    Electrical equipment, appliance, and component manufacturing","KS335M0",5355,5394,5460,5601,5633,5727,5708,5701,5794,5790,5841,5873,5921,5906,5987,5889,5869,5936,5905,5926,5855,5923,5926,5938,5930,5913,5894,5918,5949,5922,6062,6107,6052,6099,6106,6102,6229,6287,6242,6242,6182,6195,6338,6454,6617,6621,6755,6701,6625,6742,6635,6719,6715,6582,6413,6438,6402,6501,6381,6389,6300,6372,6332,6351,6360,6327,6395,6349,6324,6319,6336,6263,6352,6316,6267,6249,6254,6220,6114,6073,6005,5999,5934,6000,6040,5877,5946,5920,5939,5976,5961,6037,6012,6042,5958,5961,5945,5952,6040,6037,6025,6062,6035,6036,6116,6043,6089,6085,6142,6105,6102,6110,6023,5934,6019,6031,5885,5973,5926,6057,6023,6087,6070,6055,6040,6006,6004,6059,5924,6015,6144,6219,6293,6333,6251,6385,6271,6247,6241,6313,6253,6263,6189,6182,6208,6028,5984,5828,5818,5696,5601,5456,5306,5214,5163,5091,5106,5150,5231,5205,5250,5328,5372,5462,5428,5397,5356,5273,5172,5214,5244,5268
"19","10","    Transportation equipment manufacturing","KS336M0",18223,18030,18182,18424,18431,18288,18783,18887,19174,19280,18711,19090,19908,20297,20566,20334,20246,20923,20779,20563,20936,21169,21509,21591,21615,22059,21619,21435,21839,21922,21966,21625,21827,21495,21439,21924,22149,21881,21300,21896,21894,21761,21791,21527,21625,21909,22298,21985,21705,21533,20819,20568,20480,20264,20373,20434,20076,20249,20100,20024,19593,19576,19678,19940,19650,19403,19156,19383,19199,19215,19024,19326,19095,19203,19088,19110,18841,19067,18922,18981,18930,18862,18991,18924,18913,19205,19450,19547,19817,19822,20052,20116,20044,20116,20409,20315,20813,20493,20965,20919,20903,21057,21091,20931,20851,21248,21205,21271,20730,21041,21496,21751,21888,21958,22404,22372,22575,22659,22921,22355,22421,22360,22264,22617,22634,22653,22754,22883,22763,22802,22982,23028,23200,22774,22787,22478,22468,22630,22729,22377,22003,21951,22158,21988,21587,21585,21409,21379,21519,20530,20377,20456,20384,20062,19841,20162,20113,20837,20499,20287,19954,20239,20090,19990,20088,19999,19865,19893,19729,19586,19164,19240
"20","11","      Motor vehicle and parts manufacturing","KS3MVM0",10818,10926,11189,11216,11361,11097,11525,11604,11054,11330,11350,11302,11318,11406,11445,11341,11409,12201,11835,11731,11937,12158,12134,12036,12083,12341,12257,12447,12738,12739,12598,12564,12509,12486,13140,13252,13250,13157,13175,13202,12825,12708,12853,12707,12800,12728,12573,12488,12305,12246,11981,11806,11733,11848,11852,11743,11588,11692,11430,11252,11045,11239,11397,11492,11578,11566,11695,11734,11898,11882,11770,11936,11988,12147,12039,12031,12002,12108,11982,11986,12118,12049,12042,12136,12227,12359,12426,12332,12387,12529,12550,12516,12567,12580,12683,12497,12758,12723,12928,12829,12730,12854,12771,12608,12627,12709,12676,12724,12370,12477,12828,12950,12984,12991,13231,13051,12931,13012,13003,13078,12987,13090,12893,12815,12771,12688,12875,12881,12783,12679,12544,12515,12232,12195,12158,11941,12001,11710,11963,11737,11115,11114,11043,10836,10623,10588,10410,10434,10470,9909,10013,9913,9637,9460,9421,9565,9412,9944,9771,9640,9614,9966,9806,9732,9982,10145,9982,10023,10035,9987,9635,9857
"21","12","      Other transportation equipment manufacturing","KS3OTM0",7394,7090,6978,7193,7054,7177,7242,7268,8110,7938,7349,7777,8580,8880,9110,8982,8826,8712,8933,8820,8986,8998,9360,9538,9516,9702,9349,8980,9094,9174,9358,9053,9308,9001,8296,8667,8892,8718,8123,8688,9060,9043,8930,8812,8818,9169,9707,9481,9384,9272,8826,8749,8734,8408,8512,8679,8477,8546,8655,8755,8532,8324,8270,8435,8063,7830,7458,7644,7299,7330,7251,7386,7105,7056,7048,7079,6839,6959,6939,6994,6812,6814,6949,6790,6688,6847,7024,7214,7429,7292,7502,7600,7477,7535,7725,7819,8056,7770,8037,8090,8174,8203,8321,8323,8225,8539,8530,8548,8361,8565,8669,8802,8904,8967,9174,9322,9645,9648,9918,9277,9434,9270,9371,9802,9864,9965,9879,10002,9980,10122,10436,10511,10962,10573,10621,10526,10454,10912,10751,10625,10882,10830,11108,11144,10957,10990,10990,10938,11040,10611,10359,10536,10732,10588,10408,10584,10685,10881,10717,10635,10330,10265,10274,10249,10098,9849,9877,9864,9688,9593,9523,9376
"22","13","    Furniture and related product manufacturing","KS337M0",3759,3739,3767,3764,3914,3909,3858,3838,3908,3916,3958,3952,3990,4012,3917,3993,3973,3971,3913,3916,3952,3953,3916,3931,3968,3922,3964,3963,3978,3984,4063,4023,3954,3931,4029,4071,3980,4020,4005,4030,4072,4138,4133,4185,4210,4244,4263,4202,4264,4189,4328,4222,4237,4171,4104,4035,4047,4018,4070,3952,3902,3977,4005,3943,3974,3998,3989,3955,4005,4012,3994,4082,4077,3962,4019,4010,4084,4045,4033,3999,3898,3899,3949,3921,3958,3863,3793,3876,3932,3993,4077,4029,4054,4022,4008,3996,3965,3910,3978,3927,3923,4047,4093,4042,4073,4060,4166,4165,4198,4195,4237,4270,4228,4197,4195,4224,4227,4259,4259,4261,4321,4258,4200,4316,4282,4313,4333,4291,4280,4314,4308,4290,4258,4191,4194,4139,4264,4179,4198,4167,4059,3979,4010,3982,3934,3813,3755,3754,3773,3682,3596,3592,3561,3547,3541,3561,3532,3536,3522,3552,3544,3573,3618,3670,3683,3719,3693,3697,3714,3674,3665,3677
"23","14","    Miscellaneous durable goods manufacturing","KS339M0",5847,5854,5889,5816,5849,5932,5902,6045,6005,6003,5985,6110,6060,6106,6182,6246,6303,6298,6358,6371,6476,6630,6574,6570,6596,6653,6699,6720,6622,6597,6563,6530,6694,6670,6704,6709,6801,6768,6715,6776,6748,6682,6695,6808,6794,6829,6849,6835,6806,6800,6901,6789,6886,6939,6739,6737,6719,6685,6692,6770,6564,6503,6706,6648,6762,6687,6770,6742,6752,6665,6433,6603,6573,6598,6530,6525,6501,6565,6556,6539,6632,6653,6590,6614,6645,6589,6467,6522,6478,6597,6615,6512,6512,6528,6500,6492,6486,6537,6527,6533,6476,6589,6714,6745,6780,6831,6890,6876,6867,6925,6907,6914,6995,6880,6870,6939,6979,6940,6930,7025,7038,7078,7098,7029,7069,7096,7121,7187,7154,7178,7228,7237,7244,7254,7240,7225,7207,7179,7218,7161,7225,7225,7319,7368,7468,7518,7508,7504,7467,7498,7416,7377,7366,7325,7295,7267,7243,7155,7118,7002,7005,7024,7040,7054,7090,7003,7093,7210,7167,7182,7177,7165
"24","15","  Nondurable goods industries","KS30NM0",76296,76904,77089,77214,77292,77193,76870,77120,77920,78519,77726,78519,78920,79105,79189,78533,77861,78340,78572,78548,78260,78140,78084,77677,78193,78475,78455,78886,79309,79355,79436,79814,79783,79747,80292,81156,81033,80509,80483,80134,80151,79993,80051,79914,79783,78721,79399,78397,79149,77942,77992,78013,78000,77561,78052,77553,77476,77835,78209,77138,77122,76325,76181,76745,76829,76600,77562,77740,77708,77724,78525,77746,78391,78736,77802,78370,78113,77367,76493,76792,76779,76348,76711,75955,75818,76415,76142,76007,75456,75455,76237,76203,75913,76269,76536,76185,77011,76977,77445,77342,77249,77094,77186,77115,76823,76987,76081,77369,77298,77503,77906,77927,79493,79050,79075,79570,79919,78430,78726,78355,78117,78270,77792,78131,78813,78725,77563,77557,79077,78620,78188,77947,80111,79750,79997,79831,79974,79865,79211,79107,79517,78764,78015,75381,75419,74823,74964,74460,75028,74946,75870,75779,75483,76042,76844,77435,77069,78383,78414,77512,75688,75186,76567,75503,76123,76124,76347,76987,77129,77775,77648,77591
