"","Table 8#22# Relation of Consumption of Fixed Capital in the Nati","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 09, 2002   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/25/2003 11:28:47 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
"8",NA,"      Corporations"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","Depreciation and amortization, IRS","B1208C",3.9,4,4,3.7,3.5,3.4,3.4,3.3,3.3,3.4,3.4,3.5,3.9,4.3,4.6,4.9,5.9,4.3,5.3,6.3,7.2,7.9,9.1,10.3,11.9,13.5,16,17.6,19.4,20.7,22.1,23.4,24.7,28.2,30.1,32,34.4,37.7,41.1,44.7,49.5,53.7,58,64.7,71.3,79.3,87.2,94.1,108,122.5,139.5,158.7,201.1,229.7,255.2,286.9,323.4,327.4,342.9,362.1,375.7,381.5,390.1,397.5,417.2,454.1,496.7,535.8,583.5,628.6,678,NA,NA
"10","2","Less: Depreciation of assets of foreign branches","B1209C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.8,1,1.1,1.2,1.3,1.4,1.6,1.7,1.9,2.2,2.4,2.6,3,2.6,2.7,2.9,2.9,3,3,2.8,2.4,2.6,2.8,3.1,3.2,2.6,3.3,3.5,3.3,3.2,2.8,NA,NA
"11","3","      Depreciation or amortization of intangible assets \1\","B1210C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.4,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.7,2.2,2.6,3.1,3.8,7.1,8.6,10.4,13.3,16.3,18.6,21.2,22.9,24.1,27.7,32,38.5,48,56.1,NA,NA
"12","4","      Other \2\","B1211C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,0.4,0.4,0.1,0.1,0.3,0.1,0.2,0.1,0.3,0.5,0.6,0.8,1.8,2.1,2.4,2.8,3.3,3.9,4.5,5.2,5.9,6.6,7.1,7.9,9.2,10.1,10.9,11.8,12.3,13.3,14.9,17.5,20.7,21.7,NA,NA
"13","5","Plus: Accidental damage to fixed capital other than repairable damage","B1212C",0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.3,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.4,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.7,0.6,0.7,0.7,0.8,0.8,0.8,1.6,1.1,1.1,1.2,1.1,1.3,1.3,1.4,1.5,1.5,1.6,1.7,1.7,1.9,2.1,2.2,2.3,4.1,2.7,2.9,6.1,5.9,9,4.1,4,4,4.2,5.3,NA,NA
"14","6","      Depreciation of computer software not in IRS depreciation","B1215C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,0.3,0.4,0.6,0.7,0.9,1.1,1.4,1.7,2.1,2.6,3.1,3.6,4.2,4.9,5.7,6.8,8.2,10,12.1,14.5,17.1,19.6,22.4,26,30.4,35.1,39.9,44.5,49.2,53.9,59.2,66.8,77.7,91,NA,NA
"15","7","      Depreciation of mining exploration, shafts, and wells charged to current expense","B1213C",0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.7,0.8,0.9,1,1,1.1,1.2,1.3,1.3,1.4,1.5,1.5,1.6,1.6,1.7,1.8,1.9,2,2.1,2.1,2.2,2.5,2.9,3.2,3.8,4.7,6,7.8,10,12,13.8,15.6,16.7,17.1,17.4,17.8,18,18,16.9,15.9,14.5,13.3,12.3,12.3,12.2,12.3,NA,NA
"16","8","      Depreciation of motor vehicles not in IRS depreciation \3\","B1315C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.2,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.9,0.9,1,1,1,1,1.7,1.9,2.1,2.2,2.3,2.6,3,3.4,3.8,4.1,4.3,4.7,5.1,5.4,5.4,5.3,5.5,5.4,5.4,5.4,5.6,5.6,NA,NA
"17","9","      Depreciation of railroad track charged to current expense \4\","B1628C",0.4,0.3,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.7,0.7,0.7,0.9,0.9,1.3,1.5,1.5,1.7,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","10","      Other \5\","B1214C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.3,0.7,NA,NA,NA,NA,NA,NA,0.1,0.2,0.2,0.3,0.1,0.1,0.1,0,0.1,0.3,0.2,0.3,0.5,0.6,0.9,1.1,1.2,1.3,1.3,1.1,0.9,0.5,0.2,0.1,0.2,0.2,0.2,0.5,0.6,0.8,0.8,2.9,2.3,1,1.1,1.2,1.3,1.3,1.4,1.4,1.5,1.5,1.6,1.6,1.6,1.6,1.6,1.8,1.6,NA,NA
"19","11","Equals: Capital consumption allowances, NIPA's","A677RC1",4.6,4.6,4.6,4.2,3.9,3.8,3.8,3.8,3.9,3.9,3.9,4,4.5,5.4,5.8,6.6,6.9,5.2,6.3,7.5,8.5,9.3,10.8,12.1,13.8,15.5,17.9,19.4,21.4,22.4,24,25.6,27,30.8,32.9,35.1,38,41.3,45,49.1,54.1,58.1,62.6,70,76.2,84.4,92.7,100.5,115.1,130.5,149,170.3,212.8,246.7,274.6,307.9,348.1,352.3,369.1,389.5,405.9,411.1,421.4,432.2,452.6,494.9,530.7,568.1,614.5,658.1,713.3,741.9,845.6
