"","Table 6#5C# Full-Time Equivalent Employees by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","[Thousands]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 09, 2002   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/25/2003 11:10:03 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
"8","1","      Full-time equivalent employees \1\","A4301C0C",98178,101047,103754,104908,103356,103540,105096,107977,111017,113300,116246,119401,122028,124779,124438
"9","2","Domestic industries","A4302C0C",98244,101122,103837,104990,103438,103628,105503,108429,111468,113716,116693,119840,122514,125276,124959
"10","3","  Private industries \2\","A4303C0C",81007,83480,85792,86650,85055,85301,87242,90181,93133,95388,98258,101236,103767,106233,105514
"11","4","    Agriculture, forestry, and fishing","A4304C0C",1564,1665,1625,1618,1614,1581,1623,1679,1760,1789,1833,1979,2066,2078,2085
"12","5","      Farms","B4305C0C",826,859,795,788,780,742,734,720,744,713,751,754,791,763,746
"13","6","      Agricultural services, forestry, and fishing","B4306C0C",738,806,830,830,834,839,889,959,1016,1076,1082,1225,1275,1315,1339
"14","7","    Mining","A4307C0C",699,709,684,701,680,626,601,593,575,571,589,582,528,530,556
"15","8","      Metal mining","B4308C0C",44,51,57,59,56,54,51,49,52,54,54,49,44,40,35
"16","9","      Coal mining","B4309C0C",157,148,143,144,133,124,110,110,103,97,95,91,84,77,80
"17","10","      Oil and gas extraction","B4310C0C",390,398,374,388,388,348,339,332,315,315,333,333,290,302,331
"18","11","      Nonmetallic minerals, except fuels","B4311C0C",108,112,110,110,103,100,101,102,105,105,107,109,110,111,110
"19","12","    Construction","B4312C0C",4854,5015,5093,5040,4578,4405,4563,4883,5180,5444,5753,6073,6468,6777,6821
"20","13","    Manufacturing","A4313C0C",18590,18935,18988,18679,18006,17671,17662,18010,18190,18168,18352,18502,18277,18159,17319
"21","14","      Durable goods","A4314C0C",10993,11233,11239,10959,10417,10129,10077,10335,10561,10664,10878,11094,11004,11004,10445
"22","15","        Lumber and wood products","B4315C0C",743,760,746,725,672,678,709,758,772,782,794,817,844,827,783
"23","16","        Furniture and fixtures","B4316C0C",502,512,511,493,457,459,473,493,502,497,502,522,539,546,510
"24","17","        Stone, clay, and glass products","B4317C0C",545,559,562,550,513,501,509,527,530,532,544,558,562,571,560
"25","18","        Primary metal industries","B4318C0C",732,762,764,749,716,681,672,691,697,703,705,710,692,694,640
"26","19","        Fabricated metal products","B4319C0C",1375,1404,1414,1398,1327,1308,1317,1371,1421,1426,1461,1493,1508,1523,1439
"27","20","        Industrial machinery and equipment","B4320C0C",2013,2076,2091,2053,1978,1896,1905,1964,2051,2074,2136,2176,2102,2080,1973
"28","21","        Electronic and other electric equipment","B4321C0C",1756,1748,1730,1664,1581,1518,1512,1564,1607,1645,1675,1690,1648,1699,1604
"29","22","        Motor vehicles and equipment","B4322C0C",844,843,844,816,776,813,830,892,961,959,974,988,1016,1013,934
"30","23","        Other transportation equipment","B4323C0C",1160,1177,1188,1171,1089,1009,908,844,809,815,849,892,866,828,803
"31","24","        Instruments and related products","B4324C0C",957,1012,1004,975,947,905,872,846,827,842,851,859,836,831,828
"32","25","        Miscellaneous manufacturing industries","B4325C0C",366,380,385,365,361,361,370,385,384,389,387,389,391,392,371
"33","26","      Nondurable goods","A4326C0C",7597,7702,7749,7720,7589,7542,7585,7675,7629,7504,7474,7408,7273,7155,6874
"34","27","        Food and kindred products","B4327C0C",1555,1571,1577,1596,1604,1593,1610,1633,1642,1654,1651,1649,1658,1661,1659
"35","28","        Tobacco products","B4328C0C",54,54,51,50,48,47,44,42,41,40,40,39,36,34,33
"36","29","        Textile mill products","B4329C0C",712,713,705,682,652,657,664,670,654,624,611,591,552,528,467
"37","30","        Apparel and other textile products","B4330C0C",1060,1053,1043,1001,968,962,953,960,919,846,804,744,675,597,540
"38","31","        Paper and allied products","B4331C0C",669,676,684,687,680,678,683,685,685,677,675,671,661,649,622
"39","32","        Printing and publishing","B4332C0C",1392,1441,1469,1474,1441,1404,1411,1449,1450,1444,1465,1477,1466,1463,1419
