"","Table 6#15C# Net Interest by Industry Group","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 09, 2002   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/25/2003 11:11:38 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
"8","1","      Net interest","B060RC0C",361519,389394,443068,452417,429768,399453,374336,380528,389821,386277,423880,511864,526622,611494,649836
"9","2","Domestic industries","A1850C0C",394489,426775,485638,493863,476676,441426,423002,436522,456994,464506,522639,612549,618366,725550,772481
"10","3","  Agriculture, forestry, and fishing","B1851C0C",13060,12194,11857,11430,10364,9188,8719,9532,9981,10162,10440,10886,11208,11925,11887
"11","4","  Mining","B1852C0C",2894,2910,2713,2431,2711,1876,1588,1895,1806,1913,1926,3210,3633,4985,5368
"12","5","  Construction","B1853C0C",1175,1938,2502,2265,1971,793,882,781,363,535,827,1567,2328,3255,3610
"13","6","  Manufacturing","A1854C0C",36722,44278,57876,62002,55546,44033,42900,45562,48884,42576,44906,56238,66854,75411,81452
"14","7","    Durable goods","B1855C0C",11661,13718,18140,20728,19357,11485,10948,11307,12002,6913,7826,15545,21325,25762,29219
"15","8","    Nondurable goods","B1856C0C",25061,30560,39736,41274,36189,32548,31952,34256,36882,35664,37080,40693,45529,49649,52232
"16","9","  Transportation and public utilities","A1857C0C",36749,38465,43333,44798,45377,42200,40827,40149,42286,43745,46435,52381,59431,73199,76090
"17","10","    Transportation","B1858C0C",4970,5652,6623,6959,6992,6558,6100,6137,6609,6419,6940,7861,9988,11167,11611
"18","11","    Communications","B1859C0C",9323,11116,13180,14270,14616,12687,12401,11706,13389,14678,16533,20403,24401,30695,32156
"19","12","    Electric, gas, and sanitary services","B1860C0C",22456,21696,23529,23568,23769,22955,22326,22306,22288,22649,22961,24117,25043,31337,32322
"20","13","  Wholesale trade","B1861C0C",7147,9901,10961,10678,9113,6063,4540,6611,9036,8559,11657,13607,14734,16087,16979
"21","14","  Retail trade","B1862C0C",12020,16733,23299,21971,18674,12670,10927,11597,14925,15946,16640,16952,16754,23066,24235
"22","15","  Finance, insurance, and real estate","A1863C0C",268881,283035,309502,314313,311142,307514,297541,305638,315801,325696,371796,436479,418900,491924,524813
"23","16","    Finance","B1864C0C",1594,-11079,-9561,-20161,-26346,-21773,-18871,-4753,-12409,-3521,25052,59719,25508,57361,63963
"24","17","    Real estate","B1865C0C",272760,298113,324195,341259,345397,336707,324097,320723,343006,350608,368586,389066,412980,458202,483090
"25","18","    Other","B1866C0C",-5473,-3999,-5132,-6785,-7910,-7419,-7685,-10332,-14795,-21391,-21842,-12307,-19588,-23639,-22239
"26","19","  Services","A1867C0C",15842,17321,23596,23976,21777,17089,15078,14756,13913,15373,18013,21230,24525,25700,28046
"27","20","Rest of the world","A1627C0C",-32970,-37381,-42570,-41446,-46908,-41973,-48666,-55994,-67174,-78228,-98759,-100686,-91744,-114057,-122645
"28","21","  Receipts from the rest of the world","A2067C0C",62556,79104,100919,107235,92725,74737,63261,78274,102139,103181,120063,138867,139109,177215,142147
"29","22","  Less:  Payments to the rest of the world","B1869C0C",95526,116485,143489,148681,139633,116710,111927,134268,169313,181409,218822,239553,230853,291272,264792
"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","  Note.  Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
