"","Table 6#17A# Corporate Profits Before Tax by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1948",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 28, 2000     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/25/2003 11:12:07 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948
"8","1","    Corporate profits before tax","A053RC0A",10595,4291,357,-1480,1728,3079,4216,6931,7450,4443,7628,10437,18342,22047,25552,24455,20021,24936,31945,35876
"9","2","Domestic industries","E561RC0A",10363,4154,361,-1446,1730,3019,4057,6827,7178,4142,7304,10171,17951,21669,25180,24032,19679,24245,30959,34615
"10","3","  Agriculture, forestry, and fisheries","A3003C0A",11,-37,-67,-65,-26,-26,11,21,8,-9,6,19,55,82,108,100,94,146,157,163
"11","4","    Farms","B3004C0A",2,-44,-68,-64,-29,-29,8,16,4,-10,4,18,50,71,102,94,89,140,152,159
"12","5","    Agricultural services, forestry, and fisheries","B3005C0A",9,7,1,-1,3,3,3,5,4,1,2,1,5,11,6,6,5,6,5,4
"13","6","  Mining","A3006C0A",472,126,-129,-74,-23,168,177,322,514,280,346,483,647,598,523,508,411,464,988,1516
"14","7","    Metal mining","B3007C0A",253,43,-32,-45,20,58,81,136,242,122,180,239,268,293,177,129,104,79,215,282
"15","8","    Anthracite mining","B3077C0A",10,13,7,-12,-7,0,-11,-5,-13,-12,-13,6,15,18,17,22,11,34,35,444
"16","9","    Bituminous and other soft coal mining","B3008C0A",16,-7,-21,-26,-21,19,8,12,16,-13,13,45,79,107,140,145,113,122,327,-2
"17","10","    Crude petroleum and natural gas","B3009C0A",133,32,-96,12,-17,78,80,144,228,162,130,153,221,111,134,162,132,143,298,652
"18","11","    Nonmetallic mining and quarrying","B3010C0A",60,45,13,-3,2,13,19,35,41,21,36,40,64,69,55,50,51,86,113,138
"19","12","  Contract construction","B3011C0A",148,118,18,-68,-31,9,31,71,66,38,47,85,205,329,246,127,96,229,400,684
"20","13","  Manufacturing","E563RC0A",4896,1674,-298,-1229,892,1426,2168,3617,3781,1639,3750,5607,10969,12499,14320,13426,10101,12032,17251,18987
"21","14","    Durable goods","E565RC0A",2568,658,-576,-1327,-185,321,875,1711,2049,509,1662,3109,6621,7269,8081,7371,4651,3667,7731,9137
"22","15","      Lumber and basic timber products","B3014C0A",112,-7,-83,-85,3,-6,15,56,78,5,39,95,199,213,188,170,113,279,534,754
"23","16","      Furniture and finished lumber products","B3015C0A",38,-39,-60,-77,-19,-8,7,35,31,16,56,76,153,145,141,160,134,240,285,-3
"24","17","      Stone, clay, and glass products","B3016C0A",156,63,-16,-72,4,48,78,158,152,70,162,208,357,347,293,233,214,376,462,549
"25","18","      Iron and steel and their products, including ordnance","B3017C0A",856,282,-147,-306,-31,114,195,395,531,24,323,647,1634,2058,2137,1815,1202,1066,1947,3700
"26","19","      Nonferrous metals and their products","B3018C0A",212,49,-15,-50,59,114,138,187,197,49,155,223,386,365,485,428,260,391,586,-4
"27","20","      Machinery, except electrical","B3019C0A",495,180,-65,-204,-34,114,193,353,451,213,340,686,1422,1612,1479,1293,856,714,1488,1664
"28","21","      Electric and electronic equipment","B3020C0A",100,-30,-121,-186,-160,-149,-42,41,97,10,109,272,621,638,813,821,496,156,783,833
"29","22","      Motor vehicles and equipment","B3021C0A",462,161,41,-192,62,99,249,394,374,68,331,533,868,338,332,304,170,120,1236,1637
"30","23","      Other transportation equipment","B3022C0A",44,3,-50,-50,-40,-23,-24,8,52,11,63,261,756,1304,1903,1852,961,-27,1,-4
"31","24","      Miscellaneous manufacturing, including instruments and miscellaneous plastic products","B3024C0A",93,-4,-60,-105,-29,18,66,84,86,43,84,108,225,249,310,295,245,352,409,-4
"32","25","    Nondurable goods","E564RC0A",2328,1016,278,98,1077,1105,1293,1906,1732,1130,2088,2498,4348,5230,6239,6055,5450,8365,9520,9850
"33","26","      Food and kindred products","B3026C0A",467,369,196,91,365,426,415,542,364,372,565,579,906,1262,1517,1519,1431,2036,1853,1603
"34","27","      Tobacco manufactures","B3027C0A",140,155,164,174,77,126,120,139,134,137,149,161,184,194,194,170,142,168,187,238
"35","28","      Textile mill products","B3028C0A",178,-162,-115,-124,201,62,100,202,117,-4,185,227,620,857,829,784,726,1409,1545,1503
"36","29","      Apparel and other textile products","B3029C0A",38,-35,-61,-70,22,24,26,57,31,18,51,61,144,222,259,257,249,504,463,304
"37","30","      Paper and allied products","B3030C0A",110,55,-1,-50,41,76,84,111,138,50,121,201,395,368,399,408,339,584,944,800
"38","31","      Printing and publishing","B3031C0A",263,176,97,18,79,116,140,176,151,100,145,175,213,261,482,592,600,661,632,595
"39","32","      Chemicals and allied products","B3032C0A",421,290,201,116,241,295,315,395,388,296,510,645,1018,1070,1199,1138,975,1425,1709,1552
"40","33","      Petroleum and coal products","B3033C0A",636,225,-164,-10,-4,-47,26,194,357,133,255,341,611,677,916,752,607,1034,1756,2882
