"","Table 2#2# Personal Consumption Expenditures by Major Type of Pr","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published November 25, 2003 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/25/2003 10:57:18 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
"8","1","    Personal consumption expenditures","A002RC",77.5,70.2,60.7,48.7,45.9,51.5,55.9,62.2,66.8,64.2,67.2,71.2,81,88.9,99.7,108.5,119.8,144.2,162.3,175.4,178.8,192.7,208.6,219.7,233.4,240.5,259,271.9,287,296.6,318.1,332.3,342.7,363.8,383.1,411.7,444.3,481.8,508.7,558.7,605.5,648.9,702.4,770.7,852.5,932.4,1030.3,1149.8,1278.4,1430.4,1596.3,1762.9,1944.2,2079.3,2286.4,2498.4,2712.6,2895.2,3105.3,3356.6,3596.7,3831.5,3971.2,4209.7,4454.7,4716.4,4969,5237.5,5529.3,5856,6246.5,6683.7,6987,7303.7
"9","2","Durable goods","B003RC",9.2,7.2,5.5,3.6,3.5,4.2,5.1,6.3,6.9,5.7,6.7,7.8,9.7,6.9,6.5,6.7,8,15.8,20.4,22.9,25.1,30.7,29.9,29.3,32.7,31.9,38.8,38.1,40,37.4,42.7,43.3,41.8,46.9,51.6,56.7,63.3,68.3,70.4,80.8,85.9,85,96.9,110.4,123.5,122.3,133.5,158.9,181.2,201.7,214.4,214.2,231.3,240.2,281.2,326.9,363.3,401.3,419.7,450.2,467.8,467.6,443,470.8,513.4,560.8,589.7,616.5,642.5,693.2,755.9,803.9,835.9,871.9
"10","3","  Motor vehicles and parts","A165RC",3.3,2.2,1.6,1,1.1,1.4,1.9,2.4,2.5,1.7,2.3,2.8,3.5,0.7,0.8,0.8,1,4.1,6.6,8,10.6,13.7,12.2,11.4,13.9,12.8,17.7,15.8,17.6,15.1,18.9,19.7,17.8,21.5,24.4,26,29.9,30.3,30,36.1,38.4,35.5,44.5,51.1,56.1,49.5,54.8,71.3,83.5,93.1,93.5,87,95.8,102.9,126.9,152.5,175.7,192.4,193.1,206.1,211.4,206.4,182.8,200.2,222.1,242.3,249.3,256.3,264.2,288.8,319.1,336.6,361.3,376.1
"11","4","  Furniture and household equipment","A166RC",4.7,3.8,3,2.1,1.9,2.2,2.5,3.1,3.5,3.1,3.4,3.8,4.8,4.6,3.9,3.8,4.5,8.4,10.6,11.5,11.3,13.7,14.1,14,14.7,14.8,16.4,17.3,17.2,16.9,18.1,18,18.3,19.3,20.7,23.2,25.1,28.2,30,32.9,34.7,35.7,37.8,42.4,47.9,51.5,54.5,60.2,67.2,74.3,82.7,86.7,92.1,93.4,106.6,119,128.5,143,153.4,163.6,171.4,171.4,171.5,178.7,192.4,211.2,225,236.9,248.9,265.2,285.5,304.8,306.1,318.7
"12","5","  Other","A167RC",1.2,1.1,0.9,0.6,0.5,0.6,0.7,0.8,1,0.9,1,1.1,1.3,1.6,1.9,2.1,2.5,3.2,3.3,3.4,3.2,3.3,3.6,3.9,4.1,4.3,4.6,5,5.2,5.4,5.7,5.7,5.7,6.1,6.6,7.5,8.2,9.8,10.4,11.8,12.9,13.7,14.6,16.9,19.5,21.3,24.2,27.4,30.5,34.3,38.2,40.5,43.4,43.9,47.7,55.4,59,66,73.2,80.5,84.9,89.8,88.7,91.9,98.9,107.2,115.4,123.3,129.4,139.3,151.2,162.4,168.4,177.1
"13","6","Nondurable goods","B004RC",37.7,34,29,22.7,22.3,26.7,29.3,32.9,35.2,34,35.1,37,42.9,50.8,58.6,64.3,71.9,82.7,90.9,96.6,94.9,98.2,109.2,114.7,117.8,119.7,124.7,130.8,137.1,141.7,148.5,152.9,156.6,162.8,168.2,178.7,191.6,208.8,217.1,235.7,253.2,272,285.5,308,343.1,384.5,420.7,458.3,497.2,550.2,624.4,696.1,758.9,787.6,831.2,884.7,928.8,958.5,1015.3,1082.9,1165.4,1246.1,1278.8,1322.9,1375.2,1438,1497.3,1574.1,1641.6,1708.5,1830.1,1972.9,2041.3,2115
"14","7","  Food","A168RC",19.5,18,14.7,11.4,11.5,14.2,16.2,18.4,19.9,18.9,19.1,20.2,23.4,28.4,33.2,36.7,40.6,47.4,52.3,54.2,52.5,53.9,60.7,64.1,65.4,66.8,68.6,71.4,75.1,77.9,80.7,82.3,84,86.1,88.3,93.6,100.7,109.3,112.5,122.2,131.5,143.8,149.7,161.4,179.6,201.8,223.2,242.5,262.7,289.6,324.7,356,383.5,403.4,423.8,447.4,467.6,492,515.3,553.5,591.9,636.9,657.6,669.3,697.9,728.2,755.8,786,812.2,852.6,898.9,955,992.4,1029.4
"15","8","  Clothing and shoes","A169RC",9.4,8,6.9,5.1,4.6,5.7,6,6.6,6.8,6.8,7.1,7.5,8.8,11,13.4,14.6,16.5,18.2,18.8,20.1,19.3,19.6,21.3,22,22.2,22.3,23.3,24.4,24.5,24.9,26.4,27,27.6,29,29.8,32.4,34.1,37.4,39.2,43.2,46.5,47.8,51.7,56.4,62.5,66,70.8,76.6,84.1,94.3,101.2,107.3,117.2,120.5,130.9,142.5,152.1,163.1,174.4,185.5,198.9,204.1,208.7,221.9,231.1,240.7,247.8,258.6,271.7,284.8,301,313.7,315.3,324.3
"16","9","  Gasoline, fuel oil, and other energy goods","A173RC",3.4,3.3,2.9,2.6,2.6,2.9,3,3.4,3.6,3.5,3.6,3.8,4.3,3.9,3.3,3.4,4,5.9,7,8.2,8.4,8.9,9.6,10.2,10.9,11.4,12.4,13.3,14.3,14.8,15.3,15.8,15.8,16.4,17,17.7,19.2,20.7,21.9,23.3,25,26.3,27.7,29.5,34.4,44,48.1,53.2,58,61.6,80.6,102.1,113.7,108.6,106.7,108.4,110.8,91.4,96.6,99.3,108.9,120.2,114.8,117.1,119.4,122.5,127.4,139.7,143.2,127.9,142.9,182.5,178.6,173.5
