"","Table 8#24# Relation of Net Farm Income in the National Income a","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1967 To 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 09, 2002   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/25/2003 11:28:53 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
"8","1","Net farm income, USDA","B1448C",12.3,12.3,14.3,14.4,15,19.5,34.4,27.3,25.5,20.2,19.9,25.2,27.4,16.1,26.9,23.8,14.2,26.1,28.8,31.1,37.4,38,45.3,44.7,38.7,47.9,44.5,49.2,37.2,55,48.7,42.9,44.3,46.5,45.6
"9","2","Plus: Depreciation and other consumption of farm capital, USDA","B1449C",5.5,5.9,6.2,6.5,7.1,7.5,8.5,10.1,11.9,13.4,15,16.5,19,21.1,23.1,22.9,22.4,19.4,17.9,16.4,15.8,16.3,16.7,16.8,16.8,16.9,17,17.2,17.5,18,18.1,18.2,18.4,18.7,19
"10","3","      Farm housing, NIPA's","B1007C",2.7,2.8,3,3.3,3.5,3.7,3.8,3.9,4,4.1,4.3,4.6,4.8,5.1,5.2,5,5.1,5.1,5,4.9,4.9,4.8,5,5.1,5.2,5.3,5.6,5.9,6,6.2,6.4,6.7,7.2,7.6,8
"11","4","      Monetary interest received by farm corporations","B1450C",0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.3,0.4,0.6,0.7,0.5,0.5,0.5,0.5,0.5,0.6,0.7,0.7,0.6,0.5,0.5,0.6,0.7,0.8,0.7,0.8,0.8,0.9,0.9
"12","5","      Valuation adjustment, Commodity Credit Corporation loans","B2637C",0,0,-0.1,0,0,-0.1,-0.9,-0.8,0,0.1,-0.1,-0.3,-0.4,-0.3,-0.8,-1.2,-2.2,0.2,-1.1,-0.9,0,-1.5,-0.2,-0.1,-0.1,-0.4,-0.1,-0.4,-0.9,-0.6,0.4,0,-0.1,0.4,-0.3
"13","6","Less: Consumption of fixed capital, NIPA's","B366RC",4.8,5.1,5.5,5.8,6.3,6.7,7.4,8.6,10.2,11.3,12.6,14.1,16.1,18.6,20.4,21.6,21.5,21.4,21,20.8,20.6,20.7,21.4,22.1,22.6,23.4,23.5,23.7,24.6,25.4,26.3,27.3,28.9,28.7,29.4
"14","7","      Gross rental value of farm housing, USDA","B2638C",2.7,2.8,3,3.3,3.5,3.7,4.1,4.9,5.4,6.1,7.3,8.1,9.3,11,12.6,13.1,12.6,4.9,4.7,4.6,5,7.7,7.2,7.2,7.2,7.2,8.1,9,9.4,9.9,10.1,9.8,10.4,10.4,10.5
