"","Table 9#3U# Gross Domestic Product and Final Sales of Software  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","                                                                                                                                                                                                                                                          ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1999 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/29/2014 2:03:26 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8",NA,"[Billions of chained (2009) dollars]:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","Gross domestic product (GDP)","A191RX1",12071.4,12565.2,12684.4,12909.7,13270,13774,14235.6,14615.2,14876.8,14833.6,14417.9,14779.4,15052.4,15470.7
"10","2","GDP less final sales of software","SWGXSX1",11890.2,12354.9,12473.9,12702.1,13045.1,13518.9,13956.4,14314.8,14546.8,14487.4,14074.3,14424.1,14681.6,15081.1
"11","3","Final sales of software \1\","SWFSTX1",191.6,216,216.7,215.3,230.9,258.3,281.1,301.5,330.3,346.1,343.7,355.3,371.2,390.5
"12","4","  Personal consumption expenditures","DCPSRX1",5.5,6.4,6.8,7.9,12.3,18.2,23.5,30.2,39.1,38.8,38.2,47.2,48.6,53.2
"13","5","  Private fixed investment","B985RX1",154.5,175.9,177.1,176.9,189,207.9,221.2,230.3,244.2,256.2,256.8,254.2,269.8,285.9
"14","6","  Exports \2\","SWXPTX1",9.7,11,11,10.9,10.7,12,14.7,17.9,23.7,29.7,28.5,32.8,32.2,32.6
"15","7","  Less: Imports \2\","SWMPTX1",2.1,2.5,3.5,4.1,5.7,6.6,7.5,8.2,10,12.9,13.9,14.4,16.4,19.1
"16","8","  Government \3\","SWGOVX1",26.2,27.6,28.1,26.5,27,28.3,29.8,31.1,32.7,34.3,34.1,35.7,37.2,38.3
"17",NA,"[Percent change from preceding period in chained (2009) dollar measures]:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","9","GDP","A191RL1",4.8,4.1,1,1.8,2.8,3.8,3.4,2.7,1.8,-0.3,-2.8,2.5,1.8,2.8
"19","10","GDP less final sales of software","SWGXSL1",4.6,3.9,1,1.8,2.7,3.6,3.2,2.6,1.6,-0.4,-2.9,2.5,1.8,2.7
"20","11","  Difference","SWDIFF1",0.2,0.2,0,0,0.1,0.2,0.2,0.1,0.2,0.1,0.1,0,0,0.1
"21","12","Final sales of software \1\","SWFSTL1",20.2,12.8,0.3,-0.7,7.2,11.9,8.8,7.3,9.5,4.8,-0.7,3.4,4.5,5.2
"22",NA,"[Billions of dollars]:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","13","Final sales of software \1\","SWFSTC1",199,230.5,231.5,226.1,236.3,257.7,278.1,300.4,328.8,346.6,343.7,349.4,365,382.4
"24","14","  Personal consumption expenditures","DCPSRC1",9.7,11,10.8,11.8,16.5,22.7,27.7,33.4,41.1,39.3,38.2,43.8,41.9,43.6
"25","15","  Private fixed investment","B985RC1",157.3,184.5,186.6,183,191,205.1,217.2,228.9,244.2,258.5,256.8,252,267.6,281.6
"26","16","  Exports \2\","SWXPTC1",10.9,12.8,12.7,12.3,12.2,13.5,16.2,19.5,24.3,29,28.5,32.7,33.2,34.1
"27","17","  Less: Imports \2\","SWMPTC1",4,4.8,6.4,7.2,9.6,10.9,11.8,11.9,13.1,14.7,13.9,14.6,14.9,15.3
"28","18","  Government \3\","SWGOVC1",25,27.1,27.8,26.1,26.2,27.3,28.8,30.5,32.3,34.4,34.1,35.5,37.2,38.3
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","1. Software estimates include own-account production and exclude software embedded in equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2. Includes software classified as goods and excludes software classified as services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","3. Excludes services of software, measured by consumption of fixed capital, for general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
