"","Table 2#4#3U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58"
"1","[Index numbers, 2009=100; quarters and months are seasonally adjusted]                                                                                                                                                                                    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1959 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published May 30, 2014      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/29/2014 1:19:16 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"8","1","      Personal consumption expenditures","DPCERA3",18.699,19.212,19.608,20.577,21.425,22.701,24.14,25.507,26.269,27.777,28.815,29.494,30.62,32.498,34.109,33.827,34.595,36.524,38.063,39.737,40.681,40.552,41.155,41.74,44.119,46.446,48.888,50.941,52.664,54.867,56.468,57.633,57.764,59.907,61.988,64.392,66.318,68.635,71.218,75.027,79.124,83.127,85.214,87.376,90.076,93.525,96.798,99.715,101.957,101.588,100,101.96,104.555,106.854,108.991
"9","2","Goods","DGDSRA3",19.209,19.547,19.67,20.682,21.508,22.79,24.405,25.952,26.46,28.098,28.957,29.185,30.407,32.395,34.073,32.83,33.053,35.367,36.885,38.41,39.024,38.036,38.486,38.754,41.219,44.19,46.514,49.116,50,51.858,53.166,53.496,52.434,54.086,56.333,59.304,61.076,63.811,66.853,71.321,76.94,80.922,83.373,86.61,90.808,95.419,99.335,102.942,105.731,103.106,100,103.446,106.925,110.495,114.413
"10","3","  Durable goods","DDURRA3",8.033,8.196,7.921,8.826,9.638,10.538,11.844,12.828,13.018,14.463,15.005,14.607,16.075,18.072,19.962,18.682,18.726,21.06,22.921,24.124,24.002,22.09,22.31,22.273,25.453,29.088,31.998,35.068,35.752,37.8,38.63,38.463,36.39,38.48,41.364,44.663,46.425,49.891,53.963,60.482,68.24,74.105,77.983,83.707,89.673,97.03,102.309,106.667,111.565,105.855,100,106.092,113.074,121.833,130.289
"11","4","    Motor vehicles and parts","DMOTRA3",18.07,19.191,17.271,20.508,23.068,24.35,28.207,28.67,27.976,32.355,33.538,30.025,35.851,40.833,44.759,37.36,37.16,44.704,49.438,51.667,48.584,42.35,43.307,44.457,52.993,61.682,69.654,74.741,71.723,75.88,75.728,74.521,65.637,71.028,74.983,79.669,78.432,82.235,87.794,96.972,105.896,109.266,114.85,120.897,124.449,127.892,126.159,121.471,123.885,107.493,100,102.002,107.048,114.798,120.545
"12","5","      New motor vehicles (55)","DNMVRA3",21.236,22.847,19.657,24.667,28.527,30.379,36.337,36.737,34.808,41.733,42.438,36.03,45.063,52.286,57.53,44.61,44.644,56.705,64.513,67.37,61.215,50.23,51.614,53.986,67.858,79.307,90.719,98.92,92.313,97.512,96.104,90.949,73.39,80.279,85.528,89.819,85.465,86.967,91.609,101.818,113.626,119.82,131.516,141.566,148.377,149.862,147.025,138.552,140.099,113.002,100,107.829,119.576,133.966,139.275
"13","6","        New autos","DNEARA3",47.273,50.941,43.907,54.778,63.238,67.255,80.371,80.64,76.06,90.565,91.327,77.624,95.723,108.146,116.028,87.484,87.186,106.798,118.04,119.896,113.017,98.731,101.887,103.161,124.613,141.772,153.794,169.231,150.94,157.037,148.072,141.081,109.828,115.903,119.031,121.531,112.871,110.055,110.596,117.694,130.408,136.856,135.337,133.238,129.148,130.556,137.253,139.718,134.602,120.83,100,96.602,107.889,126.011,126.439
"14","7","          New domestic autos","DNDCRA3",67.36,74.324,64.71,82.212,94.919,100.02,119.295,118.276,109.294,128.689,128.184,104.003,128.369,145,152.236,110.016,106.207,136.889,144.053,145.43,125.823,100.616,101.699,101.661,122.782,140.627,148.036,165.674,137.8,147.345,145.1,139.293,108.405,115.367,123.61,129.062,121.346,119.528,112.371,120.485,132.185,139.828,140.556,139.018,133.436,131.107,138.801,136.974,131.487,116.534,100,97.103,111.771,131.458,130.052
"15","8","          New foreign autos","DNFCRA3",11.874,9.732,7.244,6.427,7.4,9.508,11.771,14.315,17.496,23.384,26.382,31.13,38.183,43.189,52.216,47.778,53.672,53.762,72.191,74.893,90.453,95.419,102.23,105.813,127.852,143.803,163.961,175.517,174.13,174.145,153.324,144.245,112.345,116.855,110.954,108.245,97.92,93.34,107.462,112.768,127.274,131.612,126.127,123.039,121.581,129.583,134.522,144.561,140.096,128.41,100,95.717,101.039,116.4,120.063
"16","9","        New light trucks","DNWTRA3",1.281,1.312,1.067,1.594,1.935,2.13,2.608,3.131,3.245,4.396,5.087,4.248,6.412,9.796,13.166,12.212,12.515,19.064,24.474,28.271,22.408,13.568,13.592,16.945,25.337,32.679,43.96,46.739,49.105,53.78,58.311,54.443,47.005,54.628,61.541,67.204,65.98,70.633,78.246,90.699,101.879,107.897,128.912,147.571,162.106,163.647,154.045,137.688,144.128,107.099,100,116.214,128.309,139.945,148.884
