"","Table 5#4#6U# Real Private Fixed Investment in Structures by Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","[Millions of chained (2009) dollars; quarters seasonally adjusted at annual rates]                                                                                                                                                                        ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1999 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published May 30, 2014      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/29/2014 1:55:58 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"8","1","    Private fixed investment in structures","A349RX0",1112135,1149338,1148469,1110147,1162488,1240972,1304904,1262145,1158306,1028680,822138,740052,749299,846020,903128
"9","2","Nonresidential","B009RX0",494868,533480,525392,432548,415840,414120,421230,451488,509046,540186,438211,366277,374057,421612,426887
"10","3","  Commercial and health care","W001RX0",198951,212280,201994,171074,160270,164235,162792,172637,189879,182833,126687,95195,94795,102320,105916
"11","4","    Office \1\","W031RX0",85651,95577,88064,61027,51381,52026,53451,59626,66140,65507,42849,28778,27449,31476,33958
"12","5","    Health care","W032RX0",30305,30696,29464,33202,34855,35655,35705,36949,39220,41485,39741,34822,33795,35484,34289
"13","6","      Hospitals and special care","C311RX0",22217,22707,22462,25903,26126,25325,25638,28677,30421,31508,31265,28601,27446,28295,27015
"14","7","        Hospitals","W033RX0",15648,16073,17095,20659,21934,21917,22865,25287,27034,27596,27827,25368,23951,23890,23064
"15","8","        Special care","W034RX0",6565,6630,5365,5242,4191,3408,2773,3390,3388,3913,3439,3234,3495,4403,3949
"16","9","      Medical buildings","W035RX0",8090,7991,7004,7301,8731,10331,10068,8272,8799,9977,8476,6220,6349,7189,7274
"17","10","    Multimerchandise shopping","W036RX0",24013,22870,24440,22738,21889,25125,27664,33057,37138,32655,18391,12861,13446,14395,14912
"18","11","    Food and beverage establishments","W037RX0",13038,13467,13075,11542,11887,11007,9500,8439,8619,8217,4868,4734,5291,5536,5492
"19","12","    Warehouses","W038RX0",21287,22406,23085,17128,17295,15892,15598,16394,18067,17060,9730,5833,6588,6788,8244
"20","13","    Other commercial \2\","W039RX0",27277,30310,26667,26528,23394,24981,21348,18812,21534,18432,11108,8210,8248,8634,8913
"21","14","  Manufacturing","C307RX0",53916,55607,54063,31565,29245,30102,34203,36475,43115,53801,56296,40812,39125,45024,46097
"22","15","  Power and communication","W003RX0",62834,72455,74739,72928,67153,56098,58120,61693,85908,94456,95777,80355,74059,88021,80598
"23","16","    Power","W028RX0",35236,45050,47030,47409,47787,36286,35271,38245,58337,68578,76064,63853,58942,73296,67840
"24","17","      Electric","C571RX0",24449,35245,37157,35918,36403,27520,28042,30424,44556,52632,60394,47359,46792,60290,53881
"25","18","      Other power","W029RX0",10933,9635,9662,11439,11311,8715,7252,7848,13756,15919,15670,16485,12241,13285,14039
"26","19","    Communication","C314RX0",26703,26740,27064,24996,19158,19435,22392,23005,27367,25847,19713,16503,15122,14869,12899
"27","20","  Mining exploration, shafts, and wells","E318RX0",64482,80482,94894,69409,79309,84177,92113,99519,97883,104998,74969,87781,109044,124088,130449
"28","21","    Petroleum and natural gas","C319RX0",64842,80799,96442,67061,77965,80388,86835,91328,90695,98305,69375,80865,100975,114868,121888
"29","22","    Mining","C320RX0",1449,1860,1696,2992,2652,4290,5520,8204,7195,6653,5594,6922,8054,9206,8520
"30","23","  Other structures","W004RX0",94684,97511,92977,78573,75637,76724,72686,79692,91757,103406,84483,61965,57302,61859,64525
"31","24","    Religious","C309RX0",10589,11109,11177,10959,10921,9806,8584,7932,7361,6898,6177,5487,4373,3835,3361
"32","25","    Educational and vocational","W044RX0",17601,20585,21707,21615,21342,19202,18216,17935,19164,19694,17852,14685,14466,15863,15024
"33","26","    Lodging","W045RX0",28902,28285,24114,17083,15725,17853,17459,22371,33305,41974,31428,14551,10823,13704,17306
"34","27","    Amusement and recreation","W046RX0",16753,14730,12590,11809,11924,12179,10031,11475,11978,12093,10083,8150,8411,7119,7025
"35","28","    Transportation","W047RX0",8552,8772,8657,8152,7700,7765,7875,9261,9394,10032,9055,9819,9304,10942,11391
"36","29","      Air","W048RX0",1965,2737,2899,1900,1409,1250,1012,912,980,876,571,412,618,1108,1004
"37","30","      Land \3\","W049RX0",6631,6155,5896,6301,6298,6509,6848,8336,8397,9149,8484,9401,8695,9874,10418
"38","31","    Farm","C316RX0",7409,8397,6893,7396,6528,6625,6511,5959,6155,7883,6637,6262,6805,7115,6791
"39","32","    Other \4\","W050RX0",5327,6260,4591,3274,3694,4210,3676,4362,4551,4291,3012,3293,3128,2828,3311
"40","33","    Brokers' commissions on sale of structures","C321RX0",2283,2404,2262,1942,1884,1966,2142,2491,3127,3587,3130,2434,2450,2788,2666
"41","34","    Net purchases of used structures","E322RX0",-2427,-2346,2273,-2733,-3121,-2268,-1284,-1755,-3174,-3165,-2891,-2856,-2663,-2610,-2570
"42","35","Residential","A012RX0",626532,630092,635667,674465,735860,809220,862509,796311,644915,488435,383927,373626,375087,424245,476354
"43","36","  Permanent site","A943RX0",357692,360587,362703,377308,414221,462165,494789,451576,336121,223142,133874,128486,123914,153953,191650
"44","37","    Single-family structures","A944RX0",311167,314636,315091,327299,362194,405655,433038,390688,283678,178212,105336,114421,109176,132104,160051
"45","38","    Multifamily structures","C292RX0",43576,42843,44699,47058,48299,52049,57240,57615,51012,44859,28538,14335,14966,22096,31989
"46","39","  Other structures","A863RX0",269382,270109,273501,297244,321878,347582,368336,345248,309258,265550,250053,245131,251094,270443,285251
"47","40","    Manufactured homes","A945RX0",20261,15322,12241,12814,11220,11628,13748,11516,9978,8126,4713,4595,4393,4615,4887
"48","41","    Dormitories","C295RX0",1772,1802,1967,1880,2053,1797,1532,1938,2698,3633,2496,1685,2189,2948,3387
"49","42","    Improvements","A946RX0",142705,147440,150689,160525,167895,171132,175782,174896,168999,155778,151706,149500,151394,155846,159481
"50","43","    Brokers' commissions and other ownership transfer costs \5\","A758RX0",110719,108935,112080,126605,143971,163677,175757,157524,130759,102949,95174,94417,96080,110684,121640
"51","44","    Net purchases of used structures","A759RX0",-4633,-1816,-2281,-4066,-4133,-3053,-1418,-2433,-3703,-4877,-4036,-5083,-2880,-2928,-2942
"52","45","Residual","A971RX0",7600,-3300,-11600,12400,16900,25800,28600,19900,5400,300,0,200,-200,-800,-2900
"53",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","46","  Private fixed investment in new structures","W040RX0",1012667,1049876,1041253,990275,1022764,1076711,1124566,1103620,1030575,930451,730761,651171,656423,738359,784869
"55","47","    Nonresidential structures \6\","A771RX0",495312,533769,520880,433538,417293,414431,420283,450710,509100,539775,437972,366699,374268,421430,426780
"56","48","    Residential structures \7\","A756RX0",523672,526474,529053,554031,597290,649107,688443,642029,518342,390592,292789,284294,282013,316769,357931
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","1. Consists of office buildings, except those constructed at manufacturing sites and those constructed by power utilities for ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","their own use.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Includes all financial buildings.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","auto dealerships, garages, service stations, drug stores, restaurants, mobile structures, and other structures used",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","for commercial purposes.  Bus or truck garages are included in transportation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","2. Includes buildings and structures used by the retail, wholesale and selected service industries.  Consists of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","3. Consists primarily of railroads.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","4. Includes water supply, sewage and waste disposal, public safety, highway and street, and conservation and development.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","5. Consists of brokers' commissions on the sale of residential structures and adjoining land, title insurance,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","engineering services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","state and local documentary stamp taxes, attorney fees, title abstract and escrow fees, and fees for surveys and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","6. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","7. Excludes net purchases of used structures and brokers' commissions and other ownership transfer costs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","NOTE. Chained (2009) dollar series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","index and the 2009 current-dollar value of the corresponding series, divided by 100. Because",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","the formula for the chain-type quantity indexes uses weights of more than one period, the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
