"","Table 6U# Real BEA Retail and Food Service Sales                ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","[Millions of chained (2009) dollars]                                                                                                                                                                                                                      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1999 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published May 30, 2014      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/29/2014 2:13:57 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"8","1","S1 QN04472AMG       Retail and food services","T060010",3653579,3792300,3884920,3989624,4143265,4307974,4468915,4615874,4680000,4492450,4252161,4388077,4532226,4692016,4889905
"9","2","S1 QN44ZZZZMG Retail trade","T060020",3246938,3368946,3455730,3552989,3690390,3839028,3984188,4113644,4169476,3991813,3772619,3898812,4030406,4170081,4358165
"10","3","S1 QN441ZZZMG   Motor vehicle and parts dealers","T060030",816352,841503,855327,857843,896917,923831,931516,939455,942249,816582,698375,742604,795123,839113,904958
"11","4","S4 QN4411ZZMG     Automobile dealers","T060040",687244,706477,722579,721916,752887,771724,774855,781945,785415,672951,573553,618603,668124,710068,773352
"12","5","S4 QN4412ZZMG     Other motor vehicle dealers","T060050",45382,50907,52399,55395,62133,68019,70567,71721,71405,61453,47391,44136,44617,47190,50740
"13","6","S2 QN4413ZZMG     Automotive parts, accessories and tire stores","T060060",84098,84344,79240,79687,80873,83257,85604,85162,84715,82057,77432,79743,82088,81428,80241
"14","7","S1 QN44DZZZMG   Furniture, home furnishings, electronics and appliance stores","T060070",117380,129491,134776,146620,158014,177028,194959,212177,220578,215221,197591,211682,226316,244126,262278
"15","8","S1 QN442ZZZMG     Furniture and home furnishings stores","T060080",84284,91187,92110,96374,100897,108552,114593,118541,117264,105630,91658,96405,100394,108926,115472
"16","9","S4 QN4421ZZMG       Furniture Stores","T060090",46392,50114,50897,52720,53977,58204,61876,63217,62611,56322,49313,52561,54385,57396,58707
