"","Table 6#17D# Corporate Profits Before Tax by Industry           ","F2","F3","F4","F5","F6","F7","F8","F9"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2003",NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2004   ",NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/24/2005 10:42:33 AM",NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003
"8","1","      Corporate profits before tax","A053RC0",718270,775876,773398,707909,758026,874465
"9","2","Domestic industries","E561RC0",615320,654363,627695,538212,600246,697553
"10","3","  Agriculture, forestry, fishing, and hunting","N3003C0",709,1934,1621,1322,440,325
"11","4","    Farms \1\","N3004C0",-11,935,836,782,NA,NA
"12","5","    Forestry, fishing, and related activities","N3005C0",720,999,785,540,NA,NA
"13","6","  Mining","N3006C0",4561,3509,14733,15504,4427,16320
"14","7","    Oil and gas extraction","N3007C0",1673,3988,13444,12862,NA,NA
"15","8","    Mining, except oil and gas","N3008C0",1601,1642,1469,725,NA,NA
"16","9","    Support activities for mining","N3009C0",1287,-2121,-180,1917,NA,NA
"17","10","  Utilities","N3010C0",32543,33237,24896,24121,11695,18962
"18","11","  Construction","N3011C0",35238,41051,41867,43949,40643,40867
"19","12","  Manufacturing","N563RC0",146593,148151,153317,47645,49279,75478
"20","13","    Durable goods","N565RC0",76314,69967,63085,-29051,-9623,-1161
"21","14","      Wood products","N3014C0",3789,5664,3011,2245,NA,NA
"22","15","      Nonmetallic mineral products","N3015C0",6834,7853,5799,3737,NA,NA
"23","16","      Primary metals","N3016C0",4875,1949,1213,-3257,NA,NA
"24","17","      Fabricated metal products","N3017C0",16269,16225,16225,9191,NA,NA
"25","18","      Machinery","N3018C0",15607,12222,8756,2453,NA,NA
"26","19","      Computer and electronic products","N3019C0",-43,-8648,3008,-49866,NA,NA
"27","20","      Electrical equipment, appliances, and components","N3020C0",5774,6332,5949,1757,NA,NA
"28","21","      Motor vehicles, bodies and trailers, and parts","N3021C0",6065,7123,-632,-9460,NA,NA
"29","22","      Other transportation equipment","N3022C0",6174,10101,8975,6825,NA,NA
"30","23","      Furniture and related products","N3023C0",3652,3767,3113,1627,NA,NA
"31","24","      Miscellaneous manufacturing","N3024C0",7318,7379,7668,5697,NA,NA
"32","25","    Nondurable goods","N564RC0",70279,78184,90232,76696,58902,76639
"33","26","      Food and beverage and tobacco products","N3026C0",21045,30519,26510,28529,NA,NA
"34","27","      Textile mills and textile product mills","N3028C0",2503,2126,1091,-560,NA,NA
"35","28","      Apparel and leather and allied products","N3029C0",2691,1972,2777,2170,NA,NA
"36","29","      Paper products","N3031C0",4706,6234,8256,1060,NA,NA
"37","30","      Printing and related support activities","N3032C0",5165,4814,4091,3085,NA,NA
"38","31","      Petroleum and coal products","N3033C0",3447,3058,28372,28824,NA,NA
"39","32","      Chemical products","N3034C0",24387,23230,15892,12354,NA,NA
"40","33","      Plastics and rubber products","N3035C0",6335,6231,3243,1234,NA,NA
"41","34","  Wholesale trade","N567RC0",45882,55080,61693,48160,53763,52740
"42","35","    Durable goods","N512RC0",27972,33262,37592,24705,NA,NA
