"","Table 6#16C# Corporate Profits by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Millions of dollars]                                                           ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 17, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/28/2012 8:45:56 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000"
"19","1","    Corporate profits with inventory valuation and capital consumption adjustments","A051RC1","367,842.0","426,618.0","425,562.0","434,449.0","457,275.0","496,227.0","543,704.0","628,226.0","716,185.0","801,501.0","884,833.0","812,421.0","856,273.0","819,222.0"
"20","2","Domestic industries","A445RC1","319,830.0","369,634.0","358,433.0","358,361.0","380,806.0","423,136.0","466,773.0","550,259.0","623,239.0","699,531.0","777,276.0","709,659.0","734,757.0","673,598.0"
"21","3","  Financial","A587RC1","59,923.0","65,355.0","74,893.0","81,633.0","109,516.0","127,058.0","119,256.0","116,794.0","152,656.0","162,109.0","191,107.0","165,912.0","201,280.0","206,096.0"
"22","4","  Nonfinancial","A463RC1","259,907.0","304,279.0","283,540.0","276,728.0","271,290.0","296,079.0","347,517.0","433,466.0","470,582.0","537,421.0","586,170.0","543,747.0","533,477.0","467,502.0"
"23","5","Rest of the world","B394RC1","48,012.0","56,984.0","67,129.0","76,088.0","76,469.0","73,090.0","76,930.0","77,966.0","92,947.0","101,971.0","107,556.0","102,762.0","121,516.0","145,624.0"
"24","6","  Receipts from the rest of the world","B933RC1","58,923.0","71,580.0","75,510.0","80,919.0","75,489.0","78,328.0","88,948.0","104,525.0","127,364.0","139,359.0","155,496.0","146,786.0","176,806.0","202,481.0"
"25","7","  Less: Payments to the rest of the world","B934RC1","10,911.0","14,596.0","8,381.0","4,831.0","-980.0","5,238.0","12,018.0","26,559.0","34,417.0","37,388.0","47,940.0","44,024.0","55,290.0","56,857.0"
"26","8","    Corporate profits with inventory valuation adjustment","A052RC1","306,860.0","367,749.0","374,105.0","398,795.0","430,313.0","471,580.0","515,002.0","586,595.0","666,012.0","743,808.0","815,853.0","738,631.0","776,560.0","755,662.0"
"27","9","Domestic industries","A390RC1","258,848.0","310,765.0","306,978.0","322,706.0","353,843.0","398,488.0","438,069.0","508,630.0","573,066.0","641,835.0","708,295.0","635,862.0","655,042.0","610,026.0"
"28","10","  Financial","A392RC1","61,559.0","68,799.0","80,185.0","92,316.0","122,114.0","142,708.0","133,418.0","129,178.0","160,108.0","167,463.0","187,431.0","159,626.0","190,442.0","194,384.0"
"29","11","    Federal Reserve banks","B397RC1","16,247.0","18,075.0","20,646.0","21,817.0","20,725.0","18,291.0","16,687.0","18,512.0","22,942.0","22,544.0","24,278.0","25,595.0","26,674.0","31,215.0"
"30","12","    Other","B398RC1","45,312.0","50,724.0","59,539.0","70,499.0","101,389.0","124,417.0","116,731.0","110,666.0","137,166.0","144,919.0","163,153.0","134,031.0","163,768.0","163,169.0"
"31","13","  Nonfinancial","A399RC1","197,289.0","241,966.0","226,793.0","230,390.0","231,729.0","255,780.0","304,651.0","379,452.0","412,958.0","474,372.0","520,864.0","476,243.0","464,603.0","415,652.0"
