"","Table 4#1# Foreign Transactions in the National Income and Produ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"20","2","Exports of goods and services","B020RC1","51,923.0","59,710.0","62,963.0","70,844.0","95,269.0","126,650.0","138,706.0","149,515.0","159,350.0","186,885.0","230,129.0","280,773.0","305,232.0","283,203.0","276,988.0","302,376.0","302,019.0","320,334.0","363,764.0","443,884.0","503,143.0","552,123.0","596,587.0","634,961.0","655,586.0","720,700.0","811,881.0","867,665.0","954,421.0","953,863.0","989,314.0","1,093,241.0","1,027,725.0","1,003,026.0","1,041,033.0","1,180,224.0","1,305,060.0","1,471,032.0","1,661,699.0","1,846,774.0","1,583,049.0","1,839,805.0","2,085,459.0"
"21","3","  Goods \1\","A253RC1","38,262.0","44,546.0","45,557.0","51,795.0","73,924.0","100,981.0","109,629.0","117,770.0","123,653.0","145,401.0","184,041.0","225,781.0","239,097.0","215,001.0","207,293.0","225,627.0","222,241.0","226,002.0","257,547.0","325,785.0","369,354.0","396,637.0","423,565.0","447,952.0","459,934.0","510,064.0","583,279.0","618,330.0","687,694.0","680,860.0","697,193.0","784,345.0","731,228.0","700,313.0","726,834.0","816,981.0","906,088.0","1,024,390.0","1,162,034.0","1,297,486.0","1,064,670.0","1,277,775.0","1,473,402.0"
"22","4","    Durable","A332RC1","23,686.0","27,119.0","27,548.0","31,041.0","41,362.0","56,461.0","63,806.0","69,044.0","72,042.0","85,262.0","108,017.0","133,327.0","140,115.0","124,675.0","120,385.0","132,378.0","137,246.0","142,618.0","162,937.0","208,780.0","239,805.0","261,973.0","282,280.0","300,514.0","313,971.0","349,617.0","394,021.0","421,141.0","482,320.0","486,554.0","503,268.0","569,236.0","521,123.0","488,548.0","497,336.0","561,202.0","624,859.0","709,094.0","781,583.0","829,368.0","671,766.0","800,723.0","897,390.0"
"23","5","    Nondurable","A339RC1","14,576.0","17,427.0","18,009.0","20,754.0","32,562.0","44,520.0","45,823.0","48,726.0","51,611.0","60,139.0","76,024.0","92,454.0","98,982.0","90,326.0","86,908.0","93,249.0","84,995.0","83,384.0","94,610.0","117,005.0","129,549.0","134,664.0","141,285.0","147,438.0","145,963.0","160,447.0","189,258.0","197,189.0","205,374.0","194,306.0","193,925.0","215,109.0","210,105.0","211,765.0","229,498.0","255,779.0","281,229.0","315,296.0","380,451.0","468,118.0","392,904.0","477,052.0","576,012.0"
"24","6","  Services \1\","A646RC1","13,661.0","15,164.0","17,406.0","19,049.0","21,345.0","25,669.0","29,077.0","31,745.0","35,697.0","41,484.0","46,088.0","54,992.0","66,135.0","68,202.0","69,695.0","76,749.0","79,778.0","94,332.0","106,217.0","118,099.0","133,789.0","155,486.0","173,022.0","187,009.0","195,652.0","210,636.0","228,602.0","249,335.0","266,727.0","273,003.0","292,121.0","308,896.0","296,497.0","302,713.0","314,199.0","363,243.0","398,972.0","446,642.0","499,665.0","549,288.0","518,379.0","562,030.0","612,057.0"
"25","7","Income receipts","B645RC1","11,779.0","12,833.0","14,011.0","16,278.0","23,541.0","29,820.0","28,024.0","32,363.0","37,200.0","46,252.0","68,321.0","79,092.0","92,024.0","100,993.0","101,882.0","121,865.0","112,441.0","110,997.0","122,814.0","151,622.0","177,170.0","188,510.0","168,141.0","151,797.0","155,214.0","184,096.0","229,267.0","245,831.0","279,502.0","286,226.0","319,467.0","380,501.0","323,025.0","313,506.0","353,317.0","448,568.0","573,037.0","721,052.0","870,952.0","856,097.0","639,782.0","702,851.0","779,303.0"
"26","8","  Wage and salary receipts","B4188C1","237.0","251.0","268.0","282.0","295.0","330.0","357.0","385.0","402.0","404.0","430.0","465.0","511.0","540.0","574.0","619.0","646.0","908.0","994.0","995.0","1,017.0","1,172.0","1,290.0","1,796.0","1,820.0","1,943.0","2,179.0","2,181.0","2,270.0","2,437.0","2,748.0","2,835.0","2,879.0","2,811.0","2,813.0","2,822.0","2,890.0","2,883.0","2,970.0","5,181.0","5,176.0","5,277.0","5,412.0"
"27","9","  Income receipts on assets","W160RC1","11,544.0","12,582.0","13,744.0","15,999.0","23,246.0","29,490.0","27,668.0","31,978.0","36,798.0","45,848.0","67,897.0","78,627.0","91,513.0","100,452.0","101,308.0","121,245.0","111,795.0","110,091.0","121,820.0","150,625.0","176,155.0","187,339.0","166,849.0","150,004.0","153,396.0","182,153.0","227,090.0","243,652.0","277,233.0","283,789.0","316,719.0","377,666.0","320,146.0","310,696.0","350,503.0","445,744.0","570,147.0","718,168.0","867,982.0","850,916.0","634,608.0","697,570.0","773,886.0"
"28","10","    Interest","A2067C1","3,497.0","3,926.0","3,963.0","4,248.0","5,671.0","9,092.0","9,762.0","11,040.0","13,008.0","16,847.0","25,337.0","34,782.0","53,435.0","63,783.0","60,205.0","75,142.0","64,990.0","61,373.0","62,897.0","79,045.0","100,645.0","106,420.0","91,360.0","71,676.0","64,448.0","77,628.0","99,726.0","104,293.0","121,737.0","137,003.0","139,913.0","175,185.0","137,566.0","106,292.0","101,337.0","117,572.0","186,092.0","283,721.0","357,388.0","269,036.0","144,206.0","127,930.0","136,787.0"
"29","11","    Dividends","B3375C1","4,849.0","5,046.0","6,065.0","6,531.0","8,556.0","11,618.0","8,622.0","11,676.0","14,149.0","14,721.0","19,908.0","21,492.0","20,732.0","23,853.0","19,526.0","19,650.0","20,995.0","27,873.0","27,912.0","45,128.0","47,878.0","43,658.0","41,446.0","44,683.0","39,467.0","59,652.0","58,559.0","69,074.0","79,990.0","83,247.0","92,659.0","86,334.0","87,401.0","92,829.0","101,013.0","135,642.0","363,340.0","186,015.0","248,980.0","316,366.0","219,888.0","215,868.0","277,778.0"
"30","12","    Reinvested earnings on U.S. direct investment abroad","B3475C1","3,198.0","3,610.0","3,716.0","5,220.0","9,019.0","8,780.0","9,284.0","9,262.0","9,641.0","14,280.0","22,652.0","22,353.0","17,346.0","12,816.0","21,577.0","26,453.0","25,810.0","20,845.0","31,011.0","26,452.0","27,632.0","37,261.0","34,043.0","33,645.0","49,481.0","44,873.0","68,805.0","70,285.0","75,506.0","63,539.0","84,147.0","116,147.0","95,179.0","111,575.0","148,153.0","192,530.0","20,715.0","248,432.0","261,614.0","265,514.0","270,514.0","353,772.0","359,321.0"
"31","13","    Current payments to the rest of the world","W163RC1","62,097.0","68,818.0","76,663.0","91,163.0","109,949.0","150,500.0","146,891.0","174,784.0","207,463.0","245,764.0","299,617.0","351,354.0","393,887.0","387,502.0","413,931.0","514,325.0","528,774.0","574,016.0","640,684.0","711,242.0","772,678.0","815,551.0","756,870.0","832,362.0","889,361.0","1,019,523.0","1,146,232.0","1,227,640.0","1,363,252.0","1,444,632.0","1,600,687.0","1,884,108.0","1,742,396.0","1,768,108.0","1,910,470.0","2,253,390.0","2,618,635.0","2,990,485.0","3,248,663.0","3,381,863.0","2,600,265.0","3,021,832.0","3,347,879.0"
"32","14","Imports of goods and services","B021RC1","50,491.0","55,760.0","62,342.0","74,216.0","91,159.0","127,465.0","122,729.0","151,146.0","182,443.0","212,251.0","252,675.0","293,829.0","317,759.0","303,183.0","328,638.0","405,107.0","417,228.0","452,867.0","508,714.0","553,992.0","591,032.0","629,729.0","623,547.0","667,793.0","719,974.0","813,425.0","902,571.0","963,966.0","1,055,776.0","1,115,690.0","1,251,392.0","1,475,291.0","1,398,713.0","1,430,201.0","1,545,147.0","1,798,919.0","2,027,791.0","2,240,347.0","2,374,770.0","2,556,486.0","1,974,564.0","2,356,702.0","2,664,205.0"
"33","15","  Goods \1\","A255RC1","36,813.0","40,855.0","46,550.0","56,934.0","71,843.0","104,520.0","99,000.0","124,632.0","152,630.0","177,410.0","212,788.0","248,571.0","267,815.0","250,541.0","272,677.0","336,316.0","343,294.0","370,006.0","414,769.0","452,124.0","484,793.0","508,072.0","500,723.0","544,929.0","592,762.0","676,813.0","757,448.0","807,448.0","885,656.0","930,751.0","1,047,690.0","1,246,500.0","1,171,680.0","1,193,876.0","1,289,260.0","1,501,666.0","1,707,981.0","1,884,930.0","2,000,748.0","2,146,349.0","1,587,252.0","1,947,310.0","2,237,931.0"
"34","16","    Durable","A333RC1","20,757.0","22,775.0","26,602.0","33,290.0","40,803.0","50,321.0","45,639.0","56,814.0","69,194.0","89,025.0","100,447.0","111,933.0","126,049.0","125,129.0","147,323.0","192,439.0","204,165.0","238,794.0","264,183.0","294,777.0","310,284.0","314,526.0","315,526.0","346,702.0","386,398.0","454,045.0","510,757.0","533,395.0","588,528.0","637,724.0","716,653.0","823,597.0","758,319.0","774,548.0","806,633.0","936,277.0","1,025,357.0","1,130,220.0","1,172,540.0","1,162,038.0","892,910.0","1,105,748.0","1,236,366.0"
"35","17","    Nondurable","A340RC1","16,056.0","18,080.0","19,948.0","23,644.0","31,040.0","54,199.0","53,361.0","67,818.0","83,436.0","88,385.0","112,341.0","136,638.0","141,766.0","125,412.0","125,354.0","143,877.0","139,129.0","131,212.0","150,586.0","157,347.0","174,509.0","193,546.0","185,197.0","198,227.0","206,364.0","222,768.0","246,691.0","274,053.0","297,128.0","293,027.0","331,037.0","422,903.0","413,361.0","419,328.0","482,627.0","565,389.0","682,624.0","754,710.0","828,208.0","984,311.0","694,342.0","841,562.0","1,001,565.0"
"36","18","  Services \1\","B656RC1","13,678.0","14,905.0","15,792.0","17,282.0","19,316.0","22,945.0","23,729.0","26,514.0","29,813.0","34,841.0","39,887.0","45,258.0","49,944.0","52,642.0","55,961.0","68,791.0","73,934.0","82,861.0","93,945.0","101,868.0","106,239.0","121,657.0","122,824.0","122,864.0","127,212.0","136,612.0","145,123.0","156,518.0","170,120.0","184,939.0","203,702.0","228,791.0","227,033.0","236,325.0","255,887.0","297,253.0","319,810.0","355,417.0","374,022.0","410,137.0","387,312.0","409,392.0","426,274.0"
"37","19","Income payments","A655RC1","5,664.0","6,440.0","6,417.0","7,720.0","10,922.0","14,300.0","15,020.0","15,516.0","16,908.0","24,671.0","36,390.0","44,907.0","59,089.0","64,483.0","64,797.0","85,575.0","85,895.0","93,385.0","105,159.0","128,260.0","151,246.0","154,087.0","138,231.0","122,657.0","124,032.0","160,020.0","199,611.0","214,161.0","256,052.0","268,909.0","291,665.0","342,756.0","271,116.0","264,396.0","284,627.0","357,359.0","475,889.0","648,636.0","747,681.0","686,933.0","487,520.0","513,495.0","533,823.0"
"38","20","  Wage and salary payments","B4189C1","215.0","228.0","247.0","283.0","308.0","352.0","400.0","422.0","464.0","503.0","501.0","563.0","667.0","732.0","747.0","830.0","861.0","2,690.0","2,350.0","1,862.0","2,302.0","3,479.0","4,041.0","4,761.0","5,140.0","5,958.0","6,269.0","6,306.0","6,672.0","7,000.0","7,961.0","7,525.0","8,094.0","8,385.0","8,517.0","8,970.0","9,297.0","9,496.0","10,064.0","15,940.0","14,239.0","14,518.0","14,434.0"
"39","21","  Income payments on assets","W161RC1","5,451.0","6,212.0","6,171.0","7,436.0","10,614.0","13,947.0","14,620.0","15,094.0","16,444.0","24,168.0","35,889.0","44,344.0","58,422.0","63,753.0","64,047.0","84,747.0","85,034.0","90,696.0","102,808.0","126,398.0","148,949.0","150,610.0","134,189.0","117,897.0","118,891.0","154,062.0","193,343.0","207,856.0","249,379.0","261,909.0","283,704.0","335,232.0","263,016.0","256,004.0","276,111.0","348,389.0","466,592.0","639,140.0","737,611.0","670,992.0","473,283.0","498,978.0","519,390.0"
"40","22","    Interest","B1869C1","3,999.0","4,656.0","4,245.0","5,219.0","7,937.0","11,018.0","11,345.0","10,704.0","11,767.0","18,036.0","27,940.0","35,970.0","50,023.0","59,667.0","58,003.0","75,210.0","76,334.0","81,452.0","91,897.0","111,802.0","140,568.0","145,779.0","135,169.0","112,659.0","106,873.0","127,503.0","158,926.0","170,468.0","201,439.0","217,885.0","228,414.0","278,375.0","250,137.0","209,487.0","192,696.0","225,243.0","321,978.0","461,534.0","577,896.0","495,697.0","343,273.0","311,259.0","311,358.0"
"41","23","    Dividends","B3376C1","1,013.0","1,110.0","1,375.0","1,637.0","1,756.0","1,853.0","2,066.0","2,717.0","3,070.0","3,537.0","3,867.0","4,744.0","5,287.0","7,468.0","7,381.0","7,358.0","9,152.0","9,990.0","11,207.0","13,234.0","16,278.0","18,684.0","17,119.0","16,649.0","18,885.0","21,486.0","25,787.0","28,683.0","32,780.0","40,977.0","50,962.0","56,917.0","46,539.0","44,750.0","68,918.0","73,325.0","102,479.0","108,114.0","104,206.0","135,854.0","116,287.0","93,819.0","103,772.0"
"42","24","    Reinvested earnings on foreign direct investment in the United States","B3476C1","439.0","446.0","551.0","580.0","921.0","1,076.0","1,209.0","1,673.0","1,607.0","2,595.0","4,082.0","3,630.0","3,112.0","-3,382.0","-1,337.0","2,179.0","-452.0","-746.0","-296.0","1,362.0","-7,897.0","-13,853.0","-18,099.0","-11,411.0","-6,867.0","5,073.0","8,630.0","8,705.0","15,160.0","3,047.0","4,328.0","-60.0","-33,660.0","1,767.0","14,497.0","49,821.0","42,135.0","69,492.0","55,509.0","39,441.0","13,723.0","93,900.0","104,260.0"
"43","25","Current taxes and transfer payments to the rest of the world (net)","A123RC1","5,942.0","6,618.0","7,904.0","9,227.0","7,868.0","8,735.0","9,142.0","8,122.0","8,112.0","8,842.0","10,552.0","12,618.0","17,039.0","19,836.0","20,496.0","23,643.0","25,651.0","27,764.0","26,811.0","28,990.0","30,400.0","31,735.0","-4,908.0","41,912.0","45,355.0","46,078.0","44,050.0","49,513.0","51,424.0","60,033.0","57,630.0","66,061.0","72,567.0","73,511.0","80,696.0","97,112.0","114,955.0","101,502.0","126,212.0","138,444.0","138,181.0","151,635.0","149,851.0"
"44","26","  From persons (net)","B070RC1","1,115.0","1,286.0","1,351.0","1,380.0","1,554.0","1,363.0","1,338.0","1,376.0","1,375.0","1,575.0","1,714.0","1,952.0","5,578.0","6,738.0","6,998.0","7,899.0","8,327.0","9,144.0","10,028.0","10,790.0","11,552.0","12,220.0","14,082.0","14,492.0","17,070.0","18,930.0","20,255.0","22,635.0","25,663.0","29,666.0","32,177.0","34,649.0","38,081.0","40,634.0","41,190.0","43,600.0","48,354.0","51,597.0","59,339.0","66,164.0","67,391.0","72,883.0","73,608.0"
"45","27","  From government (net)","B088RC1","4,524.0","4,931.0","6,128.0","7,365.0","5,629.0","6,381.0","7,064.0","5,671.0","5,340.0","5,915.0","6,818.0","8,261.0","8,265.0","9,680.0","10,090.0","12,249.0","14,431.0","15,431.0","13,430.0","13,726.0","14,233.0","14,696.0","-24,005.0","22,001.0","22,930.0","21,144.0","15,553.0","20,009.0","16,696.0","17,393.0","18,041.0","20,029.0","16,218.0","21,623.0","25,848.0","27,199.0","35,319.0","28,804.0","36,060.0","37,086.0","49,755.0","55,684.0","54,374.0"
"46","28","  From business (net)","W164RC1","303.0","401.0","425.0","482.0","685.0","991.0","740.0","1,075.0","1,397.0","1,352.0","2,020.0","2,405.0","3,196.0","3,418.0","3,408.0","3,495.0","2,893.0","3,189.0","3,353.0","4,474.0","4,615.0","4,819.0","5,015.0","5,419.0","5,355.0","6,004.0","8,242.0","6,869.0","9,065.0","12,974.0","7,412.0","11,383.0","18,268.0","11,254.0","13,658.0","26,313.0","31,282.0","21,101.0","30,813.0","35,194.0","21,035.0","23,068.0","21,869.0"
"47","29","    Balance on current account, NIPAs","A124RC1","1,605.0","3,725.0","311.0","-4,041.0","8,861.0","5,970.0","19,839.0","7,094.0","-10,913.0","-12,627.0","-1,167.0","8,511.0","3,369.0","-3,306.0","-35,061.0","-90,084.0","-114,314.0","-142,685.0","-154,106.0","-115,736.0","-92,365.0","-74,918.0","7,858.0","-45,604.0","-78,561.0","-114,727.0","-105,084.0","-114,144.0","-129,329.0","-204,543.0","-291,906.0","-410,366.0","-391,646.0","-451,576.0","-516,120.0","-624,598.0","-740,538.0","-798,401.0","-716,012.0","-678,992.0","-377,434.0","-479,176.0","-483,117.0"
"48",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","30","  Net lending or net borrowing (-), NIPAs","W162RC1","1,603.0","3,720.0","295.0","-4,071.0","8,824.0","5,934.0","19,782.0","7,043.0","-10,977.0","-12,714.0","-1,275.0","8,383.0","3,247.0","-3,419.0","-35,162.0","-90,182.0","-114,457.0","-142,796.0","-154,244.0","-115,870.0","-92,713.0","-82,291.0","2,559.0","-44,327.0","-79,436.0","-115,997.0","-105,503.0","-114,353.0","-129,805.0","-204,773.0","-296,373.0","-410,709.0","-378,706.0","-452,076.0","-518,243.0","-621,804.0","-727,684.0","-800,466.0","-715,922.0","-673,583.0","-377,997.0","-479,861.0","-484,399.0"
"50","31","    Balance on current account, NIPAs","A124RC1","1,605.0","3,725.0","311.0","-4,041.0","8,861.0","5,970.0","19,839.0","7,094.0","-10,913.0","-12,627.0","-1,167.0","8,511.0","3,369.0","-3,306.0","-35,061.0","-90,084.0","-114,314.0","-142,685.0","-154,106.0","-115,736.0","-92,365.0","-74,918.0","7,858.0","-45,604.0","-78,561.0","-114,727.0","-105,084.0","-114,144.0","-129,329.0","-204,543.0","-291,906.0","-410,366.0","-391,646.0","-451,576.0","-516,120.0","-624,598.0","-740,538.0","-798,401.0","-716,012.0","-678,992.0","-377,434.0","-479,176.0","-483,117.0"
"51","32","    Less:Capital account transactions (net) \2\","W167RC1","2.0","5.0","16.0","30.0","37.0","36.0","57.0","51.0","64.0","87.0","108.0","128.0","122.0","113.0","101.0","98.0","143.0","111.0","138.0","134.0","348.0","7,373.0","5,299.0","-1,277.0","875.0","1,270.0","419.0","209.0","476.0","230.0","4,467.0","343.0","-12,940.0","500.0","2,123.0","-2,794.0","-12,854.0","2,065.0","-90.0","-5,409.0","563.0","685.0","1,282.0"
"52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","1. Exports and imports of certain goods, primarily military equipment purchased",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","and sold by the federal government, are included in services.  Beginning with 1986,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","repairs and alterations of equipment are reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","2. Consists of capital transfers and the acquisition and disposal of nonproduced",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","nonfinancial assets.  Prior to 1982, reflects only capital grants paid to the U.S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","territories and the Commonwealths of Puerto Rico and Northern Mariana Islands.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
