"","Table 4#2#5# Exports and Imports of Goods and Services by Type o","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"20","2","Exports of goods \1\","A253RC1","38,262.0","44,546.0","45,557.0","51,795.0","73,924.0","100,981.0","109,629.0","117,770.0","123,653.0","145,401.0","184,041.0","225,781.0","239,097.0","215,001.0","207,293.0","225,627.0","222,241.0","226,002.0","257,547.0","325,785.0","369,354.0","396,637.0","423,565.0","447,952.0","459,934.0","510,064.0","583,279.0","618,330.0","687,694.0","680,860.0","697,193.0","784,345.0","731,228.0","700,313.0","726,834.0","816,981.0","906,088.0","1,024,390.0","1,162,034.0","1,297,486.0","1,064,670.0","1,277,775.0","1,473,402.0"
"21","3","  Foods, feeds, and beverages","B638RC1","4,699.0","5,874.0","6,110.0","7,505.0","15,199.0","18,638.0","19,234.0","19,829.0","19,724.0","25,680.0","30,501.0","36,278.0","38,840.0","32,195.0","32,091.0","32,196.0","24,566.0","23,522.0","25,229.0","33,770.0","36,289.0","35,110.0","35,728.0","40,263.0","40,537.0","42,355.0","50,811.0","55,954.0","51,954.0","46,833.0","45,976.0","47,871.0","49,408.0","49,615.0","55,028.0","56,570.0","58,956.0","65,964.0","84,264.0","108,349.0","93,908.0","107,704.0","125,377.0"
"22","4","  Industrial supplies and materials","A639RC1","11,679.0","13,762.0","12,647.0","13,897.0","19,740.0","29,853.0","29,330.0","31,639.0","33,219.0","38,415.0","53,290.0","67,951.0","65,721.0","61,799.0","57,129.0","61,926.0","59,390.0","59,030.0","67,426.0","84,208.0","95,386.0","101,941.0","106,217.0","105,168.0","102,920.0","115,398.0","140,991.0","141,322.0","153,005.0","143,251.0","142,370.0","166,623.0","155,303.0","153,471.0","168,261.0","199,468.0","227,509.0","267,298.0","316,204.0","386,918.0","293,740.0","388,664.0","485,600.0"
"23","5","    Durable goods","B686RC1","4,679.0","5,595.0","4,284.0","4,714.0","7,362.0","10,298.0","9,700.0","10,281.0","10,330.0","13,056.0","18,576.0","24,800.0","20,799.0","17,612.0","16,956.0","17,714.0","16,870.0","17,708.0","21,026.0","28,776.0","33,351.0","35,767.0","37,160.0","36,881.0","37,658.0","41,374.0","49,945.0","51,112.0","55,301.0","53,914.0","54,260.0","63,616.0","57,080.0","53,500.0","57,305.0","70,063.0","82,189.0","101,333.0","113,931.0","128,645.0","96,170.0","125,305.0","144,081.0"
"24","6","    Nondurable goods","B687RC1","7,000.0","8,167.0","8,363.0","9,183.0","12,378.0","19,555.0","19,630.0","21,358.0","22,889.0","25,359.0","34,714.0","43,151.0","44,922.0","44,187.0","40,173.0","44,212.0","42,520.0","41,322.0","46,400.0","55,432.0","62,035.0","66,174.0","69,057.0","68,287.0","65,262.0","74,024.0","91,046.0","90,210.0","97,704.0","89,337.0","88,110.0","103,007.0","98,223.0","99,971.0","110,956.0","129,405.0","145,320.0","165,965.0","202,273.0","258,273.0","197,570.0","263,359.0","341,519.0"
"25","7","  Capital goods, except automotive","A640RC1","12,423.0","14,659.0","15,372.0","16,914.0","21,999.0","30,878.0","36,639.0","39,113.0","39,766.0","47,498.0","60,181.0","76,284.0","84,174.0","76,501.0","71,661.0","77,008.0","79,321.0","82,816.0","92,708.0","119,104.0","136,941.0","152,990.0","166,605.0","176,377.0","182,710.0","205,709.0","234,418.0","253,957.0","295,832.0","299,823.0","311,248.0","357,000.0","321,724.0","290,437.0","293,674.0","327,541.0","358,425.0","404,026.0","433,019.0","457,656.0","390,462.0","446,599.0","491,636.0"
"26","8","    Civilian aircraft, engines, and parts","B688RC1","1,266.0","1,528.0","1,918.0","1,675.0","2,315.0","3,395.0","3,189.0","3,214.0","2,750.0","7,267.0","10,564.0","14,121.0","13,895.0","10,070.0","11,146.0","10,162.0","13,527.0","15,449.0","16,387.0","21,209.0","26,935.0","32,194.0","36,610.0","37,726.0","32,787.0","31,475.0","26,129.0","30,792.0","41,359.0","53,548.0","52,921.0","48,091.0","52,619.0","50,425.0","46,724.0","46,075.0","55,889.0","64,503.0","73,020.0","73,999.0","74,756.0","71,973.0","80,161.0"
"27","9","    Computers, peripherals, and parts","B850RC1","786.0","1,237.0","1,262.0","1,341.0","1,717.0","2,198.0","2,228.0","2,588.0","3,264.0","4,288.0","5,727.0","7,808.0","8,914.0","9,353.0","11,057.0","14,224.0","14,703.0","15,650.0","18,818.0","23,966.0","24,128.0","25,889.0","27,295.0","28,764.0","29,316.0","33,320.0","39,654.0","43,719.0","49,360.0","45,248.0","46,724.0","55,541.0","47,555.0","38,552.0","39,925.0","42,805.0","45,536.0","47,581.0","45,546.0","43,898.0","37,718.0","43,816.0","48,444.0"
"28","10","    Other","B689RC1","10,371.0","11,894.0","12,192.0","13,898.0","17,967.0","25,285.0","31,222.0","33,311.0","33,752.0","35,943.0","43,890.0","54,355.0","61,365.0","57,078.0","49,458.0","52,622.0","51,091.0","51,717.0","57,503.0","73,929.0","85,878.0","94,907.0","102,700.0","109,887.0","120,607.0","140,914.0","168,635.0","179,446.0","205,113.0","201,027.0","211,603.0","253,368.0","221,550.0","201,460.0","207,025.0","238,661.0","257,000.0","291,942.0","314,453.0","339,759.0","277,988.0","330,810.0","363,031.0"
"29","11","  Automotive vehicles, engines, and parts","B641RC1","3,931.0","3,899.0","4,729.0","5,526.0","6,952.0","8,815.0","10,794.0","12,229.0","13,535.0","15,163.0","17,898.0","17,443.0","19,693.0","17,230.0","18,462.0","22,422.0","24,944.0","25,096.0","27,583.0","33,397.0","35,141.0","36,195.0","39,899.0","46,883.0","51,555.0","57,532.0","61,395.0","64,360.0","73,436.0","72,511.0","75,257.0","80,356.0","75,435.0","78,943.0","80,634.0","89,212.0","98,407.0","107,262.0","121,263.0","121,452.0","81,715.0","111,989.0","132,636.0"
"30","12","  Consumer goods, except automotive","A642RC1","2,604.0","2,798.0","2,913.0","3,583.0","4,800.0","6,399.0","6,560.0","8,022.0","8,931.0","11,381.0","13,979.0","17,751.0","17,697.0","16,128.0","14,924.0","15,085.0","14,594.0","16,730.0","20,307.0","26,982.0","35,873.0","43,503.0","46,577.0","51,235.0","54,460.0","59,711.0","64,152.0","69,323.0","77,031.0","79,369.0","80,922.0","89,378.0","88,331.0","84,357.0","89,909.0","103,238.0","115,285.0","129,081.0","145,976.0","161,282.0","150,035.0","165,883.0","176,183.0"
"31","13","    Durable goods","B690RC1","1,190.0","1,189.0","1,270.0","1,702.0","2,432.0","3,271.0","3,137.0","3,952.0","4,172.0","5,913.0","7,266.0","9,763.0","8,963.0","7,758.0","6,793.0","6,739.0","6,398.0","7,594.0","9,473.0","13,341.0","19,510.0","23,572.0","24,346.0","26,360.0","28,172.0","30,322.0","32,507.0","35,005.0","39,533.0","40,769.0","41,793.0","46,705.0","46,370.0","43,923.0","46,059.0","53,910.0","62,085.0","71,093.0","82,716.0","90,700.0","76,014.0","88,362.0","98,052.0"
"32","14","    Nondurable goods","B691RC1","1,414.0","1,609.0","1,643.0","1,881.0","2,368.0","3,128.0","3,423.0","4,070.0","4,759.0","5,468.0","6,713.0","7,988.0","8,734.0","8,370.0","8,131.0","8,346.0","8,196.0","9,136.0","10,834.0","13,641.0","16,363.0","19,931.0","22,231.0","24,875.0","26,288.0","29,389.0","31,645.0","34,318.0","37,498.0","38,600.0","39,129.0","42,673.0","41,961.0","40,434.0","43,850.0","49,328.0","53,200.0","57,988.0","63,260.0","70,582.0","74,021.0","77,521.0","78,131.0"
"33","15","  Other","A643RC1","2,926.0","3,554.0","3,786.0","4,370.0","5,234.0","6,398.0","7,072.0","6,938.0","8,478.0","7,264.0","8,192.0","10,074.0","12,972.0","11,148.0","13,026.0","16,990.0","19,426.0","18,808.0","24,294.0","28,324.0","29,724.0","26,898.0","28,539.0","28,026.0","27,752.0","29,359.0","31,512.0","33,414.0","36,436.0","39,073.0","41,420.0","43,117.0","41,027.0","43,490.0","39,328.0","40,952.0","47,506.0","50,759.0","61,308.0","61,829.0","54,810.0","56,936.0","61,970.0"
"34","16","Exports of services \1\","A646RC1","13,661.0","15,164.0","17,406.0","19,049.0","21,345.0","25,669.0","29,077.0","31,745.0","35,697.0","41,484.0","46,088.0","54,992.0","66,135.0","68,202.0","69,695.0","76,749.0","79,778.0","94,332.0","106,217.0","118,099.0","133,789.0","155,486.0","173,022.0","187,009.0","195,652.0","210,636.0","228,602.0","249,335.0","266,727.0","273,003.0","292,121.0","308,896.0","296,497.0","302,713.0","314,199.0","363,243.0","398,972.0","446,642.0","499,665.0","549,288.0","518,379.0","562,030.0","612,057.0"
"35","17","  Transfers under U.S. military agency sales contracts","B267RC1","4,138.0","4,214.0","5,473.0","5,853.0","5,360.0","5,190.0","6,252.0","5,823.0","7,552.0","8,204.0","6,978.0","9,025.0","10,717.0","12,574.0","12,526.0","9,968.0","8,721.0","8,549.0","11,106.0","9,274.0","8,517.0","9,876.0","10,690.0","11,865.0","12,669.0","12,208.0","13,918.0","15,738.0","16,132.0","16,760.0","15,245.0","12,829.0","11,776.0","11,285.0","12,527.0","14,764.0","18,095.0","22,746.0","15,762.0","13,094.0","15,121.0","15,533.0","15,796.0"
"36","18","  Travel","B493RC1","2,043.0","2,331.0","2,534.0","2,817.0","3,412.0","4,032.0","4,697.0","5,742.0","6,150.0","7,183.0","8,441.0","10,588.0","12,913.0","12,393.0","10,947.0","17,177.0","17,764.0","20,387.0","23,563.0","29,434.0","36,204.0","43,006.0","48,386.0","54,742.0","57,875.0","58,416.0","63,394.0","69,809.0","73,426.0","71,325.0","74,801.0","82,400.0","71,893.0","66,605.0","64,359.0","74,546.0","81,799.0","85,789.0","96,896.0","110,423.0","94,191.0","103,505.0","115,244.0"
"37","19","  Passenger fares","B533RC1","450.0","544.0","615.0","699.0","975.0","1,104.0","1,039.0","1,229.0","1,366.0","1,603.0","2,156.0","2,591.0","3,111.0","3,174.0","3,610.0","4,066.0","4,411.0","5,585.0","7,002.0","8,977.0","10,658.0","15,299.0","15,856.0","16,618.0","16,528.0","16,999.0","18,908.0","20,422.0","20,868.0","20,098.0","19,785.0","20,687.0","17,926.0","17,046.0","15,891.0","18,850.0","20,969.0","22,035.0","25,645.0","30,957.0","26,103.0","30,930.0","36,602.0"
"38","20","  Other transportation","B683RC1","2,652.0","3,125.0","3,300.0","3,579.0","4,465.0","5,697.0","5,840.0","6,747.0","7,090.0","8,136.0","9,971.0","11,618.0","12,560.0","12,321.0","12,593.0","13,812.0","14,677.0","15,436.0","17,027.0","19,310.0","20,527.0","22,041.0","22,633.0","21,530.0","21,957.0","23,754.0","26,082.0","26,073.0","27,004.0","25,605.0","26,916.0","29,803.0","28,442.0","29,195.0","31,416.0","36,957.0","41,281.0","46,225.0","40,315.0","44,016.0","35,533.0","39,936.0","42,686.0"
"39","21","  Royalties and license fees","B684RC1","2,019.0","2,331.0","2,544.0","2,770.0","3,225.0","3,931.0","4,411.0","4,463.0","5,031.0","6,005.0","6,313.0","7,213.0","7,438.0","5,602.0","5,779.0","6,178.0","6,678.0","8,114.0","10,170.0","12,140.0","13,819.0","16,636.0","17,818.0","20,843.0","21,694.0","26,713.0","30,289.0","32,470.0","33,229.0","35,625.0","39,670.0","43,232.0","40,695.0","44,507.0","46,987.0","56,715.0","64,394.0","70,727.0","84,580.0","102,126.0","97,183.0","105,583.0","112,731.0"
"40","22","  Other private services","B720RC1","924.0","1,043.0","1,278.0","1,482.0","1,690.0","2,961.0","3,687.0","4,500.0","4,919.0","6,163.0","7,259.0","8,574.0","13,154.0","16,905.0","17,620.0","18,637.0","19,390.0","28,348.0","29,605.0","31,418.0","37,034.0","40,591.0","48,109.0","50,290.0","53,505.0","60,842.0","65,047.0","73,337.0","83,930.0","91,772.0","103,935.0","107,905.0","113,859.0","122,208.0","131,563.0","149,264.0","160,049.0","186,028.0","222,434.0","232,019.0","234,858.0","250,321.0","273,066.0"
"41","23","  Other","B980RC1","1,435.0","1,576.0","1,662.0","1,849.0","2,218.0","2,754.0","3,151.0","3,241.0","3,589.0","4,190.0","4,970.0","5,383.0","6,242.0","5,233.0","6,620.0","6,911.0","8,137.0","7,913.0","7,744.0","7,546.0","7,030.0","8,037.0","9,530.0","11,121.0","11,424.0","11,704.0","10,964.0","11,486.0","12,138.0","11,818.0","11,769.0","12,040.0","11,906.0","11,867.0","11,456.0","12,147.0","12,385.0","13,092.0","14,033.0","16,653.0","15,390.0","16,222.0","15,932.0"
"42","24","    Imports of goods and services","B021RC1","50,491.0","55,760.0","62,342.0","74,216.0","91,159.0","127,465.0","122,729.0","151,146.0","182,443.0","212,251.0","252,675.0","293,829.0","317,759.0","303,183.0","328,638.0","405,107.0","417,228.0","452,867.0","508,714.0","553,992.0","591,032.0","629,729.0","623,547.0","667,793.0","719,974.0","813,425.0","902,571.0","963,966.0","1,055,776.0","1,115,690.0","1,251,392.0","1,475,291.0","1,398,713.0","1,430,201.0","1,545,147.0","1,798,919.0","2,027,791.0","2,240,347.0","2,374,770.0","2,556,486.0","1,974,564.0","2,356,702.0","2,664,205.0"
"43","25","Imports of goods \1\","A255RC1","36,813.0","40,855.0","46,550.0","56,934.0","71,843.0","104,520.0","99,000.0","124,632.0","152,630.0","177,410.0","212,788.0","248,571.0","267,815.0","250,541.0","272,677.0","336,316.0","343,294.0","370,006.0","414,769.0","452,124.0","484,793.0","508,072.0","500,723.0","544,929.0","592,762.0","676,813.0","757,448.0","807,448.0","885,656.0","930,751.0","1,047,690.0","1,246,500.0","1,171,680.0","1,193,876.0","1,289,260.0","1,501,666.0","1,707,981.0","1,884,930.0","2,000,748.0","2,146,349.0","1,587,252.0","1,947,310.0","2,237,931.0"
"44","26","  Foods, feeds, and beverages","B647RC1","5,236.0","6,147.0","6,364.0","7,258.0","9,119.0","10,568.0","9,642.0","11,546.0","13,981.0","15,825.0","18,029.0","18,564.0","18,557.0","17,477.0","18,824.0","21,880.0","21,849.0","24,376.0","24,809.0","24,929.0","24,894.0","26,402.0","26,197.0","27,601.0","27,861.0","30,956.0","33,190.0","35,733.0","39,704.0","41,260.0","43,603.0","45,979.0","46,640.0","49,687.0","55,833.0","62,144.0","68,094.0","74,938.0","81,684.0","90,439.0","82,849.0","92,475.0","108,599.0"
"45","27","  Industrial supplies and materials, except petroleum and products","A649RC1","11,658.0","12,236.0","13,581.0","15,979.0","19,188.0","27,019.0","23,566.0","28,483.0","33,435.0","39,318.0","45,016.0","47,337.0","52,038.0","45,372.0","51,079.0","62,623.0","59,228.0","62,468.0","66,083.0","76,645.0","78,764.0","78,192.0","75,656.0","82,405.0","88,707.0","104,954.0","119,576.0","124,584.0","134,715.0","142,220.0","148,312.0","173,561.0","165,816.0","159,632.0","175,667.0","226,395.0","266,031.0","291,386.0","295,656.0","318,886.0","197,084.0","250,437.0","296,244.0"
"46","28","    Durable goods","A820RC1","7,147.0","7,462.0","8,329.0","9,918.0","12,149.0","17,073.0","14,068.0","16,258.0","19,900.0","23,648.0","26,696.0","26,493.0","28,363.0","22,285.0","26,292.0","32,804.0","30,511.0","33,381.0","33,995.0","39,643.0","40,153.0","38,477.0","35,625.0","39,171.0","43,064.0","53,455.0","59,679.0","63,005.0","69,067.0","75,969.0","79,186.0","89,201.0","81,026.0","82,143.0","85,089.0","120,451.0","136,015.0","163,066.0","158,512.0","161,646.0","95,770.0","125,286.0","150,860.0"
"47","29","    Nondurable goods","B696RC1","4,511.0","4,774.0","5,252.0","6,061.0","7,039.0","9,946.0","9,498.0","12,225.0","13,535.0","15,670.0","18,320.0","20,844.0","23,675.0","23,087.0","24,787.0","29,819.0","28,717.0","29,087.0","32,088.0","37,002.0","38,611.0","39,715.0","40,031.0","43,234.0","45,643.0","51,499.0","59,897.0","61,579.0","65,648.0","66,251.0","69,126.0","84,360.0","84,790.0","77,489.0","90,578.0","105,944.0","130,016.0","128,320.0","137,144.0","157,240.0","101,314.0","125,151.0","145,384.0"
"48","30","  Petroleum and products","B648RC1","2,649.0","2,927.0","3,650.0","4,650.0","8,415.0","26,608.0","27,018.0","34,572.0","44,982.0","42,554.0","60,430.0","79,514.0","78,373.0","61,951.0","55,088.0","58,050.0","51,384.0","34,279.0","42,944.0","39,632.0","50,912.0","62,296.0","51,740.0","51,579.0","51,482.0","51,276.0","56,029.0","72,746.0","71,771.0","50,904.0","67,807.0","120,279.0","103,587.0","103,492.0","133,079.0","180,460.0","251,856.0","302,430.0","346,688.0","476,128.0","267,707.0","353,707.0","461,520.0"
"49","31","  Capital goods, except automotive","A650RC1","3,422.0","3,978.0","4,334.0","5,919.0","8,263.0","9,819.0","10,166.0","12,282.0","13,985.0","19,288.0","24,610.0","31,578.0","37,135.0","38,447.0","43,734.0","60,367.0","61,287.0","71,990.0","85,129.0","102,202.0","112,294.0","116,369.0","121,107.0","134,815.0","153,153.0","185,016.0","222,147.0","228,415.0","253,579.0","269,830.0","295,718.0","347,023.0","298,371.0","283,947.0","296,422.0","344,485.0","380,740.0","419,952.0","446,028.0","458,698.0","372,662.0","449,968.0","513,949.0"
"50","32","    Civilian aircraft, engines, and parts","B932RC1","177.0","191.0","226.0","477.0","618.0","636.0","547.0","406.0","592.0","848.0","1,382.0","3,136.0","3,862.0","3,521.0","3,215.0","3,692.0","5,288.0","6,067.0","6,577.0","7,888.0","9,436.0","10,474.0","11,737.0","12,581.0","11,294.0","11,298.0","10,709.0","12,671.0","16,598.0","21,814.0","23,773.0","26,375.0","31,358.0","25,458.0","24,086.0","24,299.0","25,751.0","28,385.0","34,407.0","35,501.0","30,683.0","31,247.0","35,424.0"
"51","33","    Computers, peripherals, and parts","B852RC1","135.0","190.0","220.0","265.0","350.0","390.0","405.0","565.0","660.0","965.0","1,239.0","1,473.0","1,945.0","2,694.0","5,528.0","8,298.0","8,365.0","10,989.0","14,839.0","18,358.0","21,455.0","22,919.0","25,974.0","31,687.0","38,037.0","46,161.0","56,277.0","61,514.0","70,176.0","72,474.0","81,458.0","89,762.0","74,001.0","75,151.0","76,512.0","88,635.0","93,310.0","101,347.0","105,158.0","101,222.0","94,177.0","117,257.0","119,706.0"
"52","34","    Other","B853RC1","3,110.0","3,597.0","3,888.0","5,177.0","7,295.0","8,793.0","9,214.0","11,311.0","12,733.0","17,475.0","21,989.0","26,969.0","31,328.0","32,232.0","34,991.0","48,377.0","47,634.0","54,934.0","63,713.0","75,956.0","81,403.0","82,976.0","83,396.0","90,547.0","103,822.0","127,557.0","155,161.0","154,230.0","166,805.0","175,542.0","190,487.0","230,886.0","193,012.0","183,338.0","195,824.0","231,551.0","261,679.0","290,220.0","306,463.0","321,975.0","247,802.0","301,464.0","358,819.0"
"53","35","  Automotive vehicles, engines, and parts","B651RC1","5,057.0","5,682.0","7,556.0","8,991.0","10,708.0","12,425.0","12,085.0","16,782.0","19,359.0","25,038.0","26,629.0","28,257.0","30,990.0","34,294.0","43,045.0","56,522.0","64,906.0","78,060.0","85,174.0","87,948.0","87,400.0","88,200.0","85,459.0","91,462.0","102,055.0","118,129.0","123,724.0","128,742.0","139,429.0","148,636.0","178,964.0","195,876.0","189,781.0","203,743.0","210,139.0","228,162.0","239,449.0","256,628.0","256,652.0","233,204.0","159,165.0","225,594.0","255,826.0"
"54","36","  Consumer goods, except automotive","A652RC1","6,487.0","7,403.0","8,388.0","11,104.0","12,892.0","14,380.0","13,211.0","17,165.0","21,796.0","29,373.0","31,262.0","34,267.0","38,374.0","39,672.0","47,277.0","61,094.0","66,336.0","79,355.0","88,824.0","96,424.0","103,633.0","104,961.0","107,652.0","122,423.0","133,698.0","145,902.0","159,720.0","172,532.0","195,212.0","218,477.0","243,536.0","284,150.0","286,549.0","310,713.0","337,690.0","377,146.0","411,533.0","446,146.0","478,202.0","486,722.0","432,453.0","486,561.0","518,633.0"
"55","37","    Durable goods","B697RC1","3,979.0","4,412.0","5,044.0","6,945.0","8,054.0","9,153.0","7,664.0","9,591.0","13,404.0","18,044.0","19,106.0","21,078.0","23,387.0","23,439.0","27,437.0","34,856.0","38,309.0","45,624.0","48,982.0","52,812.0","56,989.0","55,654.0","56,879.0","63,932.0","70,223.0","77,155.0","83,676.0","90,885.0","100,830.0","113,577.0","127,910.0","151,681.0","148,673.0","163,384.0","174,768.0","201,742.0","224,014.0","243,849.0","263,429.0","267,354.0","227,647.0","260,616.0","274,151.0"
"56","38","    Nondurable goods","B698RC1","2,508.0","2,991.0","3,344.0","4,159.0","4,838.0","5,227.0","5,547.0","7,574.0","8,392.0","11,329.0","12,156.0","13,189.0","14,987.0","16,233.0","19,840.0","26,238.0","28,027.0","33,731.0","39,842.0","43,612.0","46,644.0","49,307.0","50,773.0","58,491.0","63,475.0","68,747.0","76,044.0","81,647.0","94,382.0","104,900.0","115,626.0","132,469.0","137,876.0","147,329.0","162,922.0","175,404.0","187,519.0","202,297.0","214,773.0","219,368.0","204,806.0","225,945.0","244,482.0"
