"","Table 7#20# Comparison of Income and Outlays of Nonprofit Instit","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"1","[Millions of dollars]                                                           ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1992 To 2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 19, 2011  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/28/2012 8:47:31 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010"
"19","1","Revenue of nonprofit institutions, IRS \1\","W430RC1","682,094.0","728,130.0","764,521.0","849,085.0","917,762.0","987,262.0","997,145.0","1,078,995.0","1,149,784.0","1,155,399.0","1,214,362.0","1,393,282.0","1,495,550.0","1,614,937.0","1,778,516.0","1,864,155.0","1,731,972.0",".....","....."
"20","2","Less: Nonprofit revenue recorded by the IRS not included in nonprofit institution income and receipts from sales","W431RC1","251,179.0","264,781.0","275,273.0","324,735.0","359,002.0","386,070.0","361,197.0","394,270.0","406,920.0","342,409.0","344,308.0","476,887.0","518,934.0","560,388.0","616,268.0","707,835.0","548,539.0",".....","....."
"21","3","      Capital gains or losses","W432RC1","18,620.0","22,127.0","20,343.0","36,821.0","52,049.0","72,758.0","60,726.0","83,892.0","56,086.0","-757.0","-13,115.0","39,339.0","61,920.0","83,473.0","101,882.0","95,787.0","-55,050.0",".....","....."
"22","4","      Adjustment for different accounting periods","W433RC1","8,147.0","4,586.0","4,763.0","1,624.0","7,953.0","2,006.0","7,690.0","12,219.0","13,050.0","8,012.0","4,205.0","15,270.0","17,090.0","23,015.0","14,826.0","28,612.0","9,893.0",".....","....."
"23","5","      Nonresident institutions","W434RC1","10,483.0","9,919.0","12,184.0","11,853.0","11,195.0","11,363.0","9,925.0","10,774.0","11,603.0","10,851.0","8,444.0","11,550.0","11,388.0","9,364.0","14,416.0","16,750.0","21,048.0",".....","....."
"24","6","      Government hospitals and schools \2\","W435RC1","50,997.0","55,903.0","63,290.0","68,212.0","64,821.0","64,244.0","66,910.0","59,955.0","76,972.0","79,609.0","88,227.0","115,979.0","124,415.0","129,249.0","137,872.0","152,140.0","153,291.0",".....","....."
"25","7","      Other out-of-scope activity \3\","W436RC1","137,494.0","145,348.0","148,378.0","178,255.0","190,519.0","201,436.0","173,778.0","179,937.0","194,134.0","185,431.0","196,257.0","232,151.0","240,227.0","246,450.0","268,750.0","324,235.0","326,915.0",".....","....."
"26","8","      Transfer receipts from nonprofit institutions \4\","W426RC1","25,439.0","26,898.0","26,315.0","27,970.0","32,466.0","34,264.0","42,169.0","47,494.0","55,075.0","59,263.0","60,290.0","62,598.0","63,894.0","68,837.0","78,521.0","90,311.0","92,443.0","89,947.0","89,767.0"
"27","9","Plus: Nonprofit institution income not recorded by the IRS","W438RC1","29,305.0","30,244.0","33,881.0","34,804.0","36,724.0","36,440.0","40,745.0","42,066.0","47,041.0","51,549.0","51,654.0","50,713.0","54,174.0","56,616.0","58,480.0","63,561.0","63,765.0",".....","....."
"28","10","      Religious organizations \5\","W439RC1","27,610.0","28,961.0","32,686.0","33,466.0","35,109.0","35,041.0","38,705.0","39,958.0","44,973.0","48,849.0","49,668.0","49,392.0","54,000.0","56,755.0","59,232.0","63,574.0","62,689.0",".....","....."
"29","11","      Other organizations","W440RC1","1,475.0","1,495.0","1,588.0","1,691.0","1,803.0","1,917.0","1,908.0","1,904.0","1,813.0","1,671.0","1,674.0","2,251.0","2,077.0","2,160.0","2,430.0","2,718.0","3,222.0",".....","....."
"30","12","      Other accounting differences \6\","W428RC1","221.0","-212.0","-394.0","-353.0","-188.0","-518.0","132.0","204.0","254.0","1,029.0","312.0","-930.0","-1,904.0","-2,299.0","-3,182.0","-2,731.0","-2,145.0",".....","....."
