"","Table 5#7#5BU3# Inventory Valuation Adjustment by Industry      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69"
"1","[Millions of dollars; quarters seasonally adjusted at annual rates];                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1997 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 27, 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/26/2013 3:47:21 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2
"9","1","    Nonfarm industries","INF0",21819,22543,19127,11384,24500,19974,27336,19214,26862,-882,-18876,-33139,-28592,-29728,-11762,-22232,-10717,10287,27713,40925,47514,10817,-15616,-31335,-37327,8843,-5377,-23203,-40241,-60155,-49842,-70651,-40557,-25419,-50213,-68050,-17168,-51940,-48323,-25736,-59852,-51558,-15877,-101502,-164382,-202683,-58585,234517,124861,33336,-34231,-93105,-78087,-22399,-29733,-102631,-172249,-103004,-44191,-12271,-11823,18675,-33612,-33123,-25044,2212
"10","2","Mining, utilities, and construction","ICMU0",916,2078,-691,-1437,5119,-943,1842,-500,-207,-5628,-3575,-288,-816,-6563,-1993,-10235,5450,7803,7860,-717,-679,-5386,-320,-6691,-12599,4398,1321,-210,-8549,-6420,-2510,-12523,1388,-3446,-15825,-29241,22566,11222,-4629,-3705,-13716,-10379,11357,-14561,-32521,-50965,11656,46513,27973,15519,-13067,-19750,-25812,9689,1746,3889,-16551,-5766,474,3270,16582,9843,-2134,-20751,-8376,-13672
"11","3","Manufacturing industries","I300",8391,6781,7520,8119,5866,6958,11213,16023,14956,1521,-4234,-12610,-9615,-13976,-8878,-9196,-8245,6006,11459,11072,26469,9051,-2365,-13395,-14113,-2314,-4582,-9299,-18903,-29946,-27182,-24545,-24469,-12114,-14484,-20572,-15789,-31106,-22744,-4341,-19786,-24144,-12778,-28227,-50828,-75832,-36174,83286,44939,20162,-5671,-30395,-28028,-25369,-10690,-39450,-65195,-43040,-18667,2590,-7278,6751,-3900,-10413,-11000,5724
"12",NA,"  By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","4","    Durable goods industries","I30D0",1913,4049,6749,8362,2371,4041,8229,11877,7204,693,-388,-4920,1412,-5874,-4344,-5845,-4016,3954,5489,6068,15344,5668,1853,-5649,-2103,2394,-103,-3669,-9163,-16465,-18660,-15414,-12069,-2971,-1403,-6816,-8484,-21363,-16967,-7025,-8078,-9126,-459,-2432,-27005,-43514,-20063,26710,24908,17660,-1037,-13584,-9269,-17118,-3047,-13844,-27800,-18398,-8962,6484,-5815,-1537,4400,-3019,-2664,3120
"14","5","      Wood product manufacturing","I3210",-297,-300,-245,-177,476,518,190,-200,-109,-149,169,205,131,502,91,-259,151,157,118,251,-38,322,640,4,-115,-63,-353,-373,-1519,-707,11,204,-1096,-170,315,219,-184,-602,-135,653,-608,-312,-498,-430,-274,-357,-1031,-317,410,444,45,-156,-396,-88,268,41,-351,39,418,-181,385,-290,-320,-782,-360,-100
"15","6","      Nonmetallic mineral product manufacturing","I3270",175,-167,-173,64,46,-176,-69,-96,-79,-77,-228,-268,-319,-172,-503,-542,-664,-71,40,139,314,95,121,-376,-781,-361,-123,715,186,-183,-615,-414,-814,-611,-426,-338,-548,-696,-538,-274,-168,-306,-276,-832,-875,-1120,-1266,-117,-476,-181,5,-252,-229,-293,-265,-287,-607,-350,-255,159,-389,-243,50,-202,-276,16
