"","Table 2#3#6# Real Personal Consumption Expenditures by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"1","[Billions of chained (2005) dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published June 24, 2011     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/24/2011 9:24:41 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
"8","1","    Personal consumption expenditures (PCE)","DPCERX1",6079,6291.2,6523.4,6865.5,7240.9,7608.1,7813.9,8021.9,8247.6,8532.7,8819,9073.5,9289.5,9265,9153.9,9313.6
"9","2","Goods","DGDSRX1",1898.6,1983.6,2078.2,2218.6,2395.3,2521.7,2600.9,2706.6,2829.9,2955.3,3073.9,3173.9,3261.6,3180.3,3117.4,3250.4
"10","3","  Durable goods","DDURRX1",511.6,549.8,594.7,667.2,753.8,819.9,864.4,930,986.1,1051,1105.5,1150.4,1198.6,1136.4,1094.6,1178.3
"11","4","    Motor vehicles and parts","DMOTRX1",255.6,268,286.1,316.1,345.1,356.1,374.3,394,405.3,411.3,409.6,396.6,403.9,348.2,324,335.4
"12","5","    Furnishings and durable household equipment","DFDHRX1",133,138.8,145.3,157.3,175.5,192.4,202.2,217,230.6,249.3,263.9,277.9,281.5,271.4,253.9,275.8
"13","6","    Recreational goods and vehicles","DREQRX1",75.6,87.3,100.9,121.2,147,172.7,189.8,212.9,237,269.4,303.4,343.2,381.2,393.7,399.3,447.7
"14","7","    Other durable goods","DODGRX1",70.2,74.9,78.6,86.4,96.7,105.3,103,109.8,115.5,121.7,128.6,133.4,134.9,129.9,126.9,134.3
"15","8","  Nondurable goods","DNDGRX1",1437.8,1479.4,1522.9,1580.3,1660.9,1714.7,1745.6,1780.2,1845.6,1904.6,1968.4,2023.6,2064.3,2041.2,2017.4,2072.6
"16","9","    Food and beverages purchased for off-premises consumption","DFXARX1",548.5,554,558.9,565.5,587.4,600.6,607.6,609,622.4,639.2,665,686.2,697.5,691.6,685.1,703.7
"17","10","    Clothing and footwear","DCLORX1",201,210.8,217.7,231,246.2,258.1,260.5,268.5,283.4,297.3,315.5,331.5,343.8,341.7,326.8,345
"18","11","    Gasoline and other energy goods","DGOERX1",264.3,268.5,273.9,283.8,292.5,287.1,289.2,294,302.2,306.5,304.8,298.4,295.9,282,285.5,284.5
"19","12","    Other nondurable goods","DONGRX1",443,462.6,488.1,514.4,546.3,574.2,592.9,612.5,640.1,662.6,683,708.4,729.5,731.3,723.1,744.2
"20","13","Services","DSERRX1",4208.2,4331.4,4465,4661.8,4852.8,5093.3,5218.7,5318.1,5418.4,5577.6,5745.1,5899.7,6028.3,6082.3,6032.7,6064.7
"21","14","  Household consumption expenditures (for services)","DHCERX1",4068.6,4183.3,4327.2,4510.6,4690.4,4917.8,5028.8,5109.3,5199,5359.3,5531,5664.4,5783.2,5816.1,5777,5804.1
"22","15","    Housing and utilities","DHUTRX1",1234.9,1261.7,1290.4,1329.8,1371.8,1413.7,1451.5,1462,1480.2,1512.8,1582.8,1616.7,1626.4,1638.6,1656.9,1674.5
"23","16","    Health care","DHLCRX1",947.5,967.1,997.1,1029.5,1045.6,1081.5,1135.4,1202.3,1229.4,1268.6,1316,1340,1371.6,1410,1440.4,1461.1
"24","17","    Transportation services","DTRSRX1",213.8,231.4,248.8,259.2,273.5,286.2,283.6,275.8,276.7,283.2,285.9,285,288,273.1,250.9,253.9
"25","18","    Recreation services","DRCARX1",245.3,256.3,264.5,273.3,286.6,295.2,294.9,296.7,305.5,320.7,326.8,337.5,351.2,350,341.8,339.7
"26","19","    Food services and accommodations","DFSARX1",416,418.8,428,439.2,450,470.5,469.9,477.2,493.6,508.8,525.3,541.6,551.2,547.6,527.7,540.2
"27","20","    Financial services and insurance","DIFSRX1",489.4,507.8,525.2,558.6,605.6,665.4,660.7,658.3,657.8,691.8,712.6,735.4,766.4,770.9,743,725.9
"28","21","    Other services","DOTSRX1",524.3,541.9,574.1,621.7,656.7,704.2,732.6,737,755.7,773.5,781.6,808.3,828.8,826.5,817,809
"29","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRX1",142.3,150.9,140.6,153.9,165,177.8,191.4,209,219.3,218.3,214.1,235.4,245.3,267.3,256,261.5
"30","23","    Gross output of nonprofit institutions \2\","DNPERX1",636.4,653.4,663.8,696.7,721,749,785.3,831.1,844,860.6,874.6,901,922.6,946.8,952.1,961.3
