"","Table 7#4#4# Price Indexes for Housing Sector Output, Gross Valu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2010   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/23/2011 9:30:16 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","Housing output \1\","A2007G3",13.147,12.772,12.046,10.783,9.678,8.823,8.864,9.065,9.488,9.788,9.781,9.815,9.982,10.234,10.296,10.383,10.509,10.752,11.158,11.846,12.237,12.656,13.207,13.77,14.474,14.913,15.128,15.384,15.669,15.982,16.251,16.51,16.739,16.944,17.152,17.327,17.499,17.763,18.105,18.55,19.162
"9","2","  Nonfarm housing","A2008G3",13.68,13.314,12.607,11.319,10.129,9.12,9.109,9.324,9.753,10.074,10.075,10.116,10.287,10.514,10.524,10.545,10.588,10.652,10.995,11.723,12.238,12.667,13.182,13.717,14.459,14.96,15.174,15.452,15.731,16.031,16.25,16.497,16.704,16.902,17.09,17.251,17.42,17.666,17.985,18.425,19.009
"10","3","    Owner-occupied","DOWNRG3",13.698,13.332,12.624,11.334,9.768,9.145,9.124,9.339,9.768,10.09,10.091,10.133,10.304,10.542,10.541,10.562,10.605,10.67,11.013,11.742,12.258,12.687,13.203,13.739,14.49,14.984,15.199,15.478,15.757,16.058,16.276,16.526,16.731,16.926,17.114,17.279,17.445,17.69,18.016,18.456,19.039
"11","4","    Tenant-occupied","DTENRG3",13.581,13.22,12.516,11.239,10.495,9.047,9.047,9.26,9.686,10.005,10.005,10.047,10.217,10.43,10.452,10.473,10.516,10.58,10.92,11.644,12.155,12.581,13.092,13.624,14.347,14.857,15.071,15.347,15.624,15.922,16.141,16.38,16.592,16.797,16.984,17.134,17.31,17.556,17.859,18.299,18.882
"12","5","  Farm housing","DFARRG3",10.106,9.613,8.651,7.463,6.944,7.287,7.781,7.889,8.316,8.458,8.383,8.341,8.5,9.052,9.68,10.525,11.629,14.072,15.36,15.62,14.331,14.674,15.896,17.017,17.159,16.532,16.791,16.649,17.1,17.77,19.292,19.883,20.726,21.153,21.999,22.627,22.89,23.828,25,25.665,27.409
"13","6","Less: Intermediate goods and services consumed","B1027G3",12.827,12.453,11.784,10.558,9.499,8.609,8.625,8.847,9.261,9.533,9.545,9.605,9.77,9.989,9.944,9.951,10.038,10.546,11.016,11.748,12.181,12.575,13.044,13.492,14.131,14.493,14.657,14.873,15.069,15.302,15.468,15.613,15.727,15.842,15.989,16.146,16.299,16.492,16.818,17.388,18.019
"14","7","Equals: Gross housing value added","A2009G3",13.312,12.934,12.192,10.912,9.79,8.934,8.98,9.179,9.607,9.914,9.904,9.933,10.102,10.362,10.443,10.546,10.679,10.871,11.263,11.943,12.326,12.754,13.33,13.927,14.653,15.114,15.342,15.61,15.916,16.249,16.541,16.824,17.076,17.297,17.518,17.698,17.874,18.153,18.501,18.929,19.543
"15","8","          Nonfarm housing","B499RG3",13.901,13.534,12.812,11.506,10.289,9.262,9.249,9.462,9.896,10.228,10.226,10.264,10.437,10.668,10.693,10.722,10.763,10.747,11.064,11.791,12.319,12.759,13.294,13.861,14.632,15.165,15.394,15.687,15.989,16.307,16.544,16.814,17.043,17.258,17.457,17.622,17.795,18.054,18.378,18.8,19.383
"16","9","            Owner-occupied","B1300G3",14.085,13.721,12.993,11.678,10.05,9.384,9.355,9.558,9.995,10.348,10.338,10.371,10.54,10.8,10.835,10.871,10.913,10.834,11.132,11.857,12.39,12.835,13.376,13.957,14.748,15.29,15.526,15.825,16.138,16.467,16.717,17.003,17.239,17.459,17.663,17.832,18.003,18.265,18.6,19.009,19.589
"17","10","            Tenant-occupied","B1301G3",13.468,13.103,12.399,11.124,10.396,8.975,8.98,9.2,9.623,9.929,9.934,9.975,10.149,10.347,10.361,10.381,10.421,10.491,10.829,11.55,12.065,12.493,13.011,13.547,14.273,14.784,14.996,15.273,15.546,15.838,16.04,16.274,16.483,16.685,16.87,17.023,17.203,17.453,17.748,18.198,18.787
"18","11","          Farm housing","B1302G3",10.106,9.613,8.651,7.463,6.944,7.287,7.781,7.889,8.316,8.458,8.383,8.341,8.5,9.052,9.68,10.525,11.629,14.072,15.36,15.62,14.331,14.674,15.896,17.017,17.159,16.532,16.791,16.649,17.1,17.77,19.292,19.883,20.726,21.153,21.999,22.627,22.89,23.828,25,25.665,27.409
"19","12","Less: Consumption of fixed capital","B1028G3",5.592,5.489,4.982,4.039,3.992,4.432,4.375,4.576,5.063,5.213,5.254,5.439,5.933,6.348,6.831,7.425,7.964,8.681,10.452,11.332,11.457,11.737,12.575,12.907,12.994,13.027,13.283,13.624,13.66,13.622,13.656,13.747,13.763,13.778,13.683,13.798,14.166,14.679,15.2,16.016,17.107
"20","13","Equals: Net housing value added","B952RG3",16.924,16.411,15.583,14.201,12.515,10.943,11.046,11.228,11.588,11.966,11.927,11.864,11.842,12.008,11.888,11.76,11.711,11.676,11.477,12.065,12.551,13.035,13.501,14.195,15.155,15.769,15.986,16.226,16.626,17.085,17.463,17.807,18.134,18.421,18.739,18.94,19.058,19.268,19.566,19.88,20.357
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","1. Equals personal consumption expenditures for housing excluding expenditures for group housing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","as shown in table 2.5.4.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
