"","Table 6#13D# Noncorporate Capital Consumption Allowances by Indu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2010   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/23/2011 10:02:42 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"8","1","      Noncorporate capital consumption allowances","A1700C0",158460,178242,196668,225175,245574,264184,277880,256142,278173,294269,365878,348094
"9","2","Agriculture, forestry, fishing, and hunting","N1701C0",15922,16773,17136,17594,18254,19528,20322,21400,22601,20588,21988,22177
"10","3","  Farms \1\","N1702C0",14147,14735,15118,15619,16288,17067,17837,18949,20164,17972,18714,19234
"11","4","  Forestry, fishing, and related activities","N1703C0",1775,2038,2018,1975,1966,2461,2485,2451,2437,2616,3274,NA
"12","5","Mining","N1704C0",6979,7652,8967,10370,11397,11693,13059,12661,15836,18655,26863,28475
"13","6","Utilities","N1705C0",3124,3404,3547,4464,5380,6199,6598,6405,7014,6739,13463,12933
"14","7","Construction","N1706C0",7217,8312,9455,9580,10448,12648,13685,13554,14198,14048,13404,12010
"15","8","Manufacturing","N1707C0",11577,13659,15587,17351,18694,19537,20387,18104,19318,21277,36066,30183
"16","9","  Durable goods","N1708C0",4373,5368,5462,5430,6341,6857,6667,5376,6066,6502,18046,11781
"17","10","  Nondurable goods","N1709C0",7204,8291,10125,11921,12353,12680,13720,12728,13252,14775,18020,18402
"18","11","Wholesale trade","N1710C0",2193,2503,2799,3273,3417,3999,4433,4302,4750,5379,7028,6443
"19","12","Retail trade","N1711C0",5880,6696,6556,7416,8526,8789,8639,7921,7876,8293,9681,8676
"20","13","Transportation and warehousing","N1712C0",7840,8501,9610,9909,10611,11444,12619,12479,13251,13671,16964,15950
"21","14","Information","N1713C0",16281,19990,22318,31686,36733,34958,36057,29424,31301,30303,37533,34986
"22","15","Finance, insurance, real estate, rental, and leasing","N1714C0",53947,61321,67631,77349,81586,88521,94687,86658,95132,105067,125496,123369
"23","16","  Finance and insurance","N1715C0",4053,3620,4127,5261,6130,7816,7631,6403,7040,12337,14217,13499
"24","17","  Real estate and rental and leasing \2\","N1716C0",49894,57701,63503,72088,75456,80705,87056,80254,88092,92730,111279,109870
"25","18","Professional and business services","N1717C0",10871,11847,12620,14686,16105,18767,18792,17557,19046,20672,21987,20446
"26","19","  Professional, scientific, and technical services","N1718C0",7445,8077,8421,9654,10267,11882,11987,10472,11505,12311,13619,NA
"27","20","  Management of companies and enterprises; administrative and waste management services","N1719C0",3426,3769,4199,5032,5838,6886,6805,7084,7540,8361,8368,NA
"28","21","Educational services, health care, and social assistance","N1720C0",5439,6028,6449,7302,8693,10707,10821,9699,9981,11250,13106,12220
"29","22","  Educational services","N1721C0",391,515,542,569,673,762,884,817,1068,960,1017,NA
"30","23","  Health care and social assistance","N1722C0",5048,5513,5907,6733,8020,9945,9937,8881,8914,10290,12089,NA
"31","24","Arts, entertainment, recreation, accommodation, and food services","N1723C0",9446,9633,12156,12404,14241,15302,15540,13699,15475,16574,21101,19359
"32","25","  Arts, entertainment, and recreation","N1724C0",2590,2622,3473,3959,4591,4957,4662,4022,4385,4570,5386,NA
"33","26","  Accommodation and food services","N1725C0",6856,7011,8683,8445,9650,10345,10878,9677,11090,12004,15715,NA
"34","27","Other services, except government","N1726C0",1742,1927,1840,1792,1489,2091,2240,2280,2393,1753,1197,868
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","1. Consists of NAICS crop and animal production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2. Excludes owner-occupied housing and nonprofit institutions serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Note.  Estimates in this table are based on the 2002 North American Industry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
