"","Table 6#5D# Full-Time Equivalent Employees by Industry          ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15"
"1","[Thousands]                                                                                                                                                                                                                                               ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2010   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/23/2011 10:02:01 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"8","1","      Full-time equivalent employees \1\","A4301C0",117758,120328,123013,123185,122013,121427,122546,124779,127044,128431,127757,121014
"9","2","Domestic industries","A4302C0",118159,120769,123409,123726,122562,122019,123174,125444,127730,129156,128505,121805
"10","3","  Private industries","A4303C0",99458,101925,104283,104309,102719,102147,103318,105572,107780,108947,108037,101331
"11","4","    Agriculture, forestry, fishing, and hunting","N4304C0",1173,1198,1170,1118,1108,1121,1066,1037,1121,1097,1083,1058
"12","5","      Farms \2\","N4305C0",734,774,752,748,747,759,706,668,644,643,627,634
"13","6","      Forestry, fishing, and related activities","N4306C0",439,424,418,370,361,362,359,369,477,454,456,425
"14","7","    Mining","N4307C0",558,520,511,527,502,492,512,550,606,647,703,631
"15","8","      Oil and gas extraction","N4308C0",138,127,123,123,120,118,120,124,132,143,159,159
"16","9","      Mining, except oil and gas","N4309C0",241,231,218,217,207,197,202,210,217,217,221,204
"17","10","      Support activities for mining","N4310C0",180,163,169,187,174,177,191,216,256,287,323,268
"18","11","    Utilities","N4311C0",598,594,592,592,580,559,553,542,543,545,554,555
"19","12","    Construction","N4312C0",6017,6375,6659,6827,6758,6763,7040,7353,7651,7631,7188,5951
"20","13","    Manufacturing","N4313C0",17246,17051,16948,16121,14976,14216,14024,13954,13897,13609,13149,11529
"21","14","      Durable goods","N4314C0",10781,10689,10713,10173,9336,8815,8768,8820,8837,8661,8333,7104
"22","15","        Wood products","N4315C0",596,614,602,560,550,529,542,549,549,508,446,348
"23","16","        Nonmetallic mineral products","N4316C0",532,538,549,534,510,490,492,494,505,496,456,377
"24","17","        Primary metals","N4317C0",636,617,611,558,499,467,459,460,458,446,434,353
"25","18","        Fabricated metal products","N4318C0",1724,1718,1735,1647,1524,1453,1465,1499,1523,1528,1506,1274
"26","19","        Machinery","N4319C0",1478,1437,1427,1346,1205,1131,1121,1142,1159,1168,1167,997
"27","20","        Computer and electronic products","N4320C0",1807,1732,1779,1732,1479,1334,1299,1293,1286,1256,1231,1118
"28","21","        Electrical equipment, appliances, and components","N4321C0",587,577,583,548,490,454,438,428,428,421,413,364
"29","22","        Motor vehicles, bodies and trailers, and parts","N4322C0",1258,1300,1301,1203,1147,1108,1108,1095,1059,985,875,665
"30","23","        Other transportation equipment","N4323C0",801,776,740,720,675,643,650,671,688,709,724,672
"31","24","        Furniture and related products","N4324C0",641,662,671,631,592,559,560,553,548,519,470,373
"32","25","        Miscellaneous manufacturing","N4325C0",722,718,715,694,666,646,634,636,635,626,612,562
"33","26","      Nondurable goods","N4326C0",6465,6362,6235,5948,5640,5401,5255,5134,5060,4948,4816,4425
"34","27","        Food and beverage and tobacco products","N4327C0",1721,1736,1727,1709,1689,1658,1637,1617,1621,1622,1620,1578
"35","28","        Textile mills and textile product mills","N4328C0",642,609,588,517,472,434,403,372,343,320,293,240
"36","29","        Apparel and leather and allied products","N4329C0",697,613,539,472,393,344,319,288,267,241,225,189
"37","30","        Paper products","N4330C0",623,609,598,562,530,503,485,469,458,447,430,393
"38","31","        Printing and related support activities","N4331C0",773,767,757,750,695,659,646,626,622,612,579,509
"39","32","        Petroleum and coal products","N4332C0",121,123,120,117,116,113,109,110,110,113,115,113
"40","33","        Chemical products","N4333C0",974,971,967,944,909,886,868,862,853,845,837,787
"41","34","        Plastics and rubber products","N4334C0",913,934,938,877,836,804,789,788,786,747,717,615
"42","35","    Wholesale trade","N4335C0",5331,5450,5551,5535,5409,5402,5485,5613,5739,5829,5797,5414
"43","36","      Durable goods","N4336C0",3163,3243,3315,3289,3173,3147,3191,3277,3367,3417,3388,3105
"44","37","      Nondurable goods","N4337C0",2168,2207,2236,2247,2236,2255,2294,2336,2371,2411,2408,2309
"45","38","    Retail trade","N4338C0",12280,12633,12994,13416,13258,13159,13240,13467,13593,13722,13501,12707
"46","39","      Motor vehicle and parts dealers","N4339C0",1478,1525,1577,1646,1660,1660,1677,1694,1690,1690,1618,1434
"47","40","      Food and beverage stores","N4340C0",2481,2524,2545,2617,2558,2515,2487,2489,2497,2527,2534,2476
"48","41","      General merchandise stores","N4341C0",2223,2274,2360,2457,2444,2450,2476,2560,2580,2640,2652,2590
"49","42","      Other retail \3\","N4342C0",6097,6310,6511,6696,6596,6533,6601,6724,6826,6865,6698,6207
"50","43","    Transportation and warehousing","N4343C0",4051,4133,4215,4194,4062,4021,4087,4194,4277,4343,4326,4007
"51","44","      Air transportation","N4344C0",530,552,575,586,535,503,489,478,460,467,468,436
"52","45","      Rail transportation","N4345C0",212,207,198,192,186,182,182,190,193,192,190,176
"53","46","      Water transportation","N4346C0",49,49,49,50,51,51,53,58,59,61,62,60
"54","47","      Truck transportation","N4347C0",1316,1345,1369,1352,1310,1298,1328,1368,1400,1408,1368,1233
"55","48","      Transit and ground passenger transportation","N4348C0",366,377,373,369,372,373,379,387,394,404,415,412
"56","49","      Pipeline transportation","N4349C0",48,45,44,42,40,38,36,36,37,38,39,39
"57","50","      Other transportation and support activities \4\","N4350C0",1073,1090,1121,1113,1070,1066,1076,1102,1127,1143,1146,1052
