"","Table 2#1# Personal Income and Its Disposition                  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published June 24, 2011     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/24/2011 9:23:13 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
"8","1","Personal income","A065RC1",778.3,838.6,903.1,992.6,1110.5,1222.7,1334.9,1474.7,1632.5,1836.7,2059.5,2301.5,2582.3,2766.8,2952.2,3268.9,3496.7,3696,3924.4,4231.2,4557.5,4846.7,5031.5,5347.3,5568.1,5874.8,6200.9,6591.6,7000.7,7525.4,7910.8,8559.4,8883.3,9060.1,9378.1,9937.2,10485.9,11268.1,11912.3,12391.1,12174.9,12541
"9","2","  Compensation of employees, received","W209RC1",577.6,617.2,658.3,725.1,811.3,890.7,949,1059.2,1180.4,1335.2,1498.5,1647.6,1819.6,1919.6,2036,2245.2,2412,2557.7,2735.6,2954.2,3131.3,3326.2,3438.4,3647.2,3790.6,3980.9,4178.8,4387.7,4668.6,5023.9,5348.8,5788.8,5979.3,6110.8,6367.6,6708.4,7060,7475.7,7862.2,8065.8,7806.7,7984.5
"10","3","    Wage and salary disbursements","A576RC1",518.3,551.6,584,638.8,708.8,772.8,814.7,899.6,994.1,1120.3,1253.5,1373.5,1511.3,1587.5,1678,1844.7,1982.8,2102.3,2256.3,2439.8,2583.1,2741.1,2814.5,2973.5,3076.6,3230.8,3418,3616.3,3876.6,4181.6,4460,4827.7,4952.2,4997.3,5139.6,5425.7,5701,6068.9,6421.7,6559,6274.1,6398.9
"11","4","      Private industries","A132RC1",412.7,434.3,457.4,501.2,560,611.8,638.6,710.8,791.6,900.6,1016.2,1112,1225.5,1280,1352.7,1496.8,1608.7,1705.1,1833.1,1987.7,2101.9,2222.2,2265.7,2401.5,2487.6,2621.3,2789,2968.3,3204.8,3480.4,3726.3,4048,4130.3,4124.2,4226.3,4472.9,4709.5,5033.7,5332.7,5415.1,5100.5,5211.8
"12","5","      Government","B202RC1",105.6,117.2,126.6,137.6,148.8,161,176.1,188.8,202.5,219.7,237.3,261.5,285.8,307.5,325.2,347.9,374.1,397.2,423.1,452,481.1,519,548.8,572,589,609.5,629,648.1,671.8,701.2,733.7,779.7,821.9,873.1,913.3,952.8,991.5,1035.2,1089,1144,1173.6,1187.1
"13","6","    Supplements to wages and salaries","A038RC1",59.3,65.7,74.4,86.4,102.5,118,134.3,159.6,186.4,214.9,245,274.2,308.3,332.1,358,400.5,429.2,455.3,479.4,514.4,548.3,585.1,623.9,673.6,714.1,750.1,760.8,771.4,792,842.3,888.8,961.2,1027.1,1113.5,1228,1282.7,1359.1,1406.9,1440.4,1506.8,1532.6,1585.6
"14","7","      Employer contributions for employee pension and insurance funds","B040RC1",36.5,41.8,47.9,55.2,62.7,73.3,87.6,105.2,125.3,143.4,162.4,185.2,204.7,222.4,238.1,261.5,281.5,297.5,313.1,329.7,354.6,378.6,408.7,445.2,474.4,495.9,496.7,496.6,502.4,535.1,565.4,615.9,669.1,747.4,845.6,874.6,931.6,960.1,980.5,1036.6,1072,1106.8
"15","8","      Employer contributions for government social insurance","B039RC1",22.8,23.8,26.4,31.2,39.8,44.7,46.7,54.4,61.1,71.5,82.6,88.9,103.6,109.8,119.9,139,147.7,157.9,166.3,184.6,193.7,206.5,215.1,228.4,239.7,254.1,264.1,274.8,289.6,307.2,323.3,345.2,358,366.1,382.4,408.1,427.5,446.7,459.9,470.1,460.6,478.8
"16","9","  Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1",77.5,78.5,84.7,96,113.6,113.5,119.6,132.2,146,167.5,181.1,173.5,181.6,174.8,190.7,233.1,246.1,262.6,294.2,334.8,351.6,365.1,367.3,414.9,449.6,485.1,516,583.7,628.2,687.5,746.8,817.5,870.7,890.3,930.6,1033.8,1069.8,1133,1090.4,1102,1011.9,1055
"17","10","    Farm","B042RC1",12.8,12.9,13.4,17,29.1,23.5,22,17.2,16,19.9,22.2,11.7,19,13.3,6.2,20.9,21,22.8,28.9,26.8,33,32.2,27.5,35.8,32,35.6,23.4,38.4,32.6,28.9,28.5,29.6,30.5,18.5,36.5,49.7,43.9,29.3,37.8,50.8,30.5,44.9
