"","Table 5#6#5A# Change in Private Inventories by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"1","[Billions of dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1947 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 17, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/23/2011 9:25:45 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1947,1947,1947,1947,1948,1948,1948,1948,1949,1949,1949,1949,1950,1950,1950,1950,1951,1951,1951,1951,1952,1952,1952,1952,1953,1953,1953,1953,1954,1954,1954,1954,1955,1955,1955,1955,1956,1956,1956,1956,1957,1957,1957,1957,1958,1958,1958,1958,1959,1959,1959,1959,1960,1960,1960,1960,1961,1961,1961,1961,1962,1962,1962,1962,1963,1963,1963,1963,1964,1964,1964,1964,1965,1965,1965,1965,1966,1966,1966,1966,1967,1967,1967,1967,1968,1968,1968,1968,1969,1969,1969,1969
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
"9","1","    Change in private inventories","A014RC1",0.5,-1.2,-2.9,1.5,3.6,5.9,7.2,6,0.4,-5.1,-1.3,-4.7,2,2.8,4.2,14,10.4,14.8,9.7,4.7,4.7,-1.5,5.6,5.3,3.9,3.6,2.3,-2,-2,-3.4,-2.1,-0.3,3.8,4.6,4.3,7.2,6.4,3.6,3.6,2.2,2.2,2.7,2.8,-4.5,-4,-4.2,1.5,5.2,3.9,7.3,0.4,4.1,11.2,3.2,4.3,-5.8,-2.5,1.8,6.7,6,9.4,5.4,6.2,3.4,6.9,4.8,5.7,5.1,5.1,4.5,4.7,5,11.5,8.6,9.3,7.6,13.9,12.3,11.9,16.5,15.4,6.3,9.3,8.4,8.4,14.1,7.7,6,11.5,9.2,10.2,5.8
"10","2","Farm \1\","B018RC1",-1.1,-2.7,-2.5,-0.8,1.3,2.8,3.4,3.1,-0.2,-1.2,-0.9,-0.2,-0.1,-1.3,0.5,0.7,1.2,0.9,0.8,1.1,1,1.9,2.2,0.5,0.8,-0.7,0.7,2.1,0.8,-0.2,0.7,-0.5,-0.1,-1.1,-1.3,0.3,0,-1.5,-0.8,-1.6,0.3,0.7,0.5,-1,2.2,1.6,2.2,1.8,-0.3,-1.9,-2.3,-1.8,0.6,0.9,1,-0.2,0.6,0.6,0.9,1.4,1.5,0.2,0.2,0.4,1.9,0.1,-0.6,0.6,-0.6,-1.2,-1.8,-1.1,0.3,1.1,0.8,1,0.6,-1.7,-0.6,-0.4,1.7,2.1,0.5,-0.9,3,4.3,0.2,-2,1.8,1.4,-1.2,-1.9
"11","3","Nonfarm","A015RC1",1.6,1.5,-0.4,2.3,2.4,3,3.7,2.9,0.6,-4,-0.4,-4.5,2.2,4.2,3.7,13.4,9.2,13.8,9,3.6,3.8,-3.4,3.4,4.8,3.1,4.3,1.6,-4.1,-2.8,-3.2,-2.8,0.2,3.9,5.7,5.6,6.9,6.4,5,4.3,3.9,1.9,2,2.3,-3.5,-6.3,-5.8,-0.7,3.4,4.2,9.2,2.6,5.9,10.6,2.4,3.3,-5.6,-3.1,1.2,5.7,4.6,7.9,5.2,5.9,3,4.9,4.8,6.4,4.5,5.8,5.7,6.5,6.1,11.2,7.4,8.5,6.6,13.2,14,12.4,16.9,13.7,4.2,8.7,9.3,5.4,9.8,7.5,8,9.7,7.8,11.4,7.7
"12","4","    Change in book value \2\","B016RC1",13.5,6.9,5,9,5.9,6.7,7.1,2.5,-1.4,-7.6,-3.9,-4.7,2.9,8.1,12.7,24,19.8,15.1,5,1.8,2.4,-4.8,2.5,3.7,3.7,6,4.2,-4.2,-2.8,-3.2,-2,1,4.9,7,8.1,10,9.8,9.4,5.8,7.5,4.7,3.9,3.7,-2.2,-6,-6.1,-0.5,4.4,5,10.3,2.8,5,11.6,2.9,2.7,-5.9,-3.1,0.1,5.4,4.8,7.4,5.4,6.8,2.3,3.9,4.5,6.7,5.3,6,5.8,7.5,6.9,11.7,8.6,10.2,8.8,14.6,16.9,16.4,17.9,14,5.7,10.7,12.5,10.5,13.1,10.8,12.6,15.4,13.5,16.5,16.7
