"","Table 4#2#1# Percent Change From Preceding Period in Real Export","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12"
"1","[Percent]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1967 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published June 24, 2011     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/23/2011 9:23:32 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1967,1967,1967,1967,1968,1968,1968,1968,1969
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1
"9","1","    Exports of goods and services","B020RL1",NA,-3.6,-9.4,11.9,12.1,8.2,25.6,-5,-40
"10","2","Exports of goods \1\","A253RL1",NA,-0.8,-5.9,7,14.1,5.9,30.7,-9.5,-43.9
"11","3","  Foods, feeds, and beverages","B638RL1",NA,-3.7,-9.4,23.6,16.2,-40.9,10.3,10.9,-78.9
"12","4","  Industrial supplies and materials","A639RL1",NA,-4.3,-11.7,6.2,15.8,36.5,61.6,-28.9,-62.9
"13","5","    Durable goods","B686RL1",NA,-3.5,-38.3,12.3,34,68,37.1,-9.7,-60.2
"14","6","    Nondurable goods","B687RL1",NA,-4.8,8.3,3,6.7,20.5,78.5,-38.7,-64.5
"15","7","  Capital goods, except automotive","A640RL1",NA,7.9,-6.4,4.9,6.3,-9.2,36.3,-16.9,-21.6
"16","8","    Civilian aircraft, engines, and parts","B688RL1",NA,37,319.5,52.2,41.6,55.7,241.4,-49.6,-9.7
"17","9","    Computers, peripherals, and parts","B850RL1",NA,0,0,31.8,0,-24.1,117.4,-21.5,27.4
"18","10","    Other","B689RL1",NA,5.8,-18,-1.3,3.7,-15.5,15.5,-9.4,-26.6
"19","11","  Automotive vehicles, engines, and parts","B641RL1",NA,8.8,19.9,-11.6,49.1,61.7,-6.7,40.1,-27
"20","12","  Consumer goods, except automotive","A642RL1",NA,-25.4,4.8,9.7,6.6,39.6,10,-18.6,-8
"21","13","    Durable goods","B690RL1",NA,-27.3,-3.6,15.7,2.5,67.8,16.2,-33.2,37.3
"22","14","    Nondurable goods","B691RL1",NA,-24,11.3,5.4,9.4,21.9,6,-5.4,-33.3
"23","15","  Other","A643RL1",NA,1,-7.7,9.2,6.9,-1.1,4.3,62.4,16.6
