"","Table 6#13B# Noncorporate Capital Consumption Allowances by Indu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1948 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/23/2011 9:28:14 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","      Noncorporate capital consumption allowances","A1700C0",4259,5052,5613,6267,6725,7129,7456,7731,8447,8838,9085,9368,9535,9651,10058,10451,10959,11340,12038,12823,13512,14697
"9","2","Agriculture, forestry, and fishing","A1701C0",1138,1382,1614,1810,1949,2075,2181,2275,2320,2350,2489,2535,2563,2585,2645,2741,2898,3089,3296,3564,3735,3906
"10","3","  Farms","B1702C0",1107,1343,1570,1758,1888,2011,2110,2189,2226,2246,2360,2418,2428,2457,2512,2613,2733,2910,3130,3354,3545,3700
"11","4","  Agricultural services, forestry, and fishing","B1703C0",31,39,44,52,61,64,71,86,94,104,129,117,135,128,133,128,165,179,166,210,190,206
"12","5","Mining","B1704C0",164,165,181,213,222,245,265,305,356,316,343,274,352,333,312,302,308,308,324,385,393,420
"13","6","Construction","B1705C0",225,282,331,378,422,454,484,563,634,627,648,677,641,577,586,614,618,649,689,697,732,775
"14","7","Manufacturing","A1706C0",282,329,345,390,399,414,393,430,435,459,426,436,420,382,361,371,390,403,407,427,457,444
"15","8","  Durable goods","B1707C0",142,171,187,221,230,239,226,253,253,286,235,277,261,229,215,232,246,268,280,291,290,293
"16","9","  Nondurable goods","B1708C0",140,158,158,169,169,175,167,177,182,173,191,159,159,153,146,139,144,135,127,136,167,151
"17","10","Transportation and public utilities","A1709C0",292,336,351,385,393,407,402,465,546,620,646,604,600,603,609,707,701,772,769,781,863,890
"18","11","  Transportation","B1710C0",225,256,259,282,282,286,270,324,399,467,483,438,436,436,432,514,496,561,550,546,620,630
"19","12","  Communication","B1711C0",6,8,10,13,16,18,20,20,21,22,21,39,39,36,38,44,49,50,52,33,29,31
"20","13","  Electric, gas, and sanitary services","B1712C0",61,72,82,90,95,103,112,121,126,131,142,127,125,131,139,149,156,161,167,202,214,229
"21","14","Wholesale trade","B1713C0",287,267,307,377,380,400,370,417,465,513,491,527,531,499,482,479,473,408,427,441,400,429
"22","15","Retail trade","B1714C0",652,919,985,1042,1223,1312,1260,1177,1311,1352,1364,1442,1450,1351,1399,1380,1414,1325,1343,1363,1416,1477
