"","Table 2#3#4# Price Indexes for Personal Consumption Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Index numbers, 2005=100]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published June 24, 2011     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/24/2011 9:35:40 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","    Personal consumption expenditures (PCE)","DPCERG3",10.513,10.068,8.991,7.93,7.649,7.995,8.19,8.265,8.566,8.372,8.291,8.361,8.879,9.984,10.902,11.529,11.989,12.825,14.126,14.925,14.811,14.989,16.009,16.337,16.555,16.697,16.764,17.1,17.62,18.035,18.305,18.606,18.801,19.023,19.245,19.527,19.81,20.313,20.824,21.636,22.616
"9","2","Goods","DGDSRG3",16.29,15.424,13.3,11.461,11.368,12.489,12.816,12.865,13.328,12.791,12.599,12.71,13.751,16.023,17.863,19.052,19.922,21.443,24.024,25.443,24.853,24.933,26.944,27.204,27.08,26.979,26.821,27.277,28.13,28.77,28.917,29.144,29.253,29.404,29.648,29.971,30.286,30.953,31.499,32.597,33.86
"10","3","  Durable goods","DDURRG3",28.502,26.834,23.96,21.111,20.598,21.835,21.712,21.836,22.736,22.719,22.444,22.67,24.348,28.503,31.091,34.951,36.969,38.496,41.87,44.011,44.312,44.538,47.522,47.818,47.443,46.403,46.224,47.338,49.08,49.971,50.765,50.573,50.701,50.919,51.114,51.344,50.923,50.812,51.628,53.282,54.785
"11","4","    Motor vehicles and parts","DMOTRG3",11.946,11.508,10.735,10.074,9.444,9.891,9.745,9.791,10.037,10.435,10.196,10.212,11.101,14.221,14.978,16.087,16.347,20.462,22.484,24.221,25.069,25.139,26.425,27.513,26.993,26.059,26.361,27.558,29.295,30.403,31.911,31.314,31.491,32.004,32.256,32.519,32.253,32.035,32.472,33.591,34.267
"12","5","    Furnishings and durable household equipment","DFDHRG3",24.634,23.688,21.038,18.156,18.208,19.678,19.803,19.938,21.271,20.888,20.732,20.933,22.501,26.014,29.744,34.169,37.074,37.213,39.831,41.508,40.524,41.234,45.442,44.986,45.064,44.851,44.519,44.886,45.641,45.546,45.574,45.976,46.131,46.076,46.098,46.149,45.852,46.232,47.272,49.128,50.883
"13","6","    Recreational goods and vehicles","DREQRG3",203.641,169.626,134.45,110.509,103.062,106.919,105.803,104.616,107.277,106.848,104.313,105.93,108.131,123.146,123.323,134.212,137.9,141.37,163.182,172.637,179.146,177.569,181.246,174.947,172.724,167.176,161.959,163.788,169.564,174.207,169.191,170.344,169.432,167.575,167.24,165.214,162.937,161.129,162.104,165.285,169.092
"14","7","    Other durable goods","DODGRG3",21.033,20.652,19.719,17.727,17.774,18.449,18.095,18.479,18.649,18.037,18.187,18.724,20.373,23.499,24.679,27.554,28.645,28.633,30.256,30.594,30.444,30.006,31.848,31.774,31.92,31.262,30.869,31.192,31.397,31.436,31.584,31.671,31.605,31.472,31.637,32.448,32.282,32.273,33.04,33.767,35.439
"15","8","  Nondurable goods","DNDGRG3",12.225,11.592,9.912,8.501,8.459,9.356,9.662,9.695,10.032,9.541,9.392,9.472,10.268,11.95,13.37,14.148,14.769,16.002,18.069,19.178,18.557,18.605,20.198,20.416,20.345,20.396,20.263,20.554,21.157,21.671,21.704,21.963,22.055,22.175,22.396,22.695,23.104,23.844,24.279,25.154,26.242
"16","9","    Food and beverages purchased for off-premises consumption","DFXARG3",11.474,10.737,8.672,7.093,7.132,8.017,8.641,8.655,8.92,8.245,8.164,8.212,9.078,10.856,12.502,12.836,13.227,14.601,16.814,17.647,16.939,17.024,18.814,19.271,18.897,18.886,18.541,18.677,19.242,20.045,19.838,20.004,20.105,20.257,20.47,20.883,21.305,22.204,22.232,22.905,23.932
"17","10","    Clothing and footwear","DCLORG3",27.522,26.269,22.95,18.85,19.211,22.272,21.88,21.906,23.058,22.496,21.973,22.222,24.402,29.235,32.671,36.897,40.113,43.437,46.9,49.782,47.637,47.257,51.386,50.517,50.398,50.523,50.386,51.343,52.107,52.33,52.777,53.484,53.793,53.954,54.428,54.941,55.419,56.951,59.298,62.649,66.038
"18","11","    Gasoline and other energy goods","DGOERG3",6.777,6.555,5.826,5.688,5.566,5.87,5.82,5.976,6.095,5.986,5.78,5.787,6.054,6.412,6.637,6.778,6.768,7.035,7.906,9,9.133,9.235,9.491,9.663,10.033,10.196,10.304,10.626,11.115,10.991,11.146,11.344,11.357,11.415,11.443,11.337,11.724,12.003,12.394,12.621,13.008
"19","12","    Other nondurable goods","DONGRG3",11.311,10.912,10.396,9.82,9.328,9.564,9.553,9.507,9.843,9.683,9.59,9.766,10.068,11.005,11.748,12.429,12.853,13.447,15.3,16.15,15.798,15.868,16.901,16.966,17.218,17.264,17.443,17.741,18.31,18.752,19.057,19.353,19.4,19.464,19.734,20.027,20.305,20.71,21.217,22.03,22.845
"20","13","Services","DSERRG3",7.787,7.564,7.031,6.352,5.953,5.877,6.006,6.104,6.33,6.336,6.32,6.369,6.594,7.059,7.501,7.845,8.102,8.594,9.22,9.707,9.872,10.126,10.625,11.013,11.441,11.728,11.931,12.217,12.575,12.883,13.23,13.581,13.827,14.09,14.306,14.573,14.846,15.277,15.786,16.468,17.326
"21","14","  Household consumption expenditures (for services)","DHCERG3",7.514,7.302,6.792,6.129,5.737,5.648,5.775,5.867,6.081,6.093,6.076,6.126,6.34,6.784,7.205,7.536,7.782,8.244,8.82,9.277,9.438,9.676,10.142,10.524,10.94,11.215,11.406,11.671,12.007,12.3,12.636,13.014,13.252,13.507,13.714,13.977,14.234,14.643,15.131,15.788,16.604
"22","15","    Housing and utilities","DHUTRG3",13.077,12.728,12.068,10.939,9.942,9.184,9.213,9.364,9.712,9.957,9.936,9.962,10.096,10.31,10.365,10.445,10.554,10.731,11.075,11.666,12.004,12.368,12.844,13.34,13.947,14.326,14.547,14.767,15.03,15.318,15.565,15.859,16.07,16.243,16.416,16.562,16.703,16.934,17.225,17.619,18.184
"23","16","    Health care","DHLCRG3",2.939,2.947,2.74,2.414,2.379,2.466,2.608,2.662,2.734,2.788,2.769,2.856,2.928,3.115,3.362,3.611,3.772,4.092,4.533,4.789,4.856,4.959,5.186,5.441,5.699,5.897,6.104,6.322,6.584,6.84,7.035,7.508,7.678,7.872,8.095,8.371,8.631,9.016,9.59,10.195,10.914
"24","17","    Transportation services","DTRSRG3",8.957,8.885,8.437,7.785,7.34,7.485,7.65,7.607,7.564,7.619,7.647,7.511,7.649,8.114,8.296,8.251,8.357,8.639,9.282,9.957,10.641,11.12,11.914,12.358,12.936,13.371,13.691,14.155,14.68,15.1,15.543,15.891,16.355,16.707,16.779,17,17.294,17.608,18.266,19.089,20.265
"25","18","    Recreation services","DRCARG3",7.711,7.567,7.228,6.882,6.49,6.538,6.632,6.76,7.007,7.137,7.073,7.136,7.394,7.786,8.361,9.39,9.857,10.495,11.306,11.718,11.927,12.024,12.423,12.876,13.465,14.05,14.519,14.952,15.505,16.09,16.475,17.087,17.56,17.978,18.367,18.881,19.266,19.773,20.465,21.56,22.476
"26","19","    Food services and accommodations","DFSARG3",7.205,6.762,5.834,4.925,4.763,5.126,5.512,5.521,5.717,5.449,5.339,5.401,5.889,6.883,7.722,8.053,8.322,9.257,10.333,10.803,10.513,10.698,11.502,11.76,11.658,11.789,11.762,11.896,12.288,12.6,13.05,13.403,13.672,14.012,14.315,14.537,14.823,15.396,16.25,17.098,18.121
"27","20","    Financial services and insurance","DIFSRG3",5.774,5.64,5.129,4.565,4.354,4.509,4.704,4.916,5.131,5.009,4.972,5.113,5.248,5.605,5.86,6.103,6.335,7.005,7.303,7.685,7.824,7.976,8.074,8.566,9.539,9.882,10.176,10.499,10.85,11.019,11.65,12.159,12.57,13.088,13.103,13.651,13.998,14.842,15.183,16.307,17.765
"28","21","    Other services","DOTSRG3",6.628,6.394,5.928,5.452,5.206,5.283,5.343,5.427,5.7,5.66,5.726,5.773,6.039,6.576,7.341,8.109,8.62,9.019,9.637,10.119,10.344,10.595,11.138,11.547,11.974,12.174,12.364,12.792,13.222,13.574,13.964,14.353,14.517,14.754,15.074,15.41,15.805,16.262,16.782,17.524,18.373
"29","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRG3",22.11,21.266,19.443,18.068,17.389,18.346,18.484,18.984,19.977,19.449,19.481,19.456,20.397,22.132,23.742,24.826,25.684,28.332,32.957,35.502,35.806,37.233,40.352,40.438,41.166,42.206,43.294,45.3,47.346,48.578,49.452,46.284,46.749,47.411,48.173,48.393,49.743,51.569,53.242,55.28,58.721
"30","23","    Gross output of nonprofit institutions \2\","DNPERG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.811,11.082,11.288,11.501,11.778,12.063,12.413,12.845,13.433,14.14,15.062
"31","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.494,6.995,7.157,7.309,7.514,7.768,7.998,8.268,8.697,9.211,9.823
"32",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
