"","Table 7#17# Relation of Monetary Interest Paid and Received in t","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1946 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2010   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/23/2011 9:31:08 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8",NA,"      Corporations"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","Interest paid, IRS","B2642C1",2.3,2.5,2.8,3,3.2,3.7,5,5.7,6.3,7.1,8.3,10,11.1,12.6,14.6,15.6,18.4,20.7,23.2,26.4,31.3,35.4,41.2,51.7
"10","2","Less: Interest paid by foreign branches of commercial banks","B2643C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","3","Plus: Interest paid by organizations not filing corporation income tax returns","B2644C1",0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.8,0.9,1.1,1.3,1.4,1.8
"12","4","        Federally sponsored credit agencies","B2645C1",0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.7,0.8,0.8,1.1
"13","5","        Other \1\","B2646C1",0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.7
"14","6","      Interest paid by regulated investment companies reported as distributions to stockholders","B2647C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.2
"15","7","      Adjustment for mutual savings banks and savings and loan associations","B2648C1",0.4,0.5,0.5,0.6,0.7,0.8,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.2,0.1,0.1,0.2,0.4,0.5,0.6
"16","8","      Other \2\","B2649C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","9","Equals: Monetary interest paid by corporations, NIPAs","A2063C1",2.7,3,3.3,3.7,4,4.6,5.3,5.9,6.5,7.3,8.6,10.3,11.4,13,15.1,16.2,19,21.6,24.1,27.4,32.7,37,43.1,54.4
"18",NA,"       Nonfarm proprietorships and partnerships"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","10","Interest paid, IRS","B2650C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,1.5,1.7,1.9,2.2,2.5,2.7,3,3.4,3.9,5
"20","11","Plus: Interest reported on rental expense schedule","B2651C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","12","      Interest passed through to partners","B2652C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","13","      Interest capitalized on tax returns","B2653C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","14","Less: Adjustment for misreporting on income tax returns","B2654C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1
"24","15","Equals: Monetary interest paid, NIPAs","B1102C1",0.3,0.4,0.5,0.5,0.6,0.7,0.7,0.7,0.8,1,1.1,1.2,1.3,1.4,1.5,1.7,1.9,2.1,2.4,2.7,3,3.4,3.9,4.9
"25",NA,"       Corporations"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","16","Interest received, IRS","B2655C1",4.7,5,5.4,5.9,6.5,7.2,9.5,10.8,11.6,13.2,15.1,16.9,17.9,20.9,23.6,24.9,27.7,30.9,33.9,37.2,41.9,45.4,52.3,62.2
"27","17","Less: Interest received by foreign branches of commercial banks","B2656C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","18","Plus: Interest received by organizations not filing corporation income tax returns","B2657C1",0.2,0.3,0.4,0.4,0.4,0.6,0.7,0.8,0.7,0.8,1,1.3,1.3,1.6,1.9,1.8,2,2.3,2.7,3.1,3.7,4.2,5,6.2
"29","19","        Federal Reserve banks","B2658C1",0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.5,0.4,0.4,0.6,0.8,0.7,0.9,1.1,0.9,1,1.2,1.3,1.6,1.9,2.2,2.8,3.4
"30","20","        Federally sponsored credit agencies","B2659C1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.4,0.4,0.5,0.6,0.7,0.9,1,1,1.3
"31","21","        Other \3\","B2660C1",0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.6,0.6,0.7,0.8,0.9,1,1.3,1.5
