"","Table 5#2#6# Real Gross and Net Domestic Investment by Major Typ","F2","F3","F4","F5","F6"
"1","[Billions of chained (2005) dollars]                                                                                                                                                                                                                      ",NA,NA,NA,NA,NA
"2","Annual data from 1967 To 1969",NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA
"4","Data published August 05, 2010   ",NA,NA,NA,NA,NA
"5","File created 6/23/2011 9:24:22 AM",NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1967,1968,1969
"8","1","      Gross domestic investment","W170RX1",631.3,655,673.9
"9","2","      Less: Consumption of fixed capital","A262RX1",303.1,318.2,333.6
"10","3","      Equals: Net domestic investment","W171RX1",337.4,344.2,344.6
"11","4","Gross private domestic investment","A006RX1",454.1,480.5,508.5
"12","5","Less: Consumption of fixed capital","B024RX1",216.5,228.3,241.4
"13","6","Equals: Net private domestic investment","A557RX1",237.6,252.2,267.1
"14","7","  Fixed investment","A007RX1",435.7,466.1,495.1
"15","8","  Less: Consumption of fixed capital","B024RX1",216.5,228.3,241.4
"16","9","  Equals: Net fixed investment","A560RX1",219.2,237.8,253.7
"17","10","    Nonresidential","A008RX1",241.9,252.7,271.9
"18","11","    Less: Consumption of fixed capital","A753RX1",154,163.1,173.2
"19","12","    Equals: Net nonresidential","A593RX1",87.9,89.6,98.7
"20","13","      Structures","B009RX1",243.8,247.3,260.6
"21","14","      Less: Consumption of fixed capital","B188RX1",98.8,102.2,105.6
"22","15","      Equals: Net structures","A594RX1",145,145.1,155
"23","16","      Equipment and software","B010RX1",99.9,106.1,115.5
"24","17","      Less: Consumption of fixed capital","B189RX1",86,91.9,98.5
"25","18","      Equals: Net equipment and software","A747RX1",13.9,14.2,16.9
"26","19","    Residential","A011RX1",225.7,256.4,264
"27","20","    Less: Consumption of fixed capital","A754RX1",76.4,79.1,82.1
"28","21","    Equals: Net residential","A748RX1",149.3,177.3,181.9
"29","22","  Change in private inventories","A014RX1",33.9,30.8,30.3
"30","23","Gross government investment \1\","A782RX1",191.4,186.8,174.4
"31","24","Less: Consumption of fixed capital","A264RX1",91.6,94.8,96.9
"32","25","Equals: Net government investment","A889RX1",99.8,92,77.5
"33","26","          Federal","A890RX1",4.6,-3.4,-8.9
"34","27","            National defense","B891RX1",-1.6,-7.9,-12.3
"35","28","            Nondefense","B892RX1",7,5.1,3.8
"36","29","          State and local","B893RX1",99.2,103.2,95
"37","30","  Structures","A760RX1",NA,NA,NA
"38","31","  Less: Consumption of fixed capital","B894RX1",NA,NA,NA
"39","32","  Equals: Net structures","A895RX1",NA,NA,NA
"40","33","            Federal","A896RX1",NA,NA,NA
"41","34","              National defense","B897RX1",NA,NA,NA
"42","35","              Nondefense","B898RX1",NA,NA,NA
"43","36","            State and local","B899RX1",NA,NA,NA
"44","37","  Equipment and software","A871RX1",NA,NA,NA
"45","38","  Less: Consumption of fixed capital","B900RX1",NA,NA,NA
"46","39","  Equals: Net equipment and software","A901RX1",NA,NA,NA
"47","40","            Federal","A902RX1",NA,NA,NA
"48","41","              National defense","B905RX1",NA,NA,NA
"49","42","              Nondefense","B906RX1",NA,NA,NA
"50","43","            State and local","B907RX1",NA,NA,NA
"51",NA,"Addenda:"," ",NA,NA,NA
"52","44","  Gross domestic fixed investment","W172RX1",614.6,642.2,661.6
"53","45","  Less: Consumption of fixed capital","A262RX1",303.1,318.2,333.6
"54","46","  Equals: Net domestic fixed investment","W173RX1",319,329.8,331.2
"55",NA,NA,NA,NA,NA,NA
"56","1. Gross government investment consists of general government and government enterprise expenditures",NA,NA,NA,NA,NA
"57","for fixed assets; change in inventories is included in government consumption expenditures.",NA,NA,NA,NA,NA
"58","Note. Most chained (2005) dollar series are calculated as the product of the chain-type quantity index and the",NA,NA,NA,NA,NA
"59","2005 current-dollar value of the corresponding series, divided by 100. Because the formula for the chain-type",NA,NA,NA,NA,NA
"60","quantity indexes uses weights of more than one period, the corresponding chained-dollar estimates are",NA,NA,NA,NA,NA
"61","usually not additive.  Chained (2005) dollar estimates of net investment are calculated by subtracting",NA,NA,NA,NA,NA
"62","consumption of fixed capital from gross investment.",NA,NA,NA,NA,NA
