"","Table 3#9#6# Real Government Consumption Expenditures and Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"1","[Billions of chained (2000) dollars]                                                                                                                                                                                                                      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1990 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published March 26, 2009    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/25/2009 11:16:02 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","    Government consumption expenditures and gross investment","A822RX1",1530,1547.2,1555.3,1541.1,1541.3,1549.7,1564.9,1594,1624.4,1686.9,1721.6,1780.3,1858.8,1904.8,1931.8,1939,1971.2,2012.1,2070.2
"9","2","      Consumption expenditures \1\","A955RX1",1277.2,1293.6,1299.4,1295.5,1299.2,1301.9,1306.7,1329.9,1351.2,1393.1,1417.1,1461,1523.4,1562,1585.7,1590.9,1616,1646.3,1692.4
"10","3","      Gross investment \2\","A782RX1",253,254.1,256.4,246.5,243.3,248.8,258.6,264.5,273.6,294,304.5,319.3,335.5,342.9,346.1,348,355.3,366,378.2
"11","4","        Structures","A760RX1",151.2,154.7,157.2,154.5,154.7,159.5,166.7,173.1,172.7,183.3,189.3,198.5,207,208.8,204.2,198.2,195.6,203,205
"12","5","        Equipment and software","A871RX1",99.1,97.5,97.5,91.4,88.6,89.5,92.4,92.4,101.1,110.7,115.2,120.9,128.6,134.5,143.4,153.1,165.5,168.3,181.4
"13","6","Federal","A823RX1",659.1,658,646.6,619.6,596.4,580.3,573.5,567.6,561.2,573.7,578.8,601.4,643.4,687.1,715.9,724.5,741,752.9,798.2
"14","7","    Consumption expenditures","A957RX1",562.5,564.1,552.2,533.5,517.9,502.9,493.4,494.6,484.7,492.8,499.3,519.8,554,592,614.4,618.5,627.3,637.8,671
"15","8","    Gross investment","A787RX1",95.4,93.3,93.4,85.9,78.9,77.6,79.9,73.3,76.8,81,79.5,81.5,89.5,95.1,101.9,107.1,115.9,117.3,131.1
"16","9","      Structures","A801RX1",19,18.2,20.2,20.5,19.7,20,20.3,17.3,17,16.3,13.3,12.4,13.5,14.1,13.1,11.4,12.1,13,15.3
"17","10","      Equipment and software","A872RX1",75.8,74.4,73,65.6,59.6,58.1,60,56.3,59.9,64.8,66.2,69.1,76.1,81.1,89.2,96.7,105,105.1,116.4
