"","Table 6#11B# Employer Contributions for Employee Pension and Ins","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1948 To 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published April 2, 2004     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/25/2009 11:29:20 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
"8","1","      Employer contributions for employee pension and insurance funds","B040RC0",3405,3778,4650,5725,6383,7019,7281,8370,9797,11218,11881,13292,14304,15174,16604,17961,20250,22655,25488,28115,32392,36524,41819,47914,55195,62678,73273,87583,105199,125263,143358,162389,185210,204681,222356,238139,261493,281464,297451,313212
"9",NA,"         By industry"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2","Domestic industries","B040RC0",3405,3778,4650,5725,6383,7019,7281,8370,9797,11218,11881,13292,14304,15174,16604,17961,20250,22655,25488,28115,32392,36524,41819,47914,55195,62678,73273,87583,105199,125263,143358,162389,185210,204681,222356,238139,261493,281464,297451,313212
"11","3","  Private industries","B4903C0",2621,2836,3551,4495,5039,5708,5925,6800,7803,8811,9171,10239,10812,11281,12390,13236,14918,16947,18911,20471,23801,26623,30218,33728,39255,44514,50757,59197,71731,85422,99689,112596,126999,138382,148986,158081,167874,177889,189967,200666
"12","4","    Agriculture, forestry, and fishing","B4904C0",9,10,10,10,11,11,12,15,16,20,66,69,76,79,91,95,97,100,115,117,131,151,162,180,200,252,314,388,508,590,620,654,715,716,700,724,790,875,1006,1336
"13","5","    Mining","B4905C0",152,150,218,246,242,273,248,281,335,338,311,327,333,350,370,353,390,383,422,458,481,540,608,635,719,820,1015,1357,1626,1996,2546,3050,3747,4517,4637,4280,4055,3716,3537,3674
"14","6","    Construction","B4906C0",194,190,194,238,269,306,318,355,387,451,302,394,406,478,470,598,644,794,849,902,1152,1210,1525,1685,1901,2297,2744,3383,4285,5458,6398,7268,7563,6423,5848,7980,9701,11480,13655,14409
"15","7","    Manufacturing","B4907C0",1270,1408,1943,2626,2980,3403,3493,4080,4763,5315,5456,5867,6140,6155,6874,7127,8005,9061,10139,10779,12569,14228,14941,16228,18317,21028,24072,26587,32102,38650,42826,48310,53942,59391,61867,62231,63253,64912,67149,71609
"16","8","      Durable goods","J4908C0",625,680,1177,1599,1820,2126,2057,2559,3088,3433,3310,3594,3801,3734,4308,4458,5077,5833,6666,7065,8379,9571,9916,10873,12442,14460,16345,17850,21558,25907,28673,32390,36200,39454,40467,40451,41088,42028,43467,46717
"17","9","      Nondurable goods","J4909C0",645,728,766,1027,1160,1277,1436,1521,1675,1882,2146,2273,2339,2421,2566,2669,2928,3228,3473,3714,4190,4657,5025,5355,5875,6568,7727,8737,10544,12743,14153,15920,17742,19937,21400,21780,22165,22884,23682,24893
"18","10","    Transportation and public utilities","B4910C0",426,463,511,598,674,739,781,844,942,1064,1135,1276,1318,1438,1475,1588,1900,2247,2440,2629,3053,3160,4235,4941,5898,6204,6893,8326,10213,11499,12812,14252,16237,17364,20138,20807,21623,22442,23578,24244
"19","11","      Transportation","J4911C0",176,191,204,245,287,323,329,376,422,499,491,584,605,656,653,703,783,875,975,1031,1258,1232,1563,1834,2207,2269,2525,3212,4128,4778,5310,5918,6525,6551,7160,8714,10115,11395,12930,14019
"20","12","      Communication","B4912C0",144,155,170,185,204,227,233,231,245,266,290,338,356,382,419,465,635,851,914,1020,1137,1251,1813,2134,2608,2806,3125,3382,3785,4139,4695,5345,6244,7091,8408,7518,6926,6394,5828,5144
"21","13","      Electric, gas, and sanitary services","J4913C0",106,117,137,168,183,189,219,237,275,299,354,354,357,400,403,420,482,521,551,578,658,677,859,973,1083,1129,1243,1732,2300,2582,2807,2989,3468,3722,4570,4575,4582,4653,4820,5081
"22","14","    Wholesale trade","J4914C0",105,110,128,155,162,182,195,247,277,343,395,492,518,556,605,647,745,856,988,1074,1275,1522,1772,2010,2425,2717,3157,3604,4151,4860,6594,7550,8563,9598,10271,10565,11023,11667,12380,12897
"23","15","    Retail trade","J4915C0",189,200,221,239,261,284,313,349,378,478,543,608,694,793,908,1017,1117,1182,1287,1449,1714,1994,2280,2483,2934,3355,3664,4258,5080,5939,7728,8783,9831,10703,11501,13019,14252,15648,17381,17989
"24","16","    Finance, insurance, and real estate","J4916C0",163,185,192,217,261,304,350,384,428,471,567,649,681,714,795,888,998,1141,1282,1445,1691,1723,2064,2431,2923,3226,3410,4579,5737,6625,7261,7877,9082,9590,11217,11622,12018,12573,13700,14958
"25","17","    Services","J4917C0",113,120,133,166,179,206,216,246,277,331,396,556,647,719,803,924,1021,1182,1389,1618,1737,2095,2630,3136,3938,4613,5488,6714,8027,9804,12902,14852,17319,20078,22807,26854,31159,34575,37580,39550
"26","18","  Government","B4918C0",784,941,1102,1230,1344,1313,1360,1575,1994,2407,2710,3053,3492,3893,4214,4725,5332,5708,6577,7644,8591,9901,11601,14186,15940,18164,22516,28386,33468,39841,43669,49793,58211,66299,73370,80058,93619,103575,107484,112546
"27","19","Rest of the world","ZZZZZZ0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",NA,"        By type"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
