"","Table 4#2#3# Real Exports and Imports of Goods and Services by T","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"1","[Index numbers, 2000=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1967 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published March 26, 2009    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/25/2009 11:21:39 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","    Exports of goods and services","B020RA3",11.757,12.681,13.294,14.723,14.973,16.096,19.131,20.643,20.512,21.408,21.923,24.234,26.637,29.506,29.868,27.586,26.875,29.068,29.951,32.259,35.742,41.469,46.233,50.394,53.736,57.439,59.291,64.447,70.982,76.93,86.082,88.164,91.969,100,94.565,92.43,93.599,102.723,109.942,119.937,130.068,138.111
"9","2","Exports of goods \1\","B253RA3",10.638,11.481,12.082,13.46,13.408,14.849,18.259,19.709,19.252,20.165,20.429,22.712,25.396,28.422,28.114,25.573,24.838,26.801,27.79,29.217,32.456,38.572,43.172,46.81,50.042,53.785,55.534,60.937,68.07,74.086,84.717,86.614,89.907,100,93.871,90.143,91.771,100.011,107.698,118.407,127.335,134.948
"10","3","  Foods, feeds, and beverages","B638RA3",26.358,25.938,25.398,30.647,29.84,35.219,45.598,40.863,43.227,49.052,49.009,60.549,64.23,72.407,73.925,69.455,66.394,64.602,55.906,57.676,61.734,67.835,70.746,73.197,74.646,84.497,83.958,83.986,93.146,91.66,91.837,90.925,94.439,100,102.864,100.775,102.521,96.088,101.489,109.575,119.271,124.889
"11","4","  Industrial supplies and materials","B639RA3",23.082,26.261,27.463,30.748,27.798,29.609,36.427,37.485,32.792,35.417,35.714,39.469,45.196,51.296,47.844,46.395,44.144,46.401,46.669,48.752,49.967,56.334,62.575,66.232,70.797,72.1,70.203,74.122,79.866,83.6,90.827,89.836,90.887,100,96.102,96.4,98.847,105.164,108.033,116.095,122.476,135.352
"12","5","    Durable goods","B686RA3",23.336,27.504,30.408,34.587,26.052,27.664,37.551,35.902,30.001,31.835,30.722,37.123,43.572,51.766,41.869,36.573,36.226,36.705,36.415,37.594,40.957,49.897,56.276,60.646,63.602,62.115,59.731,63.256,71.295,75.519,82.368,83.686,86.814,100,91.361,85.434,87.631,94.846,102.136,111.896,118.17,129.194
"13","6","    Nondurable goods","B687RA3",23.282,25.939,26.18,29.001,29.215,31.169,36.317,38.941,34.871,37.989,39.101,41.39,46.786,51.771,51.973,52.713,49.336,52.648,53.241,55.889,55.76,60.547,66.714,69.933,75.524,78.672,77.143,81.309,85.476,88.883,96.355,93.823,93.48,100,99.062,103.338,105.942,111.693,111.786,118.774,125.223,139.29
"14","7","  Capital goods, except automotive","B640RA3",4.041,4.164,4.408,4.934,5.151,5.639,7.162,8.941,9.08,8.957,8.812,10.058,12.079,14.096,14.152,12.514,12.066,13.366,14.688,16.025,18.506,23.529,27.291,31.586,34.551,37.861,40.344,46.537,55.429,64.242,78.764,82.116,86.646,100,90.177,82.356,84.207,95.207,104.149,118.027,127.527,132.803
"15","8","    Civilian aircraft, engines, and parts","B688RA3",8.587,14.798,12.826,14.693,17.653,15.155,20.069,26.369,23.378,20.872,16.372,39.824,52.391,62.241,56.155,37.202,39.133,34.727,45.139,50.724,54.907,68.958,83.71,94.934,99.644,99.542,84.196,78.492,63.017,71.418,92.754,118.569,114.644,100,103.722,96.749,86.268,89.347,104.262,123.828,137.935,130.505
"16","9","    Computers, peripherals, and parts","B850RA3",0.015,0.016,0.021,0.038,0.044,0.055,0.078,0.127,0.14,0.188,0.274,0.426,0.657,1.117,1.385,1.544,2.254,3.597,4.458,5.55,7.815,10.661,11.746,14.197,16.589,20.054,23.454,29.185,38.996,51.224,67.301,70.231,79.997,100,88.584,76.55,81.185,88.321,101.824,111.415,115.369,121.705
"17","10","    Other","B689RA3",7.721,7.46,7.974,8.546,8.633,9.658,12.07,14.607,14.968,14.575,14.134,14.125,16.108,17.76,17.744,16.041,14.031,14.865,15.215,15.835,17.501,21.823,25.359,29.191,31.822,35.106,39.21,46.807,58.407,65.923,78.636,78.177,82.945,100,87.873,80.739,84.689,98.298,105.005,118.331,127.65,136.256
"18","11","  Automotive vehicles, engines, and parts","B641RA3",17.265,21.28,23.002,22.47,25.471,28.585,33.564,37.435,39.417,41.211,41.514,42.62,42.888,36.119,35.705,29.259,30.271,35.719,38.873,38.229,41.207,48.908,50.144,50.17,53.749,62.027,67.596,74.745,78.892,81.83,92.637,91.389,94.431,100,93.556,97.414,98.799,108.456,118.296,127.051,142.112,140.895
"19","12","  Consumer goods, except automotive","B642RA3",7.813,8.488,9.091,9.637,9.666,11.301,13.777,17.144,15.797,17.815,19.273,22.252,23.394,28.352,27.177,24.463,22.373,22.259,21.603,23.894,28.107,35.906,46.211,54.128,56.052,60.352,63.426,69.349,73.507,79.079,87.289,89.895,90.912,100,99.186,95.209,100.901,114.776,126.759,140.127,155.341,167.91
