"","Table 1#6#8# Contributions to Percent Change in the Gross Domest","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82"
"1","                                                                                                                                                                                                                                                          ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1930 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published March 26, 2009    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/25/2009 11:05:56 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8",NA,"Percent change at annual rate:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","  Gross domestic purchases","A712RV1",-4.1,-9.9,-11.7,-2.8,4.8,1.9,1.3,3.9,-2,-1,0.7,6.3,8,5.6,2.2,2.7,12.4,11.1,5.8,0.1,1.2,7.1,2,1.1,1.2,1.4,3.4,3.4,2.2,1.2,1.4,1.1,1.3,1.2,1.6,1.7,2.8,2.9,4.2,4.9,5.4,5.1,4.5,5.8,10.2,9.3,5.8,6.8,7.1,8.8,10.5,9.1,5.7,3.5,3.5,2.9,2.3,3.1,3.4,3.8,4.1,3.3,2.3,2.2,2.1,2.1,1.8,1.4,0.6,1.6,2.5,2,1.6,2.3,3.1,3.7,3.4,2.8,3.2
"10",NA,"Percentage points at annual rates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2","Personal consumption expenditures","A002RS2",-3.24,-8.47,-9.65,-2.95,3.69,1.85,0.73,2.69,-1.68,-0.7,0.6,4.2,7.19,4.69,2.76,2.04,4.4,7,3.88,-0.51,0.81,4.34,1.27,0.83,0.57,0.31,1.29,1.91,1.53,0.99,1.03,0.67,0.74,0.73,0.9,0.91,1.57,1.56,2.42,2.81,2.94,2.67,2.16,3.38,6.41,5.27,3.52,4.07,4.35,5.42,6.62,5.55,3.47,2.73,2.37,2.06,1.53,2.19,2.52,2.8,2.97,2.38,1.91,1.53,1.4,1.42,1.43,1.11,0.59,1.1,1.64,1.4,0.96,1.34,1.78,1.96,1.84,1.73,2.24
"12","3","  Durable goods","A003RS2",-0.51,-0.79,-0.76,-0.18,0.34,-0.04,0.05,0.31,0.02,-0.07,0.07,0.56,0.96,0.33,0.36,0.17,0.23,0.7,0.44,0.11,0.06,0.65,0.08,-0.07,-0.19,-0.04,0.22,0.34,0.16,0.14,-0.04,0.02,0.04,0.03,0.04,-0.08,-0.04,0.14,0.29,0.25,0.19,0.31,0.1,0.13,0.55,0.75,0.47,0.39,0.51,0.57,0.67,0.51,0.29,0.15,0.12,0.09,0.09,0.25,0.13,0.15,0.07,0.11,0.05,0.08,0.16,0.05,-0.09,-0.19,-0.23,-0.21,-0.14,-0.16,-0.21,-0.31,-0.15,-0.06,-0.11,-0.14,-0.09
"13","4","    Motor vehicles and parts","A165RS2",-0.1,-0.15,-0.11,-0.12,0.1,-0.04,0.01,0.07,0.09,-0.05,0,0.24,0.35,0.02,0.03,0.01,0.22,0.24,0.22,0.12,0.01,0.21,0.14,-0.07,-0.12,0.04,0.18,0.23,0.13,0.17,-0.07,0.02,0.06,0.03,0.03,-0.03,-0.03,0.05,0.13,0.08,0.1,0.19,0.02,0.03,0.24,0.33,0.27,0.24,0.28,0.29,0.26,0.24,0.15,0.1,0.11,0.09,0.11,0.18,0.07,0.12,0.01,0.09,0.06,0.13,0.16,0.14,0.07,0.01,-0.04,0.02,0.02,0.02,-0.02,-0.09,-0.03,0.06,0.02,-0.02,-0.01
"14","5","    Furniture and household equipment","A166RS2",-0.39,-0.61,-0.58,-0.04,0.25,0.01,0.02,0.23,-0.06,-0.03,0.03,0.25,0.49,0.29,0.25,0.14,0,0.35,0.2,-0.03,0.06,0.36,-0.07,-0.01,-0.05,-0.06,0.03,0.08,0.01,-0.03,0.02,-0.01,-0.03,-0.01,-0.01,-0.04,-0.01,0.05,0.11,0.1,0.07,0.06,0.04,0.06,0.23,0.28,0.12,0.09,0.14,0.18,0.21,0.19,0.11,0.01,-0.01,-0.02,-0.04,0,0,-0.01,-0.02,-0.03,-0.04,-0.06,-0.02,-0.1,-0.15,-0.18,-0.18,-0.2,-0.14,-0.19,-0.18,-0.18,-0.12,-0.12,-0.14,-0.14,-0.12
"15","6","    Other","A167RS2",-0.01,-0.03,-0.07,-0.03,-0.01,-0.02,0.01,0,-0.01,0.01,0.03,0.06,0.12,0.02,0.09,0.03,0,0.11,0.02,0.02,-0.02,0.07,0.01,0.01,-0.02,-0.01,0.02,0.02,0.02,-0.01,0.01,0.01,0.01,0.01,0.02,-0.01,0,0.03,0.05,0.06,0.02,0.06,0.03,0.04,0.08,0.13,0.08,0.06,0.08,0.11,0.21,0.09,0.04,0.04,0.02,0.02,0.02,0.06,0.07,0.05,0.07,0.05,0.03,0.01,0.02,0.01,0,-0.02,-0.01,-0.03,-0.01,0.01,-0.01,-0.03,0,-0.01,0.01,0.02,0.04
"16","7","  Nondurable goods","A004RS2",-1.97,-5.6,-5.63,-0.25,4.08,1.47,0.12,1.37,-1.96,-0.65,0.34,3,5.13,3.45,1.61,1.29,3.23,4.96,2.24,-1.22,0.15,2.73,0.36,-0.14,0.1,-0.19,0.42,0.89,0.73,0.18,0.42,0.17,0.23,0.32,0.35,0.49,0.88,0.63,1,1.2,1.29,0.81,0.84,1.94,3.57,2.03,0.99,1.47,1.61,2.5,2.84,1.91,0.69,0.51,0.54,0.48,-0.08,0.72,0.7,0.99,1.15,0.65,0.32,0.21,0.14,0.23,0.42,0.27,0,0.47,0.75,0.29,0.11,0.39,0.64,0.71,0.58,0.58,1.03
"17","8","    Food","A168RS2",-1.26,-3.78,-3.56,-0.01,2.4,1.67,0.03,0.69,-1.6,-0.26,0.14,1.94,3.2,2.31,0.49,0.54,2.26,3.21,1.05,-0.79,0.15,1.74,0.42,-0.31,0.04,-0.25,0.13,0.51,0.62,0,0.21,0.14,0.18,0.2,0.28,0.28,0.59,0.22,0.5,0.66,0.82,0.43,0.59,1.39,1.84,1.09,0.45,0.82,1.14,1.24,1.11,0.95,0.44,0.26,0.38,0.22,0.31,0.35,0.36,0.53,0.51,0.37,0.13,0.16,0.17,0.22,0.27,0.22,0.17,0.18,0.21,0.27,0.18,0.18,0.28,0.2,0.21,0.34,0.5
"18","9","    Clothing and shoes","A169RS2",-0.41,-1.15,-1.64,0.17,1.27,-0.15,0.01,0.4,-0.19,-0.19,0.09,0.7,1.29,0.76,0.82,0.59,0.65,0.66,0.48,-0.33,-0.06,0.56,-0.11,-0.01,0.01,-0.02,0.11,0.08,0.02,0.04,0.07,0.03,0.02,0.05,0.04,0.05,0.13,0.2,0.27,0.27,0.19,0.15,0.1,0.17,0.32,0.17,0.14,0.17,0.08,0.08,0.14,0.11,0.05,0.04,0.01,0.07,-0.03,0.11,0.12,0.05,0.12,0.07,0.03,-0.02,-0.06,-0.08,-0.05,0,-0.06,-0.05,-0.04,-0.06,-0.08,-0.07,-0.01,-0.03,-0.01,-0.02,-0.01
"19","10","    Gasoline, fuel oil, and other energy goods","A173RS2",-0.11,-0.41,-0.09,-0.1,0.25,-0.04,0.11,0.08,-0.07,-0.14,0,0.17,0.17,0.07,0.03,0,0.09,0.35,0.41,0.05,0.03,0.08,0.05,0.11,0.05,0.03,0.09,0.14,-0.04,0.04,0.06,0,0.02,0.01,-0.02,0.09,0.06,0.09,0.05,0.08,0.04,0.04,0.03,0.25,0.94,0.21,0.14,0.2,0.12,0.88,1.17,0.46,-0.17,-0.12,-0.03,0.01,-0.54,0.07,0.02,0.17,0.28,-0.03,-0.01,-0.02,0,0.02,0.12,0,-0.22,0.12,0.44,-0.06,-0.11,0.27,0.32,0.45,0.29,0.2,0.44
