"","Table 2#3#4U# Chain-Type Price Indexes for Personal Consumption ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207"
"40","29","P1CAJG D Clothing, accessories, and jewelry","P1CAJG3",43.264,43.273,43.314,43.376,43.423,43.512,43.596,43.797,43.863,43.879,43.869,43.914,43.875,44.047,44.083,44.221,44.202,44.206,44.253,44.372,44.446,44.437,44.406,44.498,44.451,44.531,44.53,44.396,44.485,44.451,44.581,44.636,44.674,44.617,44.623,44.628,44.391,44.448,44.702,44.624,44.626,44.73,44.784,44.647,45.148,45.097,44.907,44.792,44.95,45.034,45.06,45.129,45.08,45.15,45.239,45.262,45.229,45.338,45.427,45.643,45.68,45.675,45.676,45.733,45.759,45.753,45.78,45.714,45.673,45.6,45.739,45.862,45.941,45.945,45.887,45.966,46.031,46.18,46.223,46.388,46.22,46.234,46.307,46.367,46.507,46.606,46.702,46.844,46.95,47.103,47.352,47.336,47.583,47.744,47.915,48.149,48.249,48.412,48.588,48.73,48.874,49.066,49.28,49.403,49.536,49.68,49.837,50.033,50.236,50.53,50.74,51.05,51.315,51.58,51.841,52.16,52.474,52.69,52.877,53.152,53.456,53.63,53.836,54.07,54.296,54.552,54.915,54.872,55.225,55.384,55.657,55.835,55.962,56.217,56.201,56.355,56.51,56.713,56.846,56.961,57.235,57.429,57.666,57.868,57.982,58.119,58.137,58.301,58.598,58.73,58.888,58.659,58.88,58.932,59.015,59.151,59.377,59.478,59.551,59.638,59.749,59.769,59.848,59.623,60.092,60.352,60.498,60.76,60.817,60.927,61.327,61.705,61.884,62.161,62.155,62.361,62.586,62.771,63.019,63.285,63.602,64.228,64.834,65.352,65.863,66.368,66.785,67.93,68.111,68.371,68.751,68.819,68.837,69.015,69.106,69.136,69.25,69.274,69.716,70.016,69.876,70.085,70.309,70.488
"41","30","P1PCRG D Personal care","P1PCRG3",21.272,21.318,21.359,21.451,21.483,21.537,21.579,21.641,21.708,21.76,21.813,21.834,21.775,21.716,21.727,21.786,21.817,21.868,21.862,21.883,21.899,21.93,21.961,21.981,21.994,21.993,21.989,22.011,21.997,22.009,22.044,22.06,22.121,22.081,22.094,22.062,22.132,22.191,22.252,22.224,22.195,22.229,22.242,22.263,22.319,22.369,22.434,22.467,22.504,22.498,22.491,22.499,22.496,22.51,22.57,22.628,22.673,22.668,22.658,22.695,22.693,22.718,22.706,22.695,22.705,22.696,22.719,22.747,22.756,22.79,22.81,22.877,22.906,22.937,22.971,23.003,23.01,23.083,23.048,23.018,22.978,22.923,22.895,22.866,22.9,22.951,23.021,23.083,23.109,23.194,23.264,23.337,23.376,23.426,23.497,23.538,23.58,23.666,23.723,23.842,23.937,24.012,24.014,24.084,24.126,24.16,24.205,24.226,24.469,24.537,24.665,24.779,24.852,24.998,25.028,25.105,25.188,25.288,25.487,25.602,25.625,25.727,25.844,26.01,26.039,26.107,26.199,26.257,26.352,26.333,26.417,26.482,26.56,26.672,26.784,26.819,26.906,26.828,26.977,27.109,27.247,27.318,27.359,27.425,27.546,27.583,27.67,27.833,27.842,27.923,28.009,28.056,28.049,28.12,28.141,28.129,28.175,28.237,28.281,28.381,28.526,28.609,28.62,28.697,28.742,28.818,28.91,29.054,29.11,29.309,29.498,29.666,29.811,29.915,30.044,30.172,30.281,30.514,30.752,31.032,31.228,31.494,31.783,32.097,32.566,33.006,33.393,33.898,34.426,35.019,35.26,35.622,35.928,36.381,36.687,36.959,37.04,37.234,37.463,37.55,37.697,37.883,38.085,38.417
"42","31","P1HOSG B Housing","P1HOSG3",18.401,18.407,18.417,18.499,18.505,18.586,18.594,18.6,18.608,18.684,18.692,18.761,18.76,18.762,18.759,18.758,18.832,18.835,18.887,18.887,18.911,18.918,18.997,19.002,19.005,19.014,19.017,19.09,19.092,19.147,19.173,19.176,19.176,19.178,19.183,19.181,19.253,19.277,19.311,19.261,19.333,19.338,19.359,19.41,19.41,19.417,19.423,19.427,19.504,19.506,19.504,19.529,19.579,19.581,19.591,19.597,19.6,19.675,19.68,19.679,19.677,19.724,19.731,19.736,19.766,19.767,19.769,19.843,19.845,19.848,19.845,19.871,19.866,19.917,19.921,19.926,19.979,19.984,20.008,20.008,20.009,20.033,20.084,20.089,20.143,20.17,20.173,20.241,20.24,20.252,20.266,20.276,20.359,20.437,20.444,20.47,20.526,20.579,20.585,20.61,20.616,20.69,20.699,20.706,20.781,20.833,20.843,20.866,20.942,20.994,21.026,21.103,21.16,21.187,21.245,21.265,21.348,21.406,21.436,21.519,21.577,21.606,21.671,21.705,21.841,21.872,22.006,22.037,22.118,22.201,22.289,22.371,22.46,22.518,22.62,22.676,22.774,22.859,22.918,23.021,23.084,23.191,23.269,23.424,23.484,23.585,23.662,23.739,23.871,23.976,24.034,24.121,24.201,24.231,24.292,24.366,24.443,24.518,24.593,24.62,24.695,24.761,24.839,24.917,25.005,25.023,25.133,25.267,25.403,25.479,25.549,25.65,25.776,25.78,25.877,26.031,26.086,26.165,26.269,26.421,26.412,26.497,26.509,26.588,26.603,26.758,26.848,26.934,27.085,27.264,27.395,27.555,27.856,28.005,28.085,28.231,28.381,28.536,28.684,28.773,28.923,29.157,29.316,29.478
"43","32","P1HHOG D Household operation","P1HHOG3",25.51,25.541,25.603,25.623,25.634,25.701,25.783,25.855,25.896,25.92,25.952,25.99,26.039,26.087,26.1,26.166,26.176,26.188,26.223,26.237,26.283,26.303,26.29,26.302,26.315,26.362,26.364,26.386,26.399,26.403,26.386,26.375,26.35,26.371,26.367,26.366,26.389,26.388,26.408,26.412,26.422,26.431,26.446,26.456,26.484,26.475,26.501,26.528,26.542,26.557,26.572,26.604,26.626,26.625,26.62,26.605,26.648,26.678,26.727,26.701,26.689,26.698,26.715,26.724,26.747,26.766,26.757,26.752,26.764,26.783,26.784,26.811,26.814,26.825,26.822,26.814,26.825,26.841,26.853,26.892,26.901,26.961,26.958,27.006,26.966,26.916,26.897,26.995,27.106,27.209,27.264,27.311,27.353,27.41,27.483,27.57,27.589,27.639,27.639,27.667,27.704,27.744,27.804,27.881,27.942,27.981,28.043,28.115,28.254,28.357,28.476,28.567,28.664,28.735,28.782,28.859,28.904,29.008,29.082,29.166,29.201,29.264,29.366,29.454,29.536,29.603,29.689,29.751,29.841,29.929,29.987,30.086,30.116,30.229,30.326,30.449,30.482,30.542,30.682,30.775,30.889,31.023,31.253,31.357,31.467,31.601,31.719,31.857,31.946,32.095,32.295,32.429,32.474,32.479,32.502,32.606,32.71,32.805,32.858,32.93,32.981,33.044,33.147,33.212,33.328,33.401,33.464,33.551,33.644,33.823,33.942,34.084,34.177,34.366,34.425,34.561,34.718,34.942,35.311,35.788,36.393,36.791,37.284,37.767,38.305,38.69,39.284,39.839,40.335,40.777,41.156,41.494,41.91,42.249,42.412,42.718,42.85,43.076,43.266,43.482,43.855,44.12,44.529,44.739
"44","33","P1MEDG D Medical care","P1MEDG3",10.94,10.922,10.952,10.992,11.034,11.069,11.084,11.11,11.156,11.205,11.246,11.254,11.188,11.238,11.272,11.323,11.386,11.421,11.449,11.491,11.532,11.553,11.585,11.585,11.586,11.592,11.587,11.586,11.6,11.612,11.632,11.65,11.678,11.691,11.711,11.727,11.743,11.769,11.778,11.818,11.818,11.843,11.836,11.844,11.862,11.87,11.906,11.901,11.918,11.94,11.938,11.943,11.96,11.996,12.016,12.05,12.071,12.081,12.094,12.128,12.169,12.186,12.214,12.248,12.261,12.282,12.313,12.345,12.363,12.4,12.439,12.458,12.495,12.515,12.526,12.57,12.602,12.637,12.657,12.681,12.718,12.743,12.769,12.804,12.837,12.917,12.935,12.996,13.033,13.106,13.149,13.22,13.293,13.366,13.421,13.454,13.505,13.552,13.583,13.626,13.671,13.741,13.798,13.89,13.948,14.015,14.097,14.173,14.259,14.323,14.426,14.493,14.542,14.645,14.699,14.778,14.842,14.926,14.982,15.05,15.105,15.164,15.263,15.357,15.432,15.501,15.554,15.62,15.707,15.793,15.877,15.948,16.034,16.105,16.205,16.31,16.424,16.516,16.582,16.635,16.727,16.8,16.857,16.962,17.014,17.066,17.127,17.217,17.306,17.395,17.471,17.564,17.624,17.69,17.765,17.831,17.924,17.983,18.018,18.063,18.097,18.15,18.241,18.309,18.345,18.378,18.43,18.469,18.448,18.526,18.617,18.705,18.768,18.834,18.864,19.027,19.084,19.186,19.252,19.322,19.452,19.569,19.75,19.839,20.049,20.251,20.408,20.65,20.847,21.019,21.201,21.378,21.529,21.68,21.813,21.991,22.133,22.336,22.473,22.577,22.802,23.011,23.249,23.449
"45","34","P1PBUG C Personal business","P1PBUG3",13.913,13.899,13.882,13.876,13.886,13.912,13.936,13.96,14.022,14.074,14.138,14.199,14.306,14.305,14.326,14.427,14.494,14.572,14.614,14.679,14.721,14.788,14.828,14.842,14.794,14.793,14.796,14.797,14.81,14.866,14.938,15.011,15.09,15.143,15.214,15.286,15.432,15.463,15.471,15.522,15.556,15.607,15.625,15.6,15.609,15.581,15.643,15.682,15.755,15.686,15.646,15.643,15.65,15.654,15.679,15.723,15.73,15.765,15.849,15.947,16.027,16.101,16.206,16.264,16.346,16.411,16.473,16.541,16.607,16.674,16.703,16.717,16.685,16.676,16.657,16.687,16.71,16.723,16.742,16.759,16.786,16.82,16.866,16.97,17.077,17.208,17.325,17.416,17.516,17.59,17.675,17.781,17.84,17.903,17.952,17.958,17.968,17.952,17.952,17.969,17.993,18.036,18.055,18.078,18.143,18.254,18.326,18.404,18.376,18.52,18.691,18.737,18.859,18.985,19.134,19.265,19.389,19.521,19.654,19.815,20.054,20.217,20.403,20.584,20.74,20.872,21.026,21.147,21.28,21.39,21.493,21.573,21.666,21.747,21.842,21.903,21.958,22.033,22.088,22.153,22.292,22.437,22.55,22.626,22.62,22.655,22.71,22.747,22.824,22.918,23.03,23.139,23.235,23.336,23.457,23.585,23.746,23.866,24.013,24.143,24.296,24.356,24.406,24.435,24.483,24.555,24.615,24.66,24.614,24.64,24.755,24.913,25.005,25.172,25.365,25.585,25.767,26.013,26.213,26.462,26.768,27.035,27.366,27.592,27.827,28.106,28.388,28.673,28.925,29.126,29.41,29.649,29.91,30.119,30.279,30.43,30.574,30.713,30.857,30.928,31.01,31.185,31.266,31.317
"46","35","P1TRNG D Transportation","P1TRNG3",21.898,22.098,22.137,22.246,22.266,22.326,22.33,22.381,22.382,22.554,22.589,22.601,22.47,22.47,22.349,22.399,22.363,22.366,22.443,22.553,22.426,22.345,22.655,22.456,22.52,22.498,22.437,22.279,22.446,22.514,22.642,22.772,22.876,22.796,22.742,22.673,22.693,22.842,22.739,22.964,22.953,22.897,22.778,22.909,23.16,22.995,22.991,23.045,22.956,22.999,22.945,22.902,22.975,22.909,23.016,23.121,23.088,23.152,23.074,23.111,23.144,23.21,23.161,23.162,23.09,23.102,23.133,23.135,23.162,23.135,23.222,23.288,23.386,23.372,23.439,23.458,23.505,23.351,23.374,23.419,23.474,23.337,23.38,23.603,23.38,23.443,23.431,23.486,23.508,23.535,23.656,23.699,23.785,23.832,23.87,24.001,23.856,23.848,23.857,24.011,24.072,24.097,24.259,24.356,24.52,24.574,24.737,24.559,24.708,24.771,24.791,24.787,24.861,24.925,24.968,25.102,25.127,25.237,25.388,25.24,25.364,25.48,25.721,25.835,25.801,25.918,25.916,25.978,25.969,26.087,26.105,26.245,26.297,26.404,26.324,26.632,26.637,26.646,26.81,26.796,26.995,27.32,27.488,27.727,27.945,27.968,27.997,27.992,28.089,28.195,28.235,28.303,28.141,28.168,28.143,28.243,28.317,28.334,28.387,28.376,28.463,28.408,28.536,28.695,28.886,28.698,28.75,28.795,28.836,28.976,29.044,29.264,29.362,29.542,29.587,29.646,29.597,29.939,30.346,30.775,31.253,31.808,32.566,32.899,33.406,33.821,34.212,34.355,34.636,34.795,34.906,35.095,35.168,35.359,35.723,35.86,36.011,36.411,36.926,37.175,37.481,37.734,37.982,38.278
"47","36","P1USEG D   User-operated transportation","P1USEG3",22.407,22.626,22.655,22.77,22.786,22.849,22.851,22.895,22.894,23.078,23.116,23.119,22.967,22.956,22.825,22.878,22.837,22.831,22.909,23.025,22.882,22.792,23.126,22.888,22.96,22.929,22.848,22.675,22.839,22.915,23.052,23.183,23.301,23.202,23.136,23.049,23.06,23.214,23.096,23.328,23.313,23.249,23.111,23.262,23.53,23.362,23.349,23.426,23.325,23.382,23.313,23.268,23.347,23.28,23.399,23.52,23.488,23.56,23.459,23.501,23.522,23.584,23.528,23.53,23.455,23.467,23.503,23.492,23.519,23.486,23.577,23.648,23.753,23.743,23.807,23.827,23.876,23.707,23.73,23.774,23.835,23.685,23.727,23.973,23.723,23.791,23.777,23.834,23.857,23.876,23.992,24.022,24.104,24.151,24.184,24.319,24.173,24.16,24.159,24.324,24.385,24.406,24.578,24.678,24.85,24.911,25.085,24.881,25.042,25.09,25.107,25.088,25.17,25.232,25.279,25.413,25.439,25.54,25.692,25.53,25.65,25.77,26.005,26.106,26.048,26.164,26.148,26.22,26.197,26.324,26.335,26.453,26.449,26.519,26.431,26.776,26.783,26.773,26.943,26.908,27.096,27.425,27.599,27.839,28.076,28.101,28.103,28.079,28.166,28.263,28.27,28.32,28.139,28.17,28.146,28.254,28.319,28.328,28.385,28.377,28.472,28.416,28.546,28.72,28.92,28.701,28.748,28.796,28.84,28.99,29.061,29.293,29.394,29.57,29.612,29.668,29.604,29.961,30.397,30.82,31.343,31.947,32.775,33.114,33.646,34.044,34.471,34.627,34.925,35.087,35.165,35.315,35.384,35.589,35.992,36.105,36.236,36.633,37.19,37.457,37.707,37.978,38.236,38.54
"48","37","P1PLTG C   Purchased local transportation","P1PLTG3",12.927,12.955,13.115,13.166,13.197,13.194,13.213,13.276,13.273,13.304,13.295,13.373,13.4,13.476,13.422,13.395,13.358,13.472,13.519,13.535,13.533,13.526,13.586,13.753,13.72,13.81,13.898,13.829,14.049,14.039,14.048,14.17,14.132,14.248,14.281,14.353,14.377,14.48,14.456,14.604,14.561,14.653,14.783,14.743,14.891,14.795,14.972,14.792,14.913,14.79,14.986,14.982,15.06,15.019,15.091,15.078,14.997,15.021,15.232,15.164,15.339,15.391,15.508,15.482,15.46,15.456,15.404,15.581,15.612,15.663,15.68,15.702,15.73,15.669,15.809,15.797,15.859,15.843,15.863,15.953,15.896,15.909,15.983,15.907,16.011,16.004,16.059,16.105,16.115,16.314,16.596,16.911,17.084,17.103,17.259,17.471,17.19,17.312,17.468,17.508,17.64,17.737,17.754,17.883,17.974,17.94,18.014,18.11,18.114,18.4,18.388,18.675,18.583,18.738,18.614,18.781,18.81,19.259,19.525,19.394,19.645,19.635,19.722,19.879,19.893,19.956,20.179,20.089,20.147,20.122,20.206,20.631,21.548,22.191,22.159,22.155,22.161,22.398,22.472,22.734,22.971,23.219,23.223,23.293,23.325,23.32,23.657,23.77,24.074,24.073,24.535,24.795,24.85,24.826,24.818,24.826,25.141,25.369,25.423,25.397,25.403,25.181,25.386,25.337,25.386,25.68,25.742,25.54,25.569,25.588,25.64,25.629,25.607,25.75,25.742,25.798,25.838,25.874,25.677,26.17,26.156,26.211,26.221,26.28,26.29,26.849,26.915,26.949,27.037,26.807,27.251,27.548,27.767,27.897,27.926,28.029,28.133,28.104,28.269,28.359,30.385,30.173,30.172,30.301
"49","38","P1PITG C   Purchased intercity transportation","P1PITG3",19.832,19.856,19.843,19.893,19.966,20.093,20.131,20.278,20.369,20.488,20.547,20.601,20.698,20.818,20.865,20.972,21.124,21.109,21.208,21.298,21.387,21.448,21.549,21.616,21.674,21.644,21.809,21.889,21.929,21.961,22.07,22.113,22.133,22.174,22.248,22.396,22.614,22.694,22.858,22.988,23.138,23.038,22.981,22.885,22.784,22.617,22.484,22.342,22.193,22.137,22.055,22.009,21.885,21.8,21.615,21.474,21.501,21.403,21.44,21.503,21.617,21.82,21.697,21.71,21.656,21.691,21.708,21.776,21.787,21.818,21.886,21.853,21.865,21.853,21.853,21.904,21.876,21.911,21.941,21.932,21.997,21.998,22.008,22.036,22.063,22.098,22.039,22.045,22.054,22.052,22.072,22.069,22.142,22.199,22.216,22.168,22.212,22.188,22.223,22.247,22.254,22.273,22.35,22.358,22.407,22.428,22.441,22.506,22.552,22.681,22.789,22.804,22.88,22.894,23.022,23.099,23.095,23.054,23.065,23.21,23.286,23.424,23.915,24.224,24.601,24.782,24.858,24.851,25.05,25.109,25.195,25.486,25.805,26.115,26.142,26.015,25.971,26.137,26.26,26.385,26.747,27.018,27.208,27.555,27.573,27.561,27.834,28.092,28.227,28.578,28.904,29.163,29.204,29.181,29.131,29.15,29.201,29.198,29.173,29.107,29.105,29.208,29.244,29.261,29.37,29.447,29.582,29.761,29.756,29.782,29.8,29.94,30.072,30.322,30.459,30.583,30.731,31.003,31.276,31.715,31.704,31.792,31.936,32.325,32.746,33.296,33.312,33.329,33.448,33.8,34.209,34.909,34.956,34.962,34.932,35.469,35.956,36.707,36.742,36.795,36.815,37.083,37.332,37.603
"50","39","P1RCRG D Recreation","P1RCRG3",41.759,41.819,41.935,41.951,42.045,42.164,42.249,42.397,42.494,42.556,42.671,42.649,42.728,42.8,42.854,42.872,42.916,42.96,43.005,43.082,43.155,43.178,43.201,43.243,43.315,43.347,43.369,43.385,43.414,43.459,43.485,43.535,43.572,43.592,43.613,43.641,43.704,43.744,43.799,43.727,43.77,43.762,43.824,43.866,43.885,43.921,43.977,44.015,43.985,44,44.1,44.204,44.331,44.438,44.563,44.635,44.794,44.932,45.056,44.686,44.821,44.922,45.002,44.97,45.007,45.021,45.097,45.115,45.153,45.201,45.203,45.202,45.258,45.273,45.348,45.274,45.338,45.32,45.283,45.25,45.282,45.266,45.215,45.249,45.326,45.414,45.494,45.537,45.584,45.623,45.661,45.734,45.807,45.919,45.974,46.059,46.177,46.109,46.222,46.281,46.372,46.459,46.542,46.638,46.746,46.997,47.175,47.374,47.557,47.796,47.859,48.003,48.14,48.311,48.495,48.663,48.86,49.011,49.17,49.337,49.483,49.557,49.669,49.839,50.119,50.275,50.368,50.525,50.65,50.767,50.848,50.909,50.993,51.137,51.338,51.302,51.42,51.574,51.779,51.911,52.039,52.26,52.757,52.893,53.098,53.199,53.348,53.601,53.723,53.896,54.026,54.062,54.189,54.194,54.226,54.354,54.509,54.614,54.574,54.837,54.747,54.837,54.909,55.085,55.145,55.232,55.266,55.415,55.469,55.557,55.728,55.944,55.931,56.031,56.151,56.247,56.407,56.658,56.699,56.873,57.08,57.405,57.693,57.822,58.382,59.008,59.476,59.782,60.296,60.766,61.139,61.52,61.98,62.312,62.47,63.558,63.494,63.668,63.876,64.021,64.29,64.516,64.853,65.247
"51","40","P1TEDG C Education and research","P1TEDG3",11.913,11.786,11.656,11.539,11.417,11.295,11.331,11.342,11.395,11.436,11.472,11.537,11.556,11.605,11.629,11.676,11.713,11.74,11.801,11.792,11.877,11.916,11.943,11.972,11.941,11.941,11.921,11.892,11.919,11.949,11.992,12.032,12.101,12.094,12.089,12.1,12.141,12.148,12.212,12.255,12.33,12.345,12.338,12.298,12.354,12.402,12.399,12.432,12.456,12.478,12.488,12.522,12.531,12.568,12.63,12.642,12.675,12.726,12.776,12.803,12.786,12.788,12.826,12.833,12.869,12.904,12.939,12.97,12.98,13.026,13.043,13.078,13.117,13.171,13.223,13.29,13.353,13.365,13.39,13.382,13.46,13.505,13.552,13.578,13.627,13.638,13.719,13.794,13.889,13.968,14.019,14.074,14.122,14.202,14.237,14.253,14.308,14.311,14.367,14.434,14.499,14.567,14.563,14.574,14.621,14.661,14.749,14.803,14.875,14.931,14.974,15.026,15.071,15.138,15.219,15.319,15.389,15.46,15.521,15.594,15.657,15.724,15.822,15.894,15.991,16.073,16.181,16.254,16.367,16.422,16.517,16.611,16.746,16.806,16.892,16.944,17.05,17.149,17.252,17.315,17.442,17.54,17.666,17.7,17.761,17.805,17.848,17.921,17.974,18.092,18.171,18.245,18.312,18.347,18.404,18.52,18.588,18.686,18.742,18.748,18.762,18.925,19.062,19.209,19.326,19.391,19.441,19.526,19.183,19.125,19.184,19.652,19.821,20.224,21.55,21.344,21.647,21.071,21.22,21.41,21.623,21.797,22.575,22.771,23.107,23.645,23.683,23.599,23.996,23.552,23.601,23.69,23.71,23.862,24.081,24.153,24.652,24.92,26.356,26.161,26.508,25.87,25.873,25.969
"52","41","P1RAWG C Religious and welfare activities","P1RAWG3",18.26,17.859,17.548,17.213,16.89,16.551,16.643,16.689,16.773,16.818,16.897,16.9,16.978,17.04,17.102,17.175,17.254,17.331,17.335,17.409,17.462,17.468,17.473,17.518,17.46,17.472,17.47,17.395,17.399,17.459,17.398,17.402,17.472,17.403,17.403,17.421,17.432,17.43,17.456,17.571,17.573,17.574,17.592,17.602,17.68,17.67,17.656,17.737,17.727,17.728,17.74,17.765,17.811,17.82,17.877,17.952,17.891,17.875,17.954,17.961,17.93,17.958,17.963,17.898,17.883,17.967,17.967,17.957,17.977,18.014,18.058,18.115,18.206,18.254,18.269,18.27,18.357,18.358,18.349,18.353,18.416,18.443,18.496,18.561,18.553,18.613,18.62,18.697,18.767,18.775,18.863,18.854,18.864,18.999,19.057,19.03,19.085,19.06,19.087,19.164,19.241,19.239,19.271,19.338,19.396,19.42,19.493,19.556,19.671,19.732,19.812,19.819,19.95,19.975,19.979,20.103,20.198,20.346,20.435,20.511,20.63,20.793,20.972,21.064,21.185,21.281,21.36,21.472,21.588,21.617,21.717,21.865,21.88,21.886,21.874,21.956,21.949,22.039,22.037,22.087,22.182,22.326,22.4,22.55,22.631,22.709,22.889,23.007,23.168,23.236,23.316,23.468,23.513,23.571,23.638,23.733,23.835,23.929,23.937,23.976,24.011,24.149,24.291,24.426,24.542,24.708,24.823,24.905,24.769,24.921,25.009,25.335,25.131,25.859,25.785,25.681,26.54,26.674,26.93,27.076,27.475,28.231,28.352,29.011,29.669,29.729,29.477,30.318,30.338,30.57,30.817,31.204,31.097,31.973,32.184,31.316,31.986,32.366,32.561,32.469,32.644,32.397,32.952,33.715
"53","42","P1FTOG D Foreign travel and other, net","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","A=Annual, quarterly, and monthly data published in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
